symbol,net_pnl,costs,trades,times_held,first_seen,last_seen
BHEL,321328.39204999997,4541.04765,52,18,2019-05-02,2026-07-01
COCHINSHIP,268874.641675,2693.979975,22,8,2022-12-01,2025-08-29
BSE,246807.91857692308,4314.384,40,16,2021-08-02,2026-07-01
MCX,195004.78599999996,3417.1365,30,14,2019-10-01,2026-07-01
HUDCO,145416.39915500002,770.195295,10,2,2024-01-01,2024-10-01
SUZLON,144437.56332000004,3521.21151,25,11,2022-11-01,2026-05-13
NBCC,143700.278495,1967.3142149999999,12,5,2023-11-01,2024-09-10
IDFCFIRSTB,141982.14105000003,2583.4458,32,13,2019-04-01,2026-02-01
PAYTM,139330.39932499992,2736.5949,29,12,2022-07-01,2026-01-27
SJVN,108601.31630000003,1072.038525,9,4,2023-10-03,2024-05-02
SRF,106950.74250000002,2113.9818,42,14,2019-01-01,2025-06-02
IRCTC,100491.22994999998,2656.796025,29,12,2020-02-01,2024-02-13
IRCON,87407.35924999998,2090.1032999999998,16,5,2023-06-01,2024-09-02
JUBLFOOD,82747.072875,2317.50105,35,14,2019-02-01,2022-12-01
HAPPSTMNDS,81825.33315,507.92235000000005,7,2,2021-05-03,2021-11-01
GODFRYPHLP,75554.2325,1103.2905,6,2,2025-03-03,2025-09-03
POLICYBZR,73739.048875,1697.636475,14,6,2023-02-01,2025-02-12
LAURUSLABS,70109.95765,845.106525,11,4,2020-09-01,2021-10-01
UPL,64631.348350000015,2308.450875,39,17,2018-11-01,2023-06-01
HAVELLS,62075.63175000003,2102.874825,36,17,2018-11-01,2022-10-03
NATIONALUM,61155.50400499994,4054.087035,34,15,2021-06-01,2026-07-01
RBLBANK,58872.66197499999,3925.75425,41,16,2018-11-01,2026-02-01
PERSISTENT,57383.25447499999,2899.475325,22,10,2022-03-02,2026-02-12
JAYNECOIND,54643.36919999999,608.3784,3,1,2025-09-01,2025-11-03
INDUSTOWER,54046.74057500001,3612.0768000000003,34,12,2019-02-01,2026-05-04
APOLLO,49252.98562,2558.837955,10,5,2025-07-01,2026-07-01
TATACHEM,45107.15137500001,1953.9192,19,9,2021-01-01,2022-11-21
OIL,44138.50912500003,1958.554275,10,5,2024-03-01,2026-05-04
BATAINDIA,44071.28702499999,1368.342375,22,9,2018-11-01,2020-07-01
KPITTECH,42722.939450000034,1183.800075,12,7,2022-11-01,2023-09-01
NAUKRI,41157.53099999998,2593.209,31,17,2019-12-02,2025-03-03
ESCORTS,40824.890049999995,2519.4456,31,13,2019-01-01,2023-01-02
OLECTRA,39232.185274999996,1597.5379500000001,12,4,2023-05-02,2024-04-16
JPPOWER,38739.150649999945,1667.4948,7,4,2024-01-01,2025-11-03
ASHOKLEY,38216.843380000006,4645.81797,41,16,2018-11-01,2026-05-04
SAIL,37737.87291500001,5068.980285,44,17,2019-05-02,2026-07-01
TATAELXSI,37708.773024999995,2411.4384,20,9,2020-01-01,2024-11-14
NMDC,37615.99046499997,2271.20805,15,8,2021-06-01,2024-07-22
