date,open,high,low,close,volume
2018-07-05,656.65,686.5,656.65,667.55,538179
2018-07-06,672.0,681.85,668.15,672.95,439620
2018-07-09,676.35,691.35,675.0,684.95,407973
2018-07-10,686.7,706.0,673.2,694.8,673353
2018-07-11,688.0,700.75,679.1,691.55,578987
2018-07-12,698.75,709.95,660.35,679.1,1478121
2018-07-13,679.35,690.0,664.7,684.75,501521
2018-07-16,683.55,686.65,638.0,646.15,604655
2018-07-17,634.65,672.0,600.05,664.75,1369083
2018-07-18,674.45,674.45,645.35,657.35,652769
2018-07-19,657.35,657.35,644.15,649.3,279812
2018-07-20,643.35,685.0,633.75,679.5,923988
2018-07-23,680.65,702.65,665.35,695.5,647871
2018-07-24,696.75,718.55,681.0,687.45,1086269
2018-07-25,692.55,709.45,684.85,688.55,569001
2018-07-26,693.65,706.65,686.0,695.75,436895
2018-07-27,698.55,741.65,696.65,730.2,1216901
2018-07-30,733.4,757.95,733.35,753.6,984659
2018-07-31,760.65,784.4,731.1,758.8,2993460
2018-08-01,764.65,766.65,750.4,757.65,571445
2018-08-02,761.85,767.35,753.35,757.9,488904
2018-08-03,759.95,783.3,759.95,770.15,753720
2018-08-06,775.6,781.65,760.35,765.75,391661
2018-08-07,768.0,769.85,753.35,759.05,335132
2018-08-08,761.65,796.55,753.95,791.85,947813
2018-08-09,797.35,802.0,765.35,770.2,983118
2018-08-10,772.25,774.45,756.9,764.05,367008
2018-08-13,765.35,776.0,754.75,760.75,532434
2018-08-14,763.8,779.95,758.45,778.8,388916
2018-08-16,780.0,799.15,774.3,792.15,661853
2018-08-17,794.75,812.65,792.65,797.25,696776
2018-08-20,803.25,813.05,797.05,802.25,305670
2018-08-21,803.35,825.65,796.8,819.8,900200
2018-08-23,829.25,836.65,815.85,829.9,1001508
2018-08-24,825.85,831.8,810.9,820.0,299189
2018-08-27,820.65,829.2,810.65,819.7,345653
2018-08-28,822.65,844.0,818.65,822.85,953939
2018-08-29,822.85,835.35,819.4,822.1,362438
2018-08-30,824.95,836.65,822.0,833.1,345177
2018-08-31,838.95,860.3,835.35,847.15,1099161
2018-09-03,849.85,859.85,825.65,832.8,443592
2018-09-04,836.45,839.85,813.35,817.0,369053
2018-09-05,816.0,838.0,806.75,827.5,555728
2018-09-06,831.95,847.85,827.35,841.8,605511
2018-09-07,842.65,862.65,831.35,848.25,883337
2018-09-10,846.65,857.7,815.55,820.3,507480
2018-09-11,820.65,828.75,766.75,774.75,487971
2018-09-12,779.35,797.75,768.55,793.55,763521
2018-09-14,797.0,815.35,797.0,809.05,526146
2018-09-17,806.55,824.0,798.7,803.75,598988
2018-09-18,806.75,815.95,786.05,791.15,581658
2018-09-19,798.65,807.85,777.35,786.95,351098
2018-09-21,789.35,799.2,720.0,738.75,812685
2018-09-24,739.8,754.5,716.05,728.05,499020
2018-09-25,724.7,745.7,717.0,739.65,511835
2018-09-26,746.65,754.0,729.05,742.95,413531
2018-09-27,745.0,749.7,727.75,734.45,426912
2018-09-28,736.0,742.85,700.7,709.15,529151
2018-10-01,703.4,717.85,687.2,714.35,395243
2018-10-03,712.75,715.95,687.85,692.7,545196
2018-10-04,683.35,695.35,666.0,670.25,469752
2018-10-05,669.35,688.0,663.35,679.65,432285
2018-10-08,680.0,698.65,653.35,667.35,474110
2018-10-09,666.65,686.65,654.75,670.55,480162
2018-10-10,679.35,711.85,677.25,702.25,598340
2018-10-11,646.75,700.45,646.75,672.6,443279
2018-10-12,677.65,696.15,672.65,683.05,360863
2018-10-15,679.95,696.65,679.95,686.65,362244
2018-10-16,690.45,695.9,680.25,684.75,471248
2018-10-17,688.05,693.25,658.6,667.4,438429
2018-10-19,666.65,682.1,654.05,668.25,326570
2018-10-22,669.85,686.6,668.05,674.0,414581
2018-10-23,660.75,673.85,648.0,653.1,237129
2018-10-24,658.0,667.35,627.0,658.65,546614
2018-10-25,658.95,680.0,653.35,663.65,495231
2018-10-26,667.6,675.05,648.0,651.55,311526
2018-10-29,652.0,680.15,648.05,677.55,402558
2018-10-30,683.15,691.75,670.4,673.35,384902
2018-10-31,674.45,722.65,674.45,705.55,1173944
2018-11-01,720.0,738.55,702.15,725.65,1253639
2018-11-02,728.0,736.6,717.0,723.55,664925
2018-11-05,714.05,729.35,714.05,724.6,426012
2018-11-06,729.85,730.65,702.65,706.7,263979
2018-11-09,703.6,726.45,701.15,718.2,324434
2018-11-12,724.65,728.9,711.15,715.75,245789
2018-11-13,713.35,721.35,704.85,716.9,229806
2018-11-14,721.6,721.6,706.8,715.2,176333
2018-11-15,716.45,725.55,712.65,722.45,244197
2018-11-16,730.0,759.35,726.35,746.4,1798080
2018-11-19,746.65,763.0,731.35,757.7,792353
2018-11-20,764.65,765.35,732.65,738.65,410606
