date,open,high,low,close,volume
2018-07-05,250.9,251.2,246.85,250.4,11058
2018-07-06,251.2,255.0,250.25,252.4,3565
2018-07-09,252.0,259.1,250.8,259.1,3090
2018-07-10,259.1,261.7,256.05,261.1,3878
2018-07-11,259.1,263.6,258.4,261.4,3938
2018-07-12,262.75,266.0,260.0,261.75,1655
2018-07-13,261.75,263.95,258.8,262.6,950
2018-07-16,256.0,258.8,253.3,253.6,3393
2018-07-17,258.95,258.95,254.05,256.6,1753
2018-07-18,257.95,261.5,254.6,260.0,19760
2018-07-19,265.1,265.1,256.4,259.95,4070
2018-07-20,252.4,260.3,245.2,246.65,5203
2018-07-23,254.05,260.0,246.4,258.3,14448
2018-07-24,259.2,281.9,259.2,272.6,24120
2018-07-25,279.95,279.95,276.0,278.2,4668
2018-07-26,280.0,280.0,275.65,277.75,4373
2018-07-27,277.75,279.3,273.2,277.25,1603
2018-07-30,277.25,278.8,273.0,276.9,3003
2018-07-31,278.0,280.0,248.8,253.5,106088
2018-08-01,254.0,265.6,254.0,261.8,31233
2018-08-02,261.8,265.2,261.6,264.65,6540
2018-08-03,264.65,266.8,263.4,263.8,7360
2018-08-06,264.05,264.05,260.0,260.55,3220
2018-08-07,258.0,262.7,255.2,256.45,7115
2018-08-08,256.65,267.85,256.0,264.2,13105
2018-08-09,264.2,267.6,259.2,262.2,19660
2018-08-10,264.4,264.4,259.6,261.45,7830
2018-08-13,258.8,263.95,256.9,259.65,10048
2018-08-14,257.2,268.0,257.2,257.95,10500
2018-08-16,266.95,266.95,257.25,258.45,19378
2018-08-17,258.8,262.0,257.7,258.0,15525
2018-08-20,263.95,263.95,255.7,258.65,19653
2018-08-21,258.0,261.85,258.0,259.9,6810
2018-08-23,264.75,264.75,257.2,259.8,4530
2018-08-24,268.85,268.85,258.8,261.2,5928
2018-08-27,255.85,262.0,255.2,261.0,6695
2018-08-28,257.2,262.0,257.2,260.7,10718
2018-08-29,261.9,262.0,260.0,260.5,12300
2018-08-30,261.0,264.0,260.0,261.0,3370
2018-08-31,258.1,263.95,258.1,260.5,3575
2018-09-03,260.8,261.1,258.15,260.1,1658
2018-09-04,260.15,260.15,252.65,255.85,3615
2018-09-05,256.0,256.0,248.0,249.6,11400
2018-09-06,248.4,254.0,248.0,252.95,6800
2018-09-07,252.95,252.95,246.05,248.5,10273
2018-09-10,248.0,260.0,248.0,250.3,11725
2018-09-11,254.0,262.0,254.0,260.1,40790
2018-09-12,264.0,264.0,258.0,261.95,17413
2018-09-14,262.15,265.8,260.0,261.1,13663
2018-09-17,259.8,261.6,256.4,258.75,6175
2018-09-18,256.05,257.7,250.3,251.8,4610
2018-09-19,258.7,258.7,246.45,248.05,8625
2018-09-21,255.55,255.55,220.0,247.8,12603
2018-09-24,247.8,249.95,233.5,243.6,13230
2018-09-25,240.4,245.95,234.0,241.95,15448
2018-09-26,242.85,243.6,241.3,241.95,3720
2018-09-27,243.05,243.1,234.4,235.95,4540
2018-09-28,236.0,236.95,228.4,229.6,7375
2018-10-01,240.0,240.0,224.5,231.9,9985
2018-10-03,232.0,234.8,226.0,226.65,6435
2018-10-04,226.65,226.65,220.4,224.5,14033
2018-10-05,229.95,229.95,220.15,224.0,5780
2018-10-08,218.1,224.8,218.0,219.1,19000
2018-10-09,220.8,222.9,214.0,216.5,7163
2018-10-10,220.4,237.6,216.75,226.45,18318
2018-10-11,225.0,235.45,225.0,233.8,5423
2018-10-12,238.0,241.55,237.2,237.7,3278
2018-10-15,240.8,241.2,230.4,232.3,6535
2018-10-16,237.6,241.9,235.2,240.0,8335
2018-10-17,249.75,249.75,240.0,240.0,5760
2018-10-19,240.0,241.9,236.05,239.65,8133
2018-10-22,239.75,241.95,220.9,228.55,3595
2018-10-23,228.8,231.2,222.4,225.8,2368
2018-10-24,226.4,231.1,222.4,227.75,6143
2018-10-25,230.75,230.8,227.3,229.4,408
2018-10-26,230.0,232.25,230.0,232.0,4030
2018-10-29,232.0,236.0,228.0,234.8,2005
2018-10-30,234.8,240.0,230.1,236.9,4243
2018-10-31,239.85,244.4,237.45,243.9,9823
2018-11-01,243.9,268.0,242.0,262.85,437430
2018-11-02,267.6,283.55,264.9,272.9,97985
2018-11-05,274.0,276.0,266.1,274.3,28718
2018-11-06,274.3,280.8,272.25,279.65,22993
2018-11-09,286.0,320.0,283.2,317.3,148100
2018-11-12,321.95,324.0,310.5,314.6,81228
2018-11-13,312.0,322.0,312.0,316.25,26523
2018-11-14,322.0,322.0,316.0,320.2,18933
2018-11-15,322.0,323.55,310.7,312.8,25775
2018-11-16,312.85,316.8,298.9,302.1,25435
2018-11-19,302.1,313.6,301.2,309.5,10448
2018-11-20,309.5,309.5,301.2,302.95,7743
2018-11-21,303.0,306.0,296.4,298.6,8550
2018-11-22,304.75,304.75,294.0,298.6,16818
2018-11-26,305.6,305.6,288.0,288.7,6260
2018-11-27,288.7,292.35,288.0,290.25,4375
2018-11-28,290.3,293.6,288.0,292.2,2638
2018-11-29,295.6,304.0,290.05,300.35,30385
2018-11-30,300.8,308.0,300.0,306.1,11205
2018-12-03,310.8,312.4,302.4,303.25,5545
2018-12-04,303.25,305.6,297.6,298.75,6608
2018-12-05,299.15,302.0,297.0,298.5,3948
2018-12-06,298.0,302.4,290.0,292.9,4045
2018-12-07,294.8,299.4,288.0,293.2,7430
2018-12-10,289.65,289.65,282.0,282.1,11135
2018-12-11,280.0,285.6,275.1,283.35,8878
2018-12-12,287.7,289.75,283.45,287.15,9133
2018-12-13,287.45,296.4,287.45,292.5,11333
2018-12-14,292.5,294.35,288.0,292.7,5323
2018-12-17,292.7,300.0,292.7,297.7,3668
2018-12-18,294.15,298.4,289.45,298.2,3188
2018-12-19,297.8,302.4,296.85,301.75,7788
2018-12-20,301.8,301.8,294.9,298.5,23528
2018-12-21,299.4,301.15,294.45,296.2,24623
2018-12-24,296.2,297.15,286.5,287.5,4898
2018-12-26,296.0,296.2,284.0,293.85,13105
2018-12-27,294.95,297.8,285.8,295.1,10433
2018-12-28,297.45,302.0,292.1,301.0,9248
2018-12-31,301.0,325.5,301.0,321.3,52198
2019-01-01,323.15,323.15,308.4,309.2,25545
2019-01-02,315.95,315.95,308.0,313.55,11515
2019-01-03,317.2,320.0,313.6,314.55,15708
2019-01-04,316.9,320.0,312.4,314.75,10018
2019-01-07,319.6,319.6,311.2,313.1,9298
2019-01-08,310.45,313.2,308.4,311.25,4030
2019-01-09,312.1,312.1,308.5,310.0,6063
2019-01-10,316.8,318.0,309.0,311.95,8415
2019-01-11,312.95,315.2,311.6,312.25,2218
2019-01-14,314.0,314.0,300.6,311.65,12003
2019-01-15,317.0,317.1,308.5,309.9,4030
2019-01-16,312.15,313.95,309.85,313.4,6925
2019-01-17,319.6,319.6,312.45,317.6,20453
2019-01-18,320.35,320.4,316.05,317.85,6145
2019-01-21,315.2,347.95,315.2,334.6,172613
2019-01-22,334.6,352.0,327.8,334.3,51875
2019-01-23,336.0,341.6,328.7,331.6,39353
2019-01-24,333.8,333.8,320.4,324.5,11600
2019-01-25,327.3,327.8,320.8,322.2,7190
2019-01-28,320.0,320.85,297.2,300.9,43378
2019-01-29,296.0,300.65,289.45,292.3,34073
2019-01-30,296.0,311.6,291.25,300.3,181060
2019-01-31,301.6,303.35,296.0,300.65,26383
2019-02-01,301.7,312.0,296.0,304.1,24608
2019-02-04,302.8,317.6,302.0,303.4,24238
2019-02-05,304.1,307.95,300.05,302.8,6013
2019-02-06,300.05,304.4,297.6,302.4,5588
2019-02-07,307.0,310.8,301.65,308.6,5888
2019-02-08,312.0,312.0,300.4,300.7,10055
2019-02-11,308.4,308.4,285.4,292.4,6815
2019-02-12,290.0,299.6,284.0,286.6,9615
2019-02-13,290.75,291.6,282.6,288.05,12953
2019-02-14,284.8,290.8,283.0,288.7,9495
2019-02-15,285.0,290.8,285.0,288.5,6420
2019-02-18,289.5,291.6,282.7,283.2,7570
2019-02-19,292.8,292.8,279.6,280.75,9965
2019-02-20,282.0,284.8,270.0,279.6,39328
2019-02-21,280.85,284.0,276.3,281.85,5895
2019-02-22,284.1,285.1,282.75,284.6,1810
2019-02-25,286.2,290.2,284.4,287.45,7673
2019-02-26,279.25,287.65,279.25,283.75,1893
2019-02-27,288.7,292.8,283.1,290.55,9603
2019-02-28,291.1,292.25,282.05,284.3,5610
2019-03-01,288.6,291.95,287.7,289.5,1693
2019-03-05,295.75,312.0,293.25,309.9,26943
2019-03-06,314.8,316.8,308.0,314.1,16395
2019-03-07,314.1,318.8,311.7,316.65,14520
2019-03-08,318.75,324.0,316.0,322.8,18798
2019-03-11,324.4,338.0,323.85,335.95,32130
2019-03-12,338.6,340.0,332.4,333.7,13240
2019-03-13,333.75,333.75,320.0,322.9,9608
2019-03-14,328.8,329.2,312.05,315.8,9375
2019-03-15,316.4,317.4,310.4,311.8,7523
2019-03-18,310.85,330.0,309.6,323.4,11800
2019-03-19,328.8,342.4,326.0,336.2,36375
2019-03-20,338.4,342.8,329.45,331.35,10983
2019-03-22,324.5,331.9,324.0,324.9,16268
2019-03-25,322.4,323.2,318.0,318.75,5920
2019-03-26,318.75,323.2,318.4,319.75,4663
2019-03-27,321.2,341.6,314.2,338.95,24405
2019-03-28,339.0,342.4,332.4,334.35,11748
2019-03-29,334.35,338.2,330.0,333.2,6348
2019-04-01,328.4,337.9,328.4,334.55,5060
2019-04-02,334.6,334.6,329.05,330.4,12535
2019-04-03,333.6,333.6,328.5,329.6,3723
2019-04-04,330.6,333.6,327.2,329.5,6805
2019-04-05,330.8,333.2,325.35,331.5,12608
2019-04-08,330.45,336.8,328.8,333.8,5688
2019-04-09,336.0,336.0,331.8,334.35,4700
2019-04-10,334.65,337.2,330.05,330.85,3268
2019-04-11,330.9,342.8,330.4,340.3,21248
2019-04-12,343.55,357.0,336.8,348.5,23923
2019-04-15,352.0,357.2,345.2,348.45,39148
2019-04-16,349.45,351.6,346.0,348.75,9090
2019-04-18,348.75,351.65,344.0,346.15,6925
2019-04-22,346.0,366.4,342.7,355.2,38183
2019-04-23,355.2,359.0,352.0,355.5,17148
2019-04-24,363.6,363.6,350.05,354.75,7013
2019-04-25,354.15,358.6,346.8,349.1,5935
2019-04-26,356.4,356.4,330.0,334.4,14635
2019-04-30,330.2,343.95,330.0,338.05,10680
2019-05-02,334.0,339.6,334.0,337.0,1515
2019-05-03,338.3,343.2,334.6,337.3,9443
2019-05-06,348.9,348.9,330.9,335.75,5008
2019-05-07,333.2,339.1,330.2,332.0,3113
2019-05-08,330.0,330.0,324.0,324.9,8008
2019-05-09,324.7,328.0,319.6,325.7,6003
2019-05-10,327.2,327.2,321.6,323.75,4688
2019-05-13,324.3,326.8,322.85,323.9,4688
