date,open,high,low,close,volume
2018-07-05,61.45,61.45,59.9,60.0,23997366
2018-07-06,60.1,64.5,60.05,63.7,77839412
2018-07-09,64.5,65.3,62.5,63.0,52598416
2018-07-10,63.3,65.0,63.3,64.5,39157564
2018-07-11,64.55,65.3,63.6,64.1,32112116
2018-07-12,64.6,66.1,64.3,64.5,33631166
2018-07-13,65.15,65.65,63.55,63.8,25221182
2018-07-16,64.05,64.25,57.7,60.4,61748780
2018-07-17,60.5,64.5,60.4,61.8,106892884
2018-07-18,62.4,62.4,52.2,52.8,246712514
2018-07-19,53.7,54.3,50.0,50.4,274616366
2018-07-20,50.8,52.5,50.4,51.25,121910372
2018-07-23,52.0,52.7,51.5,52.1,68853438
2018-07-24,52.2,54.15,52.15,53.9,66756356
2018-07-25,54.3,54.35,52.3,52.6,49400028
2018-07-26,52.85,54.0,52.8,53.55,47634408
2018-07-27,53.7,54.3,53.1,53.95,41906184
2018-07-30,54.0,54.9,53.4,54.0,44310720
2018-07-31,53.9,54.25,53.0,53.9,38912716
2018-08-01,53.7,57.2,53.5,57.0,128449432
2018-08-02,57.1,58.2,55.7,57.65,93401772
2018-08-03,58.3,59.25,56.4,56.6,70318494
2018-08-06,56.8,57.4,55.9,56.65,35783808
2018-08-07,57.0,58.2,56.7,57.3,36572150
2018-08-08,57.5,60.9,57.05,60.4,100117610
2018-08-09,60.5,62.4,59.9,62.15,54160494
2018-08-10,62.0,63.35,60.8,61.3,55112700
2018-08-13,60.9,61.8,60.0,60.3,42395548
2018-08-14,60.5,61.1,59.4,60.5,34487436
2018-08-16,60.25,61.5,60.05,60.6,24189900
2018-08-17,60.8,62.1,60.8,61.7,27672434
2018-08-20,62.0,62.6,61.2,61.7,26201050
2018-08-21,61.8,62.3,61.3,61.9,20965350
2018-08-23,62.0,64.0,61.4,63.7,51730264
2018-08-24,63.5,64.2,61.8,62.1,42799570
2018-08-27,62.6,64.25,62.3,63.95,37929544
2018-08-28,64.5,64.85,63.4,63.7,33406924
2018-08-29,63.8,64.2,63.1,63.5,26309298
2018-08-30,63.5,63.9,62.8,62.95,28541310
2018-08-31,63.1,63.4,61.4,62.05,35182038
2018-09-03,64.0,65.0,63.7,64.25,65504244
2018-09-04,64.5,64.7,60.4,61.45,48336984
2018-09-05,61.45,62.0,59.8,61.25,47986554
2018-09-06,61.9,62.75,61.4,62.4,25167772
2018-09-07,62.8,63.85,62.4,63.5,30474544
2018-09-10,63.05,63.4,62.05,62.35,18417946
2018-09-11,62.65,63.2,61.05,61.4,28675652
2018-09-12,61.5,61.85,59.9,61.45,31655470
2018-09-14,62.1,64.1,62.1,63.15,37321672
