date,open,high,low,close,volume
2018-07-05,506.7,515.0,489.25,494.45,897901
2018-07-06,489.0,492.5,471.0,475.4,817862
2018-07-09,475.0,482.0,461.1,465.3,815468
2018-07-10,463.0,472.8,454.0,459.0,975302
2018-07-11,456.8,471.1,451.0,458.7,665456
2018-07-12,461.0,463.65,445.05,448.95,649653
2018-07-13,458.0,463.9,441.0,445.3,872817
2018-07-16,442.2,444.8,415.0,419.4,694191
2018-07-17,404.0,427.45,390.0,419.05,1431313
2018-07-18,424.0,431.0,409.0,413.1,647421
2018-07-19,413.0,426.85,404.0,421.15,658595
2018-07-20,422.3,434.45,417.0,430.6,694076
2018-07-23,433.9,433.9,421.2,423.55,343283
2018-07-24,422.75,464.9,420.05,453.8,1233247
2018-07-25,457.9,469.8,455.0,459.5,629678
2018-07-26,460.0,462.4,433.0,435.75,644235
2018-07-27,436.2,457.95,435.1,443.55,1027958
2018-07-30,443.0,459.0,441.0,456.1,585262
2018-07-31,458.0,489.9,456.25,484.1,1574970
2018-08-01,487.9,496.0,482.3,485.95,727686
2018-08-02,486.1,488.0,475.05,480.5,645386
2018-08-03,482.0,519.0,482.0,510.55,1705189
2018-08-06,514.65,547.35,513.7,540.8,1640144
2018-08-07,499.0,511.15,472.0,477.45,2719467
2018-08-08,470.0,472.7,450.0,452.3,1446111
2018-08-09,449.0,478.95,444.55,470.7,1672009
2018-08-10,472.8,475.85,455.05,456.25,544326
2018-08-13,448.7,470.8,446.0,467.6,760134
2018-08-14,469.6,476.0,457.0,461.9,389208
2018-08-16,458.6,464.9,451.0,454.15,321555
2018-08-17,457.9,462.9,449.0,451.6,350821
2018-08-20,452.8,464.7,451.5,456.5,482101
2018-08-21,457.4,459.5,447.35,449.35,323420
2018-08-23,449.0,451.05,435.1,440.05,453867
2018-08-24,437.7,440.75,427.1,430.65,386794
2018-08-27,432.0,438.7,430.0,431.65,297253
2018-08-28,432.0,435.45,418.55,421.75,305764
2018-08-29,421.75,436.0,417.1,429.75,550104
2018-08-30,430.0,434.0,427.1,429.0,210468
2018-08-31,427.4,429.55,421.0,421.95,276626
2018-09-03,422.85,427.7,420.05,420.85,232316
2018-09-04,423.5,435.0,418.4,421.25,487127
2018-09-05,422.55,427.75,413.0,419.7,314634
2018-09-06,422.3,423.7,411.95,413.5,287966
2018-09-07,415.45,421.4,408.0,415.6,285404
2018-09-10,412.0,415.75,405.05,410.95,311237
2018-09-11,411.8,419.8,406.45,416.1,290033
2018-09-12,416.15,421.65,410.95,413.25,248097
2018-09-14,415.65,418.75,411.0,411.4,247663
2018-09-17,410.8,476.0,410.0,464.55,2371931
2018-09-18,480.0,494.5,450.0,453.9,2270501
2018-09-19,457.0,468.0,442.15,448.9,682540
2018-09-21,451.55,451.65,390.0,439.7,1044785
2018-09-24,435.5,439.7,412.5,414.95,403396
2018-09-25,415.0,423.3,403.0,408.3,428295
2018-09-26,411.95,418.35,406.0,408.9,644550
2018-09-27,411.05,414.8,400.05,403.75,297552
2018-09-28,405.0,407.85,383.2,387.05,399117
2018-10-01,388.7,388.7,357.1,369.45,519323
2018-10-03,370.0,383.95,362.35,366.0,484351
2018-10-04,363.0,364.9,354.8,356.3,321304
2018-10-05,357.8,371.65,356.0,365.0,522907
2018-10-08,370.0,384.7,365.0,375.75,546260
2018-10-09,382.0,382.45,365.0,366.25,248340
2018-10-10,366.25,392.8,366.25,387.05,719650
2018-10-11,368.25,382.0,365.1,374.4,308957
2018-10-12,381.0,396.8,379.1,391.25,375159
2018-10-15,394.0,433.5,388.15,428.6,1371788
2018-10-16,432.9,444.0,418.25,423.0,711714
2018-10-17,429.95,435.2,415.0,418.35,348308
2018-10-19,411.0,411.1,383.0,384.5,518171
2018-10-22,385.0,390.95,368.4,373.4,293364
2018-10-23,370.95,388.0,365.0,378.65,299170
2018-10-24,380.65,392.45,376.65,378.7,405848
2018-10-25,374.7,383.0,371.0,379.7,190569
2018-10-26,381.0,388.0,372.9,379.9,227299
2018-10-29,383.65,394.4,379.0,390.8,309102
2018-10-30,392.9,405.2,391.25,397.45,390803
2018-10-31,399.9,406.9,390.0,398.6,206177
2018-11-01,400.55,409.0,398.0,404.8,422054
2018-11-02,408.0,415.0,401.4,410.45,323962
2018-11-05,411.0,419.0,408.0,414.2,301645
2018-11-06,417.5,452.0,417.0,438.4,1074941
2018-11-09,430.1,441.5,420.0,421.85,290232
2018-11-12,367.0,385.0,361.75,375.65,1861757
2018-11-13,373.3,382.3,371.4,374.85,486431
2018-11-14,375.5,379.7,367.1,369.3,366236
2018-11-15,369.0,370.0,362.7,367.45,296743
2018-11-16,370.0,382.5,370.0,373.15,379880
2018-11-19,375.0,375.0,367.35,368.5,174455
2018-11-20,370.0,377.2,365.0,366.95,285344
2018-11-21,364.25,371.25,364.25,366.6,144187
2018-11-22,367.0,371.35,364.0,364.75,166234
