date,open,high,low,close,volume
2018-07-05,102.45,103.45,100.45,100.8,20296
2018-07-06,100.75,102.35,100.0,102.0,23310
2018-07-09,102.05,104.5,102.05,104.1,33464
2018-07-10,106.0,106.0,102.5,103.25,78504
2018-07-11,102.3,106.2,102.3,105.2,54556
2018-07-12,106.15,107.2,104.75,105.3,55826
2018-07-13,104.95,105.3,102.6,102.95,21734
2018-07-16,103.25,104.0,100.5,100.9,29996
2018-07-17,100.5,101.4,100.05,100.55,61134
2018-07-18,100.6,103.3,100.0,100.1,56868
2018-07-19,100.4,101.3,97.65,98.1,72588
2018-07-20,98.1,100.9,97.55,99.3,32996
2018-07-23,101.3,101.3,98.1,98.6,36454
2018-07-24,99.4,103.5,99.3,102.7,68130
2018-07-25,103.0,103.0,100.2,101.7,47738
2018-07-26,102.25,103.0,101.0,101.5,38334
2018-07-27,101.55,104.35,101.5,102.45,77864
2018-07-30,103.4,104.1,102.8,103.5,48074
2018-07-31,103.6,104.2,102.0,102.45,53866
2018-08-01,103.35,103.35,100.75,101.9,62900
2018-08-02,101.1,103.9,101.1,102.8,53964
2018-08-03,103.95,104.3,102.5,102.8,58656
2018-08-06,103.7,114.0,103.3,111.1,1424602
2018-08-07,111.95,112.0,107.4,108.7,311850
2018-08-08,109.0,112.75,109.0,111.6,268950
2018-08-09,112.25,112.5,110.15,111.0,78882
2018-08-10,110.05,112.25,109.15,110.95,71802
2018-08-13,110.2,110.2,108.0,109.2,46820
2018-08-14,109.5,111.8,109.0,109.8,59242
2018-08-16,109.75,110.2,108.65,109.0,42132
2018-08-17,109.0,111.4,109.0,110.7,56830
2018-08-20,111.45,111.5,110.05,110.55,66940
2018-08-21,112.0,114.8,110.0,113.9,231534
2018-08-23,113.6,117.8,111.9,116.2,671856
2018-08-24,115.95,117.1,112.7,113.1,142758
2018-08-27,114.0,115.0,111.6,112.3,99554
2018-08-28,111.9,113.5,111.05,111.7,77996
2018-08-29,112.9,112.9,108.95,111.0,313574
2018-08-30,112.5,114.1,111.0,112.5,167106
2018-08-31,113.45,113.75,111.5,113.5,99966
2018-09-03,113.85,115.6,113.5,114.0,101082
2018-09-04,114.5,115.7,113.5,114.9,195182
2018-09-05,114.1,119.45,113.9,116.1,433054
2018-09-06,114.85,117.0,114.0,115.1,279328
2018-09-07,114.5,114.5,112.1,113.1,74672
2018-09-10,113.1,113.1,109.4,109.65,93964
2018-09-11,110.75,110.75,107.6,107.8,58858
2018-09-12,108.75,111.0,106.5,109.2,66620
2018-09-14,109.6,112.9,109.6,111.1,68784
2018-09-17,109.7,111.85,108.5,110.9,66854
2018-09-18,112.45,112.45,105.55,106.4,106508
2018-09-19,106.8,108.3,105.1,105.95,47002
2018-09-21,106.5,109.7,99.0,103.6,158834
2018-09-24,102.3,104.8,100.6,102.2,73068
2018-09-25,100.6,103.0,98.85,100.85,105666
2018-09-26,101.35,103.7,100.3,101.2,66080
2018-09-27,103.2,103.35,99.5,100.5,104694
2018-09-28,101.1,102.0,95.4,96.3,117094
2018-10-01,96.0,96.15,90.0,92.5,200140
2018-10-03,92.55,96.65,91.8,95.05,54826
2018-10-04,94.5,95.0,90.4,94.0,74770
2018-10-05,94.0,95.9,82.45,90.1,234046
2018-10-08,90.0,91.75,85.3,89.4,95770
2018-10-09,89.3,91.9,87.05,88.35,47156
2018-10-10,89.15,91.9,89.15,90.45,47094
2018-10-11,86.25,91.9,85.5,90.45,45932
2018-10-12,91.15,96.1,88.8,93.2,123640
2018-10-15,94.5,94.6,91.5,94.45,32016
2018-10-16,94.0,97.2,94.0,96.0,51874
2018-10-17,96.8,98.65,94.3,95.4,77822
2018-10-19,95.0,97.5,90.55,92.15,225992
2018-10-22,94.3,95.3,92.0,92.9,51696
2018-10-23,93.9,94.9,91.25,93.05,96184
2018-10-24,92.8,95.85,91.1,92.1,49818
2018-10-25,91.55,94.15,91.1,91.5,53910
2018-10-26,92.75,96.05,87.5,88.1,147712
2018-10-29,89.25,90.0,86.8,89.2,66036
2018-10-30,89.5,90.0,85.9,86.3,218952
2018-10-31,86.5,88.9,86.5,88.5,65228
2018-11-01,89.5,89.7,88.8,89.45,97188
2018-11-02,89.45,93.55,89.15,92.4,145754
2018-11-05,93.3,93.5,90.65,91.4,56818
2018-11-06,91.2,92.5,90.75,91.7,33778
2018-11-09,93.7,94.4,91.5,92.0,77608
2018-11-12,92.0,92.7,89.8,89.9,75050
2018-11-13,90.0,91.1,88.5,89.95,106712
2018-11-14,90.85,90.85,88.0,88.5,80092
2018-11-15,89.1,89.6,87.5,88.25,56414
2018-11-16,89.5,89.5,87.65,88.3,37572
2018-11-19,89.85,89.85,88.0,88.5,28430
2018-11-20,89.0,89.25,87.0,88.5,46682
2018-11-21,88.5,88.8,87.75,88.3,12096
2018-11-22,89.0,89.8,88.0,88.2,28334
2018-11-26,89.0,89.0,83.65,84.55,183946
2018-11-27,86.4,86.55,82.5,83.1,124614
2018-11-28,83.35,84.1,82.3,82.6,95064
2018-11-29,83.7,83.7,81.95,82.65,56418
2018-11-30,82.5,85.9,82.5,83.65,62746
2018-12-03,85.9,85.9,82.8,84.75,43190
2018-12-04,85.5,85.5,84.6,85.0,15768
2018-12-05,85.0,85.0,83.0,83.5,42558
2018-12-06,83.5,83.7,82.0,82.9,37680
2018-12-07,82.9,84.0,82.5,83.5,47344
2018-12-10,82.5,83.4,81.25,82.2,41242
2018-12-11,82.0,84.0,80.0,83.6,72290
2018-12-12,84.4,85.5,83.4,85.05,45868
2018-12-13,86.5,88.1,86.0,87.6,71462
2018-12-14,87.55,88.05,86.55,87.65,32290
2018-12-17,89.2,89.2,85.5,85.95,44530
2018-12-18,85.8,88.5,85.5,87.4,52896
2018-12-19,88.35,88.5,85.6,86.1,108908
2018-12-20,85.75,89.5,85.5,89.1,95868
2018-12-21,89.0,91.25,87.5,90.0,120160
2018-12-24,90.7,99.5,90.25,92.35,978798
2018-12-26,92.3,93.9,90.5,92.45,211348
2018-12-27,93.35,93.5,91.6,92.25,175836
2018-12-28,91.45,92.5,91.45,91.65,41384
2018-12-31,91.6,93.4,91.5,92.1,134100
2019-01-01,92.1,92.65,91.0,92.4,55122
2019-01-02,92.4,92.85,91.0,91.3,56186
2019-01-03,91.1,92.5,90.15,91.3,31538
2019-01-04,91.4,92.5,90.9,92.3,43668
2019-01-07,93.0,93.0,90.0,91.8,44292
2019-01-08,91.5,92.5,91.1,92.4,30538
2019-01-09,92.45,92.5,91.55,92.1,38438
2019-01-10,91.6,92.5,90.6,91.2,41774
2019-01-11,92.1,92.25,90.0,90.4,46000
2019-01-14,90.55,91.15,89.5,89.6,41330
2019-01-15,89.85,91.95,89.1,90.9,27074
2019-01-16,91.4,91.8,90.0,90.9,26468
2019-01-17,91.25,92.0,90.0,90.4,22852
2019-01-18,90.4,91.25,89.7,90.3,54780
2019-01-21,90.3,91.2,87.8,87.9,57970
2019-01-22,87.8,88.2,86.1,87.05,24638
2019-01-23,87.2,88.0,86.5,87.5,30758
2019-01-24,87.95,89.05,86.8,88.4,35132
2019-01-25,87.6,89.55,87.25,87.5,31110
2019-01-28,86.6,88.5,85.0,85.9,43390
2019-01-29,85.8,86.0,85.0,85.5,40264
2019-01-30,85.5,86.45,84.9,85.0,49708
2019-01-31,85.3,85.95,84.5,84.7,28038
2019-02-01,85.45,85.75,83.0,84.75,29186
2019-02-04,84.8,86.9,84.7,86.3,20788
2019-02-05,86.5,87.95,85.0,85.5,28172
2019-02-06,85.2,86.65,82.7,83.8,36306
2019-02-07,84.15,85.8,83.15,84.45,21958
2019-02-08,84.45,85.0,84.2,84.6,20796
2019-02-11,84.6,85.5,84.0,84.8,25828
2019-02-12,85.4,86.5,84.0,84.3,18562
2019-02-13,82.5,82.5,75.3,76.5,248632
2019-02-14,77.25,78.55,75.9,78.05,53220
2019-02-15,78.55,78.9,76.5,77.9,36246
2019-02-18,78.3,78.7,76.55,77.1,37488
2019-02-19,77.1,77.9,73.5,73.9,161506
2019-02-20,74.9,77.2,72.7,73.1,131226
2019-02-21,73.55,74.55,72.05,72.6,179906
2019-02-22,72.5,75.0,72.5,73.5,241052
2019-02-25,75.5,76.4,74.4,76.0,156594
2019-02-26,73.0,74.25,72.7,73.15,96510
2019-02-27,73.0,74.5,72.6,73.05,78130
2019-02-28,73.05,73.6,72.4,73.05,39692
2019-03-01,73.0,75.5,73.0,75.15,93310
2019-03-05,75.85,78.75,75.45,78.2,127536
2019-03-06,78.9,84.0,78.5,82.65,261248
2019-03-07,83.7,83.7,80.5,81.25,53140
2019-03-08,81.55,81.55,79.6,79.9,37034
2019-03-11,80.15,81.2,79.6,80.0,76372
2019-03-12,80.25,82.4,80.25,81.6,87500
2019-03-13,81.65,81.65,80.0,80.7,43502
2019-03-14,81.0,81.45,80.0,80.5,44330
2019-03-15,81.2,81.95,80.05,80.6,66574
2019-03-18,80.9,81.4,79.7,80.25,39068
2019-03-19,80.0,80.5,79.7,80.1,52602
2019-03-20,80.4,80.5,79.5,79.9,35360
2019-03-22,80.45,80.45,79.3,79.5,31326
2019-03-25,79.1,79.1,77.3,77.6,39038
2019-03-26,77.0,79.25,77.0,78.35,34454
2019-03-27,78.5,79.0,76.0,76.4,108956
2019-03-28,76.7,78.3,76.7,77.0,52196
2019-03-29,77.5,78.2,76.5,76.75,51226
2019-04-01,76.75,79.5,76.75,79.0,62750
2019-04-02,79.0,79.3,78.2,78.9,39552
2019-04-03,79.45,79.45,77.55,77.9,49264
2019-04-04,78.0,78.0,76.4,76.75,44438
2019-04-05,76.2,77.45,75.6,76.35,90722
2019-04-08,76.8,77.4,75.9,76.05,68314
2019-04-09,76.1,76.7,75.0,76.05,24022
2019-04-10,75.9,76.1,75.0,75.3,45360
2019-04-11,75.1,77.0,75.1,75.9,80304
2019-04-12,75.95,76.3,74.5,74.8,79650
2019-04-15,76.3,76.3,75.0,75.7,36612
2019-04-16,76.1,76.6,75.5,75.75,30544
2019-04-18,76.45,77.85,75.95,77.4,86262
2019-04-22,77.4,77.4,76.4,76.8,24384
2019-04-23,76.25,78.25,76.0,77.0,43904
2019-04-24,77.55,77.65,76.5,77.4,17510
2019-04-25,76.9,77.9,75.75,76.0,35100
2019-04-26,75.75,76.8,75.55,75.8,15148
2019-04-30,75.25,75.9,74.0,74.3,49036
2019-05-02,75.9,75.9,74.5,74.6,19588
2019-05-03,75.0,75.3,73.75,74.1,22304
2019-05-06,74.0,75.1,74.0,74.5,30934
2019-05-07,76.0,76.0,73.5,73.9,22634
2019-05-08,73.9,74.8,73.0,73.2,18124
2019-05-09,73.0,74.0,72.75,73.6,14024
