date,open,high,low,close,volume
2018-07-05,80.27,80.97,79.43,79.8,4456332
2018-07-06,80.18,82.05,79.43,80.97,7174857
2018-07-09,82.14,83.73,81.26,83.36,5942998
2018-07-10,83.64,85.23,83.21,84.48,5904232
2018-07-11,83.92,84.66,79.94,80.36,6540939
2018-07-12,80.83,82.28,78.96,79.29,6974458
2018-07-13,79.85,79.85,75.55,76.35,8574292
2018-07-16,76.63,76.63,71.77,72.42,5272685
2018-07-17,71.95,77.04,71.48,76.58,9434073
2018-07-18,77.28,77.7,72.05,73.87,9328796
2018-07-19,74.29,78.78,72.61,77.32,11185400
2018-07-20,76.86,78.4,76.2,77.8,7259483
2018-07-23,76.96,81.11,76.16,80.69,8445233
2018-07-24,80.83,82.93,80.36,82.09,7091530
2018-07-25,82.23,83.54,81.06,82.42,5919512
2018-07-26,83.77,90.17,82.88,89.33,14916998
2018-07-27,90.36,92.93,89.43,91.39,13219917
2018-07-30,92.51,97.32,92.37,96.49,15015297
2018-07-31,96.72,97.51,87.18,88.21,39904156
2018-08-01,87.84,90.04,86.9,89.1,15797718
2018-08-02,88.21,89.43,86.53,88.45,8841351
2018-08-03,88.4,90.41,88.31,89.38,7722981
2018-08-06,89.71,91.76,89.43,91.11,8261126
2018-08-07,91.58,91.91,88.02,88.73,7886180
2018-08-08,89.43,89.61,87.23,87.84,5602605
2018-08-09,88.92,92.32,88.54,91.58,11522528
2018-08-10,91.95,91.95,86.67,87.46,11674121
2018-08-13,86.9,86.9,82.28,84.1,7508900
2018-08-14,84.85,85.79,83.31,84.52,7662377
2018-08-16,84.29,85.51,82.0,83.03,6402432
2018-08-17,84.24,87.74,84.24,87.18,12970922
2018-08-20,88.07,89.71,86.9,89.33,7281785
2018-08-21,89.61,90.5,88.4,89.66,6258726
2018-08-23,89.71,90.04,85.97,87.7,8908729
2018-08-24,87.38,88.49,86.53,87.0,5545129
2018-08-27,87.38,89.56,87.38,88.54,6329518
2018-08-28,88.77,88.77,84.66,85.51,8445521
2018-08-29,85.87,89.53,85.41,89.01,9749862
2018-08-30,89.33,94.1,87.7,93.3,14271823
2018-08-31,92.51,94.38,90.13,93.86,11090429
2018-09-03,94.1,96.25,92.51,93.12,8751388
2018-09-04,92.89,93.26,88.49,88.73,8643715
2018-09-05,88.68,88.96,85.31,87.94,8864529
2018-09-06,88.68,89.28,86.3,87.51,6785011
2018-09-07,87.74,88.59,86.35,87.98,5737097
