date,open,high,low,close,volume
2018-07-05,20.35,20.7,20.35,20.5,8155
2018-07-06,20.5,20.6,20.4,20.4,4250
2018-07-09,20.7,21.7,20.25,21.2,18685
2018-07-10,20.5,22.95,20.5,21.85,23645
2018-07-11,22.75,23.2,21.0,21.25,21550
2018-07-12,20.9,21.8,20.9,21.15,19920
2018-07-13,21.15,22.4,20.7,21.55,22980
2018-07-16,21.0,21.05,20.4,20.55,8810
2018-07-17,20.2,21.3,20.2,20.6,10240
2018-07-18,20.15,21.95,20.0,20.05,42990
2018-07-19,20.3,21.45,20.3,21.0,59830
2018-07-20,21.0,21.4,20.4,21.0,10235
2018-07-23,21.55,21.55,21.0,21.25,48825
2018-07-24,21.95,22.5,21.8,22.4,25780
2018-07-25,23.0,24.95,22.25,23.85,46085
2018-07-26,23.5,23.95,23.1,23.2,22615
2018-07-27,23.35,23.35,22.55,23.15,9750
2018-07-30,22.8,23.35,22.25,22.45,38245
2018-07-31,22.95,24.7,22.75,23.65,72220
2018-08-01,22.4,24.25,22.2,22.75,102500
2018-08-02,22.9,23.2,22.4,22.9,11240
2018-08-03,23.05,23.2,22.25,22.4,9370
2018-08-06,23.2,23.2,21.65,21.8,57435
2018-08-07,21.4,22.4,21.4,22.35,7120
2018-08-08,22.5,22.5,21.7,21.7,20595
2018-08-09,22.0,22.4,21.45,21.6,58745
2018-08-10,21.2,21.9,20.8,21.1,37030
2018-08-13,21.1,21.4,20.6,21.05,5795
2018-08-14,20.7,21.55,20.7,21.05,2435
2018-08-16,21.45,21.45,20.85,21.15,16880
2018-08-17,21.75,21.8,20.9,21.05,12490
2018-08-20,20.8,21.6,20.8,21.1,21130
2018-08-21,21.3,21.6,21.05,21.15,7315
2018-08-23,21.8,21.8,20.65,20.9,28880
2018-08-24,20.65,21.2,20.6,20.9,21875
2018-08-27,21.4,21.6,20.4,21.05,31170
2018-08-28,21.1,21.1,20.6,20.75,30630
2018-08-29,20.65,20.95,20.4,20.55,26040
2018-08-30,20.9,20.9,20.4,20.4,30440
2018-08-31,21.15,21.15,20.4,20.75,15225
2018-09-03,21.3,21.8,20.65,20.85,33820
2018-09-04,20.85,21.35,20.6,20.6,25600
2018-09-05,20.45,20.45,19.8,20.3,37210
2018-09-06,21.2,21.2,20.2,20.3,19780
2018-09-07,20.4,20.45,19.85,19.95,42650
2018-09-10,20.5,20.5,19.5,19.9,27635
2018-09-11,20.55,20.55,19.85,19.85,10975
2018-09-12,20.5,20.5,19.6,19.8,2605
2018-09-14,20.0,20.2,19.6,19.7,7630
2018-09-17,19.7,19.95,17.9,18.2,158285
2018-09-18,18.3,19.2,17.8,17.85,65385
2018-09-19,17.85,18.6,17.6,17.8,25120
2018-09-21,17.6,17.6,16.2,16.55,32020
2018-09-24,17.0,17.6,15.05,16.8,15850
2018-09-25,17.2,17.3,15.5,15.6,13890
2018-09-26,15.6,15.65,14.8,14.9,48835
2018-09-27,15.0,15.4,13.7,13.8,36165
2018-09-28,13.6,14.6,12.8,13.4,23675
2018-10-01,13.15,14.85,13.15,13.7,17185
2018-10-03,14.0,14.1,13.55,13.65,0
2018-10-04,13.3,13.7,13.2,13.65,25030
2018-10-05,13.2,13.85,12.9,13.75,18085
2018-10-08,13.8,13.8,13.05,13.45,13680
2018-10-09,13.5,14.3,13.5,13.85,26815
2018-10-10,13.6,14.2,13.6,13.95,26100
2018-10-11,14.0,14.0,11.8,12.3,141705
2018-10-12,12.8,12.8,11.8,12.0,183580
2018-10-15,12.4,13.0,12.0,12.95,17985
2018-10-16,13.8,14.9,13.4,14.25,106380
2018-10-17,14.9,14.9,13.2,13.3,31195
2018-10-19,13.8,13.8,11.75,12.0,141690
2018-10-22,12.55,12.55,10.9,11.0,73025
2018-10-23,11.75,11.75,10.15,10.3,71325
2018-10-24,10.3,10.9,10.1,10.2,82365
2018-10-25,10.2,10.4,10.0,10.05,35225
2018-10-26,10.0,10.95,9.8,10.35,43905
2018-10-29,10.3,10.9,10.2,10.7,32015
2018-10-30,11.3,11.3,10.7,10.95,50975
2018-10-31,11.2,12.7,11.0,12.45,56910
2018-11-01,13.0,13.0,12.0,12.5,61940
2018-11-02,13.0,13.0,12.0,12.35,55810
2018-11-05,12.2,12.6,11.9,11.95,3395
2018-11-06,12.4,13.0,12.0,12.65,27410
2018-11-09,12.4,13.0,12.4,12.8,8290
2018-11-12,13.2,14.95,13.1,13.95,107230
2018-11-13,14.0,14.15,13.4,13.7,18700
2018-11-14,13.5,14.15,13.4,13.55,27875
2018-11-15,14.0,14.0,13.45,13.85,18645
2018-11-16,13.75,14.6,13.65,14.25,42475
2018-11-19,13.8,14.1,13.7,13.75,9075
2018-11-20,13.8,14.0,13.4,13.8,13920
2018-11-21,13.65,14.0,13.35,13.45,9400
2018-11-22,13.4,14.1,13.4,13.4,2920
2018-11-26,13.35,13.95,13.2,13.75,10955
2018-11-27,13.4,13.95,13.25,13.55,11625
2018-11-28,13.45,13.5,13.05,13.3,20470
2018-11-29,13.75,13.75,13.15,13.4,5430
2018-11-30,13.25,13.9,13.2,13.75,6430
2018-12-03,13.75,14.05,13.2,13.65,28590
2018-12-04,13.45,14.05,13.3,13.75,24830
2018-12-05,13.8,13.8,13.4,13.4,5910
2018-12-06,13.25,13.55,13.05,13.2,18275
2018-12-07,13.5,13.5,12.45,12.8,11180
2018-12-10,12.6,12.6,11.85,12.2,11530
2018-12-11,12.95,12.95,12.2,12.4,1430
2018-12-12,12.55,13.1,12.45,12.9,4125
2018-12-13,12.6,14.2,12.6,13.9,20585
2018-12-14,14.2,14.6,13.95,14.3,45865
2018-12-17,14.2,14.4,13.55,14.2,19310
2018-12-18,14.0,14.4,13.4,13.95,4595
2018-12-19,14.0,14.2,14.0,14.1,5495
2018-12-20,14.05,14.4,13.9,14.05,10355
2018-12-21,13.9,14.5,13.9,14.15,19665
2018-12-24,14.2,14.4,13.9,14.1,4205
2018-12-26,14.05,14.75,14.05,14.4,10990
2018-12-27,14.8,14.95,14.4,14.45,7750
2018-12-28,14.6,14.9,14.1,14.8,11610
2018-12-31,15.3,16.1,14.05,14.9,43755
2019-01-01,14.65,14.7,14.45,14.6,3420
2019-01-02,15.15,15.15,14.6,14.75,12350
2019-01-03,14.6,17.6,14.6,16.95,218335
2019-01-04,17.8,20.35,16.5,20.35,1073075
2019-01-07,20.95,24.4,20.95,24.1,2241730
2019-01-08,23.5,23.5,21.7,21.7,596070
2019-01-09,21.7,23.0,19.85,21.25,374285
2019-01-10,21.4,23.35,21.4,23.35,326300
2019-01-11,24.25,25.7,23.4,24.0,1104320
2019-01-14,24.0,24.55,23.6,23.85,137075
2019-01-15,23.95,25.15,23.95,24.5,92300
