date,open,high,low,close,volume
2020-12-24,100.0,120.0,100.0,118.8,185333960
2020-12-28,120.9,124.8,107.7,111.8,62619525
2020-12-29,110.6,112.9,103.4,104.3,31282380
2020-12-30,104.0,107.6,101.4,103.0,29018000
2020-12-31,103.6,105.0,102.0,102.9,11913000
2021-01-01,103.2,103.9,100.2,100.5,10586240
2021-01-04,100.6,101.1,93.5,94.0,15596505
2021-01-05,92.0,98.0,90.0,95.2,24189395
2021-01-06,95.2,96.3,92.3,92.8,5834450
2021-01-07,92.2,93.6,91.0,91.2,3565155
2021-01-08,91.4,93.6,90.7,91.4,4778320
2021-01-11,93.0,93.0,90.2,90.7,3948150
2021-01-12,90.2,90.2,87.0,87.3,6524215
2021-01-13,87.4,88.8,85.4,85.8,3601650
2021-01-14,85.6,89.1,84.5,87.8,6265015
2021-01-15,87.6,92.0,87.6,89.8,7941915
2021-01-18,90.6,90.6,86.4,86.8,2277615
2021-01-19,87.9,88.7,86.8,86.9,1815010
2021-01-20,86.9,87.9,86.0,86.3,1854645
2021-01-21,86.0,86.4,81.4,82.0,14637370
2021-01-22,82.0,85.6,78.8,79.3,9138055
2021-01-25,79.4,80.1,75.4,78.5,5130090
2021-01-27,78.4,79.2,76.8,77.3,2814355
2021-01-28,76.0,78.3,75.9,76.8,2315215
2021-01-29,77.6,78.0,74.5,75.0,1912425
2021-02-01,74.4,76.5,74.1,75.2,3196525
2021-02-02,76.4,81.8,75.7,81.0,7498005
2021-02-03,82.0,83.8,80.5,82.3,5118850
2021-02-04,83.0,84.8,82.3,83.7,3427030
2021-02-05,84.8,85.4,81.9,82.2,3293995
2021-02-08,83.6,84.4,81.8,82.1,4015135
2021-02-09,82.6,82.7,79.0,79.4,3671790
2021-02-10,79.8,79.8,77.2,77.9,3402685
2021-02-11,77.9,78.8,77.2,77.4,2229695
2021-02-12,78.0,79.4,77.6,78.2,3494270
2021-02-15,78.4,79.1,77.4,78.4,1512780
2021-02-16,78.4,78.7,76.3,76.9,2324955
