date,open,high,low,close,volume
2018-07-05,413.0,416.0,403.8,407.0,1070630
2018-07-06,406.0,426.0,404.0,418.5,2345000
2018-07-09,421.0,423.5,415.1,416.8,1240808
2018-07-10,418.6,425.9,418.2,421.8,1119696
2018-07-11,421.9,432.0,417.6,420.6,1862858
2018-07-12,423.5,426.3,407.6,409.6,1425586
2018-07-13,409.2,409.9,397.8,401.1,1462712
2018-07-16,400.0,400.0,380.6,385.8,1511604
2018-07-17,395.0,401.5,390.1,395.4,2427938
2018-07-18,397.0,399.9,380.6,388.6,1329256
2018-07-19,389.5,392.7,376.4,383.5,1260820
2018-07-20,380.6,386.5,375.2,378.0,1162772
2018-07-23,380.7,381.4,368.6,377.8,1382690
2018-07-24,382.0,396.2,378.2,389.8,1790802
2018-07-25,393.4,396.8,381.6,384.2,1281872
2018-07-26,385.0,399.5,382.6,396.4,1744726
2018-07-27,398.5,412.5,396.0,410.3,2432122
2018-07-30,413.5,452.7,413.0,448.6,9633538
2018-07-31,452.0,454.5,438.2,448.9,3952556
2018-08-01,452.7,467.5,450.0,454.3,5131784
2018-08-02,452.8,461.5,443.5,455.1,2977502
2018-08-03,459.4,464.4,452.0,455.9,2364682
2018-08-06,455.9,461.0,451.6,454.6,1412640
2018-08-07,455.5,457.5,431.8,434.3,2477684
2018-08-08,434.2,434.2,409.0,412.6,6586348
2018-08-09,407.5,417.0,400.2,405.1,4630486
2018-08-10,406.0,412.4,402.5,403.9,1752402
2018-08-13,403.8,404.7,391.9,393.9,1605020
2018-08-14,392.8,400.0,388.5,397.0,2016406
2018-08-16,395.0,405.0,393.0,398.0,1706106
2018-08-17,402.2,409.0,398.9,403.7,2267490
2018-08-20,405.5,409.9,403.6,407.0,1128512
2018-08-21,408.5,421.0,407.5,414.8,3051372
2018-08-23,415.5,418.6,406.5,412.1,1445928
2018-08-24,411.0,416.4,402.8,406.6,1289122
2018-08-27,407.6,417.5,406.3,415.8,1828332
2018-08-28,417.5,418.9,408.0,409.8,973704
2018-08-29,408.5,416.8,407.0,411.2,1148250
2018-08-30,411.2,412.5,405.5,409.5,937216
2018-08-31,412.2,427.0,410.8,420.2,3300248
2018-09-03,423.3,435.2,418.5,420.6,2422534
2018-09-04,420.0,422.5,393.9,397.4,2938778
2018-09-05,390.0,395.0,375.2,383.9,5144168
2018-09-06,384.5,394.5,381.5,386.3,2328050
2018-09-07,387.5,390.5,384.0,388.1,1126784
2018-09-10,387.4,393.0,380.2,382.2,1242308
2018-09-11,386.4,388.4,375.6,377.2,1533630
2018-09-12,376.5,377.7,365.5,374.8,2014030
2018-09-14,380.0,385.5,376.6,381.6,1069786
2018-09-17,384.8,389.5,377.6,385.4,1188360
2018-09-18,385.5,391.4,371.8,373.7,1624630
2018-09-19,374.4,376.2,365.6,369.0,1368324
2018-09-21,373.5,374.0,346.0,356.6,1869918
2018-09-24,357.0,357.0,334.0,338.6,1624622
2018-09-25,335.5,339.4,314.4,323.2,2424534
2018-09-26,324.0,336.4,321.1,330.6,2105278
2018-09-27,336.0,336.0,311.0,313.1,1675680
2018-09-28,316.4,318.0,300.4,304.8,2054552
2018-10-01,304.4,304.4,284.0,292.7,2882072
2018-10-03,291.7,313.9,288.0,304.9,3494728
2018-10-04,297.0,311.5,294.6,307.7,2478646
2018-10-05,306.2,312.5,278.0,288.0,2306824
2018-10-08,282.4,287.5,274.0,280.3,2263382
2018-10-09,280.0,284.0,267.0,272.7,2021362
2018-10-10,274.8,295.3,272.4,292.2,2079250
2018-10-11,280.0,298.2,276.5,292.7,2408242
2018-10-12,294.7,303.8,294.3,297.4,2050868
2018-10-15,300.2,315.2,295.0,311.6,2302244
2018-10-16,313.0,317.0,311.0,314.7,1297860
2018-10-17,316.5,319.6,290.3,294.3,2384420
2018-10-19,291.0,297.0,281.5,291.6,1525306
2018-10-22,292.0,296.8,278.0,282.4,1634046
2018-10-23,281.9,284.8,274.0,279.1,1362638
2018-10-24,282.1,287.5,278.1,283.2,1287614
2018-10-25,278.0,281.2,270.2,271.6,1757054
2018-10-26,270.0,271.9,260.6,264.3,2619080
2018-10-29,266.0,283.9,261.5,280.6,2332430
2018-10-30,278.6,297.3,277.8,292.8,2202204
2018-10-31,293.8,298.8,283.6,293.6,1709134
2018-11-01,294.0,319.2,294.0,316.2,3366110
2018-11-02,320.5,348.8,317.9,344.4,5786856
2018-11-05,351.5,366.8,345.2,354.1,9926692
2018-11-06,355.0,361.1,348.4,357.2,3664434
2018-11-09,354.6,366.7,353.0,364.6,3448690
2018-11-12,367.0,373.6,357.7,360.3,2844866
2018-11-13,360.0,364.2,350.6,361.6,1750136
2018-11-14,363.2,364.2,349.7,354.6,1776834
2018-11-15,353.0,364.2,350.0,362.6,1859094
2018-11-16,363.9,368.8,346.0,350.2,2593988
2018-11-19,350.0,366.8,349.1,365.2,2770250
2018-11-20,364.0,383.9,359.6,378.0,8207204
2018-11-21,380.0,384.5,372.8,374.8,4037906
2018-11-22,375.2,382.4,370.0,375.4,2916148
2018-11-26,388.5,388.5,379.0,382.3,3778978
2018-11-27,382.3,383.5,376.0,379.4,1403258
2018-11-28,379.0,391.4,377.0,387.6,2958384
2018-11-29,388.8,394.0,381.3,382.5,2343800
2018-11-30,381.5,386.5,372.5,376.4,1587530
2018-12-03,380.2,380.7,371.2,373.8,1239808
2018-12-04,372.8,383.4,372.8,378.6,2197504
2018-12-05,373.7,378.5,363.2,365.8,1465270
2018-12-06,361.0,364.2,348.2,350.7,2757420
2018-12-07,349.0,358.5,344.2,354.5,2503760
2018-12-10,350.6,361.0,341.5,358.0,3082686
2018-12-11,351.3,368.4,342.5,364.0,3686954
2018-12-12,365.0,375.0,365.0,372.7,1828700
2018-12-13,374.0,396.6,374.0,392.8,4137500
2018-12-14,391.8,400.4,387.0,391.9,3407010
2018-12-17,393.4,425.0,389.2,423.2,12605270
2018-12-18,423.4,432.0,418.9,427.8,10838100
2018-12-19,426.2,431.0,421.6,424.4,3217564
2018-12-20,423.5,460.4,421.0,456.7,18898288
2018-12-21,456.7,473.0,440.8,443.7,25122726
2018-12-24,445.0,459.4,432.1,434.9,14044738
2018-12-26,435.6,452.5,426.2,449.9,12053896
2018-12-27,459.0,461.0,447.0,450.0,7978038
2018-12-28,451.6,458.5,449.5,454.2,5853536
2018-12-31,455.2,458.2,451.1,452.6,3051656
2019-01-01,453.5,455.0,445.0,451.7,3289396
2019-01-02,451.5,464.8,447.5,461.4,9025164
2019-01-03,463.8,465.3,440.2,443.3,8116646
2019-01-04,445.0,448.2,430.0,440.3,8134518
2019-01-07,448.0,458.5,439.5,455.4,7584328
2019-01-08,455.3,462.5,452.5,458.5,6524970
2019-01-09,458.5,462.0,448.4,454.4,3807106
2019-01-10,453.0,455.7,449.2,453.4,2376278
2019-01-11,455.2,456.4,443.6,445.9,2937958
2019-01-14,445.0,445.0,436.2,438.0,2958474
2019-01-15,440.7,457.0,440.0,455.3,4679504
2019-01-16,455.8,463.4,454.1,457.0,4918208
2019-01-17,457.5,460.4,442.7,447.6,3533160
2019-01-18,447.8,454.2,441.5,446.0,3219290
2019-01-21,447.4,450.5,442.8,444.6,2191460
2019-01-22,443.6,444.5,433.3,439.1,2703682
2019-01-23,437.5,447.4,435.6,441.6,2892510
2019-01-24,441.0,443.4,433.2,435.4,1915942
2019-01-25,438.2,440.6,420.1,424.3,2885474
2019-01-28,423.5,423.5,404.6,408.6,2629760
2019-01-29,407.5,407.5,387.5,396.6,4765238
2019-01-30,400.0,401.4,391.9,398.2,2808744
2019-01-31,400.0,409.9,392.5,397.1,4198374
2019-02-01,400.9,408.8,395.5,399.6,3305712
2019-02-04,407.0,407.4,392.5,398.4,4108820
2019-02-05,397.4,399.8,376.0,381.8,3995038
2019-02-06,380.0,383.1,362.6,379.2,4686808
2019-02-07,379.2,389.8,378.5,385.8,3399074
2019-02-08,385.4,395.7,376.7,391.9,3500888
2019-02-11,389.0,396.4,380.6,392.6,3166204
2019-02-12,392.5,399.9,377.6,382.6,4000758
2019-02-13,382.5,385.0,376.3,379.4,2392620
2019-02-14,376.0,394.0,376.0,391.2,3288694
2019-02-15,392.4,393.0,382.8,385.0,1911726
2019-02-18,382.5,391.8,380.8,383.8,2059828
2019-02-19,384.1,389.2,375.0,378.3,2667180
2019-02-20,378.5,389.0,378.3,387.0,2820986
2019-02-21,387.0,395.6,387.0,393.2,2626372
2019-02-22,397.0,411.0,397.0,408.8,8037896
2019-02-25,411.4,417.8,408.6,412.4,4931530
2019-02-26,405.0,413.5,397.6,411.6,3325274
