date,open,high,low,close,volume
2018-07-05,239.15,244.85,236.1,241.8,785879
2018-07-06,245.2,248.25,241.65,247.1,2532856
2018-07-09,250.05,256.5,249.2,250.9,2457548
2018-07-10,251.65,254.95,251.45,253.0,883190
2018-07-11,253.4,255.4,250.65,253.65,771251
2018-07-12,256.5,260.2,251.55,253.9,1665487
2018-07-13,253.35,253.35,247.5,249.85,561524
2018-07-16,251.65,256.05,247.35,249.6,908860
2018-07-17,251.45,262.75,249.2,261.65,1459886
2018-07-18,264.1,265.8,252.9,255.2,1507012
2018-07-19,256.1,258.15,253.4,256.9,668323
2018-07-20,255.85,261.95,251.95,258.3,1941973
2018-07-23,268.35,268.35,255.4,262.25,2077298
2018-07-24,262.6,267.4,259.3,264.4,1553288
2018-07-25,266.4,271.25,260.9,263.75,1387111
2018-07-26,263.3,265.85,261.1,264.35,894936
2018-07-27,265.25,269.85,264.0,265.75,960676
2018-07-30,265.85,270.3,260.1,261.1,1592276
2018-07-31,261.1,265.0,259.55,262.9,782468
2018-08-01,263.9,268.35,263.2,266.2,706364
2018-08-02,267.9,267.9,260.35,261.9,650164
2018-08-03,263.35,265.3,260.45,261.65,1597928
2018-08-06,265.8,267.1,255.85,258.1,1701883
2018-08-07,259.9,264.1,257.5,262.5,1010177
2018-08-08,262.95,263.3,260.1,260.8,339889
2018-08-09,262.5,264.75,260.55,261.9,275838
2018-08-10,262.5,274.85,261.95,273.5,3654152
2018-08-13,272.9,275.4,266.1,267.2,1882288
2018-08-14,268.05,272.1,267.9,270.0,943403
2018-08-16,269.4,276.65,266.8,274.75,1415735
2018-08-17,279.0,281.1,275.25,278.55,3036114
2018-08-20,279.0,281.65,274.35,277.4,1022779
2018-08-21,278.3,284.25,276.75,277.85,1619522
2018-08-23,278.35,279.1,274.8,277.75,734497
2018-08-24,277.5,282.9,275.85,280.1,976561
2018-08-27,282.6,282.6,273.35,275.95,938572
2018-08-28,278.5,288.35,275.95,285.55,1931243
2018-08-29,284.25,291.6,279.15,286.25,1361214
2018-08-30,285.85,287.3,279.85,280.9,1123723
2018-08-31,280.0,284.9,277.4,278.9,1123454
2018-09-03,279.6,282.1,271.85,273.65,450025
2018-09-04,273.75,274.9,265.85,269.6,1359504
2018-09-05,266.65,269.9,259.5,265.6,915521
2018-09-06,265.6,266.1,257.7,258.5,797446
2018-09-07,259.35,264.6,257.0,263.4,679231
2018-09-10,264.55,265.6,249.3,250.35,1430370
2018-09-11,251.65,253.95,245.85,249.5,1042861
2018-09-12,247.55,255.0,244.95,252.2,1018526
2018-09-14,254.15,260.65,253.55,259.4,1266626
2018-09-17,257.5,258.35,249.1,254.05,2513966
2018-09-18,254.1,259.75,247.45,250.4,1405700
2018-09-19,252.1,255.65,247.1,249.75,767676
2018-09-21,251.0,257.0,234.5,251.0,1745417
2018-09-24,250.0,258.25,246.65,248.3,920057
2018-09-25,241.95,250.85,234.05,248.75,2405158
2018-09-26,250.9,254.95,244.1,246.4,1111130
2018-09-27,247.1,248.2,240.45,242.45,1060932
2018-09-28,241.3,247.6,238.85,244.2,622163
2018-10-01,241.65,242.25,231.0,237.85,974633
2018-10-03,236.65,239.1,231.25,236.25,731999
2018-10-04,229.1,235.4,225.0,227.7,1095115
2018-10-05,225.65,229.1,221.3,223.25,1015337
2018-10-08,223.35,232.65,220.9,229.45,968620
2018-10-09,226.9,229.9,222.4,227.25,949380
2018-10-10,225.45,232.85,222.9,229.45,795611
2018-10-11,226.85,231.9,223.5,228.95,687232
2018-10-12,233.8,238.25,232.6,236.6,1050983
2018-10-15,241.6,241.65,232.5,234.95,510158
2018-10-16,237.6,244.9,236.0,242.95,939059
2018-10-17,244.75,245.6,239.4,243.9,861688
2018-10-19,241.8,245.85,234.7,236.1,450838
2018-10-22,238.35,240.6,229.6,233.3,903464
2018-10-23,218.45,225.5,216.65,221.9,2207495
2018-10-24,225.0,233.4,223.4,231.1,767072
2018-10-25,230.1,246.65,228.35,242.45,2135485
2018-10-26,241.65,243.65,233.75,235.4,709345
2018-10-29,235.45,241.6,235.45,237.85,690174
2018-10-30,238.65,239.8,236.25,237.5,460087
2018-10-31,238.75,240.35,231.25,233.25,1540685
2018-11-01,234.6,245.0,230.95,243.35,3752940
2018-11-02,250.0,264.5,250.0,253.65,4037477
2018-11-05,253.35,256.2,248.35,250.9,906902
2018-11-06,251.65,253.55,247.1,248.05,605150
2018-11-09,252.1,259.85,251.1,257.7,1240516
2018-11-12,256.65,257.65,247.15,250.5,713612
2018-11-13,250.5,258.35,250.1,257.6,1001863
2018-11-14,262.5,274.9,261.35,266.9,3234206
2018-11-15,265.65,266.95,261.1,265.55,368153
2018-11-16,264.9,265.75,257.5,264.6,891738
2018-11-19,264.15,267.5,260.9,262.9,791470
2018-11-20,262.55,266.85,258.45,260.75,598938
2018-11-21,270.0,272.25,262.9,264.2,1516498
2018-11-22,264.25,265.8,259.4,261.55,775862
2018-11-26,266.6,268.9,263.5,266.05,1415202
2018-11-27,265.9,265.9,261.4,263.9,755641
2018-11-28,262.6,265.4,260.55,261.1,439637
2018-11-29,263.4,267.5,262.25,266.55,768688
2018-11-30,267.5,270.25,265.15,266.5,775958
2018-12-03,265.85,270.75,265.85,269.05,1163778
2018-12-04,269.05,269.6,263.35,264.1,908600
2018-12-05,265.0,267.3,260.15,262.9,1139833
2018-12-06,262.1,262.25,255.4,256.4,469980
2018-12-07,260.0,261.45,256.4,259.1,486271
2018-12-10,254.15,255.85,247.6,254.55,778877
2018-12-11,253.35,262.35,248.9,259.75,579851
2018-12-12,260.7,267.5,257.95,265.8,1022153
2018-12-13,266.25,267.7,262.1,263.95,428905
2018-12-14,264.9,270.0,262.5,269.3,1011918
2018-12-17,269.15,270.65,265.6,269.2,841420
2018-12-18,269.15,274.65,266.9,273.75,1944204
2018-12-19,278.75,286.1,276.85,283.95,3082132
2018-12-20,283.5,287.4,280.95,282.9,982433
2018-12-21,284.15,284.8,274.65,275.55,533965
2018-12-24,277.35,277.35,267.7,269.6,1366544
2018-12-26,271.6,277.5,266.75,273.6,1189058
2018-12-27,270.95,276.0,270.95,273.6,510655
2018-12-28,274.15,278.6,272.5,275.1,642889
2018-12-31,276.6,279.1,273.8,275.25,633928
2019-01-01,275.25,278.25,272.2,277.1,333391
2019-01-02,275.5,276.55,271.6,272.75,1598056
2019-01-03,272.55,275.45,269.7,270.9,1732799
2019-01-04,269.75,274.9,267.25,269.25,1032876
2019-01-07,270.65,272.3,262.75,265.1,5110236
2019-01-08,265.5,272.25,265.5,269.9,1636476
2019-01-09,271.65,272.1,268.3,271.2,968065
2019-01-10,269.45,272.7,268.8,269.9,797105
2019-01-11,270.7,272.1,269.8,271.0,700746
2019-01-14,271.05,273.75,269.3,270.25,811993
2019-01-15,272.4,272.95,270.6,271.5,791088
2019-01-16,271.35,273.7,268.35,269.1,302176
2019-01-17,269.1,272.3,268.9,270.6,542305
2019-01-18,272.5,272.55,268.95,271.8,395603
2019-01-21,271.65,275.5,265.8,268.4,2428560
2019-01-22,270.0,270.3,266.3,268.8,543575
2019-01-23,269.6,270.25,264.65,266.9,704465
2019-01-24,267.1,270.4,266.4,268.95,1035792
2019-01-25,269.95,269.95,256.65,261.6,1227571
2019-01-28,261.65,264.5,257.2,260.1,707318
2019-01-29,260.9,263.95,258.75,260.45,265926
2019-01-30,258.75,266.9,257.55,264.15,1159549
2019-01-31,266.65,267.85,261.4,265.6,1251079
2019-02-01,265.85,274.6,265.1,271.15,1168074
2019-02-04,265.0,265.4,248.65,257.7,4303181
2019-02-05,257.65,259.85,254.25,256.5,928226
2019-02-06,256.3,260.9,255.65,258.9,937002
2019-02-07,259.15,262.7,257.0,261.6,617293
2019-02-08,261.65,262.0,256.0,258.1,1094657
2019-02-11,260.35,260.35,248.85,249.95,1732922
2019-02-12,249.95,255.45,247.7,254.65,891317
2019-02-13,255.0,255.0,250.4,252.4,857809
2019-02-14,250.75,251.2,244.95,248.6,1217556
2019-02-15,247.75,247.75,238.75,244.05,1436394
2019-02-18,242.6,245.85,237.65,240.65,1109023
2019-02-19,242.7,244.0,239.1,242.0,842330
2019-02-20,245.15,246.9,240.5,245.6,771577
2019-02-21,245.4,248.25,243.9,245.55,570967
2019-02-22,245.3,247.05,243.25,245.0,318379
2019-02-25,246.1,254.2,242.6,246.3,702443
2019-02-26,245.0,248.6,241.55,246.6,731808
2019-02-27,248.35,252.9,245.9,249.6,1200406
2019-02-28,251.65,255.0,249.6,254.1,1147579
2019-03-01,254.1,256.15,251.0,251.85,566681
2019-03-05,251.85,255.65,251.1,254.1,700687
2019-03-06,254.65,256.9,251.25,253.8,568798
2019-03-07,253.35,254.95,249.1,250.2,604429
2019-03-08,250.2,253.35,247.25,251.95,919645
2019-03-11,252.5,258.35,250.5,256.45,998683
2019-03-12,257.9,261.05,255.1,258.3,963380
2019-03-13,258.1,258.65,254.55,256.5,384904
2019-03-14,257.1,259.45,253.7,254.95,812856
2019-03-15,255.35,259.15,255.3,257.8,978404
2019-03-18,259.95,264.65,256.05,256.9,1457274
2019-03-19,256.85,260.2,255.85,259.5,842024
2019-03-20,260.0,262.0,257.5,260.05,688178
2019-03-22,259.15,262.9,258.5,261.95,772768
2019-03-25,262.45,262.45,258.8,261.25,554215
2019-03-26,261.2,269.9,260.0,268.1,1666387
2019-03-27,268.25,271.25,265.95,269.9,1114182
2019-03-28,268.35,273.15,267.5,270.3,683150
2019-03-29,270.85,272.55,268.85,269.8,834299
2019-04-01,270.4,276.4,270.4,275.0,735852
2019-04-02,275.75,278.0,273.3,276.6,982523
2019-04-03,276.5,278.65,274.55,275.4,697154
2019-04-04,275.0,277.4,273.1,276.45,336416
2019-04-05,276.2,280.15,275.45,278.45,453656
2019-04-08,279.9,279.9,271.1,274.0,829176
2019-04-09,271.5,273.8,268.05,271.6,814372
2019-04-10,269.25,272.5,265.85,267.75,995107
2019-04-11,266.65,269.1,264.6,267.6,882929
2019-04-12,267.65,273.75,267.65,272.8,815771
2019-04-15,272.6,277.4,271.6,275.65,386155
2019-04-16,273.9,279.55,273.9,278.85,469566
2019-04-18,278.85,280.75,272.85,274.45,457278
2019-04-22,271.25,271.6,267.5,268.75,628740
2019-04-23,267.5,268.4,261.7,265.05,647958
2019-04-24,266.65,270.4,265.15,269.0,392724
2019-04-25,268.4,271.4,266.75,269.25,358420
2019-04-26,269.35,271.95,264.6,266.6,614317
2019-04-30,268.35,270.85,262.5,265.8,795586
2019-05-02,267.0,267.0,258.4,262.8,799063
2019-05-03,262.35,264.85,258.75,259.9,644218
2019-05-06,258.35,261.8,257.9,259.45,352958
2019-05-07,260.75,261.5,252.75,253.9,511420
2019-05-08,252.5,255.6,248.6,253.1,753659
2019-05-09,251.9,255.65,249.05,251.9,667727
2019-05-10,252.0,253.35,246.4,251.35,910679
2019-05-13,250.85,253.6,248.5,249.6,426616
2019-05-14,250.4,250.4,245.0,246.9,611036
2019-05-15,245.65,250.7,245.35,248.05,475536
2019-05-16,247.6,249.3,243.4,246.8,379446
2019-05-17,246.9,251.95,246.4,250.3,501283
2019-05-20,252.1,261.7,252.1,261.1,584405
2019-05-21,262.85,264.6,257.15,259.9,898574
2019-05-22,262.35,262.35,254.6,258.75,718872
2019-05-23,263.35,263.35,254.8,256.2,393133
2019-05-24,260.1,261.5,256.3,258.75,1280860
2019-05-27,258.35,263.35,256.65,258.0,1190504
2019-05-28,258.65,258.9,252.1,252.7,1125464
2019-05-29,253.25,253.75,246.9,251.1,1600052
2019-05-30,252.45,252.75,247.7,250.45,1305067
2019-05-31,252.4,279.15,252.4,275.25,8969372
2019-06-03,275.95,277.15,271.95,272.95,2296321
2019-06-04,272.5,276.95,268.6,269.45,1833025
2019-06-06,274.15,278.2,270.9,274.75,3291689
2019-06-07,274.0,276.05,269.45,271.9,1623066
2019-06-10,274.05,274.7,270.45,273.25,1073698
2019-06-11,275.0,276.1,272.15,273.65,984864
2019-06-12,273.8,280.6,273.2,275.45,1805748
2019-06-13,277.9,279.1,273.75,274.75,1498314
2019-06-14,275.0,275.9,271.9,273.1,461162
2019-06-17,273.35,273.65,268.5,269.55,605542
2019-06-18,270.05,270.9,262.0,266.4,1372856
2019-06-19,266.25,267.4,261.2,263.75,776180
2019-06-20,259.1,270.6,259.1,265.9,1015044
2019-06-21,263.9,266.7,260.95,264.75,1025316
2019-06-24,264.6,266.4,260.95,261.6,290030
2019-06-25,262.3,265.75,260.1,264.9,379232
2019-06-26,264.9,267.15,261.95,263.25,701636
2019-06-27,265.0,266.1,261.4,263.6,521882
2019-06-28,263.75,265.9,261.9,264.6,520631
2019-07-01,264.1,268.75,263.4,266.25,896665
2019-07-02,266.75,267.1,263.4,264.35,290836
2019-07-03,266.9,268.65,264.55,265.55,831584
2019-07-04,266.1,268.45,265.4,267.05,348541
2019-07-05,267.5,268.6,257.8,261.25,1018172
2019-07-08,261.15,261.15,251.9,254.85,1132968
2019-07-09,254.15,256.6,250.1,255.6,708676
2019-07-10,255.6,258.85,254.7,255.65,624934
2019-07-11,254.4,256.4,252.65,253.8,422996
2019-07-12,253.35,258.85,253.35,257.95,621402
2019-07-15,256.9,258.2,251.8,252.9,461521
2019-07-16,254.1,260.4,252.4,259.7,629203
2019-07-17,260.8,265.0,260.4,263.5,753740
2019-07-18,263.75,263.9,260.0,261.1,459880
2019-07-19,261.1,264.6,257.1,257.6,665497
2019-07-22,256.4,259.15,254.95,256.7,727284
2019-07-23,257.55,263.95,255.15,262.1,835397
2019-07-24,261.65,270.75,260.65,268.75,1970855
2019-07-25,270.4,275.6,270.0,272.55,2684828
2019-07-26,272.5,276.25,270.5,273.25,1239480
2019-07-29,271.15,279.15,271.15,276.95,2117215
2019-07-30,278.65,284.1,275.3,277.0,3292814
2019-07-31,275.6,280.7,274.2,275.65,1461454
2019-08-01,274.1,277.9,273.0,276.3,885493
2019-08-02,277.2,279.65,274.85,278.65,1112100
2019-08-05,278.3,283.6,275.35,278.55,2177272
2019-08-06,280.4,293.05,279.85,289.0,7653389
2019-08-07,290.0,295.95,288.7,290.9,2918725
2019-08-08,294.75,297.4,289.75,296.3,2188039
2019-08-09,296.65,300.6,293.55,299.45,2184221
2019-08-13,299.15,304.15,296.55,302.95,1850315
2019-08-14,301.65,304.5,298.8,303.65,1471385
2019-08-16,303.3,306.65,300.6,304.9,870818
2019-08-19,304.25,305.65,300.55,302.6,1169722
2019-08-20,301.75,306.65,301.15,305.6,820738
2019-08-21,305.35,306.4,303.35,304.95,587483
2019-08-22,302.95,304.6,297.75,301.55,845494
2019-08-23,301.55,304.6,298.85,303.0,1161842
2019-08-26,304.15,305.3,300.35,304.1,1211038
2019-08-27,305.45,307.5,302.7,306.7,1095184
2019-08-28,307.35,307.35,301.85,305.35,830759
2019-08-29,304.5,309.55,302.85,308.45,827941
2019-08-30,308.35,310.9,306.5,307.6,1154614
2019-09-03,307.6,308.35,301.4,302.3,597082
2019-09-04,300.9,303.45,297.1,299.9,750802
2019-09-05,301.2,304.95,300.1,301.45,1161785
2019-09-06,301.65,304.1,299.25,303.65,830137
2019-09-09,303.35,307.5,302.0,306.6,641659
2019-09-11,306.65,309.05,302.9,308.25,832597
2019-09-12,309.0,310.25,305.0,305.6,772991
2019-09-13,305.4,308.65,302.9,306.95,820541
2019-09-16,298.75,307.6,298.35,305.2,1055869
2019-09-17,303.55,305.6,301.5,304.2,1076161
2019-09-18,305.65,308.35,303.35,306.8,854774
2019-09-19,307.5,307.5,302.25,305.25,838914
2019-09-20,303.35,334.15,301.9,333.0,3971201
2019-09-23,336.65,364.75,334.25,363.2,3285304
2019-09-24,358.35,362.95,353.4,355.85,1898232
2019-09-25,355.85,357.6,350.85,353.2,1693439
2019-09-26,353.4,366.65,352.45,361.75,4082200
2019-09-27,356.6,369.15,355.85,367.9,3268619
2019-09-30,367.9,370.65,361.35,362.35,2470679
2019-10-01,363.0,367.5,355.75,361.2,2782824
2019-10-03,360.05,360.75,352.75,356.7,1625462
2019-10-04,357.1,363.6,352.5,353.95,1855399
2019-10-07,353.35,365.2,351.8,362.8,2978740
2019-10-09,363.75,376.6,360.05,374.9,4616369
2019-10-10,375.65,397.05,372.55,391.1,4942561
2019-10-11,391.55,404.0,385.45,398.35,5155423
2019-10-14,398.75,407.0,395.85,397.6,2850145
2019-10-15,400.0,404.0,396.2,398.55,2227331
2019-10-16,400.55,401.65,389.85,392.2,2482729
2019-10-17,393.35,409.1,392.1,405.4,3936965
2019-10-18,406.65,421.65,406.1,415.9,3148380
2019-10-22,419.15,420.65,397.5,399.25,3351271
2019-10-23,397.15,409.9,395.85,406.95,3200527
2019-10-24,409.45,412.15,405.2,407.65,2222184
2019-10-25,408.3,418.3,405.35,410.1,3069578
2019-10-27,414.15,415.0,405.35,408.1,256118
2019-10-29,409.6,417.9,405.1,415.9,1737304
2019-10-30,417.5,419.1,412.95,415.0,1666046
2019-10-31,415.0,444.8,414.95,439.1,5186718
2019-11-01,432.45,439.7,418.9,423.75,4589254
2019-11-04,424.15,427.9,414.2,419.45,2004100
2019-11-05,420.0,423.9,409.2,415.25,4396961
2019-11-06,415.85,421.65,411.1,413.05,3786410
2019-11-07,413.05,424.6,413.05,422.25,4048602
2019-11-08,423.1,423.65,403.05,404.5,5525312
2019-11-11,404.5,406.95,399.05,403.05,2129273
2019-11-13,407.5,412.5,398.9,399.95,3024047
2019-11-14,402.05,407.25,399.35,401.65,1963870
2019-11-15,403.55,408.0,402.1,406.1,1421168
2019-11-18,408.1,410.05,403.2,408.9,1516225
2019-11-19,409.1,411.5,402.65,404.2,1331507
2019-11-20,405.1,409.45,402.5,404.35,1211413
2019-11-21,404.6,406.2,398.4,401.3,1616006
2019-11-22,400.0,402.45,393.35,397.4,1857424
2019-11-25,396.8,410.55,391.85,408.3,2801608
2019-11-26,410.6,423.15,401.8,408.65,32143819
2019-11-27,403.35,419.45,389.0,410.4,4616912
2019-11-28,406.65,419.8,403.3,413.0,4810501
2019-11-29,411.35,416.45,405.0,413.8,1781042
2019-12-02,409.7,415.85,403.75,412.35,1298683
2019-12-03,411.7,420.4,408.9,417.05,2437919
2019-12-04,412.4,417.3,410.45,414.35,1609338
2019-12-05,410.85,418.35,407.4,411.25,1750962
2019-12-06,412.5,429.7,412.5,417.15,6412850
2019-12-09,418.35,424.15,412.95,414.55,3366691
2019-12-10,416.65,416.65,410.6,413.4,1139972
2019-12-11,415.35,417.9,413.35,416.1,1200358
2019-12-12,416.95,419.1,413.1,415.35,1105739
2019-12-13,416.65,418.6,413.6,417.2,993640
2019-12-16,418.35,419.1,409.05,410.85,1252102
