date,open,high,low,close,volume
2018-07-05,107.6,112.4,101.9,102.4,32260
2018-07-06,102.4,104.95,101.8,102.1,33801
2018-07-09,103.25,105.9,102.0,103.15,222221
2018-07-10,103.15,104.95,101.0,103.0,62972
2018-07-11,103.0,104.5,100.0,101.0,231899
2018-07-12,101.0,102.5,100.05,100.35,70009
2018-07-13,100.0,100.9,98.05,99.1,21335
2018-07-16,99.1,99.1,96.0,96.1,43131
2018-07-17,96.1,97.25,95.35,95.55,22547
2018-07-18,97.45,97.45,93.5,94.45,28865
2018-07-19,94.35,95.0,89.1,91.3,305705
2018-07-20,91.5,94.0,90.05,92.05,45079
2018-07-23,92.05,93.6,91.55,92.5,47656
2018-07-24,92.5,95.95,91.5,92.45,40972
2018-07-25,94.0,95.5,92.9,93.55,49244
2018-07-26,94.15,94.45,92.75,93.1,15701
2018-07-27,93.1,94.85,92.45,93.1,64129
2018-07-30,94.9,95.05,92.75,93.85,29647
2018-07-31,94.0,107.95,93.55,98.3,578109
2018-08-01,99.0,101.5,97.5,98.35,56163
2018-08-02,98.5,98.5,96.0,96.25,252273
2018-08-03,96.5,98.0,96.0,97.0,801580
2018-08-06,97.5,99.5,96.8,97.55,29925
2018-08-07,98.95,98.95,95.05,96.3,23271
2018-08-08,95.1,97.45,95.05,95.95,52188
2018-08-09,95.95,95.95,94.4,94.95,97307
2018-08-10,95.0,96.0,93.5,94.75,69019
2018-08-13,93.5,98.55,93.5,95.05,703390
2018-08-14,96.4,97.5,95.05,97.15,84428
2018-08-16,99.5,99.5,96.05,97.35,360089
2018-08-17,98.5,98.85,96.1,96.5,120815
2018-08-20,96.65,98.5,95.5,96.1,190012
2018-08-21,96.15,98.5,95.8,97.65,122552
2018-08-23,97.5,99.5,96.8,99.05,82643
2018-08-24,100.0,101.9,99.0,99.85,71380
2018-08-27,100.85,104.25,100.5,103.65,127821
2018-08-28,104.65,105.0,98.65,102.05,82931
2018-08-29,102.85,104.5,101.5,103.8,78009
2018-08-30,105.0,109.5,103.85,107.65,176345
2018-08-31,107.65,107.65,104.5,105.1,31820
2018-09-03,108.0,111.5,106.15,109.2,525801
2018-09-04,109.4,110.75,105.55,107.15,63028
2018-09-05,107.5,109.5,103.55,107.95,373596
2018-09-06,108.5,110.0,106.0,108.35,0
2018-09-07,110.5,110.5,107.1,108.85,28884
2018-09-10,107.5,109.9,103.25,104.45,33123
2018-09-11,102.55,105.0,99.05,99.95,25131
2018-09-12,100.75,101.45,97.55,98.45,117728
2018-09-14,98.6,104.0,98.6,101.9,32165
2018-09-17,102.45,102.45,99.0,100.1,27584
2018-09-18,99.35,101.6,99.35,100.15,36235
2018-09-19,101.5,103.2,100.0,100.75,16952
2018-09-21,100.6,101.5,99.0,99.35,44212
2018-09-24,97.4,99.5,95.0,95.35,30839
2018-09-25,96.4,99.45,94.15,97.85,125157
2018-09-26,99.8,99.8,96.3,98.5,19923
2018-09-27,97.1,99.55,97.0,97.5,45101
2018-09-28,95.65,98.9,92.3,95.0,80025
2018-10-01,95.05,97.45,89.8,95.2,54679
2018-10-03,95.25,96.4,93.75,95.2,26992
2018-10-04,95.5,95.5,93.1,94.7,26020
2018-10-05,93.05,95.2,93.05,94.7,22677
2018-10-08,92.6,95.0,92.5,93.85,18383
2018-10-09,94.9,94.9,92.75,94.25,52719
2018-10-10,92.65,97.35,92.65,96.55,13088
2018-10-11,96.5,97.4,92.5,95.8,12793
2018-10-12,95.25,97.15,93.8,95.05,42656
2018-10-15,97.5,108.5,94.3,100.3,366069
2018-10-16,100.0,101.7,93.35,97.3,47299
2018-10-17,99.5,99.5,94.9,95.8,19167
2018-10-19,94.0,96.5,93.55,94.85,15169
2018-10-22,94.75,95.65,93.05,94.9,192967
2018-10-23,93.1,95.45,92.45,92.85,35696
2018-10-24,93.05,94.65,87.55,89.95,344699
2018-10-25,89.5,89.5,85.0,85.35,35851
2018-10-26,83.5,84.0,80.05,81.45,45359
2018-10-29,80.5,82.25,79.3,79.9,51205
2018-10-30,79.5,84.1,78.25,80.0,199165
2018-10-31,80.1,81.4,78.95,80.0,227735
2018-11-01,80.5,90.95,80.5,87.75,65807
2018-11-02,88.0,90.0,87.25,88.15,43611
2018-11-05,89.1,90.0,87.2,89.2,12761
2018-11-06,91.0,91.0,85.6,88.05,16576
2018-11-09,91.0,91.0,87.9,89.0,8948
2018-11-12,89.8,90.25,86.0,88.45,25075
2018-11-13,92.45,94.5,87.55,88.85,146096
2018-11-14,90.0,91.4,89.55,90.4,133013
2018-11-15,91.5,93.4,90.25,91.9,48403
2018-11-16,90.55,94.0,90.5,92.65,36008
2018-11-19,96.5,96.5,92.5,95.5,29951
2018-11-20,96.45,96.45,94.1,95.6,24279
2018-11-21,95.3,96.9,94.6,95.2,51833
2018-11-22,95.2,98.4,94.55,97.2,78601
2018-11-26,97.5,98.2,95.75,96.7,64547
2018-11-27,96.0,104.95,96.0,96.75,131372
2018-11-28,96.25,97.7,95.15,96.5,20191
2018-11-29,97.0,97.5,95.05,96.4,17160
2018-11-30,98.2,98.75,95.5,98.45,33475
2018-12-03,99.9,102.1,96.05,99.65,26791
2018-12-04,97.55,102.55,97.55,101.5,12152
2018-12-05,101.3,104.7,98.4,99.95,43841
2018-12-06,99.55,100.7,95.75,97.75,13075
2018-12-07,97.8,98.05,95.95,96.25,8536
2018-12-10,93.85,95.5,92.5,93.9,19003
2018-12-11,91.6,96.35,91.6,95.2,37675
2018-12-12,95.05,100.15,94.75,99.5,62585
2018-12-13,99.1,103.0,98.75,102.1,15075
2018-12-14,101.8,102.4,99.5,99.85,15380
2018-12-17,100.15,104.0,100.15,102.75,53027
2018-12-18,102.95,103.95,100.25,102.25,15841
2018-12-19,102.55,103.5,100.75,101.75,23897
2018-12-20,103.5,104.35,102.1,102.8,27053
2018-12-21,102.55,104.5,101.9,102.95,25717
2018-12-24,102.55,105.9,101.05,103.6,49024
2018-12-26,107.0,122.45,106.1,118.0,2415253
2018-12-27,118.55,119.2,111.85,113.0,497765
2018-12-28,112.6,113.75,109.15,110.35,128545
2018-12-31,110.35,114.85,107.6,109.0,334580
2019-01-01,109.9,112.25,109.25,110.5,113771
2019-01-02,110.5,110.75,105.65,107.0,89823
2019-01-03,108.5,108.95,105.5,106.9,191215
2019-01-04,106.9,107.75,105.0,106.4,48119
2019-01-07,106.05,107.45,105.4,105.8,79683
2019-01-08,105.4,109.95,105.4,106.45,193817
2019-01-09,107.45,107.65,103.85,104.95,174216
2019-01-10,105.9,105.95,102.55,103.0,46156
