date,open,high,low,close,volume
2018-07-05,156.25,156.68,152.75,156.1,1553044
2018-07-06,155.52,158.82,154.64,157.9,1407991
2018-07-09,157.9,159.99,157.75,158.92,1073113
2018-07-10,158.92,160.13,156.68,157.61,772317
2018-07-11,157.36,157.36,154.45,155.42,868123
2018-07-12,157.46,159.65,154.25,156.29,3175796
2018-07-13,156.49,157.41,152.6,154.74,1103118
2018-07-16,156.25,156.25,149.39,151.0,825117
2018-07-17,151.39,155.81,151.39,155.03,999970
2018-07-18,156.0,157.02,151.24,154.59,750069
2018-07-19,155.95,155.95,151.43,152.07,614031
2018-07-20,152.5,155.03,150.95,154.35,702824
2018-07-23,153.77,163.78,153.77,162.13,1775285
2018-07-24,162.32,163.73,159.7,161.2,1084822
2018-07-25,161.64,161.64,157.85,159.06,1098692
2018-07-26,159.4,162.47,157.7,159.84,4873540
2018-07-27,161.2,170.39,160.47,169.32,3337979
2018-07-30,169.46,169.71,165.33,167.18,1777883
2018-07-31,168.35,171.26,165.58,169.46,2096005
2018-08-01,172.04,172.82,161.83,162.9,3951677
2018-08-02,163.29,163.29,159.4,161.35,1273100
2018-08-03,161.83,163.24,158.63,159.94,1353020
2018-08-06,160.38,160.38,156.54,157.07,1661843
2018-08-07,157.85,158.72,155.22,156.1,1276616
2018-08-08,156.44,156.97,154.11,154.69,1443326
2018-08-09,154.54,154.84,151.39,152.02,2920436
2018-08-10,152.6,154.35,152.07,153.62,1611962
2018-08-13,153.33,153.33,150.02,150.85,1011780
2018-08-14,151.63,151.63,148.42,150.61,2900275
2018-08-16,151.34,151.92,148.71,149.44,2146601
2018-08-17,149.68,152.79,149.54,151.68,1120139
2018-08-20,152.41,154.93,151.77,154.45,1584323
2018-08-21,154.54,157.17,154.54,155.81,1640357
2018-08-23,156.88,156.88,153.91,155.32,1153410
2018-08-24,155.52,156.15,153.09,153.52,911827
2018-08-27,155.13,155.76,154.11,154.69,698560
2018-08-28,155.03,157.7,152.6,152.94,2389781
2018-08-29,153.96,156.0,152.36,154.79,1082208
2018-08-30,154.54,155.9,152.94,153.52,1089277
2018-08-31,152.7,156.73,152.7,154.35,1377063
2018-09-03,155.52,155.71,153.82,154.4,1054840
2018-09-04,154.3,154.79,147.45,148.13,2235933
2018-09-05,147.5,150.66,146.77,150.02,1851399
2018-09-06,149.78,151.97,149.0,149.98,928673
2018-09-07,150.02,151.48,149.73,150.9,869135
2018-09-10,150.9,151.43,148.18,148.81,814771
2018-09-11,147.74,149.64,147.3,147.98,1342228
2018-09-12,147.98,151.82,146.14,150.9,1882431
2018-09-14,150.9,153.82,150.8,152.11,1327461
2018-09-17,151.48,154.25,150.66,151.97,987825
2018-09-18,151.77,152.75,148.27,148.71,1193200
2018-09-19,148.96,151.0,148.96,149.88,666857
2018-09-21,150.46,151.34,145.8,149.59,1241411
2018-09-24,149.2,149.88,145.46,146.33,1100478
2018-09-25,146.23,147.93,144.87,146.96,895517
2018-09-26,146.77,147.98,145.02,145.36,653889
2018-09-27,145.21,145.55,141.23,143.03,4168865
2018-09-28,143.22,143.22,136.32,138.85,1746215
2018-10-01,138.12,142.35,135.1,141.47,1156003
2018-10-03,142.01,142.05,138.21,139.53,1607092
2018-10-04,138.36,138.6,136.32,137.58,829793
2018-10-05,138.8,138.8,131.22,132.97,2214518
2018-10-08,132.29,136.37,131.75,133.99,1982167
2018-10-09,134.96,134.96,131.22,133.65,905100
2018-10-10,133.5,135.79,132.48,134.81,1271603
2018-10-11,133.11,140.45,131.17,137.24,3379516
2018-10-12,138.99,142.15,137.58,140.3,1497021
2018-10-15,140.64,141.67,139.24,139.87,874297
2018-10-16,139.96,141.18,137.49,138.31,907055
2018-10-17,139.09,139.82,135.1,135.4,626999
2018-10-19,136.32,137.73,134.81,136.76,1732413
2018-10-22,137.97,137.97,135.15,136.27,1314786
2018-10-23,135.79,135.79,131.9,134.08,3146123
2018-10-24,135.06,140.45,135.06,139.77,883223
2018-10-25,137.15,144.73,137.15,142.78,3190626
2018-10-26,140.94,144.82,138.26,141.18,1012026
2018-10-29,140.99,142.88,139.24,142.54,631868
2018-10-30,141.28,144.63,141.28,142.39,727667
2018-10-31,142.39,145.8,139.58,144.53,777259
2018-11-01,143.42,143.76,139.96,140.4,919006
2018-11-02,140.94,146.91,140.94,142.25,1802083
2018-11-05,143.12,144.58,141.71,143.71,515355
2018-11-06,142.93,143.8,139.58,141.18,454549
2018-11-09,142.78,146.67,141.23,145.84,831495
2018-11-12,145.84,147.06,142.01,142.2,831061
2018-11-13,142.49,144.39,140.94,144.1,751101
2018-11-14,146.77,152.11,145.8,146.77,2256108
2018-11-15,146.62,146.77,144.1,145.55,439766
2018-11-16,145.8,148.52,144.29,146.77,873917
2018-11-19,146.82,147.55,142.88,144.63,736288
2018-11-20,144.82,149.78,144.19,148.91,1215660
2018-11-21,151.73,151.73,147.84,150.17,1499132
2018-11-22,149.2,150.36,143.51,145.16,986397
2018-11-26,146.43,150.12,145.5,149.15,1108131
2018-11-27,148.08,151.63,148.08,150.61,946383
2018-11-28,150.07,152.07,148.96,151.73,1248519
2018-11-29,151.97,155.52,150.9,151.87,7085532
2018-11-30,151.14,152.02,146.19,146.77,1081315
2018-12-03,147.74,149.98,145.8,149.15,928686
2018-12-04,148.27,149.88,147.21,147.45,327430
2018-12-05,147.45,147.45,143.17,144.53,930769
2018-12-06,143.85,146.33,141.28,142.83,946186
2018-12-07,143.61,144.58,140.3,140.69,797133
2018-12-10,139.09,140.69,137.87,139.67,560871
2018-12-11,138.02,142.35,137.53,141.62,302062
2018-12-12,142.59,145.26,141.52,144.97,404525
2018-12-13,144.82,145.94,142.25,142.88,745227
2018-12-14,142.73,145.5,142.05,144.97,273158
2018-12-17,144.97,147.69,141.37,142.01,1563311
2018-12-18,142.05,144.73,141.81,144.19,601173
2018-12-19,145.46,150.12,144.29,149.93,1274843
2018-12-20,150.85,152.41,148.08,151.48,851967
2018-12-21,151.29,152.26,148.03,148.52,756301
2018-12-24,147.74,148.96,145.94,146.53,659132
2018-12-26,145.8,149.49,145.8,148.08,1317088
2018-12-27,148.42,151.14,146.43,149.34,2317548
2018-12-28,148.81,150.27,147.16,147.59,980651
2018-12-31,148.03,149.0,146.53,147.01,872578
2019-01-01,147.74,147.74,146.48,146.91,293473
2019-01-02,146.77,147.35,142.78,143.22,861100
2019-01-03,144.1,144.58,141.96,142.78,691547
2019-01-04,142.78,145.21,142.1,144.1,590499
2019-01-07,144.73,147.3,144.19,146.33,1665037
2019-01-08,146.38,147.74,145.8,147.35,867775
2019-01-09,147.45,148.13,145.99,146.96,672625
2019-01-10,146.77,147.3,145.07,146.77,479720
2019-01-11,147.06,148.42,146.57,147.69,592572
2019-01-14,148.18,155.52,146.77,154.06,2350559
2019-01-15,154.74,164.75,154.54,163.19,8588498
2019-01-16,162.9,163.68,159.16,160.91,2005949
2019-01-17,160.86,164.17,159.4,161.79,1608356
2019-01-18,162.76,162.76,159.84,161.01,737706
2019-01-21,160.81,163.19,160.08,161.4,1051563
2019-01-22,160.62,162.51,159.21,161.35,943400
2019-01-23,161.35,164.02,158.43,159.45,1819735
2019-01-24,159.45,160.18,157.46,158.33,769103
2019-01-25,158.58,162.32,156.63,159.65,1577961
2019-01-28,158.77,159.26,154.06,155.47,1028085
2019-01-29,154.11,157.95,153.91,156.88,907347
2019-01-30,156.49,161.4,156.49,158.58,1636676
2019-01-31,161.35,161.74,152.26,154.2,5151093
2019-02-01,155.32,157.56,154.06,156.29,1136674
2019-02-04,156.49,156.49,150.51,151.53,913018
2019-02-05,150.9,152.45,147.5,148.71,571718
2019-02-06,148.71,149.39,143.85,145.75,1232166
2019-02-07,145.36,149.64,144.87,148.08,949318
2019-02-08,148.08,148.62,144.39,145.84,777105
2019-02-11,144.92,145.26,140.99,141.96,778080
2019-02-12,142.59,149.25,141.67,148.47,1733889
2019-02-13,149.2,150.12,146.09,146.82,1420037
2019-02-14,146.77,147.93,142.98,143.9,1431268
2019-02-15,143.9,145.8,142.44,142.98,1412717
2019-02-18,143.07,144.82,142.98,144.05,1026622
2019-02-19,143.76,146.67,143.03,143.76,908147
2019-02-20,145.41,146.72,143.66,145.99,1404441
2019-02-21,146.77,149.44,145.99,147.5,989976
2019-02-22,147.45,152.6,147.45,150.22,1338145
2019-02-25,151.14,152.5,147.93,148.37,1032035
2019-02-26,147.59,148.71,144.34,146.91,1870882
2019-02-27,147.74,150.66,146.87,149.25,1178918
2019-02-28,149.98,151.77,148.91,150.32,1555060
2019-03-01,149.93,156.93,149.93,156.05,1806531
2019-03-05,156.15,159.55,153.91,155.08,2734566
2019-03-06,154.79,160.38,154.79,159.45,1386658
2019-03-07,161.35,161.35,156.63,157.31,1097875
2019-03-08,157.46,159.4,156.59,157.27,871135
2019-03-11,157.27,160.38,157.27,160.28,1155259
2019-03-12,161.35,164.22,160.38,162.42,1392595
2019-03-13,162.42,164.46,160.86,161.93,1044442
2019-03-14,161.69,165.77,161.15,161.79,1870539
2019-03-15,162.27,164.75,155.18,160.72,9678010
2019-03-18,161.01,163.68,154.88,156.0,4267412
2019-03-19,156.97,157.85,152.84,153.18,2287930
2019-03-20,153.18,153.57,150.9,152.02,3251858
2019-03-22,152.6,157.22,152.02,156.05,5397307
2019-03-25,155.52,156.63,154.54,156.05,911546
2019-03-26,157.36,159.74,156.0,159.11,5060108
2019-03-27,159.6,161.59,158.04,159.99,1427343
2019-03-28,159.45,161.06,157.56,160.13,1340702
2019-03-29,160.42,162.81,159.89,161.74,765721
2019-04-01,162.61,163.19,160.86,161.25,2537244
2019-04-02,161.54,161.88,160.04,160.96,808802
2019-04-03,161.3,168.05,160.91,162.76,4746469
2019-04-04,162.32,165.19,160.38,161.64,2669889
2019-04-05,162.32,167.81,162.27,166.69,2035787
2019-04-08,167.67,167.67,163.34,165.33,1173766
2019-04-09,165.24,165.24,161.45,161.83,657712
2019-04-10,161.83,163.0,159.94,160.52,861566
2019-04-11,160.47,162.03,159.94,161.15,604805
2019-04-12,161.4,163.29,160.81,162.03,436784
2019-04-15,162.32,162.76,160.62,161.45,284905
2019-04-16,162.32,162.95,160.47,162.32,572869
2019-04-18,163.05,163.19,158.43,159.4,860686
2019-04-22,159.4,159.4,153.13,153.77,795688
2019-04-23,152.79,156.44,152.65,152.94,648338
2019-04-24,153.91,155.9,151.0,152.36,1039690
2019-04-25,152.36,153.96,149.88,150.85,1439221
2019-04-26,151.0,151.82,148.08,149.68,766960
2019-04-30,149.68,152.94,146.38,148.32,1445126
2019-05-02,148.32,149.25,144.82,145.84,910756
2019-05-03,146.57,147.11,145.6,146.23,915109
2019-05-06,145.8,145.8,143.9,144.78,1171009
2019-05-07,144.87,146.77,144.05,144.53,739402
2019-05-08,144.68,146.43,142.83,145.7,1036074
2019-05-09,143.9,145.36,141.52,142.64,1779372
2019-05-10,143.76,144.63,141.96,142.39,1072966
2019-05-13,142.39,143.61,139.48,140.35,691712
2019-05-14,140.11,140.4,138.17,138.75,390371
2019-05-15,140.11,140.79,136.76,137.19,589263
2019-05-16,137.63,138.75,135.64,137.97,656631
2019-05-17,138.99,139.82,136.95,139.43,1149926
2019-05-20,140.94,142.88,139.77,142.49,1261298
2019-05-21,142.49,143.85,140.79,141.67,1506564
2019-05-22,141.76,142.73,139.96,140.64,684707
2019-05-23,141.52,143.22,139.96,140.69,1119656
2019-05-24,141.08,143.32,140.26,142.49,676860
2019-05-27,141.91,146.67,141.91,145.07,1276811
2019-05-28,145.16,146.28,143.37,144.14,713097
2019-05-29,144.14,145.12,142.98,143.22,497811
2019-05-30,142.98,143.85,141.81,143.17,938545
2019-05-31,143.9,145.41,142.35,143.07,1249797
