date,open,high,low,close,volume
2018-07-05,222.5,223.5,217.0,219.0,3024820
2018-07-06,219.5,219.5,213.5,214.5,3386365
2018-07-09,216.5,222.0,215.0,220.5,3951995
2018-07-10,222.0,226.0,221.0,224.0,4759625
2018-07-11,224.0,229.5,222.0,225.5,5682390
2018-07-12,226.0,228.5,223.0,227.5,3474260
2018-07-13,226.0,233.5,224.5,227.5,6827765
2018-07-16,225.0,230.0,224.5,227.0,2757170
2018-07-17,226.5,228.0,204.5,223.0,3456905
2018-07-18,225.0,228.5,217.0,224.0,14520890
2018-07-19,224.0,227.0,215.0,220.5,8661130
2018-07-20,219.0,226.5,218.5,222.5,5853175
2018-07-23,223.5,227.0,219.5,225.5,4244545
2018-07-24,225.5,246.5,225.5,244.0,14660990
2018-07-25,244.0,250.0,239.0,246.0,12070850
2018-07-26,246.0,257.0,242.5,252.5,11174715
2018-07-27,252.5,253.5,247.0,250.0,3932460
2018-07-30,250.0,251.5,243.5,245.5,2747735
2018-07-31,245.5,251.5,241.5,245.5,5216780
2018-08-01,245.0,252.0,245.0,250.0,5610290
2018-08-02,250.0,251.5,247.0,248.5,3058035
2018-08-03,250.0,259.5,249.5,258.5,9416310
2018-08-06,261.0,265.0,258.5,261.0,6316320
2018-08-07,262.0,262.0,251.0,253.5,4572565
2018-08-08,255.0,261.5,254.5,258.5,5081650
2018-08-09,259.5,261.5,252.5,253.0,3684080
2018-08-10,254.0,260.0,253.5,254.5,3888610
2018-08-13,253.5,259.0,253.0,258.0,3512680
2018-08-14,259.5,269.0,258.5,267.5,7992645
2018-08-16,268.0,269.5,260.5,262.5,4286095
2018-08-17,263.0,267.5,260.5,266.0,3301640
2018-08-20,265.0,266.0,262.0,263.0,1934390
2018-08-21,263.0,277.0,263.0,275.0,8192320
2018-08-23,277.0,279.0,270.0,271.5,6586255
2018-08-24,272.5,273.5,266.0,268.0,4739780
2018-08-27,269.0,270.5,265.0,268.5,3329500
2018-08-28,270.0,272.0,267.0,268.5,3649315
2018-08-29,269.5,269.5,264.5,266.0,3096790
2018-08-30,267.0,272.5,265.5,271.0,3054615
2018-08-31,272.5,282.0,271.5,281.5,5910780
2018-09-03,283.0,285.0,275.5,276.5,4210385
2018-09-04,277.5,282.0,269.0,273.0,4081070
2018-09-05,274.0,275.5,264.0,269.5,4315445
2018-09-06,268.0,272.5,266.0,271.0,4331440
2018-09-07,272.5,275.5,268.5,274.5,2818025
2018-09-10,275.5,282.0,272.5,280.5,5555340
2018-09-11,281.5,281.5,261.0,264.0,4118355
2018-09-12,260.0,266.5,256.5,264.5,6608745
2018-09-14,266.0,268.0,259.5,267.0,3643250
2018-09-17,266.0,274.5,265.0,269.0,4285415
2018-09-18,268.5,270.0,260.0,261.5,2575345
2018-09-19,264.0,266.0,250.5,254.5,4345095
2018-09-21,256.0,258.0,229.5,243.0,6201160
2018-09-24,243.5,250.5,234.0,245.5,5292265
2018-09-25,245.5,247.0,233.5,243.0,3700230
2018-09-26,241.5,245.5,226.5,233.5,6074605
2018-09-27,233.0,233.5,222.5,224.0,6322545
2018-09-28,225.5,226.5,213.5,219.5,6237175
2018-10-01,215.5,235.0,214.5,233.5,5417325
2018-10-03,233.5,247.0,233.5,241.5,7535630
2018-10-04,237.5,242.5,231.0,239.5,5542410
2018-10-05,234.0,238.0,229.0,232.5,4130570
2018-10-08,227.0,234.0,219.0,225.0,5200960
2018-10-09,223.0,227.0,212.5,223.5,4383485
2018-10-10,225.0,241.0,224.0,238.5,5247205
2018-10-11,221.0,230.5,207.5,211.0,9138185
2018-10-12,215.5,217.0,208.0,209.0,9844225
2018-10-15,215.0,220.5,210.0,219.0,5949335
2018-10-16,220.0,229.5,217.0,228.0,5261095
2018-10-17,231.5,243.5,224.5,238.5,24858465
2018-10-19,240.0,253.0,234.5,247.5,16895940
2018-10-22,251.0,251.5,244.5,249.0,5429985
2018-10-23,241.5,249.5,241.5,245.0,3899040
2018-10-24,248.0,249.5,238.5,245.0,5994640
2018-10-25,245.0,246.0,234.0,236.5,4456875
2018-10-26,234.0,243.5,234.0,238.5,4597520
2018-10-29,238.0,256.5,236.0,250.5,6686630
2018-10-30,249.5,251.0,240.0,242.0,5544760
2018-10-31,244.0,248.0,242.0,245.5,4072915
2018-11-01,246.0,248.0,238.0,239.5,3875105
2018-11-02,239.5,242.5,235.5,237.5,3756570
2018-11-05,236.0,245.5,234.5,239.5,6054235
2018-11-06,239.0,242.5,232.5,233.5,3001195
2018-11-09,233.0,235.5,229.5,234.0,2212375
2018-11-12,235.5,241.0,233.0,238.5,3470385
2018-11-13,238.0,242.0,232.5,235.0,4155545
2018-11-14,235.0,236.0,226.0,229.5,4448105
2018-11-15,228.5,233.5,226.5,229.5,2869115
2018-11-16,229.5,232.0,225.0,225.5,2927045
2018-11-19,227.0,229.0,224.0,226.5,2052380
2018-11-20,224.5,227.0,221.0,221.5,2780615
2018-11-21,222.0,223.0,215.5,217.0,3411715
2018-11-22,215.5,221.0,210.5,211.0,4219370
2018-11-26,210.5,217.5,206.0,215.5,5056900
2018-11-27,216.0,221.0,216.0,219.0,5416550
2018-11-28,220.0,226.5,218.5,219.5,4382510
2018-11-29,220.5,221.0,214.5,217.0,3783810
2018-11-30,216.0,222.0,216.0,218.0,3896085
2018-12-03,222.0,222.0,216.0,220.5,3143490
2018-12-04,221.0,225.5,221.0,223.0,5573995
2018-12-05,223.0,225.5,221.0,222.5,3359935
2018-12-06,222.0,224.0,215.0,216.0,3140415
2018-12-07,218.5,220.5,211.0,218.0,4230415
2018-12-10,215.0,216.0,209.0,211.0,2264770
2018-12-11,209.5,224.0,206.0,221.5,6342335
2018-12-12,221.5,225.0,219.0,222.0,2721960
2018-12-13,225.5,226.0,221.5,224.5,2216085
2018-12-14,222.0,229.0,220.5,228.0,3730490
2018-12-17,229.0,233.0,225.5,231.5,6728615
2018-12-18,230.0,230.5,224.5,225.5,3675135
2018-12-19,225.5,230.0,222.0,226.5,4178080
