date,open,high,low,close,volume
2018-07-05,437.0,440.0,430.9,432.6,85409
2018-07-06,432.9,437.0,422.0,427.3,56638
2018-07-09,430.0,433.5,421.5,423.95,35713
2018-07-10,424.0,429.15,424.0,428.0,71224
2018-07-11,431.0,431.0,395.05,411.4,200680
2018-07-12,407.1,416.65,393.0,400.3,280003
2018-07-13,400.9,409.0,395.35,398.2,160609
2018-07-16,398.2,419.7,393.05,404.0,92940
2018-07-17,403.9,403.9,394.5,398.45,70785
2018-07-18,399.45,401.35,390.05,393.15,31634
2018-07-19,390.7,393.0,385.5,390.5,101374
2018-07-20,384.0,393.9,384.0,387.6,42878
2018-07-23,388.0,414.8,388.0,401.9,106884
2018-07-24,404.9,413.5,398.5,403.5,104103
2018-07-25,402.0,415.45,399.15,412.2,84015
2018-07-26,414.7,419.2,401.1,404.0,562469
2018-07-27,404.25,414.0,402.05,408.85,211256
2018-07-30,415.9,434.35,415.05,429.25,465140
2018-07-31,429.9,434.7,421.05,425.1,67504
2018-08-01,428.25,433.0,422.25,427.55,93435
2018-08-02,426.95,431.0,420.0,422.4,343210
2018-08-03,425.0,428.7,420.3,422.25,67488
2018-08-06,424.95,446.0,424.55,430.7,226263
2018-08-07,428.1,428.1,420.55,426.15,381469
2018-08-08,425.6,440.0,420.15,436.6,58090
2018-08-09,439.3,444.0,432.55,437.35,97517
2018-08-10,440.0,441.8,433.05,436.65,42787
2018-08-13,436.95,436.95,418.3,420.15,85277
2018-08-14,422.0,434.9,418.75,427.75,98292
2018-08-16,422.55,440.0,419.95,421.9,158461
2018-08-17,425.05,427.05,404.25,410.4,136912
2018-08-20,407.7,415.55,406.7,413.1,325530
2018-08-21,412.5,433.0,411.35,417.95,279139
2018-08-23,417.95,425.0,415.05,418.15,50630
2018-08-24,417.6,422.95,415.55,421.05,119667
2018-08-27,420.1,424.6,415.2,422.35,33392
2018-08-28,434.0,438.85,421.35,424.05,202572
2018-08-29,426.35,431.2,420.35,421.15,53931
2018-08-30,424.3,430.0,416.05,418.6,47253
2018-08-31,421.5,421.7,413.55,420.3,159879
2018-09-03,418.0,421.85,414.1,416.95,52186
2018-09-04,418.0,421.45,405.65,407.8,97119
2018-09-05,405.45,410.85,395.95,400.85,152526
2018-09-06,403.45,413.05,397.05,409.05,55577
2018-09-07,412.7,412.7,404.1,406.55,74369
2018-09-10,404.0,419.8,398.5,400.0,175055
2018-09-11,403.0,413.05,394.05,399.35,90899
2018-09-12,398.0,407.2,390.05,398.05,93347
2018-09-14,401.0,408.9,398.75,407.2,60645
2018-09-17,406.9,416.95,400.1,412.55,95980
2018-09-18,413.95,416.75,401.1,405.85,166841
2018-09-19,408.3,408.3,391.0,394.4,49011
2018-09-21,396.75,407.8,387.5,399.75,244176
2018-09-24,395.05,408.05,389.65,403.6,90482
2018-09-25,401.1,403.6,389.0,396.5,156545
2018-09-26,396.5,401.1,392.5,399.1,91048
2018-09-27,404.0,404.0,395.0,395.3,242410
2018-09-28,393.0,414.0,393.0,403.95,162612
2018-10-01,404.95,404.95,387.05,393.65,108536
2018-10-03,390.1,397.0,390.1,392.45,43480
2018-10-04,386.4,392.7,368.7,381.15,142856
2018-10-05,383.6,389.55,366.4,371.85,121482
