date,open,high,low,close,volume
2018-07-05,128.8,129.15,126.5,127.3,367360
2018-07-06,127.7,129.15,127.5,128.0,196887
2018-07-09,129.55,129.55,126.8,127.5,417477
2018-07-10,137.2,138.0,128.45,130.15,1073409
2018-07-11,130.6,131.25,129.3,130.55,273429
2018-07-12,131.1,132.15,128.65,131.35,1455028
2018-07-13,131.35,132.4,129.25,132.0,372559
2018-07-16,132.55,132.55,126.3,127.2,288993
2018-07-17,128.25,133.45,123.9,132.1,809445
2018-07-18,132.1,132.9,129.85,130.15,2573459
2018-07-19,131.05,131.05,125.65,126.95,1141522
2018-07-20,127.95,128.7,126.75,127.15,137913
2018-07-23,127.5,129.55,126.25,127.7,1905517
2018-07-24,126.85,128.2,125.65,126.1,2445455
2018-07-25,126.1,126.85,126.0,126.2,160496
2018-07-26,126.2,128.2,126.2,126.85,618341
2018-07-27,127.8,127.8,126.2,126.7,233500
2018-07-30,126.4,127.5,126.05,126.85,206461
2018-07-31,127.45,130.9,124.55,128.95,743308
2018-08-01,129.55,132.45,127.5,130.65,483623
2018-08-02,130.3,130.5,127.7,128.1,313592
2018-08-03,128.25,128.95,127.15,127.25,194883
2018-08-06,128.95,128.95,127.3,127.8,248771
2018-08-07,128.8,130.7,127.95,130.45,1247664
2018-08-08,130.95,144.75,129.05,133.8,3078693
2018-08-09,133.8,136.05,132.15,134.05,306576
2018-08-10,134.25,135.2,131.65,133.0,233180
2018-08-13,131.8,132.85,130.15,131.55,267487
2018-08-14,132.75,139.5,132.0,138.9,933881
2018-08-16,138.75,139.4,136.0,137.35,586660
2018-08-17,137.65,138.75,136.3,137.35,459352
2018-08-20,137.85,139.5,135.5,136.25,524140
2018-08-21,137.25,140.7,136.6,138.9,1023021
2018-08-23,138.9,139.9,138.0,138.75,382117
2018-08-24,139.85,141.65,137.25,141.1,731705
2018-08-27,140.25,142.7,139.15,141.1,631017
2018-08-28,141.55,145.45,140.65,144.7,790770
2018-08-29,144.75,152.2,144.4,150.7,2095562
2018-08-30,152.25,153.75,149.5,152.0,1246997
2018-08-31,151.9,155.25,150.05,151.9,3208322
2018-09-03,152.55,152.55,146.25,146.6,836402
2018-09-04,147.0,147.0,140.65,141.0,659428
2018-09-05,140.95,140.95,137.25,139.5,1379869
2018-09-06,140.25,140.35,135.1,136.4,1491729
2018-09-07,136.5,140.4,135.75,139.65,939012
2018-09-10,139.15,141.0,137.5,140.45,1016849
2018-09-11,140.25,145.8,138.35,141.85,889484
2018-09-12,143.25,143.25,138.0,139.15,1246550
2018-09-14,139.5,139.8,136.9,137.85,958965
2018-09-17,137.95,137.95,135.7,136.95,651771
2018-09-18,137.95,138.0,134.35,134.9,915228
2018-09-19,135.1,136.75,129.8,133.9,1228089
2018-09-21,136.4,138.55,121.55,135.0,1507118
2018-09-24,137.25,137.25,133.55,135.3,708249
2018-09-25,135.0,135.3,130.95,133.85,1789282
2018-09-26,132.75,138.4,132.75,137.85,593043
2018-09-27,137.4,139.45,135.1,136.55,523008
2018-09-28,135.75,136.55,130.95,133.3,1978480
2018-10-01,132.05,133.75,127.7,128.95,797365
2018-10-03,130.3,130.3,125.7,126.5,969836
2018-10-04,126.7,126.7,121.9,124.45,2226505
2018-10-05,124.45,124.45,118.8,121.45,1332753
2018-10-08,120.4,127.45,117.85,127.0,447708
2018-10-09,127.5,127.9,121.05,125.5,1455829
2018-10-10,124.15,129.7,122.6,129.1,1710117
2018-10-11,128.15,128.9,122.9,127.7,1006078
2018-10-12,127.45,129.5,126.0,127.8,2532630
2018-10-15,127.8,128.55,124.9,125.1,324545
2018-10-16,125.6,125.85,124.1,124.6,1868368
2018-10-17,124.8,129.55,123.2,127.35,1177712
2018-10-19,127.5,130.35,123.15,128.7,999028
2018-10-22,128.5,128.95,125.45,126.1,382708
2018-10-23,124.45,130.05,124.45,129.3,590472
2018-10-24,129.7,130.45,128.0,129.4,375004
2018-10-25,129.55,129.55,126.3,128.9,435176
2018-10-26,127.05,128.2,123.45,125.75,1339046
2018-10-29,125.6,128.2,124.15,127.45,556641
2018-10-30,126.65,129.1,126.25,128.55,486127
2018-10-31,127.55,128.85,126.4,127.6,1175786
2018-11-01,127.1,128.1,126.1,126.7,1203665
2018-11-02,127.1,128.7,125.35,126.95,3359068
2018-11-05,128.8,128.8,124.95,125.5,545681
2018-11-06,126.0,126.0,123.4,124.7,367915
2018-11-09,125.65,125.65,123.1,123.4,1183841
2018-11-12,124.8,124.85,123.2,123.8,1101317
2018-11-13,123.75,124.3,123.5,123.95,483699
2018-11-14,124.3,125.2,122.75,123.1,638421
2018-11-15,124.45,124.45,122.25,123.0,714621
2018-11-16,123.0,123.55,122.35,122.95,398820
2018-11-19,123.75,125.3,123.05,124.15,405201
2018-11-20,124.15,126.7,123.75,125.8,581575
2018-11-21,125.8,126.35,124.15,125.9,359300
2018-11-22,125.95,127.5,124.2,125.2,530211
2018-11-26,125.2,131.05,123.85,130.1,823150
