date,open,high,low,close,volume
2018-07-05,1.95,2.0,1.95,1.95,1119600
2018-07-06,1.95,1.95,1.85,1.9,3281500
2018-07-09,1.95,2.0,1.9,1.95,1571000
2018-07-10,1.95,2.0,1.95,1.95,1786900
2018-07-11,1.95,1.95,1.95,1.95,1689400
2018-07-12,1.95,2.1,1.95,2.0,7568800
2018-07-13,1.95,2.0,1.95,1.95,1568300
2018-07-16,1.95,1.95,1.9,1.9,1472500
2018-07-17,1.95,1.95,1.9,1.95,906000
2018-07-18,1.95,2.0,1.9,1.9,1452200
2018-07-19,1.9,1.95,1.55,1.55,29327500
2018-07-20,1.6,1.6,1.35,1.55,16147200
2018-07-23,1.5,1.55,1.5,1.5,7713100
2018-07-24,1.5,1.6,1.5,1.6,7911500
2018-07-25,1.6,1.7,1.6,1.65,8230700
2018-07-26,1.65,1.65,1.55,1.6,3850700
2018-07-27,1.6,1.65,1.6,1.6,3437200
2018-07-30,1.6,1.65,1.6,1.6,3782800
2018-07-31,1.65,1.7,1.6,1.65,5203600
2018-08-01,1.7,2.0,1.7,2.0,58672600
2018-08-02,2.05,2.05,1.85,1.85,36415300
2018-08-03,1.85,1.95,1.85,1.9,8268600
2018-08-06,1.85,1.9,1.8,1.85,4636600
2018-08-07,1.85,1.85,1.75,1.75,4661500
2018-08-08,1.8,1.8,1.7,1.75,4845600
2018-08-09,1.75,1.8,1.75,1.75,2327300
2018-08-10,1.8,2.0,1.8,1.9,31508900
2018-08-13,1.95,1.95,1.7,1.9,7784500
2018-08-14,1.9,1.95,1.75,1.8,7438100
2018-08-16,1.8,1.9,1.75,1.85,5638300
2018-08-17,1.85,2.0,1.85,1.95,8420300
2018-08-20,1.95,2.1,1.95,1.95,24157800
2018-08-21,1.95,2.0,1.9,1.95,6361600
2018-08-23,1.95,2.0,1.9,1.95,6628000
2018-08-24,2.0,2.05,1.95,2.0,45621800
2018-08-27,2.0,2.0,1.9,1.9,9397700
2018-08-28,1.9,1.9,1.85,1.85,3728400
2018-08-29,1.85,1.9,1.85,1.85,3816100
2018-08-30,1.85,1.9,1.85,1.85,2252200
2018-08-31,1.9,1.9,1.85,1.85,2167600
2018-09-03,1.9,1.9,1.85,1.85,1793500
2018-09-04,1.85,1.85,1.8,1.8,2343200
2018-09-05,1.8,1.8,1.75,1.8,2200400
2018-09-06,1.8,1.85,1.8,1.8,2368900
2018-09-07,1.85,1.85,1.8,1.8,1384700
2018-09-10,1.85,1.95,1.8,1.9,8458000
2018-09-11,1.95,1.95,1.75,1.85,4599100
2018-09-12,1.85,1.85,1.8,1.8,2840200
2018-09-14,1.85,1.9,1.85,1.85,2436100
2018-09-17,1.85,1.9,1.85,1.85,1389800
