date,open,high,low,close,volume
2018-07-05,736.4,736.4,715.5,724.15,134612
2018-07-06,724.95,736.4,724.9,732.45,143859
2018-07-09,743.3,745.0,734.55,737.75,136460
2018-07-10,739.0,748.0,739.0,740.5,457919
2018-07-11,744.0,754.4,727.0,734.95,500950
2018-07-12,741.0,750.0,732.1,741.9,707919
2018-07-13,714.1,737.05,691.25,696.2,2000467
2018-07-16,701.0,713.0,695.0,706.45,329883
2018-07-17,711.0,712.0,670.65,695.35,385496
2018-07-18,702.9,707.0,676.1,697.25,346448
2018-07-19,699.7,704.0,686.05,693.4,414756
2018-07-20,696.9,707.0,693.4,702.3,230528
2018-07-23,700.5,722.85,698.15,712.65,325368
2018-07-24,717.4,725.0,708.0,720.35,151507
2018-07-25,720.35,721.8,695.5,707.3,198447
2018-07-26,711.95,715.0,701.1,708.35,77870
2018-07-27,713.9,720.0,703.0,712.65,113914
2018-07-30,706.1,720.0,697.4,704.35,334765
2018-07-31,708.9,711.0,698.0,704.35,177970
2018-08-01,703.95,707.7,692.1,696.95,611357
2018-08-02,695.8,705.0,680.0,696.4,322679
2018-08-03,683.05,699.65,683.05,689.6,203206
2018-08-06,689.0,695.0,682.7,687.15,247310
2018-08-07,687.15,688.65,666.0,671.8,112455
2018-08-08,674.95,675.2,662.0,664.4,102204
2018-08-09,664.4,668.45,649.4,650.5,298125
2018-08-10,652.8,676.8,646.0,672.8,198184
2018-08-13,672.0,699.0,665.65,695.4,288762
2018-08-14,700.0,719.0,698.95,715.05,221197
2018-08-16,714.95,748.0,714.95,731.7,480320
2018-08-17,737.15,744.0,733.0,739.05,77312
2018-08-20,738.5,738.5,726.0,734.3,54846
2018-08-21,733.5,737.05,716.0,725.25,160647
2018-08-23,727.95,735.0,722.55,730.0,234573
2018-08-24,727.0,731.9,717.5,720.6,110679
2018-08-27,721.1,739.85,721.1,728.45,216531
2018-08-28,728.45,728.65,714.05,717.85,177503
2018-08-29,720.0,725.0,714.5,715.5,55001
2018-08-30,715.55,720.0,715.0,718.05,169354
2018-08-31,715.0,740.5,715.0,728.9,554493
2018-09-03,736.8,757.9,731.5,737.1,697063
2018-09-04,737.9,764.0,724.5,728.8,424447
2018-09-05,734.25,774.9,733.0,769.25,1051507
2018-09-06,774.9,777.7,756.6,771.7,635694
2018-09-07,771.25,819.5,763.1,793.7,1341309
2018-09-10,799.65,810.0,792.05,801.45,316098
2018-09-11,807.65,808.05,762.25,788.75,280560
2018-09-12,787.25,787.4,762.85,765.05,274026
2018-09-14,770.05,770.75,740.0,742.95,280564
2018-09-17,745.9,760.5,725.1,732.45,225234
2018-09-18,739.0,739.5,696.5,702.8,552409
2018-09-19,706.05,724.8,690.65,704.55,360771
2018-09-21,709.8,718.0,691.6,704.0,141387
2018-09-24,704.0,734.75,700.2,710.6,865218
2018-09-25,706.1,729.0,703.1,715.1,353386
2018-09-26,720.45,731.0,715.45,726.65,129786
2018-09-27,726.8,745.0,723.0,735.3,194713
2018-09-28,735.3,754.0,722.25,745.2,321885
2018-10-01,749.9,769.85,728.7,760.55,146835
2018-10-03,765.0,779.95,750.8,771.95,139223
2018-10-04,768.0,769.75,752.45,758.7,111362
2018-10-05,757.0,757.0,699.3,722.25,354659
2018-10-08,728.25,749.85,710.0,714.35,207228
2018-10-09,718.0,718.0,671.0,677.0,117127
2018-10-10,700.0,700.0,667.3,678.6,134539
2018-10-11,668.45,668.45,630.6,634.6,501502
2018-10-12,636.0,665.0,620.1,657.05,193050
2018-10-15,660.2,685.0,657.1,677.4,113271
2018-10-16,688.8,693.0,663.5,669.25,130845
2018-10-17,675.0,687.0,665.0,669.3,121884
2018-10-19,650.0,694.8,646.8,653.5,419498
2018-10-22,658.75,660.65,618.0,623.7,251568
2018-10-23,618.0,622.75,602.2,609.6,227127
2018-10-24,617.0,624.0,603.05,617.2,169432
2018-10-25,610.0,626.75,606.0,617.2,145221
2018-10-26,619.0,626.0,610.0,623.4,92148
2018-10-29,628.95,629.25,617.0,624.7,125278
2018-10-30,624.95,626.5,616.0,620.3,299818
2018-10-31,622.0,625.75,611.7,621.25,378514
2018-11-01,625.0,627.95,612.05,614.5,219735
2018-11-02,617.95,622.75,612.05,619.2,364065
2018-11-05,619.0,622.0,612.0,616.05,222254
2018-11-06,615.95,621.5,614.5,619.7,254567
2018-11-09,623.95,662.0,621.65,654.9,452317
2018-11-12,656.2,658.0,641.7,646.65,363022
2018-11-13,640.2,657.85,640.0,649.9,269691
2018-11-14,654.8,665.0,642.55,660.2,273041
2018-11-15,662.0,670.6,651.25,655.85,303566
2018-11-16,655.3,663.6,651.35,654.75,197585
2018-11-19,658.0,658.95,616.3,634.6,482064
2018-11-20,633.9,652.0,628.85,640.6,319917
2018-11-21,634.2,640.0,612.65,622.05,275143
2018-11-22,618.0,632.5,617.7,629.0,264172
2018-11-26,623.0,631.55,614.95,625.7,202739
2018-11-27,620.3,629.95,614.85,617.6,321127
2018-11-28,617.0,624.55,614.3,620.3,221805
2018-11-29,621.35,635.65,592.8,599.75,450739
2018-11-30,599.75,607.05,595.05,598.6,133301
2018-12-03,598.1,619.0,597.5,610.5,307249
2018-12-04,611.0,618.4,602.2,616.85,233100
2018-12-05,612.15,616.0,604.1,608.9,242114
2018-12-06,605.05,619.0,602.7,614.65,212180
2018-12-07,614.65,617.65,602.55,612.6,222939
2018-12-10,609.9,626.0,603.45,616.4,283960
2018-12-11,611.0,619.95,605.0,617.95,272475
2018-12-12,614.05,640.0,614.05,634.1,300921
2018-12-13,639.9,660.0,633.0,659.1,207488
2018-12-14,656.0,659.05,642.0,648.95,71902
2018-12-17,646.0,652.15,627.35,632.0,162042
2018-12-18,632.8,632.8,616.0,620.7,172798
2018-12-19,616.0,636.3,616.0,631.55,83435
2018-12-20,634.95,638.25,620.1,622.15,92325
2018-12-21,626.95,626.95,615.0,616.95,75328
2018-12-24,617.0,618.55,605.1,609.1,40905
2018-12-26,609.95,609.95,600.0,601.7,48313
2018-12-27,607.0,619.0,601.5,604.0,181001
2018-12-28,605.15,615.9,605.15,614.5,154250
2018-12-31,616.0,627.6,615.35,620.0,124662
2019-01-01,623.8,623.95,613.8,618.3,20880
2019-01-02,619.95,625.0,613.25,621.9,58774
2019-01-03,623.4,624.55,615.0,621.35,39824
2019-01-04,618.05,619.8,604.05,609.0,111616
2019-01-07,616.0,616.0,606.05,609.0,38873
2019-01-08,608.0,609.85,603.3,607.0,50381
2019-01-09,609.0,609.8,603.0,603.9,39345
2019-01-10,609.8,609.8,601.5,606.4,37333
2019-01-11,606.0,608.0,592.2,594.35,218671
2019-01-14,596.3,610.8,588.05,600.9,345029
2019-01-15,609.95,619.95,607.0,614.6,154270
2019-01-16,616.05,629.7,614.6,623.7,165757
2019-01-17,629.0,637.0,623.7,629.45,281860
2019-01-18,599.0,619.0,575.25,612.1,1231524
2019-01-21,613.1,618.75,597.0,599.9,168615
2019-01-22,597.5,602.35,588.65,592.15,94640
2019-01-23,597.9,608.0,589.95,597.9,422032
2019-01-24,597.0,601.4,589.0,592.05,78413
2019-01-25,597.0,607.1,592.0,599.55,63624
2019-01-28,600.0,602.0,588.05,590.15,72030
2019-01-29,591.0,600.0,570.9,587.7,202543
2019-01-30,600.45,614.95,600.45,612.35,164943
2019-01-31,615.55,618.85,601.05,609.5,428906
2019-02-01,607.5,609.9,602.9,606.65,32686
2019-02-04,612.9,616.0,607.0,611.45,157730
2019-02-05,612.0,613.0,600.15,605.0,102799
2019-02-06,608.0,612.0,605.0,610.25,65608
2019-02-07,614.1,616.3,601.0,605.05,116753
2019-02-08,601.0,612.0,595.85,606.4,76427
2019-02-11,600.0,603.65,576.05,581.75,396912
2019-02-12,580.05,590.75,580.05,587.8,195278
2019-02-13,590.0,602.4,586.75,599.8,95078
2019-02-14,601.2,605.0,596.2,599.6,219929
2019-02-15,594.0,615.0,594.0,604.2,495448
2019-02-18,606.8,619.75,597.5,611.35,584142
2019-02-19,615.95,622.75,602.05,610.75,259079
2019-02-20,613.85,613.85,600.2,603.4,252235
2019-02-21,604.0,609.0,599.0,604.35,199460
2019-02-22,604.0,607.15,594.15,604.1,194393
2019-02-25,604.6,624.25,604.6,621.35,246061
2019-02-26,615.0,630.0,613.3,627.55,329225
2019-02-27,632.0,641.95,630.0,635.1,180898
2019-02-28,641.5,649.5,633.0,642.2,217536
2019-03-01,646.0,654.0,642.95,650.0,215636
2019-03-05,655.0,655.0,649.05,650.3,241408
2019-03-06,650.0,673.95,650.0,664.85,242440
2019-03-07,668.0,672.0,667.0,668.0,317233
2019-03-08,672.95,682.9,668.5,675.0,422937
2019-03-11,674.0,685.0,673.0,683.05,239307
2019-03-12,687.85,693.5,685.05,688.45,346581
2019-03-13,691.85,693.8,663.05,669.45,313997
2019-03-14,675.0,683.15,670.0,674.45,233480
2019-03-15,676.9,682.2,652.65,661.9,188508
2019-03-18,660.75,678.9,652.0,659.45,233557
2019-03-19,660.0,668.95,649.8,652.8,283575
2019-03-20,652.0,666.9,652.0,661.0,434335
2019-03-22,663.05,671.9,658.3,663.9,348529
2019-03-25,660.0,670.85,657.7,664.0,241699
2019-03-26,668.0,685.0,659.0,660.1,312490
2019-03-27,662.0,675.0,652.0,665.85,227919
2019-03-28,666.9,673.95,649.35,651.85,248017
2019-03-29,660.0,669.8,646.1,649.45,417238
2019-04-01,652.0,659.2,647.0,649.65,138816
2019-04-02,637.95,637.95,570.0,580.15,4477084
2019-04-03,580.45,595.4,580.2,584.1,986599
2019-04-04,587.75,591.0,579.0,582.15,360612
2019-04-05,586.0,596.85,583.8,594.85,501073
2019-04-08,595.0,605.7,595.0,603.75,302329
2019-04-09,603.75,604.0,594.3,597.25,248342
2019-04-10,602.0,602.85,591.2,592.65,147018
2019-04-11,595.9,595.9,583.0,584.6,242905
2019-04-12,586.0,595.8,580.0,582.6,258160
2019-04-15,586.95,588.0,583.05,584.95,84268
2019-04-16,591.0,598.0,585.65,587.5,220768
2019-04-18,589.0,594.5,583.55,587.35,149289
2019-04-22,590.0,590.0,580.6,585.65,135430
2019-04-23,585.65,588.0,579.6,586.4,70282
2019-04-24,585.9,593.5,581.25,588.85,182644
2019-04-25,584.0,590.5,582.2,584.3,170828
2019-04-26,599.9,636.65,580.0,583.6,1777667
2019-04-30,584.95,591.0,580.2,589.6,302046
2019-05-02,590.0,601.2,584.95,595.1,261826
2019-05-03,597.5,597.5,582.05,584.65,185748
2019-05-06,584.65,585.15,562.65,566.95,257609
2019-05-07,569.75,571.7,562.0,568.7,182462
2019-05-08,568.25,575.0,563.05,567.0,397662
2019-05-09,565.1,581.0,565.1,574.4,240020
2019-05-10,574.0,580.0,574.0,579.25,108008
