date,open,high,low,close,volume
2018-07-05,426.7,439.8,426.4,434.9,50434
2018-07-06,433.7,434.4,427.4,433.3,87792
2018-07-09,438.7,438.7,428.7,432.4,53470
2018-07-10,430.3,436.5,429.5,433.2,81282
2018-07-11,434.1,434.7,428.4,433.3,120864
2018-07-12,434.7,434.7,429.3,433.3,97756
2018-07-13,433.3,436.7,431.0,433.8,67104
2018-07-16,433.8,433.8,408.3,414.5,67876
2018-07-17,415.3,433.3,414.4,431.5,53148
2018-07-18,430.0,430.0,420.4,421.6,21526
2018-07-19,421.3,429.3,416.7,420.0,67332
2018-07-20,420.0,432.7,417.7,430.1,65392
2018-07-23,432.3,434.7,424.7,433.3,36010
2018-07-24,432.1,434.8,432.0,433.4,50680
2018-07-25,435.0,435.0,427.9,431.9,9394
2018-07-26,433.3,433.3,426.1,428.5,13630
2018-07-27,430.0,430.0,425.0,426.4,9876
2018-07-30,427.3,433.3,425.0,430.0,23272
2018-07-31,431.7,431.8,426.3,430.9,12204
2018-08-01,431.6,433.0,422.5,423.4,13912
2018-08-02,426.3,429.7,417.3,417.7,13258
2018-08-03,417.7,429.8,412.7,417.6,28320
2018-08-06,419.0,424.2,418.3,421.8,9022
2018-08-07,426.0,430.0,406.4,420.0,99094
2018-08-08,414.2,416.7,408.0,408.8,34092
2018-08-09,408.8,413.2,405.7,409.1,8620
2018-08-10,413.0,413.0,393.3,399.7,166264
2018-08-13,399.7,399.9,383.0,383.9,196638
2018-08-14,389.3,389.3,381.0,382.0,170656
2018-08-16,382.4,383.3,368.3,368.7,50548
2018-08-17,368.7,373.3,367.3,370.5,49456
2018-08-20,373.3,378.5,370.2,372.3,26130
2018-08-21,374.0,376.3,369.0,370.1,20316
2018-08-23,373.2,376.3,365.2,370.9,84598
2018-08-24,367.5,373.3,365.2,366.3,40002
2018-08-27,366.7,372.9,366.3,367.5,22182
2018-08-28,369.9,369.9,361.7,363.0,22492
2018-08-29,363.3,366.6,357.3,360.1,33088
2018-08-30,360.0,365.5,355.4,359.9,35760
2018-08-31,359.9,365.4,353.7,357.4,120870
2018-09-03,357.3,359.7,349.2,351.5,532720
2018-09-04,351.8,352.9,347.2,348.4,33654
2018-09-05,348.4,352.8,345.0,347.0,23676
2018-09-06,347.0,354.2,346.3,348.2,217456
2018-09-07,348.3,354.9,344.4,351.2,341194
2018-09-10,354.9,373.3,346.7,363.8,1287862
2018-09-11,363.8,373.3,358.8,365.7,117864
2018-09-12,367.7,367.7,363.7,365.1,84574
2018-09-14,365.5,381.9,364.3,377.6,100422
2018-09-17,381.7,393.3,381.3,391.5,96144
2018-09-18,395.6,398.1,370.7,371.8,33964
2018-09-19,375.9,380.0,361.8,363.7,26604
2018-09-21,364.3,379.0,362.3,376.9,270594
2018-09-24,367.0,375.0,365.4,366.8,59976
2018-09-25,361.7,376.7,353.3,368.7,33862
2018-09-26,363.7,373.7,360.3,368.8,21604
2018-09-27,373.3,376.5,354.3,362.2,24292
2018-09-28,369.3,369.3,349.1,353.2,24298
2018-10-01,346.7,354.5,341.0,351.8,15966
2018-10-03,348.4,356.3,346.4,349.6,20548
2018-10-04,345.3,352.9,340.0,343.5,12070
2018-10-05,343.3,346.1,339.3,342.6,11218
2018-10-08,342.3,352.7,338.3,347.7,50466
2018-10-09,347.7,353.4,345.7,351.2,16900
2018-10-10,350.4,361.0,350.0,352.1,11944
2018-10-11,350.0,354.3,345.0,349.5,14788
2018-10-12,353.9,357.1,345.0,352.0,13782
2018-10-15,356.6,358.7,349.5,352.9,33942
2018-10-16,353.6,358.3,352.2,357.0,5704
2018-10-17,358.4,370.3,356.0,357.6,23800
2018-10-19,362.3,369.3,348.2,362.4,19288
2018-10-22,363.3,363.8,350.0,352.2,15840
2018-10-23,357.5,357.5,349.3,349.8,17692
2018-10-24,349.9,355.0,348.7,351.6,24466
2018-10-25,349.0,354.3,348.3,352.1,6888
2018-10-26,353.9,354.1,348.4,352.2,6376
2018-10-29,354.1,354.1,350.0,352.6,4444
2018-10-30,353.8,355.3,345.6,350.7,12342
2018-10-31,346.7,356.7,346.7,354.6,9372
2018-11-01,358.3,375.3,349.9,357.2,115378
2018-11-02,357.2,364.9,354.3,357.3,19810
2018-11-05,357.7,361.7,353.3,354.8,12672
2018-11-06,354.8,359.9,349.9,352.6,4842
2018-11-09,351.3,372.2,351.3,369.7,33300
2018-11-12,366.7,372.2,359.7,361.6,83380
2018-11-13,357.7,362.0,351.9,360.2,7852
2018-11-14,364.3,364.3,352.0,354.2,4620
2018-11-15,354.8,409.8,350.0,390.8,320514
2018-11-16,388.4,393.2,375.0,380.8,24412
2018-11-19,386.3,386.3,371.7,372.8,6238
2018-11-20,372.8,372.8,365.7,367.9,18508
2018-11-21,373.3,373.3,360.0,361.7,16554
2018-11-22,363.3,365.6,358.6,360.8,15976
2018-11-26,360.0,361.0,353.7,358.5,6378
2018-11-27,353.4,360.1,351.7,354.1,17370
2018-11-28,358.0,359.4,352.7,353.4,20224
2018-11-29,351.7,360.6,350.5,353.5,175308
2018-11-30,353.3,358.0,333.7,337.9,211236
2018-12-03,346.3,346.3,338.0,338.5,14568
2018-12-04,335.7,368.1,335.7,355.7,105118
2018-12-05,355.7,370.0,350.0,357.4,58978
2018-12-06,357.4,363.3,348.6,354.7,36034
2018-12-07,354.8,356.3,348.0,349.6,31866
2018-12-10,354.0,366.7,335.1,356.4,34194
2018-12-11,356.7,366.7,350.0,357.0,25894
2018-12-12,352.0,368.3,352.0,358.7,24898
2018-12-13,358.8,366.8,358.8,365.4,19840
2018-12-14,365.4,374.7,362.7,366.6,316066
2018-12-17,366.8,376.7,357.7,367.4,356214
2018-12-18,370.0,375.7,364.3,367.9,27648
2018-12-19,369.4,370.0,360.3,362.8,21970
2018-12-20,363.6,375.3,359.4,372.1,27750
2018-12-21,376.3,376.3,353.3,358.2,29812
2018-12-24,359.3,359.3,345.4,355.7,6252
2018-12-26,355.7,362.0,348.3,358.7,20428
2018-12-27,355.3,374.7,355.3,371.6,35814
2018-12-28,371.7,374.3,363.7,365.0,17908
2018-12-31,361.7,369.9,356.7,358.1,11040
2019-01-01,356.9,365.4,356.9,358.4,4056
2019-01-02,360.7,365.0,358.4,364.2,4228
2019-01-03,364.7,368.6,358.0,359.5,17286
2019-01-04,358.6,360.4,358.0,358.1,3642
2019-01-07,358.0,360.2,354.0,356.6,3340
2019-01-08,354.7,358.0,354.0,355.0,2100
2019-01-09,354.0,358.3,348.4,349.8,7464
2019-01-10,350.0,363.0,350.0,360.7,9444
2019-01-11,363.3,363.3,353.7,356.5,4558
2019-01-14,358.3,359.6,350.5,354.5,6438
2019-01-15,354.1,356.7,351.7,352.9,5772
2019-01-16,358.0,370.0,353.3,367.2,38164
2019-01-17,368.7,371.2,356.0,364.8,16276
2019-01-18,366.0,366.1,358.4,360.0,2308
2019-01-21,357.0,362.6,355.7,356.5,6616
2019-01-22,355.0,357.9,350.5,355.2,49126
2019-01-23,355.9,359.9,351.3,355.2,13632
2019-01-24,360.0,360.0,353.0,357.1,19284
2019-01-25,357.7,358.4,350.4,351.8,6826
2019-01-28,351.0,352.7,346.8,348.7,8650
2019-01-29,347.4,351.9,344.4,347.4,4020
2019-01-30,348.3,352.3,341.7,347.5,19930
2019-01-31,349.7,365.0,328.4,358.1,180558
2019-02-01,358.7,358.8,345.0,346.1,183720
2019-02-04,346.0,349.0,337.5,340.6,9078
2019-02-05,341.9,342.9,333.0,333.4,11424
2019-02-06,335.1,347.0,327.3,341.8,23880
