date,open,high,low,close,volume
2018-07-05,195.1,198.45,195.1,197.0,1733438
2018-07-06,198.05,201.15,196.8,198.65,1930122
2018-07-09,199.75,200.15,194.6,197.65,811022
2018-07-10,198.45,200.35,194.75,197.05,1753151
2018-07-11,197.55,199.25,195.8,198.1,1771385
2018-07-12,199.15,202.45,198.1,200.95,1462290
2018-07-13,202.45,206.4,198.45,201.0,2994941
2018-07-16,201.75,204.2,189.0,191.75,3712292
2018-07-17,192.45,198.2,192.4,196.1,1407023
2018-07-18,196.45,198.8,191.35,193.6,1289123
2018-07-19,195.1,195.55,186.35,187.2,1431134
2018-07-20,186.3,191.3,180.4,188.85,2356293
2018-07-23,187.7,194.65,184.7,193.5,1539228
2018-07-24,194.35,202.25,193.1,200.3,1677152
2018-07-25,200.5,201.0,197.05,198.3,788800
2018-07-26,199.55,205.9,197.9,204.85,1854968
2018-07-27,206.55,209.0,200.75,202.05,3638171
2018-07-30,203.5,209.5,202.15,205.55,1691312
2018-07-31,205.9,211.85,205.3,208.9,2132398
2018-08-01,210.25,212.3,207.9,210.15,2006433
2018-08-02,209.7,209.7,203.6,206.2,2881249
2018-08-03,207.7,213.7,206.7,212.95,3841009
2018-08-06,214.85,217.85,211.95,217.15,1938693
2018-08-07,218.05,222.75,215.05,221.35,2759685
2018-08-08,212.0,214.9,204.35,206.7,5701127
2018-08-09,206.7,208.6,199.15,203.55,3311147
2018-08-10,205.2,205.35,194.55,196.05,3301403
2018-08-13,195.75,195.75,190.35,191.95,1926450
2018-08-14,191.05,193.3,188.0,190.6,4089071
2018-08-16,189.65,190.8,184.3,185.3,2881621
2018-08-17,187.0,202.3,187.0,200.85,8213328
2018-08-20,201.7,202.3,194.45,195.5,2768195
2018-08-21,196.45,198.05,193.2,194.55,1483666
2018-08-23,195.5,195.5,187.5,189.35,2825020
2018-08-24,189.6,190.2,184.1,184.95,3021158
2018-08-27,186.45,188.6,185.0,186.45,1927718
2018-08-28,187.65,191.9,186.65,188.75,3340957
2018-08-29,190.8,193.3,186.75,187.55,2122113
2018-08-30,187.8,190.95,187.65,189.0,1257813
2018-08-31,189.0,191.7,188.15,189.15,1948828
2018-09-03,191.05,191.5,187.65,188.1,2324236
2018-09-04,187.9,188.6,174.85,178.05,5995268
2018-09-05,178.9,179.5,170.9,172.15,3698868
2018-09-06,173.8,174.85,167.55,169.45,3520868
2018-09-07,169.35,178.2,167.4,176.85,3707274
2018-09-10,176.7,180.75,172.25,173.2,8085153
2018-09-11,173.45,177.65,168.95,172.45,1996647
2018-09-12,170.9,178.15,170.1,175.05,2044109
2018-09-14,176.85,183.25,176.85,182.5,3667867
2018-09-17,180.8,181.95,177.3,180.25,1327634
2018-09-18,181.6,182.55,172.55,174.7,1130374
2018-09-19,175.45,176.85,163.2,164.75,4563320
2018-09-21,168.8,169.95,145.8,159.25,12039395
2018-09-24,159.3,161.95,141.1,146.0,10152677
2018-09-25,147.15,149.2,140.75,147.5,7429054
2018-09-26,149.5,149.5,141.8,143.2,4893945
2018-09-27,143.9,144.75,125.0,127.85,14063081
2018-09-28,129.2,134.2,122.2,127.9,9568729
2018-10-01,127.6,128.85,114.1,126.25,9289237
2018-10-03,126.45,136.75,122.85,130.05,9685434
2018-10-04,125.75,131.4,124.05,128.3,4961867
2018-10-05,127.85,129.25,114.75,118.75,6059595
2018-10-08,118.15,118.15,100.3,102.55,15224991
2018-10-09,101.95,109.55,97.9,100.55,11434450
2018-10-10,101.85,110.55,101.85,110.55,9851835
2018-10-11,102.05,116.45,100.55,110.45,8476994
2018-10-12,115.45,121.5,115.45,121.35,5798656
2018-10-15,122.85,126.25,121.5,124.15,3354910
2018-10-16,125.95,129.6,124.3,125.7,3491695
2018-10-17,127.45,129.75,113.15,113.15,13357585
2018-10-19,111.4,116.1,101.95,103.3,7442661
2018-10-22,106.0,107.85,94.75,101.05,7164340
2018-10-23,100.25,102.55,95.9,96.7,6168881
2018-10-24,101.25,101.5,91.85,95.1,6995953
2018-10-25,95.55,95.95,90.4,90.4,4532696
2018-10-26,87.1,94.85,86.75,94.85,8405636
2018-10-29,99.0,99.6,95.3,99.6,5868302
2018-10-30,102.6,104.55,101.25,104.55,1660216
2018-10-31,109.75,109.75,108.75,109.75,1248195
2018-11-01,115.2,115.2,110.05,114.95,9587361
