date,open,high,low,close,volume
2018-07-05,131.95,134.95,131.95,134.1,14282
2018-07-06,134.3,139.5,133.5,134.95,1685192
2018-07-09,136.5,140.95,136.35,138.9,41020
2018-07-10,139.05,140.0,136.5,137.95,25158
2018-07-11,137.0,145.0,136.5,141.25,59964
2018-07-12,141.0,144.0,140.5,141.3,27156
2018-07-13,142.45,144.2,139.5,143.1,39264
2018-07-16,145.0,146.0,141.6,144.65,119348
2018-07-17,144.0,146.2,142.55,145.4,217426
2018-07-18,146.9,146.95,141.0,141.8,47840
2018-07-19,141.95,142.4,137.5,140.65,150196
2018-07-20,139.25,141.7,139.05,139.7,13938
2018-07-23,138.75,142.5,138.65,141.85,14342
2018-07-24,141.05,146.5,140.6,145.35,31066
2018-07-25,145.5,147.35,144.35,146.65,38262
2018-07-26,146.9,147.35,144.1,144.85,24088
2018-07-27,145.2,146.0,144.0,144.55,25056
2018-07-30,144.55,146.2,139.45,141.95,87332
2018-07-31,141.25,144.95,141.25,143.55,29128
2018-08-01,144.6,145.0,142.85,143.75,18878
2018-08-02,144.95,144.95,142.0,143.2,26820
2018-08-03,143.7,147.0,142.5,143.05,36396
2018-08-06,145.5,146.0,142.5,143.45,24120
2018-08-07,143.45,143.45,141.0,141.6,16858
2018-08-08,142.95,145.5,140.7,143.15,84792
2018-08-09,143.15,145.05,143.15,144.0,406408
2018-08-10,144.5,147.0,141.8,145.0,161478
2018-08-13,145.0,146.05,140.5,144.75,49640
2018-08-14,146.15,146.15,143.5,144.65,49574
2018-08-16,145.0,145.0,141.7,142.8,21984
2018-08-17,143.0,144.0,141.0,141.3,25632
2018-08-20,143.9,157.45,143.25,149.55,311904
2018-08-21,151.5,151.5,146.55,147.95,72318
2018-08-23,149.95,149.95,144.0,144.75,35852
2018-08-24,148.35,148.35,144.5,145.0,126138
2018-08-27,149.6,149.95,145.4,145.8,78062
2018-08-28,147.0,148.4,145.45,147.85,59996
2018-08-29,148.5,149.5,146.5,147.4,36624
2018-08-30,148.5,148.7,145.0,146.75,27916
2018-08-31,148.15,148.5,144.4,146.3,43756
2018-09-03,147.0,153.65,146.05,148.5,62222
