date,open,high,low,close,volume
2022-05-30,796.9,811.3,746.7,775.7,2730960
2022-05-31,777.6,790.1,773.8,778.2,375228
2022-06-01,784.2,784.2,761.6,778.7,147870
2022-06-02,780.2,780.2,753.4,755.9,50045
2022-06-03,758.2,764.2,716.8,721.1,50067
2022-06-06,708.0,760.8,683.3,743.9,172287
2022-06-07,732.5,771.7,727.1,749.7,96579
2022-06-08,747.6,771.8,747.6,758.1,62236
2022-06-09,763.1,780.2,725.1,775.5,59964
2022-06-10,763.9,772.7,752.5,757.9,15151
2022-06-13,735.1,771.5,733.1,761.8,48068
2022-06-14,758.2,772.7,752.0,768.6,35313
2022-06-15,764.0,774.7,762.5,771.5,26568
2022-06-16,780.5,781.2,739.9,752.7,40133
2022-06-17,752.7,763.1,735.3,755.6,12651
2022-06-20,744.8,754.1,724.5,733.4,60631
2022-06-21,739.8,749.3,732.9,746.6,6244
2022-06-22,749.1,751.2,735.3,744.3,5379
2022-06-23,737.2,758.0,737.2,753.6,18511
2022-06-24,754.5,776.6,753.7,772.1,16818
2022-06-27,766.0,793.0,766.0,782.3,30255
2022-06-28,768.3,789.3,765.0,770.7,13468
2022-06-29,762.6,769.2,740.3,751.4,3702
2022-06-30,757.3,772.6,743.8,766.8,7186
2022-07-01,766.8,767.7,749.8,758.3,2295
2022-07-04,746.8,763.0,746.8,758.9,2972
2022-07-05,751.6,758.5,743.8,753.6,10346
2022-07-06,747.8,756.6,743.9,752.7,14886
2022-07-07,755.0,765.2,749.6,762.8,22610
2022-07-08,768.0,771.0,747.1,751.2,4234
2022-07-11,751.2,844.5,744.5,816.4,101981
2022-07-12,829.7,838.4,780.2,796.7,45131
2022-07-13,795.9,810.3,784.7,802.9,10207
2022-07-14,810.8,816.4,793.1,802.7,11435
2022-07-15,809.2,820.1,799.8,813.9,7523
2022-07-18,816.2,853.9,816.2,842.4,64288
2022-07-19,842.5,872.2,835.4,860.0,141517
2022-07-20,877.1,893.3,859.7,871.0,76266
2022-07-21,871.0,886.7,860.0,878.9,43118
2022-07-22,879.0,958.9,870.4,944.8,172457
2022-07-25,932.4,970.9,908.3,922.3,70774
2022-07-26,935.0,939.7,910.3,928.3,25580
2022-07-27,985.2,1038.4,912.9,932.6,840890
2022-07-28,944.7,985.2,929.2,953.8,124197
