date,open,high,low,close,volume
2018-07-05,63.6,68.65,62.5,67.65,9038994
2018-07-06,67.25,69.7,66.8,68.2,5089296
2018-07-09,69.2,71.4,68.2,70.7,3953648
2018-07-10,71.55,73.8,71.45,72.8,6519555
2018-07-11,72.95,74.6,71.15,71.7,5680406
2018-07-12,72.1,72.9,70.15,71.5,4073139
2018-07-13,71.95,73.05,70.25,72.65,4654913
2018-07-16,72.8,74.3,71.65,72.9,5143992
2018-07-17,73.5,73.65,71.7,72.25,2522357
2018-07-18,71.7,74.1,71.15,71.75,4786547
2018-07-19,71.95,71.95,67.9,68.45,3541119
2018-07-20,68.4,70.15,67.25,69.45,3432135
2018-07-23,69.5,71.15,69.05,70.7,3022407
2018-07-24,71.0,74.45,70.95,72.7,5995281
2018-07-25,73.4,73.8,71.85,72.55,2181765
2018-07-26,71.1,72.55,70.6,71.1,1778447
2018-07-27,71.1,72.5,71.05,71.45,2146083
2018-07-30,71.95,72.5,70.95,71.7,2381815
2018-07-31,71.6,72.1,70.25,70.55,2144511
2018-08-01,70.6,71.85,69.85,70.35,2401309
2018-08-02,70.35,70.95,69.1,70.45,2853642
2018-08-03,70.7,72.15,70.25,71.45,4710910
2018-08-06,71.8,72.35,67.6,67.95,8972387
2018-08-07,67.9,67.95,63.7,63.9,6253962
2018-08-08,64.55,66.55,64.3,65.6,5293272
2018-08-09,65.85,66.0,62.65,62.85,3952232
2018-08-10,62.9,63.1,58.85,59.2,8212074
2018-08-13,59.1,63.75,57.05,63.2,11482279
2018-08-14,63.4,64.75,62.5,63.75,4821486
2018-08-16,63.5,65.3,63.2,63.75,4464857
2018-08-17,63.95,64.55,63.1,63.4,2653729
2018-08-20,63.9,64.35,62.8,63.45,2662818
2018-08-21,63.75,67.65,63.1,66.6,9077977
2018-08-23,67.1,70.15,67.05,69.3,8565592
2018-08-24,69.1,70.3,68.0,69.1,4925842
2018-08-27,69.3,69.95,68.8,69.35,3888244
2018-08-28,69.5,71.9,68.85,71.05,5376832
2018-08-29,71.45,72.55,70.95,71.4,4144100
2018-08-30,71.0,73.2,71.0,72.65,4222025
2018-08-31,72.4,74.2,72.15,73.75,5935612
2018-09-03,73.9,75.65,73.7,74.3,4294252
2018-09-04,74.85,75.25,70.45,71.4,4145595
2018-09-05,71.45,73.9,71.45,73.4,5399021
2018-09-06,74.1,74.75,72.65,73.9,3173615
2018-09-07,73.9,74.45,73.15,73.55,2111294
2018-09-10,74.1,74.3,73.1,73.8,2249153
2018-09-11,74.3,74.3,70.95,71.95,2389953
2018-09-12,71.9,72.15,68.0,70.65,3143596
2018-09-14,71.2,72.3,70.7,71.2,3036651
2018-09-17,71.0,73.0,70.75,72.3,2199968
2018-09-18,72.3,72.6,70.45,70.85,2358969
2018-09-19,70.95,71.25,66.85,68.15,3478241
2018-09-21,69.3,69.4,60.2,64.15,4255540
2018-09-24,64.6,66.05,62.25,62.95,3193570
2018-09-25,63.1,63.8,60.75,62.7,3249118
2018-09-26,64.3,64.7,63.1,64.05,2334896
2018-09-27,64.3,64.6,62.65,63.05,1624397
2018-09-28,63.8,63.8,58.8,60.6,2520295
2018-10-01,60.7,61.15,57.55,60.5,2705447
2018-10-03,60.5,62.8,59.75,60.7,2099964
2018-10-04,59.7,60.5,58.25,58.75,1949652
2018-10-05,58.7,58.7,54.85,55.95,2377436
2018-10-08,55.7,55.95,51.75,53.65,2797960
2018-10-09,53.75,57.3,53.35,56.5,3574325
2018-10-10,57.55,63.25,56.45,61.7,2670674
2018-10-11,58.7,61.55,57.55,60.0,3262082
2018-10-12,60.45,62.9,60.45,61.35,5426738
2018-10-15,62.35,62.4,60.3,60.6,2215335
2018-10-16,60.7,61.6,60.0,60.65,1986313
2018-10-17,61.15,62.9,60.2,60.8,3201760
2018-10-19,59.9,60.7,58.25,58.55,2438361
2018-10-22,58.9,59.4,56.8,57.1,1715452
2018-10-23,56.05,58.15,55.9,56.45,1463856
2018-10-24,58.25,58.25,56.15,57.6,1979606
2018-10-25,56.55,57.25,56.1,56.3,1135433
2018-10-26,56.6,58.45,55.5,56.8,1807709
2018-10-29,57.2,57.9,55.9,56.95,1823232
2018-10-30,56.95,61.25,56.65,59.75,4115887
2018-10-31,59.8,61.1,59.4,59.8,2838402
2018-11-01,60.15,62.25,57.25,59.0,4814588
2018-11-02,59.4,60.05,57.35,58.0,2055007
2018-11-05,58.35,58.35,56.4,56.75,1557815
2018-11-06,57.1,57.4,55.6,55.85,1487408
2018-11-09,57.2,57.2,56.15,56.45,960209
2018-11-12,56.45,57.15,55.8,55.95,881247
2018-11-13,56.2,56.25,55.25,55.65,889070
2018-11-14,56.15,56.15,53.9,54.15,1177877
2018-11-15,54.0,54.05,52.55,52.9,1354999
2018-11-16,52.95,53.15,51.3,51.75,1183149
2018-11-19,51.8,54.55,51.4,53.6,2726814
2018-11-20,53.4,53.75,51.55,51.8,1807081
2018-11-21,52.3,52.4,50.15,50.35,1575884
2018-11-22,50.6,51.55,49.9,50.85,1478629
2018-11-26,51.35,51.4,48.45,48.7,2157837
2018-11-27,47.95,49.25,46.5,46.8,3513993
2018-11-28,46.95,51.3,46.8,50.95,7070782
2018-11-29,52.05,52.05,49.25,51.15,3677389
2018-11-30,51.15,52.55,50.5,51.2,2854140
2018-12-03,51.4,52.45,50.3,51.6,2678919
2018-12-04,51.45,53.85,51.35,52.65,2836329
2018-12-05,52.65,53.2,50.8,52.8,1929345
2018-12-06,52.35,52.65,50.95,51.8,2221864
2018-12-07,51.85,52.5,50.3,50.65,4368805
2018-12-10,49.4,49.9,48.1,48.3,1218955
2018-12-11,47.95,49.5,47.1,48.85,3272622
2018-12-12,49.4,49.85,48.95,49.45,2017413
2018-12-13,49.8,50.6,49.1,49.25,2292263
2018-12-14,49.25,51.55,49.05,50.95,2469090
2018-12-17,51.4,51.4,49.9,50.25,1899041
2018-12-18,50.4,50.6,49.55,50.15,1815375
2018-12-19,50.2,50.4,48.85,49.1,1918981
2018-12-20,49.25,49.75,48.25,48.55,3581609
2018-12-21,48.5,48.95,48.15,48.35,1532735
2018-12-24,48.05,48.4,46.75,46.9,1437526
2018-12-26,46.8,46.9,44.9,46.7,1596901
2018-12-27,47.05,47.45,45.85,46.1,2111157
2018-12-28,46.5,47.0,45.75,45.9,2029824
2018-12-31,45.6,46.25,45.6,45.9,1331532
2019-01-01,46.3,48.15,45.9,47.55,2201383
2019-01-02,47.75,48.6,47.05,47.35,2471654
2019-01-03,47.55,47.85,45.25,45.85,2462865
2019-01-04,46.0,46.2,45.25,45.8,1138821
2019-01-07,46.05,46.65,45.7,45.85,943404
2019-01-08,45.85,46.45,45.4,46.1,1200956
2019-01-09,46.65,47.4,46.05,46.35,1622821
2019-01-10,46.4,46.55,45.65,46.05,1272063
2019-01-11,46.2,48.1,46.0,47.6,2686212
2019-01-14,48.1,48.7,47.45,48.15,2812959
2019-01-15,48.45,52.35,48.05,52.0,5422451
2019-01-16,51.7,52.3,51.05,51.4,2478302
2019-01-17,51.45,51.65,48.55,49.25,2579282
2019-01-18,49.6,50.05,48.15,48.35,1574901
2019-01-21,48.05,50.9,47.65,49.25,2582242
2019-01-22,49.3,49.4,47.95,48.3,1086525
2019-01-23,48.3,49.3,47.95,48.1,883488
2019-01-24,48.45,48.45,47.4,47.85,1707912
2019-01-25,48.15,48.75,46.7,46.95,1467054
2019-01-28,47.15,47.3,42.8,46.25,2909093
