date,open,high,low,close,volume
2018-07-05,262.85,264.35,261.45,262.15,30960
2018-07-06,259.0,265.85,259.0,263.05,66534
2018-07-09,263.05,267.25,262.9,265.8,65076
2018-07-10,266.8,267.25,261.0,262.15,259968
2018-07-11,262.7,266.3,260.0,261.4,124087
2018-07-12,265.25,267.1,259.55,261.25,148618
2018-07-13,262.25,262.9,256.05,258.3,68343
2018-07-16,260.65,262.0,254.15,254.65,84657
2018-07-17,258.95,258.95,253.35,256.1,78483
2018-07-18,257.05,258.45,245.5,246.65,214518
2018-07-19,241.45,241.45,233.7,239.6,320803
2018-07-20,239.55,240.15,225.0,232.0,197172
2018-07-23,232.0,240.4,229.95,236.9,95664
2018-07-24,233.7,247.6,233.7,241.4,162408
2018-07-25,241.2,246.0,240.05,241.65,136377
2018-07-26,243.15,245.95,240.15,241.7,113587
2018-07-27,242.1,251.2,241.6,250.0,203949
2018-07-30,250.0,255.1,242.0,247.0,124887
2018-07-31,246.05,248.3,239.55,241.35,134793
2018-08-01,241.65,244.4,239.65,241.0,67803
2018-08-02,241.0,245.4,239.55,240.7,95609
2018-08-03,241.7,244.2,240.75,241.85,35539
2018-08-06,243.85,250.0,242.7,247.55,123570
2018-08-07,250.0,250.7,243.55,244.25,97689
2018-08-08,244.25,246.65,242.5,243.1,299497
2018-08-09,245.1,245.3,240.5,243.8,54420
2018-08-10,245.25,246.75,242.45,244.0,54470
2018-08-13,243.45,244.3,239.6,240.95,36256
2018-08-14,240.65,243.25,237.1,238.35,74958
2018-08-16,242.0,242.0,236.45,237.35,35306
2018-08-17,238.55,243.35,237.6,238.1,53296
2018-08-20,238.35,240.9,237.6,238.3,47405
2018-08-21,238.3,243.3,238.3,239.9,132428
2018-08-23,240.0,257.05,238.2,253.15,626169
2018-08-24,255.05,256.1,243.3,244.5,308698
2018-08-27,244.5,246.35,239.35,243.8,460447
2018-08-28,244.4,251.5,242.55,244.95,510027
2018-08-29,245.4,246.1,242.95,244.4,112984
2018-08-30,247.25,261.75,243.55,252.95,508187
2018-08-31,252.25,253.1,247.4,249.85,97726
2018-09-03,250.25,259.0,249.25,250.9,239824
2018-09-04,251.7,253.8,246.55,252.4,176023
2018-09-05,253.15,253.15,246.75,248.6,133876
2018-09-06,250.15,255.6,249.4,254.8,89756
2018-09-07,256.5,257.95,251.25,255.75,105868
2018-09-10,256.1,257.55,247.6,248.65,93763
2018-09-11,249.3,251.2,245.4,246.25,92544
2018-09-12,248.5,251.2,245.95,247.6,100730
2018-09-14,249.2,251.25,245.4,245.95,103743
2018-09-17,245.9,250.95,243.5,246.05,185595
2018-09-18,247.7,247.7,244.4,244.55,52372
2018-09-19,245.5,246.85,243.5,245.55,120449
2018-09-21,247.8,247.8,230.8,232.95,258213
2018-09-24,234.2,242.3,220.3,228.75,164908
2018-09-25,229.7,229.7,224.0,228.05,94552
2018-09-26,226.0,233.75,226.0,232.15,67139
2018-09-27,232.25,232.25,224.05,225.6,98662
2018-09-28,227.35,228.85,208.4,212.25,134667
2018-10-01,214.05,214.05,192.95,209.35,199507
2018-10-03,206.45,217.15,197.45,204.35,150349
2018-10-04,204.55,208.7,200.6,206.6,111026
2018-10-05,210.35,210.35,203.3,204.9,178523
2018-10-08,203.75,209.35,192.2,205.85,310999
2018-10-09,205.55,208.9,197.85,200.25,47545
2018-10-10,205.45,211.55,202.35,205.25,178282
2018-10-11,196.7,203.15,196.7,199.95,49779
2018-10-12,201.1,207.2,201.1,203.2,54628
2018-10-15,206.45,210.35,203.25,208.35,92262
2018-10-16,214.4,224.9,212.35,217.25,325040
2018-10-17,220.0,222.0,204.8,207.1,71634
2018-10-19,206.55,208.9,201.25,203.3,207087
2018-10-22,207.2,209.35,196.7,197.15,95425
2018-10-23,194.5,197.65,192.25,193.8,148391
2018-10-24,195.25,198.1,187.05,190.5,380064
2018-10-25,188.05,193.5,184.05,188.05,148154
2018-10-26,190.85,192.9,184.5,187.25,70244
2018-10-29,187.1,198.95,187.1,195.45,128883
2018-10-30,195.3,205.15,195.15,202.2,76378
2018-10-31,202.2,223.9,201.45,221.6,491099
2018-11-01,224.3,225.65,214.35,215.75,155776
2018-11-02,216.25,223.0,205.5,210.3,302101
2018-11-05,209.4,214.2,204.6,206.5,95130
2018-11-06,207.4,215.3,207.4,209.65,129594
2018-11-09,213.25,217.7,211.85,213.25,86690
2018-11-12,214.2,217.85,211.3,212.35,50854
2018-11-13,213.7,214.2,211.7,213.55,35026
2018-11-14,214.7,225.4,211.3,218.15,295603
2018-11-15,218.1,219.6,214.9,216.45,52522
2018-11-16,218.0,218.0,212.2,212.75,41466
2018-11-19,208.4,212.3,200.05,209.75,147608
2018-11-20,209.35,212.3,207.4,208.8,22650
2018-11-21,208.8,212.3,206.6,208.8,53979
2018-11-22,210.7,212.3,206.95,207.9,33013
2018-11-26,206.7,209.85,201.65,202.35,45337
2018-11-27,203.9,203.9,200.95,202.65,43128
2018-11-28,202.65,203.5,199.8,200.05,32600
2018-11-29,200.6,219.0,199.7,212.85,327298
2018-11-30,212.3,223.45,211.8,219.8,194404
2018-12-03,223.35,223.35,215.75,218.25,43597
2018-12-04,214.8,229.5,214.8,222.6,274678
2018-12-05,223.0,226.9,218.1,223.5,102092
2018-12-06,221.1,222.25,215.2,216.7,44273
2018-12-07,217.65,220.55,210.5,212.55,47117
2018-12-10,209.4,218.05,207.85,213.15,71484
2018-12-11,208.55,217.55,208.55,214.05,44544
