date,open,high,low,close,volume
2018-07-05,1420.3,1426.2,1399.4,1404.6,31136
2018-07-06,1410.6,1413.5,1391.0,1396.9,21478
2018-07-09,1401.8,1413.5,1390.7,1396.8,14546
2018-07-10,1406.0,1406.0,1385.7,1396.8,20614
2018-07-11,1389.7,1398.4,1372.6,1384.0,15782
2018-07-12,1389.6,1393.8,1375.5,1387.4,15948
2018-07-13,1380.0,1393.8,1365.4,1388.2,17866
2018-07-16,1375.2,1386.5,1367.7,1375.3,16388
2018-07-17,1375.0,1412.0,1365.2,1380.8,30492
2018-07-18,1376.0,1394.4,1348.2,1357.1,27862
2018-07-19,1357.4,1361.8,1340.9,1350.9,15756
2018-07-20,1343.4,1353.1,1332.1,1350.2,12298
2018-07-23,1365.2,1365.2,1346.2,1355.8,15218
2018-07-24,1374.4,1584.2,1353.1,1537.0,515392
2018-07-25,1537.1,1548.5,1505.9,1527.4,93108
2018-07-26,1527.4,1548.0,1523.7,1541.7,44626
2018-07-27,1545.7,1563.7,1523.7,1550.4,44736
2018-07-30,1556.8,1564.7,1532.5,1543.5,29630
2018-07-31,1538.3,1561.7,1528.7,1554.9,26846
2018-08-01,1542.2,1557.3,1540.3,1552.9,21934
2018-08-02,1553.0,1562.7,1548.2,1555.7,21042
2018-08-03,1555.7,1613.9,1549.6,1606.0,97320
2018-08-06,1612.0,1613.9,1584.7,1589.7,34802
2018-08-07,1589.7,1604.0,1584.7,1593.4,21036
2018-08-08,1593.9,1628.5,1593.4,1603.2,46302
2018-08-09,1613.9,1621.2,1601.7,1606.5,20664
2018-08-10,1606.6,1613.9,1589.5,1602.7,17996
2018-08-13,1602.7,1612.9,1589.5,1593.0,18092
2018-08-14,1596.9,1606.6,1589.6,1603.1,13648
2018-08-16,1609.0,1619.8,1592.0,1596.1,21638
2018-08-17,1609.0,1646.0,1596.9,1608.8,56660
2018-08-20,1612.9,1656.8,1611.5,1630.6,42604
2018-08-21,1637.2,1638.3,1616.5,1624.5,24570
2018-08-23,1622.5,1652.2,1621.7,1626.8,42032
2018-08-24,1627.6,1645.1,1615.6,1639.4,53020
2018-08-27,1648.0,1677.3,1640.7,1648.2,89256
2018-08-28,1660.5,1666.6,1624.6,1635.5,94100
2018-08-29,1640.7,1653.4,1622.3,1628.9,45172
2018-08-30,1628.5,1657.8,1623.7,1651.6,44604
2018-08-31,1669.0,1694.3,1651.0,1671.6,126050
2018-09-03,1686.1,1714.8,1678.3,1692.2,101614
2018-09-04,1705.1,1705.1,1666.6,1679.1,85400
2018-09-05,1691.3,1694.2,1665.6,1683.7,47902
2018-09-06,1687.1,1695.0,1679.7,1688.0,41986
2018-09-07,1699.2,1730.3,1682.7,1705.2,167168
2018-09-10,1705.2,1755.3,1705.2,1750.5,171622
2018-09-11,1755.3,1755.4,1679.3,1705.1,73834
2018-09-12,1696.8,1732.9,1658.8,1679.0,30085
2018-09-14,1691.6,1700.7,1665.6,1673.6,29717
2018-09-17,1681.2,1691.9,1648.1,1656.4,13244
2018-09-18,1667.6,1670.0,1619.8,1625.5,14526
2018-09-19,1656.7,1656.7,1560.3,1621.7,31327
2018-09-21,1648.0,1651.9,1384.7,1569.5,47713
2018-09-24,1584.2,1584.2,1450.1,1467.6,44610
2018-09-25,1466.7,1466.7,1418.9,1432.3,28284
2018-09-26,1453.0,1491.0,1438.4,1480.9,15391
2018-09-27,1490.9,1490.9,1440.4,1460.7,11876
2018-09-28,1450.4,1474.2,1385.7,1413.3,18892
2018-10-01,1424.6,1424.6,1373.0,1414.6,14986
2018-10-03,1430.4,1438.2,1399.4,1426.9,10811
2018-10-04,1414.0,1414.0,1294.4,1327.0,55002
2018-10-05,1326.2,1365.2,1316.5,1326.5,22596
2018-10-08,1326.2,1326.2,1267.7,1299.8,24085
2018-10-09,1299.8,1330.1,1277.5,1314.0,21911
2018-10-10,1336.0,1393.3,1317.1,1368.4,18484
2018-10-11,1359.3,1359.3,1324.1,1338.6,8638
