date,open,high,low,close,volume
2018-07-05,7.85,8.05,7.55,7.7,50138
2018-07-06,7.55,7.9,7.55,7.7,13416
2018-07-09,7.9,8.85,7.4,8.1,46432
2018-07-10,7.95,8.1,7.75,7.9,24152
2018-07-11,7.85,7.9,7.5,7.7,17456
2018-07-12,7.75,8.1,7.55,7.8,36346
2018-07-13,7.7,7.85,7.45,7.6,9832
2018-07-16,7.8,7.8,6.95,7.1,15226
2018-07-17,7.0,7.2,6.6,6.9,26664
2018-07-18,6.95,7.3,6.85,6.9,21678
2018-07-19,6.7,8.1,6.3,6.5,198952
2018-07-20,6.5,6.7,6.3,6.4,33360
2018-07-23,6.4,6.7,6.3,6.5,19734
2018-07-24,6.4,6.85,6.2,6.65,62398
2018-07-25,6.7,6.95,6.5,6.5,303302
2018-07-26,6.6,6.6,6.4,6.5,11252
2018-07-27,6.4,6.7,6.05,6.4,150724
2018-07-30,6.4,6.55,6.1,6.35,66312
2018-07-31,6.4,6.7,6.3,6.6,47920
2018-08-01,6.7,7.0,6.6,6.9,27200
2018-08-02,6.85,7.7,6.6,7.35,87648
2018-08-03,7.7,8.2,7.35,7.95,84104
2018-08-06,8.0,8.25,7.7,8.0,42376
2018-08-07,8.2,8.4,7.75,7.95,49924
2018-08-08,7.9,7.9,7.5,7.8,16754
2018-08-09,7.6,7.8,7.2,7.6,9296
2018-08-10,7.45,7.8,7.45,7.55,16932
2018-08-13,7.6,7.7,6.7,7.55,24870
2018-08-14,7.7,7.95,7.0,7.35,58648
2018-08-16,7.2,7.4,7.05,7.25,14004
2018-08-17,7.6,7.95,6.95,7.3,24352
2018-08-20,7.1,7.55,7.1,7.3,24554
2018-08-21,7.4,7.45,7.1,7.2,37512
2018-08-23,7.4,7.4,6.9,7.0,48646
2018-08-24,7.0,7.2,6.9,7.1,10772
2018-08-27,7.1,7.1,6.8,6.9,34222
2018-08-28,7.0,7.1,6.85,6.95,14494
2018-08-29,7.15,7.15,6.75,6.9,21206
2018-08-30,7.1,7.2,6.7,6.9,74776
2018-08-31,6.8,7.4,6.7,7.1,85394
2018-09-03,7.2,7.2,6.65,6.8,74380
2018-09-04,6.9,6.9,6.8,6.85,22928
2018-09-05,6.75,6.9,6.5,6.65,33222
2018-09-06,6.65,6.8,6.5,6.55,26432
2018-09-07,6.5,6.7,6.4,6.5,40106
2018-09-10,6.6,6.6,6.3,6.5,23334
2018-09-11,6.5,6.6,6.4,6.4,10110
2018-09-12,6.6,6.6,5.9,6.0,124014
2018-09-14,6.0,6.4,6.0,6.1,25954
2018-09-17,6.0,6.35,5.95,6.3,27568
2018-09-18,6.45,6.5,6.0,6.0,32700
2018-09-19,6.0,6.1,5.7,5.9,30076
2018-09-21,6.1,6.1,5.55,5.8,35944
2018-09-24,5.7,6.35,5.1,6.0,47424
2018-09-25,5.9,6.1,5.6,5.8,55620
2018-09-26,5.7,5.9,5.6,5.7,16264
2018-09-27,5.6,5.9,5.5,5.6,37978
2018-09-28,5.6,5.9,5.5,5.5,19042
2018-10-01,5.5,5.8,5.0,5.6,35484
2018-10-03,5.85,5.9,5.5,5.7,22448
2018-10-04,5.5,5.75,5.5,5.5,20182
2018-10-05,5.5,5.75,5.5,5.6,19030
2018-10-08,5.85,5.85,5.45,5.5,56332
