date,open,high,low,close,volume
2018-07-05,21.25,22.65,21.2,21.75,1074720
2018-07-06,21.55,22.15,20.85,21.2,827740
2018-07-09,20.95,21.9,20.2,20.75,1373020
2018-07-10,20.3,21.8,20.3,21.8,1022960
2018-07-11,22.15,22.9,21.8,22.1,4071440
2018-07-12,22.7,22.7,21.6,22.0,722460
2018-07-13,22.0,22.45,21.15,21.55,337720
2018-07-16,22.2,22.2,20.45,20.45,474900
2018-07-17,19.85,21.0,19.85,20.35,439040
2018-07-18,20.5,21.2,19.7,19.8,939580
2018-07-19,19.8,20.05,18.8,18.8,1461180
2018-07-20,18.3,19.05,18.1,18.4,847800
2018-07-23,19.3,19.3,18.6,19.1,714160
2018-07-24,19.4,20.05,19.4,20.05,359640
2018-07-25,21.05,21.05,21.05,21.05,152620
2018-07-26,21.45,22.1,20.1,21.75,2385220
2018-07-27,21.9,22.85,21.45,21.85,3954580
2018-07-30,21.2,21.5,20.8,20.85,2221240
2018-07-31,20.85,21.9,20.55,21.1,1909640
2018-08-01,21.5,21.65,20.95,21.0,882280
2018-08-02,20.75,21.75,20.75,21.0,1691580
2018-08-03,21.0,22.05,20.75,22.05,5145120
2018-08-06,22.4,23.15,21.45,22.2,6275960
2018-08-07,22.0,23.35,21.7,23.35,5713400
2018-08-08,23.55,23.6,21.6,22.85,5957560
2018-08-09,22.55,23.4,22.3,22.5,4220420
2018-08-10,22.7,23.0,21.85,21.9,1945500
2018-08-13,21.75,22.2,21.05,21.2,2242740
2018-08-14,21.25,21.7,21.05,21.15,697380
2018-08-16,21.15,24.75,21.0,22.5,18412060
2018-08-17,22.65,23.6,22.65,22.95,4900700
2018-08-20,23.0,24.15,22.5,23.4,5171060
2018-08-21,23.6,24.25,23.4,23.8,3480800
2018-08-23,23.95,24.6,23.25,24.45,4496180
2018-08-24,24.7,26.95,24.7,26.15,13808600
2018-08-27,26.4,27.15,26.4,26.8,6418900
2018-08-28,27.1,27.45,25.4,26.55,6581440
2018-08-29,26.6,27.15,26.25,26.75,4863560
2018-08-30,26.75,28.4,26.75,26.95,8057920
2018-08-31,26.75,27.2,26.15,26.3,2408260
2018-09-03,26.5,27.15,25.75,26.4,4767240
2018-09-04,26.4,26.65,25.3,25.5,3615380
2018-09-05,25.5,26.0,24.45,25.15,3238260
2018-09-06,25.4,26.75,25.35,26.35,4519120
2018-09-07,26.5,27.5,26.2,27.2,6281900
2018-09-10,27.3,29.35,27.2,28.55,10111920
2018-09-11,29.0,29.25,27.7,27.9,4376320
2018-09-12,28.0,28.0,26.1,26.8,5210800
2018-09-14,27.0,27.4,26.6,26.85,3003780
2018-09-17,26.4,27.3,26.35,26.7,2791600
2018-09-18,26.7,27.75,26.1,26.25,2928640
2018-09-19,26.45,26.7,25.1,25.4,3089580
2018-09-21,25.65,26.15,21.05,24.55,6012960
2018-09-24,24.75,24.9,22.5,22.65,2852060
2018-09-25,22.5,22.95,20.6,21.1,4940280
2018-09-26,21.75,22.95,21.5,22.6,3207040
2018-09-27,22.4,23.2,22.0,22.5,1864060
2018-09-28,22.95,23.1,19.8,21.1,5329640
2018-10-01,20.15,21.1,18.55,20.4,2281920
2018-10-03,20.5,22.25,20.0,20.85,2768920
2018-10-04,20.2,20.7,19.9,20.15,1864820
2018-10-05,19.95,20.75,19.25,19.5,1325600
2018-10-08,19.2,20.35,18.5,19.15,2021320
2018-10-09,19.35,19.85,19.05,19.25,1029680
2018-10-10,19.4,21.05,19.4,20.65,2460100
2018-10-11,19.9,21.15,19.05,20.85,2519860
2018-10-12,21.7,22.35,21.25,21.35,1806620
2018-10-15,21.2,22.25,20.95,21.6,2612360
2018-10-16,21.65,22.1,21.6,21.75,1235480
2018-10-17,22.0,23.0,21.1,21.35,1587220
2018-10-19,21.0,21.4,20.05,20.6,715520
2018-10-22,21.0,21.2,19.2,19.7,977500
2018-10-23,19.4,19.85,18.7,19.35,1529880
2018-10-24,19.9,20.25,19.25,19.75,1382540
2018-10-25,19.55,19.7,18.8,19.1,1222320
2018-10-26,19.25,20.6,18.95,19.5,4447040
2018-10-29,19.25,20.25,19.1,19.5,3227220
2018-10-30,19.6,19.8,19.0,19.05,1200740
2018-10-31,19.15,19.5,18.4,19.05,889400
2018-11-01,19.3,19.55,18.95,19.15,1120720
2018-11-02,19.35,20.65,19.3,19.9,2883000
2018-11-05,20.2,20.2,19.3,19.4,854120
