date,open,high,low,close,volume
2018-07-05,100.94,103.54,100.05,103.07,190615
2018-07-06,103.74,106.75,101.94,105.57,192545
2018-07-09,108.55,115.58,106.85,114.3,849645
2018-07-10,114.21,114.77,112.42,114.3,187770
2018-07-11,113.31,114.11,111.76,113.36,1817503
2018-07-12,113.08,117.94,112.55,113.59,720654
2018-07-13,113.26,114.44,112.09,113.41,92483
2018-07-16,111.43,113.08,109.96,111.28,101409
2018-07-17,109.16,111.23,108.55,108.83,55379
2018-07-18,108.6,109.63,105.24,106.42,61910
2018-07-19,106.14,108.97,104.68,107.94,83453
2018-07-20,107.03,109.49,105.95,108.55,59108
2018-07-23,108.55,110.67,106.9,109.16,34909
2018-07-24,108.83,114.02,108.17,112.75,65794
2018-07-25,112.32,115.63,110.15,113.22,1607298
2018-07-26,112.98,113.26,107.23,109.59,112643
2018-07-27,109.59,109.96,107.74,108.88,648211
2018-07-30,109.49,111.66,108.83,109.21,330430
2018-07-31,109.21,109.72,108.64,109.44,94780
2018-08-01,107.84,108.02,105.9,106.61,133246
2018-08-02,106.61,108.4,105.9,106.9,444556
2018-08-03,105.52,109.11,105.52,108.64,114162
2018-08-06,108.55,109.39,107.18,108.68,60011
2018-08-07,109.49,109.59,108.55,108.64,27734
2018-08-08,106.9,110.53,106.9,109.16,71438
2018-08-09,109.59,110.15,104.96,108.4,469107
2018-08-10,108.17,108.68,101.75,102.6,268847
2018-08-13,104.77,105.67,102.22,102.36,137974
2018-08-14,104.15,105.34,102.69,103.82,115623
2018-08-16,103.78,104.58,101.94,102.13,45926
2018-08-17,102.27,104.44,102.27,102.74,50440
2018-08-20,104.15,104.77,101.94,102.41,53188
2018-08-21,102.41,103.26,101.23,101.89,195218
2018-08-23,103.82,103.82,101.94,102.36,63160
2018-08-24,102.46,106.56,101.89,103.69,264145
2018-08-27,102.32,104.63,102.08,102.46,559729
2018-08-28,102.98,106.09,101.23,101.94,3528137
2018-08-29,105.24,106.47,102.98,104.15,696321
2018-08-30,104.35,106.9,104.35,106.19,274705
2018-08-31,105.81,106.33,103.92,104.86,597248
2018-09-03,104.3,105.72,102.69,102.98,97173
2018-09-04,103.16,103.82,101.09,101.42,76300
