date,open,high,low,close,volume
2018-07-05,103.28,104.4,101.67,102.54,740524
2018-07-06,102.3,105.28,101.18,104.3,1070334
2018-07-09,105.47,107.38,104.69,106.79,947665
2018-07-10,108.7,112.55,107.43,110.85,3732981
2018-07-11,111.14,111.14,108.5,108.84,959956
2018-07-12,109.09,110.8,106.21,107.38,1029322
2018-07-13,106.84,107.13,103.86,105.23,936940
2018-07-16,105.28,105.28,100.1,100.69,928413
2018-07-17,101.18,104.4,99.71,103.37,913264
2018-07-18,103.57,104.25,99.61,100.15,1244717
2018-07-19,100.3,100.98,98.64,98.93,1323315
2018-07-20,98.83,99.96,98.15,99.22,800085
2018-07-23,99.61,102.74,99.13,102.3,1519359
2018-07-24,102.54,108.7,102.54,107.09,2729186
2018-07-25,107.67,108.16,105.38,106.11,1159007
2018-07-26,105.96,108.06,105.43,106.69,1201730
2018-07-27,107.48,110.16,106.06,108.79,1374457
2018-07-30,109.04,115.97,109.04,115.53,4393654
2018-07-31,116.36,118.07,112.12,113.92,4054403
2018-08-01,115.24,117.19,112.85,113.58,4959941
2018-08-02,113.19,113.19,110.36,112.07,1428522
2018-08-03,112.6,114.75,111.72,114.02,1476602
2018-08-06,114.02,115.58,112.9,113.34,1074927
2018-08-07,113.38,113.97,110.65,111.48,780663
2018-08-08,111.43,112.95,110.5,111.24,812263
2018-08-09,112.31,115.58,111.53,114.36,2357924
2018-08-10,114.65,114.85,111.38,112.02,1571464
2018-08-13,110.85,111.09,108.01,109.28,937790
2018-08-14,109.38,110.7,108.06,108.99,706561
2018-08-16,107.82,110.06,107.62,108.26,548464
2018-08-17,108.45,112.07,108.45,111.38,1147706
2018-08-20,111.87,113.29,110.16,112.31,1166518
2018-08-21,112.26,114.17,111.19,113.19,1339922
2018-08-23,113.34,113.58,110.16,110.6,1175489
2018-08-24,111.09,111.72,109.87,110.85,923230
2018-08-27,111.28,115.48,110.85,114.8,2831001
2018-08-28,117.68,119.83,115.88,116.8,5795617
2018-08-29,116.41,119.05,115.73,116.31,2300745
2018-08-30,117.14,118.17,115.92,117.73,1846956
2018-08-31,117.58,118.95,116.22,117.34,1007115
2018-09-03,117.34,121.88,117.05,118.46,3530889
2018-09-04,118.07,118.46,113.04,113.68,1799585
2018-09-05,112.7,114.95,111.87,114.41,2162023
2018-09-06,114.7,115.63,113.43,115.0,612489
2018-09-07,115.09,116.61,113.92,115.68,851550
2018-09-10,115.19,116.51,113.34,113.78,779897
