date,open,high,low,close,volume
2018-07-05,9.85,9.85,8.96,9.09,17783493
2018-07-06,9.13,9.47,9.05,9.26,9881704
2018-07-09,9.3,9.76,9.26,9.64,8663499
2018-07-10,9.68,9.97,9.6,9.72,8634782
2018-07-11,9.72,9.89,9.47,9.68,11920150
2018-07-12,9.76,10.1,9.51,9.55,11759025
2018-07-13,9.51,9.6,9.01,9.18,9328976
2018-07-16,9.18,9.26,8.54,8.59,11288217
2018-07-17,8.59,8.84,8.42,8.59,10336853
2018-07-18,8.63,8.75,8.04,8.08,15009416
2018-07-19,8.17,8.38,7.91,8.0,8894468
2018-07-20,8.04,8.08,7.62,8.0,11290005
2018-07-23,8.04,8.59,7.79,8.46,14574222
2018-07-24,8.5,10.02,8.42,9.89,43335553
2018-07-25,9.89,10.06,9.09,9.22,20073241
2018-07-26,9.13,9.26,8.71,8.92,11210553
2018-07-27,8.96,9.6,8.75,9.34,18128231
2018-07-30,9.39,9.47,9.26,9.34,6623335
2018-07-31,9.34,9.68,9.3,9.47,10564830
2018-08-01,9.51,9.6,9.34,9.47,6570018
2018-08-02,9.47,9.47,9.22,9.3,8470255
2018-08-03,9.47,9.68,9.34,9.47,9474998
2018-08-06,9.51,9.55,9.26,9.34,4974322
2018-08-07,9.39,9.47,9.13,9.3,5262091
2018-08-08,9.47,9.51,8.96,9.26,18430993
2018-08-09,8.84,10.69,8.71,10.52,56495881
2018-08-10,10.52,10.56,9.64,9.89,14231920
2018-08-13,9.6,9.85,9.47,9.6,8964994
2018-08-14,9.6,9.81,9.34,9.47,10667959
2018-08-16,9.51,10.69,9.34,10.06,27866390
2018-08-17,10.1,10.61,10.1,10.35,14801834
2018-08-20,10.4,12.67,10.4,12.29,88827121
2018-08-21,12.75,13.13,12.33,12.46,95619582
2018-08-23,12.54,12.54,11.91,12.29,31235806
2018-08-24,12.29,12.54,12.04,12.16,19618228
2018-08-27,12.25,12.33,11.62,11.78,13030334
2018-08-28,11.57,12.16,11.2,11.62,23449805
2018-08-29,11.7,12.04,11.49,11.83,20949716
2018-08-30,11.87,12.33,11.62,11.78,12735820
2018-08-31,11.7,11.7,10.73,11.49,26450498
2018-09-03,11.49,12.5,11.15,12.08,47767283
2018-09-04,12.33,12.46,11.7,11.91,33018265
2018-09-05,11.78,12.12,11.49,11.7,27241685
2018-09-06,11.87,12.21,11.66,11.95,27845604
2018-09-07,12.16,12.25,11.83,12.08,12089609
2018-09-10,12.08,12.08,11.87,11.95,7892098
2018-09-11,12.04,12.12,11.53,11.62,7781282
2018-09-12,11.7,11.95,11.32,11.62,21874469
2018-09-14,11.87,11.91,11.66,11.74,8184839
2018-09-17,11.62,12.63,11.53,12.33,21428025
2018-09-18,12.29,12.37,11.32,11.45,15895812
2018-09-19,11.53,11.66,10.86,11.24,15061922
2018-09-21,11.57,11.57,9.01,9.89,27002790
