date,open,high,low,close,volume
2018-07-05,287.15,287.15,281.55,282.65,2950
2018-07-06,281.55,286.3,278.9,280.25,2272
2018-07-09,280.25,287.15,279.35,285.05,3705
2018-07-10,286.35,286.35,280.6,283.2,9701
2018-07-11,282.9,292.2,281.1,287.05,6869
2018-07-12,288.25,293.2,283.65,286.1,10008
2018-07-13,285.65,286.15,280.4,283.35,2128
2018-07-16,286.8,289.6,279.25,281.1,15630
2018-07-17,282.1,287.2,281.0,285.5,7877
2018-07-18,289.15,289.45,276.45,278.85,15409
2018-07-19,275.4,284.65,275.4,281.2,6900
2018-07-20,281.45,283.75,271.3,275.3,3561
2018-07-23,278.85,283.75,275.2,282.3,4007
2018-07-24,283.8,283.8,278.15,280.1,25735
2018-07-25,282.35,282.55,272.4,278.35,414910
2018-07-26,281.2,281.35,271.35,273.45,6394
2018-07-27,275.85,276.85,269.35,270.25,6222
2018-07-30,268.45,275.2,268.45,273.3,307780
2018-07-31,274.35,278.9,270.35,278.0,8025
2018-08-01,278.35,280.25,273.65,274.8,8779
2018-08-02,277.75,279.3,271.3,272.35,52475
2018-08-03,275.85,278.3,271.8,273.45,8509
2018-08-06,268.7,287.15,268.7,284.0,17593
2018-08-07,285.9,285.9,274.3,276.0,6149
2018-08-08,273.3,276.4,271.8,273.1,4575
2018-08-09,274.2,279.15,270.5,271.3,31857
2018-08-10,268.45,273.3,254.55,257.7,444046
2018-08-13,260.4,260.4,230.55,246.5,72203
2018-08-14,248.35,253.45,239.75,244.05,21355
2018-08-16,247.6,249.35,243.4,246.45,14394
2018-08-17,247.95,252.7,243.45,248.75,19098
2018-08-20,246.55,252.45,244.05,246.4,5620
2018-08-21,251.25,251.25,239.0,243.95,19627
2018-08-23,245.8,249.65,241.85,246.2,7586
2018-08-24,247.4,253.45,239.55,241.3,9908
2018-08-27,244.85,288.1,243.2,272.05,349419
2018-08-28,273.3,274.3,263.4,270.15,29177
2018-08-29,274.15,274.15,264.35,264.6,8289
2018-08-30,264.65,264.65,250.4,255.25,16428
2018-08-31,260.3,260.3,248.8,254.2,13020
2018-09-03,256.65,260.4,253.45,253.75,9872
2018-09-04,256.0,256.35,251.45,254.0,9846
2018-09-05,257.75,257.75,250.5,251.55,6581
2018-09-06,254.65,263.65,251.2,256.4,170510
2018-09-07,258.2,258.2,250.55,251.6,6437
2018-09-10,254.55,259.4,249.0,250.1,4048
2018-09-11,253.05,253.2,239.75,242.15,9754
2018-09-12,244.5,244.5,238.55,239.4,6019
2018-09-14,235.9,246.45,235.9,242.95,4382
2018-09-17,240.5,253.45,240.5,246.6,5559
2018-09-18,242.95,248.1,242.95,245.45,2984
2018-09-19,247.65,249.45,240.05,242.8,4700
2018-09-21,242.2,252.85,218.6,233.7,23673
2018-09-24,233.65,244.9,219.0,230.3,9477
2018-09-25,232.45,232.45,219.3,222.45,9388
2018-09-26,225.75,236.5,219.75,222.1,7067
2018-09-27,223.75,225.6,213.7,218.9,8019
2018-09-28,218.65,218.65,209.9,213.35,15213
2018-10-01,213.35,213.35,197.8,199.4,23359
2018-10-03,200.75,218.65,198.75,212.4,20346
2018-10-04,215.15,219.8,208.35,213.65,16409
2018-10-05,213.6,213.7,208.7,211.2,8230
2018-10-08,204.1,217.65,204.1,209.85,7114
2018-10-09,212.95,215.7,208.35,208.95,49991
2018-10-10,210.75,217.35,210.4,213.65,7938
2018-10-11,213.0,221.75,203.75,214.2,6832
2018-10-12,216.2,223.75,215.15,216.8,2163
2018-10-15,225.6,225.6,213.7,217.85,3762
2018-10-16,218.65,220.4,210.25,218.75,3217
2018-10-17,221.65,257.4,220.7,225.85,201340
2018-10-19,226.35,231.95,221.65,224.95,5807
2018-10-22,226.6,241.3,222.6,225.95,37781
2018-10-23,222.55,236.95,218.95,228.95,3852
2018-10-24,225.75,233.0,225.7,229.45,2980
2018-10-25,226.1,235.75,219.0,227.85,3987
2018-10-26,229.55,233.55,222.65,228.0,5513
2018-10-29,229.15,231.55,225.5,227.7,37086
