date,open,high,low,close,volume
2018-07-05,745.0,767.75,721.05,722.9,2125755
2018-07-06,724.8,739.8,709.0,717.65,1117260
2018-07-09,736.8,753.55,727.2,753.05,1022725
2018-07-10,766.0,778.0,758.0,769.8,1026100
2018-07-11,771.65,788.0,748.0,781.25,1228220
2018-07-12,784.0,791.95,770.1,780.0,798905
2018-07-13,770.6,772.8,749.4,758.1,880760
2018-07-16,761.4,765.0,738.0,742.85,465280
2018-07-17,745.0,780.0,734.15,780.0,980815
2018-07-18,796.0,818.0,791.2,797.25,1472215
2018-07-19,798.2,816.0,795.1,808.55,972805
2018-07-20,812.0,829.0,806.45,824.55,1069495
2018-07-23,834.8,837.45,810.0,813.7,665530
2018-07-24,810.0,815.55,775.4,782.0,885275
2018-07-25,789.6,812.0,785.6,802.9,631020
2018-07-26,805.0,824.0,805.0,821.05,651210
2018-07-27,828.0,829.8,812.0,815.4,506490
2018-07-30,820.0,827.8,806.55,821.95,559815
2018-07-31,825.8,863.05,820.8,859.35,1671560
2018-08-01,870.0,880.8,860.0,868.75,1191260
2018-08-02,908.4,908.4,850.2,865.75,3063390
2018-08-03,890.0,890.0,850.4,857.35,1989855
2018-08-06,863.8,870.4,823.15,838.25,1224820
2018-08-07,845.0,848.6,751.0,795.2,2983770
2018-08-08,792.0,880.0,774.95,863.75,4402860
2018-08-09,869.4,891.8,868.0,877.55,1958240
2018-08-10,879.8,883.6,862.4,866.75,1118225
2018-08-13,856.0,857.0,811.0,836.15,1763580
2018-08-14,839.2,863.2,834.0,837.4,840185
2018-08-16,829.6,867.6,825.0,841.45,1345915
2018-08-17,850.8,854.55,842.65,848.7,559630
2018-08-20,846.2,855.6,822.6,826.3,971620
2018-08-21,832.0,849.0,820.4,838.7,1273315
2018-08-23,844.4,844.4,808.8,812.0,1197740
2018-08-24,812.0,830.75,806.4,814.3,900235
2018-08-27,828.0,862.0,824.1,842.4,2041580
2018-08-28,846.8,850.0,834.0,843.2,985770
2018-08-29,841.0,848.75,827.45,832.15,648670
2018-08-30,838.0,844.0,833.0,839.2,459475
2018-08-31,840.6,858.0,833.0,848.1,896550
2018-09-03,863.8,867.6,847.0,852.35,499350
2018-09-04,851.2,854.2,832.25,835.7,548780
2018-09-05,836.0,838.0,823.0,829.3,581920
2018-09-06,832.8,836.25,823.95,828.15,560960
2018-09-07,829.95,833.0,771.2,820.1,2272465
2018-09-10,824.0,840.0,813.0,816.05,400275
2018-09-11,818.0,826.0,801.0,803.7,564710
2018-09-12,805.0,818.95,799.2,814.1,589770
2018-09-14,818.2,822.2,814.0,815.3,234830
2018-09-17,815.6,815.6,795.5,800.95,465690
2018-09-18,801.0,817.0,795.6,798.4,356155
2018-09-19,802.4,809.7,778.25,790.95,470265
2018-09-21,794.0,814.4,710.0,807.9,1656830
2018-09-24,807.9,810.0,770.0,776.45,486985
2018-09-25,764.4,769.0,710.2,722.2,1416780
2018-09-26,730.0,747.75,714.0,719.85,779340
2018-09-27,720.2,723.45,690.4,696.75,822215
2018-09-28,701.8,708.0,658.0,669.15,1854385
2018-10-01,658.0,681.8,596.2,669.75,2135660
2018-10-03,671.0,697.8,652.05,687.65,906765
2018-10-04,671.6,688.0,633.2,652.05,735625
2018-10-05,640.0,670.0,632.0,649.55,845660
2018-10-08,645.0,658.95,620.0,636.9,855025
2018-10-09,647.0,659.0,628.0,647.65,976520
2018-10-10,680.0,777.15,680.0,777.15,2098705
2018-10-11,757.0,891.0,738.0,841.3,6601400
2018-10-12,863.0,886.0,836.0,849.6,2298880
2018-10-15,856.0,878.0,852.05,858.25,1092430
2018-10-16,854.2,991.0,840.0,949.3,7016370
2018-10-17,962.0,977.0,865.2,884.35,3376085
2018-10-19,878.0,893.0,841.0,863.1,2189475
2018-10-22,874.6,880.0,812.5,818.55,1496335
2018-10-23,798.05,855.55,788.6,816.3,2075900
2018-10-24,835.4,844.95,801.0,805.95,1296240
2018-10-25,790.0,835.6,770.0,810.7,1993855
2018-10-26,809.0,850.0,807.0,831.6,1610405
2018-10-29,858.0,872.4,846.6,860.45,1449665
2018-10-30,867.6,873.0,843.2,849.2,1264340
2018-10-31,850.0,873.8,842.0,854.4,1375875
2018-11-01,889.8,910.0,860.0,862.35,2965810
2018-11-02,867.6,868.5,832.45,836.2,1239960
2018-11-05,836.0,848.55,820.2,835.95,925980
2018-11-06,838.0,849.95,822.2,825.2,1021745
2018-11-09,842.8,843.1,830.4,838.55,510365
2018-11-12,843.0,850.0,832.0,835.4,788535
2018-11-13,830.0,842.8,830.0,834.95,484410
2018-11-14,838.0,839.0,822.0,824.55,456560
2018-11-15,823.2,837.15,814.8,823.65,627250
2018-11-16,824.0,858.0,824.0,844.2,1312500
2018-11-19,843.2,869.6,838.05,850.15,1543135
2018-11-20,890.0,895.0,862.0,869.9,1531785
2018-11-21,871.95,873.15,858.2,868.75,851405
2018-11-22,872.0,880.0,866.0,869.95,698230
2018-11-26,880.4,885.0,860.2,871.6,2662160
2018-11-27,874.0,880.0,867.15,869.8,1327660
2018-11-28,864.0,871.0,832.2,834.75,926290
2018-11-29,834.2,847.7,810.2,835.75,884080
2018-11-30,834.0,846.95,834.0,836.2,449295
2018-12-03,838.35,841.6,825.2,826.7,434920
2018-12-04,828.0,829.3,815.2,819.0,531540
2018-12-05,810.0,826.0,803.25,806.05,627245
2018-12-06,799.0,808.0,775.0,801.05,1150495
2018-12-07,804.0,810.0,790.4,795.05,684790
2018-12-10,772.0,799.35,772.0,791.75,684760
2018-12-11,776.2,796.0,776.2,780.35,651560
2018-12-12,783.2,799.4,783.2,793.2,492155
2018-12-13,803.0,817.8,800.2,809.6,588645
2018-12-14,813.6,818.95,801.2,805.45,504895
2018-12-17,808.8,809.15,795.0,797.15,365950
2018-12-18,800.0,803.8,791.2,796.8,615355
2018-12-19,798.2,802.8,791.0,793.3,429370
2018-12-20,791.3,798.8,781.1,783.95,456745
2018-12-21,784.2,786.95,776.0,778.25,625640
2018-12-24,785.75,785.75,726.6,735.05,1620495
2018-12-26,723.0,727.2,696.0,714.45,2025175
2018-12-27,727.0,749.6,724.2,738.95,1074405
2018-12-28,739.0,745.8,735.6,737.6,559535
2018-12-31,746.8,750.6,739.2,741.5,751195
2019-01-01,741.5,744.0,736.0,737.25,332685
2019-01-02,730.0,744.9,730.0,735.65,431105
2019-01-03,734.0,742.75,728.2,731.0,402955
2019-01-04,733.8,738.0,728.1,730.7,414335
2019-01-07,740.0,743.05,724.2,734.8,370420
2019-01-08,734.8,739.0,732.05,736.0,319860
2019-01-09,739.2,739.2,724.7,732.3,389075
2019-01-10,730.0,740.0,726.0,732.35,451745
2019-01-11,733.05,739.0,728.0,731.7,473940
2019-01-14,730.0,732.0,720.0,721.65,237310
2019-01-15,720.0,720.0,706.0,708.5,424810
