date,open,high,low,close,volume
2018-07-05,311.4,311.4,295.15,299.5,49366
2018-07-06,301.75,305.05,289.2,291.25,115779
2018-07-09,294.65,301.7,291.8,296.75,20911
2018-07-10,294.65,303.25,294.65,298.5,44227
2018-07-11,295.65,304.1,294.15,302.35,25679
2018-07-12,302.35,318.6,300.2,315.45,131099
2018-07-13,315.95,319.45,304.25,309.35,78073
2018-07-16,304.85,306.35,297.0,298.35,18225
2018-07-17,292.65,319.2,291.65,301.9,36357
2018-07-18,304.5,304.5,290.3,292.25,28714
2018-07-19,292.6,294.85,281.45,281.95,58940
2018-07-20,279.4,295.65,279.05,281.7,57644
2018-07-23,281.65,291.75,280.45,288.15,38544
2018-07-24,289.05,294.65,286.85,289.55,38814
2018-07-25,291.45,303.75,289.05,299.8,44753
2018-07-26,296.3,308.85,296.3,307.75,29615
2018-07-27,304.75,328.6,304.75,321.95,391286
2018-07-30,322.0,327.1,312.05,323.65,59533
2018-07-31,323.6,323.6,308.05,313.05,35795
2018-08-01,315.05,321.75,307.8,308.7,42066
2018-08-02,310.5,315.2,301.75,311.95,27668
2018-08-03,312.45,317.55,308.7,311.0,15571
2018-08-06,314.25,314.4,307.3,308.65,13957
2018-08-07,309.35,313.3,305.3,305.85,10757
2018-08-08,311.7,311.7,305.25,307.4,27422
2018-08-09,310.55,310.55,304.2,305.2,19597
2018-08-10,305.2,305.35,299.2,300.65,20966
2018-08-13,298.15,307.25,294.65,305.15,25491
2018-08-14,299.85,306.45,296.75,299.95,98347
2018-08-16,296.65,310.35,296.15,299.0,33401
2018-08-17,303.75,306.3,299.75,303.35,568144
2018-08-20,304.25,306.75,300.75,301.7,16767
2018-08-21,301.75,306.8,299.7,305.5,29526
2018-08-23,305.5,324.05,299.7,309.9,228531
2018-08-24,312.3,316.95,307.8,309.5,21993
2018-08-27,312.05,325.55,308.3,321.6,69056
2018-08-28,324.0,327.1,312.5,316.5,44602
2018-08-29,322.0,322.0,316.45,319.5,16022
2018-08-30,319.0,325.05,313.2,319.2,46461
2018-08-31,319.5,323.0,312.5,314.0,18243
2018-09-03,319.45,319.45,305.1,306.25,41344
2018-09-04,305.65,313.45,298.3,299.6,34338
2018-09-05,298.15,302.2,292.8,297.05,22173
2018-09-06,296.65,299.15,295.15,295.85,15346
2018-09-07,295.85,296.65,292.1,293.75,18532
2018-09-10,293.6,297.15,291.1,293.9,13064
2018-09-11,298.45,298.45,292.1,293.35,32661
2018-09-12,293.4,296.6,284.0,289.1,38638
2018-09-14,290.05,293.2,287.9,291.45,13993
2018-09-17,289.05,292.3,286.5,288.25,17550
2018-09-18,289.65,291.6,287.55,289.4,18323
2018-09-19,287.7,289.45,279.4,281.6,52758
2018-09-21,286.0,286.0,278.4,280.35,40646
2018-09-24,279.95,279.95,256.15,266.15,59898
2018-09-25,266.15,278.6,256.4,273.75,28037
2018-09-26,269.3,272.9,267.35,268.2,12086
2018-09-27,273.35,273.35,258.7,260.65,23287
2018-09-28,260.65,265.75,253.95,258.65,37542
2018-10-01,261.15,266.25,254.05,256.0,20331
2018-10-03,251.55,259.6,251.55,255.85,37491
2018-10-04,248.5,259.15,248.5,257.4,22997
2018-10-05,254.85,254.9,248.5,249.7,18004
2018-10-08,253.55,253.55,232.25,234.25,30883
2018-10-09,238.95,258.65,228.75,247.55,44440
2018-10-10,252.25,256.55,240.1,253.85,122409
2018-10-11,253.05,257.7,243.7,255.6,53734
2018-10-12,256.4,263.7,252.5,261.05,97290
2018-10-15,263.7,267.95,254.05,263.65,108589
2018-10-16,266.15,270.35,261.15,268.85,116542
2018-10-17,271.05,273.85,261.75,264.6,19710
2018-10-19,264.2,267.3,237.35,247.9,173614
2018-10-22,249.85,250.15,228.2,234.05,189035
2018-10-23,232.65,232.65,226.15,228.1,57401
2018-10-24,232.25,240.9,226.7,229.2,23799
2018-10-25,226.2,231.6,213.15,219.3,89321
2018-10-26,217.5,225.55,212.55,222.0,54879
2018-10-29,221.7,246.85,221.6,239.5,82924
2018-10-30,241.45,258.1,237.35,253.4,122943
2018-10-31,253.6,289.05,253.55,278.0,298847
2018-11-01,279.95,289.05,262.0,265.1,120999
2018-11-02,267.25,270.2,254.8,258.7,57814
2018-11-05,262.2,263.7,251.55,253.15,31951
2018-11-06,253.05,281.45,253.05,268.6,727158
2018-11-09,271.75,273.25,264.2,269.25,45264
2018-11-12,269.9,270.3,262.7,264.15,66689
2018-11-13,265.75,267.75,263.65,266.55,24574
2018-11-14,266.8,272.5,263.4,268.7,71390
2018-11-15,273.35,273.35,264.2,266.0,37757
2018-11-16,266.25,267.75,257.15,258.25,85289
2018-11-19,258.75,263.3,257.45,261.85,31399
2018-11-20,257.6,268.2,257.6,265.3,51052
2018-11-21,263.7,270.8,262.7,267.85,38297
2018-11-22,266.4,271.8,266.4,271.15,48248
2018-11-26,271.15,272.6,255.6,261.45,93587
2018-11-27,261.15,264.9,258.65,262.1,27381
2018-11-28,257.1,264.25,257.1,260.4,31670
2018-11-29,258.65,263.6,258.65,261.25,23760
2018-11-30,262.85,262.85,259.9,260.2,22366
2018-12-03,260.35,266.25,251.0,254.05,54808
2018-12-04,254.5,260.7,252.8,253.65,67683
2018-12-05,254.4,258.55,243.9,245.8,60819
2018-12-06,245.8,245.9,240.0,244.7,24574
2018-12-07,240.95,254.1,240.95,250.85,36164
2018-12-10,247.95,248.15,241.0,245.3,44527
2018-12-11,240.9,252.3,240.9,251.0,101384
2018-12-12,251.0,263.2,249.9,262.3,61604
2018-12-13,260.15,268.75,260.15,266.8,43030
2018-12-14,266.8,275.2,261.2,266.35,52874
2018-12-17,267.75,267.75,259.2,261.15,19495
2018-12-18,259.25,261.15,253.55,254.0,53101
2018-12-19,253.6,263.65,253.6,261.75,63844
2018-12-20,261.75,269.45,261.65,265.65,89302
2018-12-21,266.25,267.7,260.15,262.3,40585
