date,open,high,low,close,volume
2018-07-05,3298.15,3334.25,3276.65,3322.4,273797
2018-07-06,3325.85,3482.6,3303.1,3450.5,1032128
2018-07-09,3472.8,3475.7,3411.55,3425.55,314206
2018-07-10,3458.05,3458.05,3389.75,3398.25,470962
2018-07-11,3370.3,3379.7,3340.2,3352.5,377121
2018-07-12,3384.1,3385.05,3301.15,3315.65,456469
2018-07-13,3336.3,3339.9,3262.15,3273.75,310931
2018-07-16,3282.65,3283.6,3235.2,3244.6,183060
2018-07-17,3233.85,3331.0,3217.8,3305.65,318577
2018-07-18,3316.8,3331.4,3290.65,3322.8,211820
2018-07-19,3322.7,3324.6,3258.25,3269.1,147907
2018-07-20,3269.95,3306.05,3143.15,3196.75,560441
2018-07-23,3202.65,3206.35,2913.9,2990.4,1902639
2018-07-24,2998.55,3029.45,2861.95,2934.6,1620867
2018-07-25,2972.45,2989.8,2889.15,2936.35,964916
2018-07-26,2909.0,3014.3,2895.4,2962.4,1770364
2018-07-27,2975.35,3061.6,2957.85,3028.0,820125
2018-07-30,3046.55,3051.45,2999.75,3033.85,317977
2018-07-31,3038.75,3123.65,3015.4,3116.25,753969
2018-08-01,3117.75,3154.2,3079.85,3102.55,463790
2018-08-02,3117.75,3117.75,3041.95,3086.25,352679
2018-08-03,3092.4,3104.55,3052.4,3073.45,311563
2018-08-06,3101.2,3130.45,3073.9,3118.85,338084
2018-08-07,3125.6,3150.9,3090.5,3119.5,248243
2018-08-08,3119.7,3143.55,3109.05,3120.75,234708
2018-08-09,3127.55,3164.25,3084.6,3103.5,440547
2018-08-10,3121.6,3160.7,3084.95,3140.6,356538
2018-08-13,3121.65,3167.5,3099.4,3129.65,293422
2018-08-14,3138.25,3153.85,3076.4,3088.85,249075
2018-08-16,3084.6,3126.0,3058.35,3104.75,274268
2018-08-17,3136.3,3140.9,3058.8,3065.4,284947
2018-08-20,3089.1,3145.1,3073.25,3125.6,301515
2018-08-21,3131.45,3170.35,3118.8,3138.0,317643
2018-08-23,3151.9,3155.75,3087.55,3106.8,182542
2018-08-24,3099.65,3109.9,3026.15,3036.1,320734
2018-08-27,3053.4,3063.15,3033.95,3047.3,250565
2018-08-28,3051.45,3067.85,3013.1,3056.05,363420
2018-08-29,3039.75,3097.15,3025.1,3069.1,294701
2018-08-30,3050.45,3077.8,3033.95,3047.25,381370
2018-08-31,3031.95,3082.65,3025.15,3076.6,401621
2018-09-03,3102.15,3117.55,3058.25,3065.55,292015
2018-09-04,3080.4,3081.7,3004.6,3008.65,178340
2018-09-05,3003.65,3028.0,2960.2,2970.85,355010
2018-09-06,2976.65,3004.6,2942.75,2989.85,303246
2018-09-07,3004.6,3165.55,2986.9,3150.3,666688
2018-09-10,3153.85,3155.65,3080.9,3100.5,302172
2018-09-11,3115.8,3115.8,2994.85,3008.7,479594
2018-09-12,3023.15,3026.45,2934.15,2988.75,424166
2018-09-14,3011.45,3024.7,2976.45,3011.1,329042
2018-09-17,3004.6,3004.6,2936.55,2953.8,260149
2018-09-18,2965.6,2978.45,2930.95,2937.75,337805
2018-09-19,2955.85,3004.6,2928.55,2979.2,299509
2018-09-21,2994.7,3013.15,2848.55,2999.95,579823
2018-09-24,3000.05,3007.55,2907.1,2936.5,615568
2018-09-25,2948.0,2950.95,2909.0,2938.85,463611
2018-09-26,2965.6,2965.6,2913.6,2926.6,357504
2018-09-27,2940.25,2956.7,2902.2,2914.95,932370
2018-09-28,2918.75,2926.45,2709.85,2763.9,832489
2018-10-01,2741.2,2815.05,2682.7,2802.7,663628
2018-10-03,2818.3,2824.15,2731.45,2744.65,503936
2018-10-04,2713.05,2718.8,2549.2,2598.3,1172793
2018-10-05,2592.95,2614.35,2528.55,2576.1,811688
2018-10-08,2560.75,2716.85,2546.15,2705.15,762339
2018-10-09,2728.15,2762.6,2702.35,2723.4,699147
2018-10-10,2749.0,2822.8,2739.15,2751.05,1165353
2018-10-11,2709.05,2765.5,2679.2,2703.15,635575
2018-10-12,2724.15,2770.3,2707.1,2725.55,384692
2018-10-15,2733.4,2745.6,2699.25,2713.15,209679
2018-10-16,2703.15,2742.5,2703.15,2726.8,609045
2018-10-17,2746.1,2824.15,2601.0,2641.3,1625059
2018-10-19,2636.75,2637.75,2512.05,2548.8,782281
2018-10-22,2585.15,2600.75,2528.0,2567.4,312603
2018-10-23,2552.95,2580.15,2530.5,2560.0,463980
2018-10-24,2601.8,2601.8,2497.5,2537.95,516142
2018-10-25,2525.35,2551.0,2485.65,2531.6,700158
2018-10-26,2540.25,2591.95,2509.05,2541.6,657518
2018-10-29,2573.45,2603.65,2544.15,2585.0,453890
2018-10-30,2593.9,2643.6,2570.5,2608.45,403508
2018-10-31,2618.8,2653.4,2548.9,2597.2,762180
2018-11-01,2612.45,2638.8,2584.15,2626.35,172451
2018-11-02,2682.65,2770.35,2671.5,2728.15,548045
2018-11-05,2730.5,2732.15,2648.55,2680.55,248031
2018-11-06,2696.35,2793.85,2661.05,2688.6,248605
