date,open,high,low,close,volume
2018-07-05,143.9,146.8,143.9,146.1,6614616
2018-07-06,147.65,156.15,147.2,153.65,15538821
2018-07-09,154.3,158.5,152.4,156.75,11041959
2018-07-10,157.25,157.45,153.15,153.8,4321094
2018-07-11,154.2,155.85,146.9,151.75,9603927
2018-07-12,162.1,162.75,153.7,154.5,17274120
2018-07-13,156.25,157.35,150.75,155.1,10888281
2018-07-16,154.6,156.25,150.55,151.3,5162480
2018-07-17,155.55,163.7,154.95,162.3,21253666
2018-07-18,163.3,166.55,163.1,165.4,10193198
2018-07-19,163.95,165.3,157.7,164.3,8377131
2018-07-20,160.85,162.3,157.75,158.45,6086502
2018-07-23,160.8,162.95,158.85,160.75,5656186
2018-07-24,160.95,166.35,160.75,165.4,5362539
2018-07-25,162.8,164.35,160.65,162.7,6551156
2018-07-26,160.8,163.1,158.85,159.35,6559930
2018-07-27,159.8,164.95,158.3,163.75,4589956
2018-07-30,164.2,170.3,163.55,166.4,8074785
2018-07-31,163.35,166.0,161.65,164.55,4519140
2018-08-01,167.2,172.15,156.95,166.2,12408423
2018-08-02,169.2,171.5,168.15,169.55,6037162
2018-08-03,166.85,170.55,166.85,169.6,4798888
2018-08-06,169.6,171.75,168.25,170.6,3782385
2018-08-07,169.9,171.95,166.2,167.0,3380782
2018-08-08,167.9,168.75,162.2,163.15,6372188
2018-08-09,169.3,169.8,159.8,161.7,12258500
2018-08-10,162.1,168.45,159.3,165.4,11994092
2018-08-13,164.65,164.65,156.0,156.95,9502848
2018-08-14,158.1,158.1,153.25,155.0,5761360
2018-08-16,157.4,157.4,151.85,152.45,7645074
2018-08-17,153.75,155.45,152.1,153.35,4201623
2018-08-20,154.7,157.4,154.3,154.95,5338126
2018-08-21,155.1,155.55,152.35,152.9,4311298
2018-08-23,152.15,152.35,147.35,148.15,7576346
2018-08-24,148.55,149.75,146.55,147.8,5371719
2018-08-27,148.45,150.4,148.3,149.75,2981576
2018-08-28,150.2,151.2,145.75,146.4,6819256
2018-08-29,146.6,148.45,145.75,146.95,5038706
2018-08-30,146.95,146.95,143.0,143.95,16280656
2018-08-31,143.8,145.95,142.4,144.4,8522706
2018-09-03,145.8,148.95,144.6,146.8,5848629
2018-09-04,145.85,145.85,141.55,142.1,7067103
2018-09-05,141.95,143.2,138.45,140.5,7901058
2018-09-06,142.5,143.8,140.4,143.15,5770748
2018-09-07,143.9,145.6,142.65,144.0,4525136
2018-09-10,144.55,144.55,139.35,139.8,5440874
2018-09-11,139.75,144.15,137.55,137.85,9412258
2018-09-12,137.35,137.4,131.2,135.7,12764498
2018-09-14,138.7,144.8,138.35,143.7,10546108
2018-09-17,142.05,148.75,140.65,147.4,11163420
2018-09-18,147.5,149.55,140.7,141.55,7501694
2018-09-19,142.1,145.55,140.35,142.8,4816094
2018-09-21,147.55,148.75,140.0,147.15,15484090
2018-09-24,145.85,151.3,139.0,140.75,9855714
