date,open,high,low,close,volume
2018-07-05,18403.55,18410.0,18266.0,18357.75,339
2018-07-06,18449.95,18449.95,18331.15,18399.2,554
2018-07-09,18438.0,18500.0,18250.0,18380.7,695
2018-07-10,18400.05,18580.0,18301.0,18457.65,829
2018-07-11,18464.95,20400.0,18452.4,18796.5,4388
2018-07-12,18794.95,19018.3,18699.4,18731.25,558
2018-07-13,19000.0,19000.0,18300.0,18471.5,1005
2018-07-16,18536.55,18770.65,18325.0,18611.55,628
2018-07-17,18600.0,18818.65,18375.05,18723.15,472
2018-07-18,18999.95,19050.0,18700.0,18724.8,322
2018-07-19,18550.0,18895.0,18515.05,18732.55,530
2018-07-20,18700.05,19480.0,18515.0,19172.4,998
2018-07-23,19365.0,20600.0,19296.25,19976.7,4398
2018-07-24,20000.0,20128.15,19751.05,19898.6,1363
2018-07-25,19516.0,20000.1,19516.0,19802.85,1024
2018-07-26,19802.9,19951.8,19505.0,19586.0,172
2018-07-27,19677.0,19677.0,19311.4,19415.6,333
2018-07-30,19465.0,19588.95,19400.0,19579.25,438
2018-07-31,19675.0,19805.85,19601.05,19717.7,190
2018-08-01,19799.9,19799.9,19420.0,19568.95,243
2018-08-02,19569.0,20000.0,19500.0,19774.1,289
2018-08-03,19942.3,20997.9,19912.35,20754.1,1927
2018-08-06,20999.95,21133.0,20021.0,20954.25,1223
2018-08-07,22222.0,23196.85,21657.0,21771.45,6867
2018-08-08,22100.0,22185.0,21405.05,21573.6,1068
2018-08-09,21790.0,21849.0,21220.0,21651.75,1103
2018-08-10,21505.8,22099.0,21505.8,21971.2,23101
2018-08-13,22199.95,22781.0,21801.0,22350.05,14027
2018-08-14,22132.05,22675.0,22132.0,22426.4,1863
2018-08-16,22625.0,22625.0,21902.0,22301.65,1352
2018-08-17,22150.05,22597.0,22130.05,22290.4,1335
2018-08-20,22420.0,24242.0,22170.05,22988.35,3861
2018-08-21,22998.35,23000.0,22601.05,22748.5,773
2018-08-23,23099.95,23099.95,22400.0,22595.05,1198
2018-08-24,22675.05,22675.05,21850.0,21936.65,1683
2018-08-27,22112.1,22280.75,21900.0,21993.5,547
2018-08-28,22100.0,22300.0,21710.05,21853.5,1802
2018-08-29,21853.5,22199.9,21267.0,21523.6,730
2018-08-30,21520.0,21990.0,21420.0,21846.65,427
2018-08-31,21847.0,22687.95,21847.0,22461.25,745
2018-09-03,22650.0,23399.05,21600.0,22946.7,2274
2018-09-04,22900.0,22963.2,22110.8,22316.25,667
2018-09-05,22499.95,22499.95,21800.3,21950.4,616
2018-09-06,21951.45,22000.0,21327.05,21630.8,739
2018-09-07,21600.05,21945.0,21350.0,21577.6,2019
2018-09-10,21650.05,22482.15,21551.05,22266.7,1592
2018-09-11,22370.0,22500.0,21950.0,22344.6,597
