date,open,high,low,close,volume
2018-07-05,33.05,33.95,32.35,32.9,29219810
2018-07-06,32.55,33.4,32.5,33.05,15274076
2018-07-09,33.35,33.65,32.85,33.0,11961305
2018-07-10,34.05,34.45,33.25,33.7,28280189
2018-07-11,33.95,33.95,31.8,32.65,28595916
2018-07-12,32.65,33.45,32.45,32.85,23937935
2018-07-13,32.85,33.05,31.9,32.2,31292808
2018-07-16,32.0,32.9,31.5,31.7,34517467
2018-07-17,31.7,32.15,31.1,31.7,36641166
2018-07-18,31.7,32.0,29.15,30.2,48451177
2018-07-19,30.2,30.7,29.4,30.45,14096493
2018-07-20,30.3,31.2,29.7,30.9,11919969
2018-07-23,30.75,32.0,30.4,31.75,14316005
2018-07-24,32.6,37.0,32.5,34.05,128671772
2018-07-25,34.15,34.2,33.0,33.15,26177435
2018-07-26,33.2,34.75,32.8,34.3,43347113
2018-07-27,35.05,36.8,33.8,34.05,77746720
2018-07-30,34.3,35.6,33.5,35.25,45640161
2018-07-31,34.0,34.9,32.8,33.15,73175394
2018-08-01,33.35,33.5,32.05,32.35,27553205
2018-08-02,32.6,33.05,32.15,32.85,28513151
2018-08-03,33.2,33.85,32.95,33.35,20381104
2018-08-06,33.5,33.75,33.0,33.15,17144306
2018-08-07,33.2,33.5,32.7,33.2,13423306
2018-08-08,33.2,33.8,33.1,33.45,13135565
2018-08-09,33.25,34.5,33.2,34.05,19938881
2018-08-10,34.05,34.05,32.6,32.85,16051861
2018-08-13,32.8,32.8,31.6,31.7,16051705
2018-08-14,31.75,32.15,31.3,31.4,14193002
2018-08-16,31.4,31.6,30.45,30.55,14057768
2018-08-17,30.7,31.1,30.55,30.75,13109093
2018-08-20,31.1,32.65,31.0,32.25,42605849
2018-08-21,32.75,33.2,31.6,31.95,38184541
2018-08-23,32.15,32.4,31.7,31.9,19854252
2018-08-24,31.95,32.05,31.2,31.5,16139268
2018-08-27,31.6,31.9,30.85,31.05,17751421
2018-08-28,31.15,31.4,30.65,30.85,20445020
2018-08-29,31.05,31.05,29.8,29.95,49743384
2018-08-30,30.0,30.4,29.5,30.1,76651581
2018-08-31,31.85,31.95,29.65,29.8,123897656
2018-09-03,30.45,31.6,30.0,30.85,69517454
2018-09-04,30.95,31.15,29.65,29.85,44201546
2018-09-05,29.95,30.3,28.3,28.95,52087694
2018-09-06,28.95,29.1,28.0,28.1,50370260
