date,open,high,low,close,volume
2018-07-05,128.5,129.2,126.8,127.4,2704756
2018-07-06,127.5,129.45,126.1,128.15,3667658
2018-07-09,128.8,134.25,128.25,132.95,6750990
2018-07-10,133.4,134.9,130.5,131.4,7040386
2018-07-11,131.0,132.3,130.0,130.55,2809494
2018-07-12,132.5,133.0,130.45,131.15,2937328
2018-07-13,131.95,131.95,126.0,126.45,3900014
2018-07-16,126.95,132.25,126.2,131.8,10641242
2018-07-17,132.0,134.0,131.1,132.55,5804762
2018-07-18,133.1,134.9,131.1,133.4,3443866
2018-07-19,132.2,138.2,132.2,137.3,4429102
2018-07-20,137.6,140.35,137.3,139.3,4172642
2018-07-23,140.0,142.4,137.1,140.6,3914402
2018-07-24,140.7,142.95,139.65,141.2,1924582
2018-07-25,141.0,148.25,140.15,147.5,7993490
2018-07-26,148.0,149.35,147.05,147.5,6678042
2018-07-27,147.5,150.9,146.8,147.65,3827762
2018-07-30,148.0,150.0,146.5,148.95,3532286
2018-07-31,151.1,158.0,148.65,152.0,21703364
2018-08-01,153.1,158.6,152.75,156.8,12564998
2018-08-02,156.4,160.4,155.2,158.0,8983974
2018-08-03,159.1,160.0,154.5,155.15,3752984
2018-08-06,155.0,155.5,151.9,152.3,2840006
2018-08-07,153.95,153.95,147.8,149.15,3083904
2018-08-08,149.2,150.2,143.2,145.7,5949036
2018-08-09,146.9,152.2,146.05,151.65,3680438
2018-08-10,152.9,155.9,144.7,149.8,11758592
2018-08-13,147.95,147.95,144.1,145.1,4285324
2018-08-14,144.65,146.7,140.35,142.5,4010464
2018-08-16,141.45,143.45,137.7,138.5,5319116
2018-08-17,138.85,140.1,136.75,138.0,3976044
2018-08-20,138.5,143.05,137.95,142.0,6020982
2018-08-21,144.2,144.2,141.5,142.65,2892136
2018-08-23,142.25,142.65,137.5,139.45,5380946
2018-08-24,139.75,140.95,138.0,139.45,1870510
2018-08-27,140.65,144.75,139.25,142.8,4989426
2018-08-28,143.5,143.5,140.2,141.0,1963060
2018-08-29,142.0,145.4,141.15,144.05,2854640
2018-08-30,145.3,147.1,143.3,145.25,5948950
2018-08-31,145.2,146.55,142.75,145.2,1946992
2018-09-03,148.95,148.95,144.4,145.15,4042914
2018-09-04,145.3,145.8,140.2,141.25,1816812
2018-09-05,140.0,140.7,132.9,136.2,7302666
2018-09-06,137.5,139.15,135.55,137.0,2051576
2018-09-07,137.0,139.0,135.8,138.0,3392036
2018-09-10,137.35,140.1,135.0,135.45,2555680
2018-09-11,135.0,135.75,131.8,132.4,3464276
2018-09-12,132.55,135.5,131.0,134.85,2750646
2018-09-14,135.25,137.1,133.5,136.05,2689728
2018-09-17,136.0,138.75,133.1,135.4,3755552
2018-09-18,137.0,137.4,129.65,130.5,4096864
2018-09-19,130.55,132.2,127.3,128.2,4003802
2018-09-21,129.1,129.65,115.4,125.05,6884492
2018-09-24,127.0,129.7,124.4,128.65,5688398
2018-09-25,128.7,133.05,127.8,132.4,4503938
2018-09-26,134.7,137.45,130.85,133.9,6807178
2018-09-27,134.9,134.9,127.1,128.6,5763888
2018-09-28,132.0,132.0,119.0,121.5,8133524
2018-10-01,122.75,125.0,120.45,123.8,4314716
2018-10-03,123.5,125.75,119.8,120.6,3796944
2018-10-04,120.75,121.5,116.3,117.7,8062536
2018-10-05,115.5,115.5,108.7,110.85,6099448
2018-10-08,111.0,113.9,107.6,110.5,3560798
2018-10-09,110.2,113.4,110.2,112.05,3218550
2018-10-10,113.0,119.35,112.6,117.8,3149470
2018-10-11,114.0,119.2,112.5,114.9,4473000
2018-10-12,115.7,123.3,115.7,120.85,5712760
2018-10-15,123.0,123.3,119.05,120.6,3187044
2018-10-16,121.85,124.55,121.15,123.55,1780384
2018-10-17,125.1,125.7,120.5,121.1,1618798
2018-10-19,120.5,125.5,120.0,123.8,2708006
2018-10-22,124.4,125.2,119.1,121.25,2572508
2018-10-23,121.2,121.2,116.1,119.25,3579764
2018-10-24,120.5,126.0,120.05,124.9,4430580
2018-10-25,123.7,128.1,123.3,127.05,4852696
2018-10-26,127.2,128.35,124.0,125.2,3194720
2018-10-29,125.2,127.25,124.5,125.4,1763374
2018-10-30,125.4,128.45,125.1,126.45,2238818
2018-10-31,127.0,134.4,126.6,133.65,5121746
2018-11-01,134.45,146.7,131.5,139.6,14164162
2018-11-02,147.0,147.0,139.6,140.9,14577488
2018-11-05,141.1,143.25,139.0,142.0,7172018
2018-11-06,143.5,143.85,135.65,136.3,4509664
2018-11-09,137.6,140.05,135.55,137.5,3339970
2018-11-12,138.6,139.1,135.8,137.7,2323708
2018-11-13,137.5,137.5,134.6,136.0,6111720
2018-11-14,138.5,138.5,134.3,135.2,4806830
2018-11-15,135.9,137.25,134.6,135.9,5214766
2018-11-16,136.4,136.4,131.9,133.95,3254334
2018-11-19,134.75,135.0,132.3,133.4,2380652
2018-11-20,132.5,135.2,131.1,133.1,3618702
2018-11-21,134.2,134.45,131.3,132.9,2540942
2018-11-22,133.0,134.4,132.3,132.65,2377836
2018-11-26,134.3,137.1,132.55,133.35,4374342
2018-11-27,132.7,135.0,130.0,134.1,5133108
2018-11-28,134.1,134.2,131.55,133.75,2420292
2018-11-29,133.75,133.75,129.5,130.3,3796250
2018-11-30,130.5,132.35,129.6,131.6,3156886
2018-12-03,131.6,131.8,129.6,131.0,6371364
2018-12-04,131.7,132.7,128.6,129.4,4156694
2018-12-05,128.75,130.85,128.15,129.55,1924296
2018-12-06,128.9,129.6,125.3,126.3,3869358
2018-12-07,126.35,127.75,123.0,124.15,5130362
2018-12-10,122.5,125.0,121.0,124.5,2406448
2018-12-11,120.5,125.8,120.5,124.25,2779596
2018-12-12,124.7,126.7,124.25,125.25,3372370
2018-12-13,127.0,127.8,125.9,127.3,3202138
2018-12-14,127.0,127.15,125.3,126.65,1843556
2018-12-17,126.95,131.7,126.95,131.1,3871882
2018-12-18,131.75,131.9,129.05,129.95,3080810
2018-12-19,131.0,132.4,130.55,132.0,2224344
2018-12-20,132.2,132.2,130.8,131.85,1340556
2018-12-21,132.0,134.2,129.7,130.2,2905746
2018-12-24,131.5,133.55,128.55,132.2,2724700
2018-12-26,131.75,132.1,129.2,131.25,3558514
2018-12-27,132.95,134.1,130.5,132.5,2579728
2018-12-28,133.1,133.9,131.6,132.55,2036836
2018-12-31,132.5,134.0,131.3,133.6,2487672
2019-01-01,134.0,137.25,133.6,135.8,6074338
2019-01-02,135.8,138.4,134.9,137.7,5015946
2019-01-03,137.6,138.0,136.05,137.15,2570722
2019-01-04,136.75,139.9,136.5,139.0,2921254
2019-01-07,140.0,140.0,136.0,136.8,1381558
2019-01-08,136.95,137.45,135.0,135.3,1155102
2019-01-09,136.5,136.5,132.55,133.1,2551516
2019-01-10,132.9,134.0,132.6,133.25,869810
2019-01-11,134.35,135.8,132.6,135.4,2551714
2019-01-14,134.3,136.55,133.2,135.8,1849636
2019-01-15,135.5,137.4,134.7,136.2,1964644
2019-01-16,135.5,138.0,135.5,137.35,2091348
2019-01-17,137.9,139.0,135.7,138.6,5746490
2019-01-18,138.5,142.15,138.15,140.2,6797066
2019-01-21,140.75,144.35,140.0,143.5,4928630
2019-01-22,143.45,143.45,139.55,141.4,2004190
2019-01-23,141.25,143.7,140.5,142.8,1680874
2019-01-24,143.25,144.3,140.8,141.45,1901998
2019-01-25,141.45,141.9,135.0,136.3,3668574
2019-01-28,136.25,138.4,133.8,136.3,3316386
2019-01-29,136.25,137.2,134.0,135.7,2429896
2019-01-30,135.05,140.0,132.9,139.3,3674298
2019-01-31,139.3,143.7,137.65,141.8,8889956
2019-02-01,141.8,144.9,141.8,143.45,7815814
2019-02-04,141.8,149.7,141.8,147.35,9352828
2019-02-05,148.0,155.7,147.4,152.8,11907922
2019-02-06,151.5,152.5,148.6,149.85,7737102
2019-02-07,148.0,154.7,146.3,150.6,10899450
2019-02-08,150.5,151.75,141.6,143.2,5903610
2019-02-11,142.05,146.0,135.1,136.9,6213644
2019-02-12,138.0,138.35,128.8,134.65,14603472
2019-02-13,136.0,138.45,134.35,136.8,4568380
2019-02-14,135.0,142.2,135.0,141.05,5096192
2019-02-15,140.95,142.0,138.0,141.3,3877040
2019-02-18,140.5,143.9,139.35,142.5,9302370
2019-02-19,143.0,143.4,140.45,141.05,2160532
2019-02-20,141.0,143.0,140.65,142.35,2939668
2019-02-21,143.5,143.5,138.4,141.9,5658802
2019-02-22,142.0,144.6,141.8,143.3,4230454
2019-02-25,143.6,144.25,141.05,143.7,3022132
2019-02-26,142.5,145.6,140.5,144.1,3274298
