date,open,high,low,close,volume
2018-07-05,460.2,473.8,457.8,461.7,72952
2018-07-06,458.8,468.1,456.25,464.15,74712
2018-07-09,468.2,473.35,465.15,467.4,40252
2018-07-10,467.15,472.4,467.15,468.75,41669
2018-07-11,468.55,475.5,466.45,467.4,112602
2018-07-12,470.6,473.9,456.65,462.8,50875
2018-07-13,460.2,467.15,429.5,443.15,227878
2018-07-16,443.15,443.15,411.35,420.25,168390
2018-07-17,416.25,435.5,415.55,428.55,111959
2018-07-18,431.75,434.4,427.1,433.1,109011
2018-07-19,432.65,436.15,429.05,433.0,58023
2018-07-20,433.75,440.5,427.45,436.85,97641
2018-07-23,435.25,443.55,432.1,440.35,58558
2018-07-24,440.65,462.6,440.6,456.7,190398
2018-07-25,459.3,467.85,449.05,466.05,159245
2018-07-26,461.6,473.7,454.9,464.7,110798
2018-07-27,472.05,472.05,460.2,463.9,61102
2018-07-30,464.4,476.2,457.95,470.8,85279
2018-07-31,473.2,477.6,467.85,469.95,167449
2018-08-01,487.75,488.05,471.35,477.25,575124
2018-08-02,477.25,478.3,466.75,473.05,105107
2018-08-03,478.95,491.85,473.55,488.65,402838
2018-08-06,488.65,497.8,483.9,486.0,110588
2018-08-07,485.25,487.65,470.65,479.3,49401
2018-08-08,477.6,498.5,475.1,495.55,113321
2018-08-09,498.5,510.65,488.1,503.55,202208
2018-08-10,502.05,522.8,500.4,518.2,289974
2018-08-13,517.35,517.35,502.15,508.2,82917
2018-08-14,515.25,519.35,503.75,517.7,867821
2018-08-16,514.85,515.95,500.35,502.4,791332
2018-08-17,506.35,515.95,501.3,513.1,88948
2018-08-20,519.35,525.7,509.0,510.35,276939
2018-08-21,514.15,514.15,498.5,500.8,253387
2018-08-23,509.0,511.0,497.85,509.4,119597
2018-08-24,510.4,510.4,496.45,500.85,572256
2018-08-27,500.85,510.8,491.0,497.7,76716
2018-08-28,495.05,504.7,495.05,496.7,98023
2018-08-29,497.1,500.25,489.25,491.15,88408
2018-08-30,490.85,499.65,489.45,496.85,74398
2018-08-31,497.85,512.45,486.65,505.2,262290
2018-09-03,509.0,515.8,502.05,502.3,132693
2018-09-04,499.75,515.2,499.75,511.15,280123
2018-09-05,513.15,515.8,486.7,502.2,299494
2018-09-06,502.4,505.5,484.8,496.75,146762
2018-09-07,495.15,503.1,480.0,482.75,207041
2018-09-10,481.8,481.9,449.8,453.85,291092
2018-09-11,456.65,466.45,453.2,455.1,170089
2018-09-12,453.6,458.0,435.15,450.55,268263
2018-09-14,458.05,464.25,453.2,459.6,105014
2018-09-17,456.0,459.2,440.0,442.15,149437
2018-09-18,439.6,448.2,435.8,437.55,287381
2018-09-19,437.55,440.65,412.75,419.0,281481
2018-09-21,418.35,435.65,391.4,424.8,795750
2018-09-24,424.85,431.2,375.5,387.05,683965
2018-09-25,387.7,404.9,373.2,388.15,553054
2018-09-26,391.3,400.85,378.6,384.65,238218
2018-09-27,384.65,384.65,359.1,366.85,302256
2018-09-28,366.85,384.35,310.95,355.3,824951
2018-10-01,349.45,369.5,321.45,357.9,712362
2018-10-03,359.75,364.65,335.05,341.45,903486
2018-10-04,333.05,340.25,328.4,337.45,751861
2018-10-05,335.35,342.3,317.95,321.15,612810
2018-10-08,313.75,320.45,266.8,294.1,1155123
2018-10-09,299.05,322.7,287.25,315.45,615648
2018-10-10,315.85,338.15,315.85,326.15,406563
2018-10-11,306.8,314.45,283.65,287.5,546221
2018-10-12,290.65,311.65,290.65,305.95,616946
2018-10-15,303.4,315.7,303.3,310.25,311212
2018-10-16,310.25,324.0,307.5,321.4,1810739
2018-10-17,327.7,333.1,294.2,300.7,355609
2018-10-19,296.3,301.5,260.8,266.4,925152
2018-10-22,268.5,274.3,254.85,262.15,366282
2018-10-23,258.0,259.75,237.75,246.2,802121
2018-10-24,249.25,275.2,249.25,266.6,1112416
2018-10-25,261.45,268.4,251.9,266.65,318498
2018-10-26,266.65,284.45,248.1,278.15,864155
2018-10-29,279.8,292.45,273.9,288.35,250067
2018-10-30,287.95,305.4,284.7,301.6,287680
2018-10-31,304.7,322.85,304.6,320.75,1080953
2018-11-01,323.0,355.65,319.5,341.45,881668
2018-11-02,348.25,362.55,312.05,315.9,927303
2018-11-05,317.95,319.1,305.75,311.5,364029
2018-11-06,309.6,328.4,309.6,319.15,397608
2018-11-09,324.75,341.65,321.45,339.95,329483
2018-11-12,342.35,343.3,325.0,329.0,270433
2018-11-13,327.7,336.7,324.25,329.25,211461
2018-11-14,332.6,340.25,329.35,335.5,2410735
2018-11-15,336.05,340.95,332.55,337.45,170316
2018-11-16,340.25,342.35,332.95,339.3,101648
2018-11-19,339.65,351.65,339.65,346.65,282012
2018-11-20,346.9,346.9,333.25,336.7,265996
2018-11-21,334.65,345.1,329.15,339.1,655177
2018-11-22,339.9,343.05,327.0,328.65,178727
2018-11-26,337.45,337.45,328.05,332.65,71571
2018-11-27,334.7,339.15,331.55,333.6,342761
2018-11-28,337.45,337.45,327.4,330.5,69606
2018-11-29,332.0,336.7,331.2,334.05,100093
2018-11-30,333.3,336.5,325.15,328.85,151971
2018-12-03,332.5,332.5,325.5,328.7,105334
2018-12-04,327.7,338.15,326.75,331.7,267432
2018-12-05,332.65,332.65,322.1,324.9,61838
2018-12-06,323.85,327.0,311.9,318.25,76480
2018-12-07,318.15,322.2,309.75,313.15,92828
2018-12-10,303.3,312.35,296.5,298.25,91964
2018-12-11,294.25,309.35,291.5,306.35,68902
2018-12-12,308.2,320.7,308.2,319.35,57359
2018-12-13,322.85,347.9,322.55,345.8,340527
2018-12-14,344.45,345.1,334.0,336.2,94284
2018-12-17,335.55,342.8,335.55,339.6,55054
2018-12-18,336.35,339.3,332.0,334.95,41218
2018-12-19,339.0,358.4,336.05,342.1,168929
2018-12-20,341.65,354.9,337.25,353.7,121307
2018-12-21,356.3,357.45,338.65,342.3,198240
2018-12-24,344.15,351.35,340.25,348.6,104475
2018-12-26,346.35,348.65,339.6,344.7,39324
2018-12-27,345.25,353.7,343.05,345.45,121549
2018-12-28,345.1,348.6,335.55,345.25,107456
2018-12-31,352.1,353.5,344.85,351.55,69004
2019-01-01,352.1,352.1,345.5,348.55,58009
2019-01-02,350.0,351.4,345.2,347.9,31197
2019-01-03,348.55,355.6,346.05,353.75,71431
2019-01-04,353.5,354.55,345.1,349.4,36592
2019-01-07,352.1,354.65,340.5,344.65,350078
2019-01-08,347.9,347.9,334.05,335.95,69784
2019-01-09,336.15,342.2,331.95,336.35,48951
2019-01-10,336.05,342.2,331.2,331.75,57874
2019-01-11,334.65,336.75,328.4,331.8,31879
2019-01-14,331.8,331.8,324.25,327.0,81161
2019-01-15,327.85,336.05,324.0,328.3,54062
2019-01-16,330.5,334.15,329.2,330.4,69557
2019-01-17,329.1,334.3,320.75,322.0,68239
2019-01-18,325.55,325.55,313.7,317.1,79971
2019-01-21,318.65,322.6,313.35,314.65,34801
2019-01-22,316.6,319.7,297.3,308.55,332339
2019-01-23,304.5,306.1,296.35,298.45,79833
2019-01-24,298.3,320.05,298.3,312.8,431301
2019-01-25,310.25,320.75,299.85,306.5,329599
2019-01-28,308.15,308.15,295.85,299.6,206475
2019-01-29,298.45,308.6,298.45,305.55,99393
2019-01-30,306.8,319.35,304.15,314.05,119189
2019-01-31,307.6,312.05,296.5,299.7,143279
2019-02-01,297.75,306.3,289.45,292.2,144433
2019-02-04,290.8,293.35,259.55,266.25,373743
2019-02-05,269.2,269.95,221.65,264.75,306374
2019-02-06,266.35,267.2,254.5,262.45,178126
2019-02-07,262.2,270.9,260.4,263.75,214825
2019-02-08,264.95,264.95,248.25,251.15,153654
2019-02-11,254.55,254.55,224.7,229.25,277555
2019-02-12,230.1,230.45,207.1,221.35,3100692
2019-02-13,223.15,232.8,220.0,230.25,340741
