date,open,high,low,close,volume
2018-07-05,202.4,211.0,201.5,210.7,363902
2018-07-06,212.5,221.2,212.4,220.7,360498
2018-07-09,224.8,231.8,224.2,231.8,193540
2018-07-10,237.5,241.9,235.0,239.3,259396
2018-07-11,240.9,240.9,229.0,230.2,267568
2018-07-12,230.5,237.0,221.0,224.8,280430
2018-07-13,228.6,228.6,213.6,213.6,250550
2018-07-16,211.6,211.6,203.0,204.2,187152
2018-07-17,205.5,214.4,205.5,213.3,234360
2018-07-18,214.0,221.0,210.0,212.0,236080
2018-07-19,214.3,216.0,202.5,207.2,165246
2018-07-20,209.2,213.4,206.5,211.2,178800
2018-07-23,214.1,220.0,213.5,215.8,145316
2018-07-24,215.9,226.6,215.0,220.3,398314
2018-07-25,221.0,231.3,220.9,228.2,462372
2018-07-26,227.0,229.5,222.5,227.1,196680
2018-07-27,228.2,235.0,226.2,230.4,193572
2018-07-30,231.2,237.5,228.1,235.9,215406
2018-07-31,232.5,247.5,232.5,245.6,434352
2018-08-01,248.0,257.8,245.8,251.0,546604
2018-08-02,252.5,252.5,243.0,246.3,200464
2018-08-03,249.4,250.0,241.9,244.5,226256
2018-08-06,250.0,251.7,240.5,243.8,293142
2018-08-07,245.0,245.7,234.2,237.8,154046
2018-08-08,241.4,241.4,232.1,233.6,181312
2018-08-09,233.5,240.0,231.6,235.9,164284
2018-08-10,237.0,246.5,234.0,239.2,430932
2018-08-13,234.8,240.0,233.5,235.3,172768
2018-08-14,236.7,238.0,227.8,229.3,111832
2018-08-16,229.0,232.4,223.0,225.6,109748
2018-08-17,227.8,231.4,225.1,227.0,87060
2018-08-20,228.8,231.0,222.4,224.4,98340
2018-08-21,226.0,235.6,222.6,235.6,192190
2018-08-23,239.4,239.8,229.1,231.0,207942
2018-08-24,230.6,233.4,226.5,228.2,63646
2018-08-27,228.2,232.2,223.6,224.3,209350
2018-08-28,225.0,234.6,224.1,230.7,245784
2018-08-29,231.2,234.0,227.5,229.3,112172
2018-08-30,225.0,233.5,225.0,229.7,119288
2018-08-31,230.2,231.6,224.5,227.1,163036
2018-09-03,226.5,237.5,226.0,231.4,235330
2018-09-04,232.5,234.0,225.0,226.8,102018
2018-09-05,228.7,230.5,223.5,226.5,111054
2018-09-06,226.6,230.0,226.6,228.1,104508
2018-09-07,233.0,239.4,230.6,236.6,446150
2018-09-10,237.5,246.9,233.0,243.9,323044
2018-09-11,244.9,256.1,243.2,249.8,846572
2018-09-12,252.5,261.2,252.5,257.9,759454
2018-09-14,260.1,268.6,258.2,262.6,491136
2018-09-17,261.5,270.0,258.2,263.6,308886
2018-09-18,264.0,264.0,250.4,250.4,199376
2018-09-19,249.0,251.4,240.0,242.4,253330
2018-09-21,243.6,246.4,230.3,230.3,182524
2018-09-24,229.5,231.1,218.8,218.8,89578
2018-09-25,214.0,216.8,207.8,212.8,301600
2018-09-26,216.0,217.3,202.2,203.9,222718
2018-09-27,205.0,211.0,199.0,206.5,146896
2018-09-28,207.0,211.3,196.2,196.2,182356
2018-10-01,191.6,194.0,186.4,190.3,143130
2018-10-03,190.3,199.8,186.0,198.5,169296
2018-10-04,194.4,208.4,190.5,208.0,289226
2018-10-05,210.4,215.8,197.6,199.0,199032
2018-10-08,199.0,204.9,192.6,198.7,94184
2018-10-09,200.0,202.0,188.8,190.8,134696
2018-10-10,191.6,200.3,191.4,200.3,121636
2018-10-11,190.3,207.4,190.3,201.8,261706
2018-10-12,204.0,207.4,202.2,205.3,127308
2018-10-15,211.9,213.9,208.1,211.4,137104
2018-10-16,212.4,220.5,210.0,218.8,150232
2018-10-17,221.0,222.0,207.8,208.1,145810
2018-10-19,206.0,209.5,200.0,206.5,97856
2018-10-22,206.5,208.5,197.2,198.9,74570
2018-10-23,195.0,198.4,189.0,189.7,69866
2018-10-24,193.8,195.9,180.2,180.2,170506
2018-10-25,175.1,175.1,171.2,171.2,96728
2018-10-26,166.8,176.0,163.0,172.4,237200
2018-10-29,181.0,181.0,181.0,181.0,107304
2018-10-30,188.0,197.5,186.0,190.8,535574
2018-10-31,192.8,194.4,188.5,190.7,135934
2018-11-01,192.4,195.8,189.0,191.7,183844
2018-11-02,202.0,206.0,188.8,190.0,571454
2018-11-05,189.8,190.5,184.0,185.5,209258
2018-11-06,185.1,186.5,178.6,179.8,165098
2018-11-09,181.0,184.2,179.2,182.2,175738
2018-11-12,182.2,188.9,182.2,183.8,304462
2018-11-13,186.5,188.4,182.5,183.4,249702
2018-11-14,184.5,186.8,180.5,181.7,149770
2018-11-15,182.2,182.2,174.5,175.4,158236
2018-11-16,176.5,177.7,171.8,173.8,162658
2018-11-19,173.7,177.2,172.0,174.0,76496
2018-11-20,174.0,174.8,171.8,172.6,75364
