date,open,high,low,close,volume
2018-07-05,322.0,326.05,320.35,322.3,606237
2018-07-06,322.0,333.45,321.65,327.05,1482058
2018-07-09,329.3,335.4,327.5,332.55,594603
2018-07-10,334.15,342.65,332.2,340.8,968398
2018-07-11,338.95,342.25,329.65,331.95,771451
2018-07-12,334.15,339.2,328.85,331.9,602944
2018-07-13,331.3,333.4,318.3,319.6,615699
2018-07-16,321.0,321.0,303.5,308.25,602056
2018-07-17,307.7,324.25,303.9,323.0,1296286
2018-07-18,322.7,326.05,311.95,313.55,1090630
2018-07-19,310.3,318.75,304.95,312.55,1080403
2018-07-20,313.2,314.1,292.55,296.2,2303922
2018-07-23,295.95,307.9,291.25,305.4,1630450
2018-07-24,304.55,311.9,302.65,310.35,1251625
2018-07-25,309.3,319.25,307.25,316.9,1120840
2018-07-26,319.75,339.85,318.4,338.2,2274929
2018-07-27,337.95,340.3,332.0,337.35,1297422
2018-07-30,339.85,353.25,339.85,345.9,2250283
2018-07-31,345.15,349.65,335.1,341.5,1412926
2018-08-01,341.35,345.85,333.45,337.3,1617540
2018-08-02,335.0,342.75,329.4,339.75,1306347
2018-08-03,340.85,349.45,340.8,348.15,1724190
2018-08-06,348.5,361.85,347.6,359.8,2329278
2018-08-07,361.85,362.55,354.7,357.25,1959876
2018-08-08,356.0,356.65,335.6,339.0,3204942
2018-08-09,353.7,360.55,340.55,342.0,6705274
2018-08-10,342.0,342.95,327.8,330.4,1794008
2018-08-13,324.6,327.4,317.2,320.7,1928534
2018-08-14,322.65,329.9,321.5,326.45,1061473
2018-08-16,323.2,330.15,318.65,321.6,1267517
2018-08-17,324.0,328.4,321.5,325.85,1491817
2018-08-20,329.4,332.0,325.95,330.0,867354
2018-08-21,330.3,331.25,324.6,325.8,844829
2018-08-23,326.45,327.0,317.55,318.95,1087781
2018-08-24,319.85,322.3,311.4,313.05,1291785
2018-08-27,315.05,318.9,312.2,315.05,1315670
2018-08-28,317.95,317.95,307.65,310.85,721999
2018-08-29,310.7,316.6,309.35,312.6,1045446
2018-08-30,313.0,319.5,308.15,318.75,1288821
2018-08-31,319.75,319.75,312.8,317.4,946068
2018-09-03,318.8,323.8,312.25,313.85,1202419
2018-09-04,313.8,314.75,298.7,300.35,1088538
2018-09-05,298.85,300.75,288.6,295.6,1444621
2018-09-06,298.1,305.05,293.5,301.65,1608251
2018-09-07,301.6,309.2,298.6,308.4,1399076
2018-09-10,306.45,312.9,303.95,305.7,1212492
2018-09-11,305.15,311.7,303.25,304.6,1311754
2018-09-12,304.55,308.65,299.85,306.9,1191452
2018-09-14,309.7,312.2,304.6,307.7,682772
2018-09-17,305.5,308.5,300.85,304.8,1167670
2018-09-18,298.85,299.7,275.2,278.35,6636783
2018-09-19,278.75,282.85,271.5,276.3,4494839
2018-09-21,279.75,279.9,234.85,260.35,2913381
2018-09-24,261.6,262.35,241.45,244.6,1467467
2018-09-25,240.6,242.9,209.35,225.6,5652006
2018-09-26,229.3,232.65,224.0,228.4,2274244
2018-09-27,230.5,231.8,215.65,216.4,1668328
2018-09-28,217.65,226.3,210.95,217.1,2699222
2018-10-01,214.85,236.3,209.65,235.1,2658184
2018-10-03,233.75,250.1,229.65,240.6,2358346
2018-10-04,235.65,242.3,231.05,236.5,1505354
2018-10-05,235.85,239.25,216.05,219.1,2694318
2018-10-08,214.8,221.65,210.5,219.95,2206856
2018-10-09,219.95,223.4,213.0,215.45,1509050
2018-10-10,215.75,233.7,215.75,231.2,1829188
2018-10-11,221.5,228.85,216.5,220.65,1421884
2018-10-12,223.15,229.4,221.65,226.15,1111021
2018-10-15,226.3,230.35,222.65,226.75,963340
2018-10-16,226.95,236.05,224.35,232.55,1275725
2018-10-17,235.85,236.35,213.85,215.8,1792394
2018-10-19,212.25,218.85,210.45,212.85,1627489
2018-10-22,214.95,219.4,207.3,208.55,1801497
2018-10-23,205.25,209.8,201.85,204.15,1288442
2018-10-24,208.75,209.45,200.85,206.7,1420819
2018-10-25,204.5,212.1,203.0,208.45,1398789
2018-10-26,208.5,214.65,204.3,212.25,1346957
2018-10-29,214.8,235.25,210.4,230.5,2548120
2018-10-30,226.3,252.4,226.3,245.05,4623688
2018-10-31,245.35,247.05,234.55,241.25,2677138
2018-11-01,241.25,244.7,236.85,239.3,1845822
2018-11-02,241.15,249.0,233.2,237.2,1774228
2018-11-05,235.45,248.2,233.55,242.9,1346396
2018-11-06,245.65,257.5,244.95,246.25,2479943
2018-11-09,249.2,253.7,216.35,219.1,13057900
2018-11-12,218.65,221.8,210.5,211.9,6313840
2018-11-13,210.4,215.75,210.05,212.8,2841206
2018-11-14,213.85,221.15,212.9,215.9,2898198
2018-11-15,215.4,217.6,211.0,215.65,1820757
2018-11-16,216.0,221.95,212.95,218.8,2204361
2018-11-19,222.35,222.8,215.75,218.95,1231336
2018-11-20,217.7,224.3,215.2,217.7,2644085
2018-11-21,216.6,224.15,216.25,221.0,1805663
2018-11-22,220.75,223.4,215.35,216.95,1261794
2018-11-26,217.65,218.45,211.1,213.7,1330282
2018-11-27,213.85,218.05,213.05,216.35,1190102
2018-11-28,216.55,218.65,210.45,211.55,1713177
2018-11-29,212.4,215.75,211.05,214.15,1197696
2018-11-30,214.8,221.75,213.5,219.4,1664145
2018-12-03,219.8,222.4,215.0,219.2,1234194
2018-12-04,218.1,221.5,214.2,215.3,1252328
2018-12-05,213.5,215.45,209.35,212.15,1319887
2018-12-06,210.9,210.95,203.85,206.35,1333427
2018-12-07,207.15,210.3,201.25,208.1,1830500
2018-12-10,203.35,211.55,203.35,207.3,1162195
2018-12-11,204.15,213.65,203.35,211.35,1836533
2018-12-12,211.5,219.25,211.5,217.1,1521010
2018-12-13,218.25,231.65,218.25,228.25,4383722
2018-12-14,227.2,230.4,224.35,229.25,1381025
