date,open,high,low,close,volume
2018-07-05,358.8,366.75,351.3,353.3,473642
2018-07-06,354.95,357.75,346.8,349.35,95218
2018-07-09,350.0,357.35,348.0,354.95,200844
2018-07-10,356.5,364.45,353.0,356.45,208994
2018-07-11,357.75,364.75,354.25,363.15,192160
2018-07-12,366.5,374.95,363.15,372.3,548570
2018-07-13,374.25,383.25,365.65,373.35,816478
2018-07-16,373.0,379.85,370.65,374.15,161980
2018-07-17,376.95,378.4,368.0,371.85,132952
2018-07-18,372.5,373.7,369.05,371.0,71430
2018-07-19,372.35,373.5,369.05,371.35,56180
2018-07-20,369.25,373.0,366.2,370.8,122328
2018-07-23,370.8,389.1,370.8,382.55,424154
2018-07-24,382.45,383.6,377.6,379.45,207132
2018-07-25,379.0,383.3,372.55,378.5,234468
2018-07-26,372.0,380.3,372.0,378.0,98804
2018-07-27,380.3,380.3,373.5,376.3,148482
2018-07-30,375.5,379.95,373.65,375.45,80224
2018-07-31,370.6,382.35,370.6,379.8,284876
2018-08-01,379.75,384.0,379.0,380.05,148798
2018-08-02,379.5,384.25,373.9,378.1,104594
2018-08-03,380.4,386.95,369.4,380.1,195238
2018-08-06,385.5,397.5,379.5,384.25,479922
2018-08-07,382.4,394.0,382.4,389.8,206110
2018-08-08,385.5,405.5,385.5,399.7,677464
2018-08-09,404.65,411.0,372.5,375.4,2804472
2018-08-10,375.1,379.2,367.55,370.1,496172
2018-08-13,367.5,370.65,359.2,369.15,278516
2018-08-14,366.0,374.5,363.0,369.65,224188
2018-08-16,368.55,375.2,364.15,367.1,275522
2018-08-17,367.6,372.35,361.3,366.6,212430
2018-08-20,365.55,370.0,363.0,363.8,120070
2018-08-21,365.0,379.4,360.8,376.5,459760
2018-08-23,380.0,388.4,372.5,375.1,250384
2018-08-24,371.5,389.85,371.45,382.6,409038
2018-08-27,380.0,382.5,375.1,375.95,127088
2018-08-28,376.5,386.8,375.5,378.95,226532
2018-08-29,377.5,391.5,377.5,383.45,424978
2018-08-30,379.95,384.75,376.55,381.35,286878
2018-08-31,382.0,388.35,380.05,385.8,516326
2018-09-03,380.1,387.55,380.1,384.1,193618
2018-09-04,382.55,398.75,382.55,392.3,475556
2018-09-05,392.0,399.4,390.0,394.75,178362
2018-09-06,397.0,404.5,388.15,396.4,562336
2018-09-07,392.75,404.5,392.75,395.8,384926
2018-09-10,397.15,398.75,383.5,385.65,145666
2018-09-11,385.5,391.55,380.0,382.75,122388
2018-09-12,380.45,388.5,380.45,384.65,220286
2018-09-14,387.0,396.7,385.95,388.95,116952
2018-09-17,389.5,390.75,380.0,380.75,190922
2018-09-18,380.8,388.85,380.0,383.6,206180
2018-09-19,385.45,385.45,371.15,375.1,370796
2018-09-21,375.0,378.45,352.5,356.55,282552
2018-09-24,356.05,373.5,350.1,359.4,350088
2018-09-25,357.25,360.0,340.0,352.45,265442
2018-09-26,350.5,351.5,340.2,349.1,1482388
2018-09-27,350.85,350.85,340.95,344.85,104664
2018-09-28,343.5,350.6,327.0,339.7,382356
2018-10-01,339.25,342.0,325.05,334.2,275664
2018-10-03,336.25,337.5,325.0,327.55,100082
2018-10-04,328.4,329.55,316.3,320.9,129694
2018-10-05,321.0,329.95,315.05,321.9,102570
2018-10-08,320.0,322.0,301.0,307.75,358078
2018-10-09,307.5,320.0,307.5,313.35,205852
2018-10-10,312.5,318.35,299.95,311.25,466922
2018-10-11,309.4,324.85,300.5,314.65,356488
2018-10-12,314.65,332.9,314.0,330.85,102678
2018-10-15,330.85,342.3,325.8,339.1,175962
2018-10-16,340.0,347.5,337.55,342.95,130184
2018-10-17,344.65,346.05,334.5,335.9,65540
2018-10-19,330.05,338.4,328.9,334.15,68056
2018-10-22,339.0,339.0,324.0,330.1,98070
2018-10-23,334.85,335.05,327.95,332.8,225598
2018-10-24,332.7,339.4,320.0,326.45,178044
2018-10-25,324.5,330.0,315.65,321.9,120250
2018-10-26,318.5,328.3,315.5,326.85,138892
2018-10-29,327.5,337.3,319.5,323.15,472758
2018-10-30,321.5,343.5,317.0,329.8,1223266
2018-10-31,330.25,344.5,329.6,340.9,275826
2018-11-01,339.8,353.95,337.75,348.3,883810
2018-11-02,352.45,357.25,346.45,352.3,507954
2018-11-05,352.5,352.5,338.5,349.25,182812
2018-11-06,351.0,351.0,340.5,342.8,48270
2018-11-09,344.95,357.5,340.6,352.1,131656
2018-11-12,352.5,357.5,347.5,355.5,79280
2018-11-13,354.25,367.5,352.0,361.45,209110
2018-11-14,361.45,379.5,352.2,372.95,1248390
2018-11-15,374.95,387.0,372.6,376.55,1557926
2018-11-16,377.35,381.0,370.65,379.45,1117714
2018-11-19,385.0,387.0,376.0,381.2,198936
2018-11-20,382.4,383.0,370.15,372.55,294708
2018-11-21,372.4,381.9,371.8,380.7,198902
2018-11-22,381.25,397.55,376.0,394.6,380866
2018-11-26,397.5,408.1,387.5,394.05,565066
2018-11-27,394.95,397.4,388.25,394.55,399952
2018-11-28,399.95,399.95,390.0,394.75,114358
2018-11-29,392.55,405.0,387.5,393.6,212454
2018-11-30,390.95,402.5,387.0,398.2,392034
2018-12-03,400.0,405.0,396.0,402.25,882378
2018-12-04,401.95,402.5,396.4,398.95,169618
2018-12-05,392.15,400.95,392.15,397.9,187120
2018-12-06,397.5,397.85,382.75,389.2,338676
2018-12-07,390.6,393.35,386.55,390.85,160220
2018-12-10,388.5,399.85,385.2,398.85,267276
2018-12-11,396.9,402.85,389.0,391.4,398004
2018-12-12,391.6,395.75,391.6,394.5,373068
2018-12-13,394.0,413.2,389.0,401.45,1055888
2018-12-14,402.5,402.5,390.5,395.35,140270
2018-12-17,395.5,401.5,391.5,399.9,217438
2018-12-18,401.0,401.45,387.0,389.25,299562
2018-12-19,389.0,405.5,389.0,403.15,186890
2018-12-20,395.5,403.85,389.85,391.7,169792
2018-12-21,392.5,404.75,392.5,402.55,159750
2018-12-24,398.25,409.8,394.05,400.9,237934
2018-12-26,394.3,399.0,391.5,395.15,78216
2018-12-27,395.0,395.0,390.05,391.9,78008
2018-12-28,394.85,400.0,388.5,390.6,116446
2018-12-31,391.0,403.0,390.0,401.05,158870
2019-01-01,400.0,409.5,396.55,408.15,127162
2019-01-02,401.3,409.5,399.1,399.9,120822
2019-01-03,402.5,407.95,391.05,393.8,122094
2019-01-04,394.0,396.25,387.85,393.5,388976
2019-01-07,399.5,399.5,388.0,392.05,740242
2019-01-08,393.0,397.0,386.25,387.5,403792
2019-01-09,392.45,393.65,387.5,388.5,89020
2019-01-10,389.75,397.0,387.5,391.05,178666
2019-01-11,391.0,396.5,389.0,390.25,214418
2019-01-14,390.5,394.85,387.65,392.55,76652
2019-01-15,392.5,394.95,388.0,391.7,62232
2019-01-16,393.0,394.75,390.05,394.4,76468
2019-01-17,399.0,399.0,387.8,393.95,349152
2019-01-18,392.8,393.25,381.95,385.5,91346
2019-01-21,386.0,392.5,385.5,389.85,91762
2019-01-22,388.05,388.7,380.55,386.4,203578
2019-01-23,387.5,392.5,385.45,390.85,57970
2019-01-24,389.15,395.0,387.55,392.15,175690
2019-01-25,393.35,393.8,388.7,389.95,185176
2019-01-28,385.0,395.55,385.0,389.95,211980
2019-01-29,387.5,391.1,387.5,389.8,112918
2019-01-30,388.0,392.4,386.15,390.85,95056
2019-01-31,390.3,391.9,380.5,384.7,519910
2019-02-01,383.05,389.6,375.75,380.3,110006
2019-02-04,379.75,382.2,367.5,370.45,152448
2019-02-05,371.55,373.75,358.5,361.5,245026
2019-02-06,372.0,379.45,364.95,375.15,1837808
2019-02-07,375.15,381.4,368.0,372.35,404786
2019-02-08,369.55,370.0,365.1,366.35,38064
2019-02-11,363.6,374.35,361.05,365.3,385336
2019-02-12,365.3,375.75,363.5,370.5,793762
2019-02-13,375.0,378.5,370.05,375.6,781586
2019-02-14,376.45,381.55,371.2,378.4,1260780
2019-02-15,378.5,389.9,375.0,387.65,149088
2019-02-18,394.0,414.4,388.0,404.1,781978
2019-02-19,403.9,407.7,393.2,402.4,323486
2019-02-20,404.85,407.5,396.5,399.5,308398
2019-02-21,397.5,405.0,396.25,400.1,681492
2019-02-22,400.1,403.0,394.5,396.4,322084
2019-02-25,396.8,409.9,396.5,398.05,490858
2019-02-26,397.5,405.0,392.0,400.15,91560
2019-02-27,402.5,406.0,392.0,401.7,329476
2019-02-28,402.0,407.3,399.8,404.9,323938
2019-03-01,404.55,431.45,404.55,425.75,1359694
2019-03-05,427.0,444.2,425.75,437.65,822980
2019-03-06,438.55,443.85,432.65,436.4,516150
2019-03-07,436.0,440.15,430.95,435.2,460808
2019-03-08,436.5,458.7,432.0,443.5,971828
2019-03-11,445.0,470.9,443.75,464.5,1686378
2019-03-12,467.4,470.85,459.3,464.1,454370
2019-03-13,465.0,465.5,454.55,458.75,285442
2019-03-14,459.5,460.4,447.5,449.7,217154
2019-03-15,453.85,457.4,437.75,442.75,367254
2019-03-18,446.35,449.0,439.35,442.95,187564
2019-03-19,446.75,464.7,446.75,459.6,502566
2019-03-20,458.85,474.5,456.0,469.2,547332
2019-03-22,468.35,468.65,462.5,464.05,158360
2019-03-25,462.85,462.85,455.0,458.4,205002
2019-03-26,460.5,466.0,457.5,462.45,568396
2019-03-27,462.45,467.5,458.5,462.8,275156
2019-03-28,462.5,483.75,456.6,479.75,214958
2019-03-29,482.5,523.0,480.0,490.9,1432348
2019-04-01,493.7,500.0,482.75,486.35,196668
2019-04-02,487.5,489.85,474.05,476.35,186674
2019-04-03,473.5,504.3,473.5,481.65,849300
2019-04-04,481.5,487.5,475.55,481.2,179634
2019-04-05,483.35,488.25,475.55,478.4,123468
2019-04-08,475.0,479.95,456.75,468.7,490368
2019-04-09,472.15,472.15,458.65,468.05,471948
2019-04-10,468.0,479.6,465.85,472.55,180862
2019-04-11,472.85,476.85,469.5,473.15,111054
2019-04-12,474.9,476.95,469.9,475.9,107818
2019-04-15,476.0,480.0,470.0,471.4,271324
2019-04-16,473.85,477.5,463.0,473.15,318862
2019-04-18,473.0,492.45,472.75,482.0,501050
2019-04-22,482.5,485.0,472.8,481.85,146148
2019-04-23,484.9,516.55,482.7,487.7,1356546
2019-04-24,492.0,494.05,480.0,482.65,232830
2019-04-25,488.5,493.8,487.85,489.5,285816
2019-04-26,489.35,492.7,480.55,484.1,332004
2019-04-30,480.2,480.2,472.0,476.25,510686
2019-05-02,477.5,492.0,477.25,486.5,228088
2019-05-03,489.5,491.2,483.7,488.5,120498
2019-05-06,484.55,484.95,475.0,477.25,114390
2019-05-07,481.5,488.5,473.25,477.65,181110
2019-05-08,473.85,480.0,470.3,475.0,169180
2019-05-09,478.5,490.8,471.5,484.15,135256
2019-05-10,488.05,492.45,480.0,486.55,99324
2019-05-13,488.95,488.95,457.75,464.75,255150
2019-05-14,460.1,469.05,448.5,463.0,451540
2019-05-15,460.5,480.0,456.35,458.75,248762
2019-05-16,460.0,463.95,451.8,455.0,123824
2019-05-17,458.7,474.5,455.25,459.65,146926
2019-05-20,465.0,473.0,459.35,466.15,179402
2019-05-21,469.9,470.2,457.5,459.65,160678
2019-05-22,462.45,466.0,455.75,462.2,601016
2019-05-23,467.5,468.4,452.5,457.25,435632
2019-05-24,460.0,470.7,459.0,466.8,233992
2019-05-27,470.6,472.1,460.05,463.25,152798
2019-05-28,464.0,475.0,453.5,465.8,240084
2019-05-29,469.95,476.45,460.5,464.3,911754
2019-05-30,467.95,474.95,463.7,466.9,175906
2019-05-31,467.75,475.45,465.15,469.05,759274
2019-06-03,472.45,474.9,460.4,462.5,183464
2019-06-04,464.95,469.45,464.95,466.8,192588
2019-06-06,465.25,469.55,460.5,462.3,292238
2019-06-07,462.0,473.45,462.0,469.25,191486
2019-06-10,472.2,472.95,458.5,464.05,263890
2019-06-11,463.8,470.0,459.15,462.35,379068
2019-06-12,462.3,463.4,458.5,459.45,111042
2019-06-13,459.5,481.25,459.5,467.2,482710
2019-06-14,468.9,472.0,465.5,468.85,165466
2019-06-17,469.5,469.5,447.75,454.8,123636
2019-06-18,456.5,458.5,449.25,452.65,179814
2019-06-19,455.0,457.5,450.45,451.25,74724
2019-06-20,451.0,459.5,446.2,457.45,130136
2019-06-21,458.0,476.0,455.0,470.4,371410
2019-06-24,470.4,478.5,466.55,472.35,297238
2019-06-25,472.35,472.35,464.0,465.4,69958
2019-06-26,466.5,468.7,460.6,463.9,113028
2019-06-27,467.45,472.0,458.0,462.4,242286
2019-06-28,461.25,464.95,457.5,458.85,230302
2019-07-01,461.05,470.4,461.05,464.5,131844
2019-07-02,468.25,490.5,465.75,482.85,274156
2019-07-03,485.8,485.9,478.5,479.6,188672
2019-07-04,482.5,483.5,470.5,474.5,231154
2019-07-05,474.5,477.4,472.0,474.65,171126
2019-07-08,474.0,475.25,459.95,472.4,348368
2019-07-09,470.25,480.0,465.5,475.65,273564
2019-07-10,478.95,478.95,473.0,475.75,60676
2019-07-11,476.25,479.95,468.2,477.15,82442
2019-07-12,474.35,482.0,474.25,480.35,78884
2019-07-15,482.5,482.5,474.0,478.45,71500
2019-07-16,482.25,482.25,475.0,479.2,43918
2019-07-17,478.5,479.75,460.75,469.8,188132
2019-07-18,472.5,474.95,465.05,468.1,57716
2019-07-19,469.0,471.5,458.0,464.45,111018
2019-07-22,457.5,467.0,450.0,458.1,617382
2019-07-23,452.55,471.0,452.55,468.4,1173190
2019-07-24,472.15,485.0,464.65,472.85,128190
2019-07-25,475.0,476.0,469.65,472.45,71214
2019-07-26,474.75,478.85,466.5,473.5,81230
2019-07-29,475.85,478.95,467.55,475.75,56158
2019-07-30,475.85,487.5,473.6,479.75,394734
2019-07-31,480.45,481.95,472.5,477.9,147554
2019-08-01,472.9,502.1,472.9,484.3,1500510
2019-08-02,480.9,490.0,478.0,484.1,244806
2019-08-05,486.95,489.95,455.7,477.25,715778
2019-08-06,470.45,477.2,469.4,474.65,321656
2019-08-07,476.95,476.95,462.6,465.3,91176
2019-08-08,467.4,472.5,463.35,470.7,234612
2019-08-09,469.0,483.8,469.0,481.6,258224
2019-08-13,485.0,485.55,465.0,467.05,699012
2019-08-14,471.0,474.5,464.5,469.25,96964
2019-08-16,468.5,474.0,465.05,469.2,636428
2019-08-19,471.9,477.5,468.5,476.45,461868
2019-08-20,475.95,485.0,472.7,483.95,332210
2019-08-21,481.6,485.0,466.25,469.45,211518
2019-08-22,470.0,482.45,470.0,479.5,275126
2019-08-23,480.65,481.5,473.6,478.85,395618
2019-08-26,481.95,488.5,475.5,486.65,416772
2019-08-27,489.95,499.5,488.75,492.5,475414
2019-08-28,495.7,496.5,461.3,466.25,646950
2019-08-29,468.8,474.4,452.5,469.4,749042
2019-08-30,473.95,485.0,472.5,479.5,433756
2019-09-03,483.95,494.95,478.0,480.55,228718
2019-09-04,480.55,485.2,476.9,478.95,365474
2019-09-05,482.35,482.35,475.5,479.1,160874
2019-09-06,478.5,481.95,465.5,467.55,379558
2019-09-09,470.35,476.7,465.5,467.5,148166
2019-09-11,468.05,479.95,459.5,464.2,376572
2019-09-12,464.95,474.7,464.95,472.25,199458
2019-09-13,470.5,479.4,470.5,471.5,158000
2019-09-16,471.5,480.7,467.55,473.25,156146
