date,open,high,low,close,volume
2018-07-05,10.5,10.7,10.35,10.45,36740620
2018-07-06,10.45,10.6,10.32,10.4,24129900
2018-07-09,10.48,10.68,10.28,10.62,36706540
2018-07-10,10.7,10.8,10.58,10.65,22378600
2018-07-11,10.65,10.78,10.5,10.6,20398940
2018-07-12,10.65,10.75,10.12,10.22,30754620
2018-07-13,10.3,10.35,10.02,10.2,24339040
2018-07-16,10.18,10.25,9.3,9.48,71809860
2018-07-17,9.4,9.78,9.3,9.72,30706540
2018-07-18,9.95,9.95,9.28,9.55,42451440
2018-07-19,9.58,9.65,9.18,9.52,51136940
2018-07-20,9.42,9.55,9.22,9.42,38251220
2018-07-23,9.4,9.6,9.25,9.45,31624940
2018-07-24,9.48,10.0,9.42,9.9,42116900
2018-07-25,9.98,10.2,9.62,9.7,54813400
2018-07-26,9.78,10.38,9.62,10.3,101022040
2018-07-27,10.32,10.42,10.05,10.12,34277120
2018-07-30,10.12,10.35,9.95,10.12,40642260
2018-07-31,10.12,10.2,9.95,10.05,28564160
2018-08-01,10.02,10.02,9.7,9.78,34177380
2018-08-02,9.7,9.9,9.6,9.75,24187660
2018-08-03,9.8,9.88,9.65,9.75,37646420
2018-08-06,9.8,10.32,9.78,10.2,64403580
2018-08-07,10.22,10.32,9.8,9.88,39819340
2018-08-08,9.88,9.95,9.7,9.78,30829900
2018-08-09,9.85,10.12,9.75,9.98,42223620
2018-08-10,9.95,10.05,9.58,9.65,40875840
2018-08-13,9.58,9.78,9.42,9.52,22326240
2018-08-14,9.48,9.6,9.38,9.55,29186340
2018-08-16,9.5,9.7,9.42,9.52,21093660
2018-08-17,9.58,9.72,9.38,9.42,41053840
2018-08-20,9.5,9.8,9.48,9.72,43347040
2018-08-21,9.78,9.78,9.5,9.55,25498900
2018-08-23,9.55,9.62,9.32,9.42,34628960
2018-08-24,9.4,9.65,9.35,9.52,44361360
2018-08-27,9.58,9.92,9.52,9.85,57706280
2018-08-28,9.88,9.88,9.62,9.7,18955140
2018-08-29,9.7,9.75,9.58,9.62,23041900
2018-08-30,9.62,9.7,9.48,9.5,39201840
2018-08-31,9.5,9.6,9.38,9.52,31534340
2018-09-03,9.52,9.62,9.4,9.45,45176760
2018-09-04,9.42,9.5,8.42,8.6,122202420
2018-09-05,8.48,8.92,8.32,8.88,124393140
2018-09-06,9.0,9.0,8.62,8.9,51790200
2018-09-07,8.9,9.05,8.72,8.92,37729600
2018-09-10,8.9,8.98,8.42,8.6,41174000
2018-09-11,8.65,8.78,8.48,8.52,22427620
2018-09-12,8.65,8.75,8.4,8.68,34074100
2018-09-14,8.7,8.95,8.68,8.88,29424140
2018-09-17,8.8,8.98,8.68,8.72,29481100
2018-09-18,8.65,8.78,8.5,8.58,26256720
2018-09-19,8.6,8.65,8.18,8.22,36784100
2018-09-21,8.35,8.4,7.4,7.7,69106660
2018-09-24,7.85,7.85,6.98,7.08,73019580
2018-09-25,7.05,7.15,6.55,6.88,59401760
2018-09-26,6.95,7.15,6.8,7.08,62285840
2018-09-27,7.08,7.18,6.8,6.85,70621160
2018-09-28,6.9,7.02,6.62,6.85,52850640
2018-10-01,6.82,7.28,6.58,7.22,49236500
2018-10-03,7.2,7.25,6.82,6.9,64914780
2018-10-04,6.8,6.98,6.5,6.6,48028360
2018-10-05,6.52,6.7,6.25,6.38,45730020
2018-10-08,6.35,6.5,6.05,6.22,33147500
2018-10-09,6.22,6.42,6.0,6.25,46258020
2018-10-10,6.3,6.95,6.25,6.75,45024540
2018-10-11,6.5,6.92,6.38,6.5,38709980
2018-10-12,6.55,6.8,6.55,6.68,26546540
2018-10-15,6.7,6.75,6.32,6.4,55255720
2018-10-16,6.4,6.58,6.4,6.52,32314300
2018-10-17,6.6,6.65,6.22,6.28,29779680
2018-10-19,6.25,6.38,5.9,5.98,50549340
2018-10-22,6.0,6.18,5.92,6.0,31746380
2018-10-23,5.95,6.25,5.9,6.15,41564760
2018-10-24,6.25,6.35,6.08,6.22,43277180
2018-10-25,6.15,6.22,5.98,6.02,34687240
2018-10-26,6.02,6.15,5.88,6.1,33781920
2018-10-29,6.1,6.35,5.98,6.28,26603120
2018-10-30,6.28,6.5,6.25,6.3,42406560
2018-10-31,6.25,7.1,6.2,6.98,153152660
2018-11-01,6.98,7.45,6.92,7.22,82973760
2018-11-02,7.28,7.55,7.22,7.28,51286440
2018-11-05,7.28,7.3,7.02,7.25,41571540
2018-11-06,7.25,7.28,6.9,6.95,28567800
2018-11-09,7.1,7.1,6.78,6.92,39749480
2018-11-12,7.02,7.28,6.98,7.02,78416100
2018-11-13,7.0,7.1,6.78,7.08,30535220
2018-11-14,7.1,7.12,6.85,6.95,18336460
2018-11-15,6.95,7.2,6.88,7.15,27216600
2018-11-16,7.2,7.22,6.68,6.72,51109180
2018-11-19,6.75,7.08,6.72,6.95,37249720
2018-11-20,6.9,7.0,6.8,6.85,27481060
2018-11-21,6.82,7.22,6.8,7.12,46216980
2018-11-22,7.12,7.32,7.0,7.08,58130660
2018-11-26,7.05,7.35,7.0,7.3,49323560
