date,open,high,low,close,volume
2018-07-05,127.55,129.55,125.5,126.35,68482
2018-07-06,126.1,127.25,120.0,124.05,406936
2018-07-09,124.0,126.8,122.55,125.05,162676
2018-07-10,126.0,128.9,125.0,128.1,477024
2018-07-11,127.5,129.5,126.25,128.5,83482
2018-07-12,128.5,131.4,127.6,128.75,53172
2018-07-13,128.5,130.2,126.2,127.2,28338
2018-07-16,129.1,129.1,124.0,127.5,48444
2018-07-17,127.0,133.5,126.5,130.3,45266
2018-07-18,130.5,131.5,128.5,130.0,50526
2018-07-19,130.5,133.2,130.1,132.5,126100
2018-07-20,133.5,134.9,132.0,132.75,63594
2018-07-23,132.55,135.8,132.5,135.0,109798
2018-07-24,135.7,139.45,130.5,136.5,173928
2018-07-25,135.0,137.0,131.5,134.95,65010
2018-07-26,133.5,140.0,133.15,138.5,52716
2018-07-27,137.5,138.5,133.35,135.2,46274
2018-07-30,135.2,138.5,135.2,136.7,53306
2018-07-31,136.3,138.5,135.7,136.65,23232
2018-08-01,137.2,138.1,134.05,135.0,30822
2018-08-02,135.35,142.65,134.95,137.5,135062
2018-08-03,139.4,139.6,136.45,137.6,65872
2018-08-06,137.0,139.2,137.0,138.7,27804
2018-08-07,139.0,144.1,137.75,140.0,311114
2018-08-08,139.8,140.2,138.25,138.9,585658
2018-08-09,138.9,141.7,138.5,139.3,34478
2018-08-10,139.0,152.9,139.0,149.4,704320
2018-08-13,147.45,154.6,145.0,153.1,407154
2018-08-14,152.95,155.6,149.4,154.8,378076
2018-08-16,155.75,159.5,152.8,155.1,189496
2018-08-17,154.05,156.35,153.0,154.1,56440
2018-08-20,156.35,157.55,147.9,154.9,124582
2018-08-21,153.15,154.9,150.0,152.0,43448
2018-08-23,152.0,168.95,152.0,162.15,2180594
2018-08-24,163.2,166.0,160.5,164.75,485266
2018-08-27,165.5,171.0,164.0,166.5,752704
2018-08-28,167.45,168.0,164.8,166.0,131840
2018-08-29,167.0,169.85,166.1,167.9,193350
2018-08-30,168.6,170.1,168.5,169.25,184588
2018-08-31,171.0,175.5,167.5,170.4,2745604
2018-09-03,171.45,172.0,169.6,170.7,340694
2018-09-04,171.5,172.2,168.0,169.2,401818
2018-09-05,167.5,171.0,167.1,170.2,452574
2018-09-06,172.0,172.4,169.3,171.8,189422
2018-09-07,173.0,173.75,171.25,172.0,360538
2018-09-10,172.5,173.6,170.55,170.7,254506
2018-09-11,169.8,176.15,169.0,171.5,516616
2018-09-12,172.5,173.2,169.0,171.2,200070
2018-09-14,171.25,174.25,170.0,170.5,170528
2018-09-17,171.6,171.6,167.2,168.1,108518
2018-09-18,168.5,169.95,160.7,161.9,148440
2018-09-19,160.5,163.4,154.2,158.5,113272
2018-09-21,158.25,159.4,145.6,147.1,566486
2018-09-24,151.5,154.5,147.75,151.9,106932
2018-09-25,149.1,153.7,147.1,150.75,140910
2018-09-26,150.25,151.85,149.1,150.0,77232
2018-09-27,150.1,151.5,148.8,149.9,85024
2018-09-28,148.6,150.3,141.0,146.4,201440
2018-10-01,146.95,149.6,140.5,148.4,111184
2018-10-03,148.1,153.15,145.1,150.5,117000
2018-10-04,146.0,151.95,141.6,144.8,160578
2018-10-05,144.5,147.0,142.55,144.3,64664
2018-10-08,142.05,151.5,142.05,148.15,93864
2018-10-09,148.0,150.3,144.5,148.9,107122
2018-10-10,150.0,156.5,150.0,151.9,105008
2018-10-11,147.6,151.15,145.0,148.2,43064
2018-10-12,150.0,153.0,148.75,149.9,38482
2018-10-15,147.5,151.9,147.5,149.3,55178
2018-10-16,151.9,152.05,149.5,150.0,54668
2018-10-17,150.8,151.5,148.85,150.1,532518
2018-10-19,150.0,154.0,144.2,152.25,243956
2018-10-22,149.0,151.1,147.5,148.55,37356
2018-10-23,147.6,148.35,142.7,144.95,67878
2018-10-24,149.5,149.5,145.0,145.35,51478
2018-10-25,145.35,147.0,144.0,145.2,13284
2018-10-26,144.65,147.5,144.4,145.7,25942
2018-10-29,146.0,148.0,144.5,146.3,46124
2018-10-30,146.35,151.9,146.0,150.3,38228
2018-10-31,149.5,156.45,146.6,154.25,126422
2018-11-01,154.75,158.75,154.25,157.3,89174
2018-11-02,157.0,158.5,153.55,154.8,100836
2018-11-05,155.5,158.0,153.5,154.05,177016
2018-11-06,152.05,155.5,152.0,154.5,81520
2018-11-09,156.0,156.0,153.7,154.4,16050
2018-11-12,153.55,156.85,150.0,153.9,52954
2018-11-13,151.1,155.0,151.1,152.8,40852
2018-11-14,154.6,156.5,154.5,155.4,58652
2018-11-15,155.6,155.6,153.0,154.3,23220
2018-11-16,155.5,157.2,153.55,154.3,94532
2018-11-19,155.9,155.9,154.0,154.75,38228
2018-11-20,154.75,154.75,152.1,153.1,29490
2018-11-21,152.3,152.9,150.0,150.4,33386
2018-11-22,151.45,151.45,148.55,148.95,21258
2018-11-26,149.0,150.3,147.5,148.2,19622
2018-11-27,147.1,149.7,146.3,148.3,22608
2018-11-28,148.5,148.5,144.55,144.8,135926
2018-11-29,145.2,148.4,136.15,147.3,91826
2018-11-30,145.5,150.5,145.5,149.3,49480
2018-12-03,148.0,151.75,148.0,150.7,436786
2018-12-04,148.55,160.0,148.55,151.9,990524
2018-12-05,153.5,153.5,150.0,151.05,8150
2018-12-06,151.1,152.5,149.9,151.0,29034
2018-12-07,149.5,152.5,148.1,152.0,316176
2018-12-10,150.15,150.5,147.5,149.45,828832
2018-12-11,148.2,149.0,145.0,146.8,32452
2018-12-12,146.5,150.0,146.2,149.9,38684
2018-12-13,150.0,151.95,149.0,149.8,81480
2018-12-14,149.5,150.0,148.3,149.6,9968
2018-12-17,149.9,150.25,147.0,148.0,135194
2018-12-18,148.45,150.0,144.45,144.8,204836
2018-12-19,145.1,154.9,145.1,151.15,720072
2018-12-20,150.0,152.45,148.95,151.1,51482
2018-12-21,149.1,151.5,148.6,150.0,57028
2018-12-24,153.5,153.5,148.2,149.7,28138
2018-12-26,146.5,148.95,146.35,148.1,37470
2018-12-27,149.0,150.0,148.85,149.7,29046
2018-12-28,149.05,151.5,147.2,150.1,32400
2018-12-31,150.0,153.5,149.3,152.95,67264
2019-01-01,152.1,156.5,150.4,155.6,36564
2019-01-02,155.6,158.75,153.05,155.7,84996
2019-01-03,155.5,157.75,155.1,156.5,29514
2019-01-04,157.25,157.25,151.5,152.8,26840
2019-01-07,153.0,153.8,149.1,149.7,76824
2019-01-08,151.5,152.6,150.6,151.85,37884
2019-01-09,154.0,154.0,150.2,151.45,14688
2019-01-10,151.2,152.0,149.45,150.3,37440
2019-01-11,150.7,151.0,148.8,150.2,30976
2019-01-14,151.0,151.25,148.8,150.65,23432
2019-01-15,150.65,163.9,150.65,157.9,465142
2019-01-16,158.0,160.8,157.6,159.65,71980
2019-01-17,160.1,160.1,157.05,157.8,18282
2019-01-18,158.0,160.95,153.0,155.2,87526
2019-01-21,153.9,158.7,153.35,154.8,29956
2019-01-22,152.6,156.45,151.5,154.95,20412
2019-01-23,154.9,161.0,154.4,159.8,105110
2019-01-24,161.0,161.0,158.2,159.0,17832
2019-01-25,158.0,160.75,151.55,154.1,52812
2019-01-28,155.3,158.0,152.4,154.9,76530
2019-01-29,157.0,157.0,151.0,152.1,38508
2019-01-30,153.55,157.0,152.5,155.7,20068
2019-01-31,157.0,160.0,155.5,158.6,58164
2019-02-01,157.5,160.0,154.0,154.85,115288
2019-02-04,155.0,157.5,153.3,155.9,22996
2019-02-05,156.1,158.5,155.8,157.75,36676
2019-02-06,158.45,158.5,156.6,158.0,45228
2019-02-07,158.0,165.5,157.0,163.4,292912
2019-02-08,162.45,165.8,160.5,163.65,229140
2019-02-11,164.35,164.35,156.85,159.4,191236
2019-02-12,156.5,158.4,156.1,157.3,75234
2019-02-13,157.7,159.1,150.55,154.4,56714
2019-02-14,154.3,158.7,147.5,156.05,66798
2019-02-15,155.5,156.5,150.95,156.1,130044
2019-02-18,155.0,157.9,153.9,157.2,45236
2019-02-19,156.5,161.0,154.3,160.5,44652
2019-02-20,160.0,161.6,157.05,161.0,43530
2019-02-21,160.9,163.3,158.55,160.1,126310
2019-02-22,159.0,166.3,159.0,164.8,133368
2019-02-25,165.0,169.4,164.0,166.65,409560
2019-02-26,167.75,167.75,161.7,165.55,46610
2019-02-27,165.55,169.2,160.0,161.45,132532
2019-02-28,162.5,164.5,161.5,163.1,26648
2019-03-01,163.1,167.5,162.55,167.0,206018
2019-03-05,165.2,172.5,165.2,171.55,284434
2019-03-06,173.0,175.05,166.75,167.8,140422
2019-03-07,167.45,170.7,167.1,168.7,62404
2019-03-08,170.1,170.5,166.5,168.3,36626
2019-03-11,168.5,174.0,163.5,168.5,228076
2019-03-12,169.3,172.0,167.6,168.5,47258
2019-03-13,169.95,172.45,166.1,168.3,68498
2019-03-14,170.8,170.8,166.65,168.85,47412
2019-03-15,167.95,171.8,163.0,166.4,98636
2019-03-18,163.1,165.85,161.5,164.1,61834
2019-03-19,163.0,168.0,163.0,165.5,58366
2019-03-20,165.5,168.0,165.5,166.9,44872
2019-03-22,166.8,170.35,164.1,168.4,71406
2019-03-25,166.95,170.75,161.25,170.2,67924
2019-03-26,170.2,172.75,167.75,171.7,114484
2019-03-27,172.5,178.5,170.6,177.05,271202
2019-03-28,178.9,182.05,175.5,178.95,272088
2019-03-29,179.0,182.0,176.3,181.2,72146
2019-04-01,182.5,186.9,181.0,184.9,265444
2019-04-02,186.9,186.9,178.5,180.05,73634
2019-04-03,178.1,180.0,174.55,175.7,59516
2019-04-04,176.05,177.9,171.55,174.1,62094
2019-04-05,174.25,177.6,174.25,176.6,52838
2019-04-08,173.6,176.5,171.3,172.9,28862
2019-04-09,173.0,178.5,169.5,176.9,54876
2019-04-10,176.9,176.9,173.3,174.35,77748
2019-04-11,172.5,176.25,171.05,174.4,21324
2019-04-12,175.0,178.0,173.0,176.55,24626
2019-04-15,177.95,178.0,173.55,177.5,126034
2019-04-16,176.3,182.5,170.8,177.35,78436
2019-04-18,174.5,176.95,172.2,173.65,36348
2019-04-22,172.0,174.7,170.95,171.35,19364
2019-04-23,171.05,174.2,170.6,171.8,18240
2019-04-24,174.35,180.0,171.0,173.95,202412
2019-04-25,173.0,178.0,172.0,175.1,52680
2019-04-26,175.5,175.6,172.5,173.2,39922
2019-04-30,172.5,175.0,170.9,172.2,28762
2019-05-02,170.0,176.5,170.0,171.5,34864
2019-05-03,171.5,173.8,171.0,172.5,21254
2019-05-06,172.55,174.0,165.5,169.05,83586
2019-05-07,171.6,171.6,162.9,165.1,34400
2019-05-08,163.25,164.15,160.0,162.85,142892
2019-05-09,161.55,165.0,159.7,163.5,47494
2019-05-10,162.75,163.2,160.6,162.4,29464
2019-05-13,161.55,162.3,156.5,159.0,65168
2019-05-14,156.6,163.5,156.0,162.95,80840
2019-05-15,162.95,166.5,160.1,164.7,98606
2019-05-16,165.3,166.2,161.45,165.5,24310
2019-05-17,165.0,168.8,164.5,167.5,199588
2019-05-20,169.5,171.5,167.5,170.1,149670
2019-05-21,170.0,177.0,168.7,172.6,251698
2019-05-22,179.9,189.0,175.0,182.45,1573898
2019-05-23,185.0,186.2,178.5,185.0,272438
2019-05-24,187.5,189.5,183.8,188.15,219044
2019-05-27,188.0,190.45,185.65,187.7,107270
2019-05-28,191.15,203.5,187.55,192.6,478010
2019-05-29,192.5,193.45,185.5,186.4,111638
2019-05-30,186.5,189.8,184.0,185.6,49208
2019-05-31,187.75,188.4,184.35,187.5,108104
2019-06-03,190.0,190.0,185.0,188.0,53136
2019-06-04,187.45,194.95,185.0,192.0,153098
2019-06-06,192.0,192.5,187.5,189.85,37240
2019-06-07,191.15,192.4,186.0,186.3,52982
2019-06-10,187.2,190.8,184.1,185.2,54988
