date,open,high,low,close,volume
2018-07-05,60.55,61.0,60.0,60.65,62140
2018-07-06,60.6,61.55,58.9,60.0,169810
2018-07-09,61.0,62.4,60.5,62.0,124326
2018-07-10,62.4,69.2,61.4,67.5,944430
2018-07-11,66.9,67.95,64.7,66.5,227150
2018-07-12,66.5,67.5,65.35,66.0,120176
2018-07-13,65.6,66.0,62.8,65.1,152356
2018-07-16,64.8,64.8,62.0,62.6,111666
2018-07-17,62.4,64.2,61.5,63.0,121526
2018-07-18,62.1,63.6,60.0,61.05,176080
2018-07-19,61.55,62.75,60.35,61.5,108690
2018-07-20,62.6,62.6,60.6,60.9,91826
2018-07-23,61.0,62.6,60.3,61.45,95530
2018-07-24,62.4,70.7,61.55,68.7,881810
2018-07-25,68.7,70.95,66.5,67.5,334740
2018-07-26,67.4,69.8,66.7,67.5,112786
2018-07-27,67.8,70.2,67.05,68.4,172200
2018-07-30,68.0,69.4,67.45,68.2,115760
2018-07-31,68.0,69.2,67.1,67.8,115580
2018-08-01,68.0,70.35,68.0,68.85,283466
2018-08-02,68.25,70.2,67.7,69.5,111856
2018-08-03,70.5,73.55,69.3,72.5,447986
2018-08-06,73.55,78.55,73.2,76.55,2059616
2018-08-07,75.4,75.6,72.45,72.8,468976
2018-08-08,72.0,73.5,70.25,71.6,185260
2018-08-09,72.15,73.95,71.8,73.3,195636
2018-08-10,73.5,74.1,72.3,73.3,116390
2018-08-13,72.95,73.4,71.4,72.7,85216
2018-08-14,73.0,73.4,72.1,72.6,84066
2018-08-16,72.9,75.0,72.0,73.5,185690
2018-08-17,73.8,75.6,73.6,74.85,178950
2018-08-20,75.5,75.9,73.4,73.85,115620
2018-08-21,73.9,77.2,72.45,73.1,342560
2018-08-23,73.1,73.6,72.45,72.6,61906
2018-08-24,72.5,72.8,70.6,71.2,71990
2018-08-27,70.8,72.9,70.6,71.4,79240
2018-08-28,71.4,72.3,70.2,70.6,67846
2018-08-29,70.6,71.1,69.1,70.1,103016
2018-08-30,70.0,70.8,69.2,69.7,67790
2018-08-31,71.0,71.0,69.2,69.55,67540
2018-09-03,71.8,71.8,69.0,70.3,93536
2018-09-04,71.6,71.6,68.6,69.3,120266
2018-09-05,68.8,70.2,68.0,69.1,86180
2018-09-06,69.1,73.65,69.1,71.2,328010
2018-09-07,71.8,73.2,71.2,72.0,172250
2018-09-10,72.4,72.4,70.6,70.75,68896
2018-09-11,70.3,71.95,69.6,70.05,60826
2018-09-12,69.6,71.45,68.4,70.65,89106
2018-09-14,71.1,73.8,69.9,71.2,340750
2018-09-17,70.7,71.0,69.1,69.6,86090
2018-09-18,69.0,70.9,68.0,68.6,88156
2018-09-19,68.6,69.85,68.0,68.6,93136
2018-09-21,69.0,69.65,62.4,64.6,192466
2018-09-24,64.6,66.95,62.45,63.4,97456
2018-09-25,63.4,64.0,60.2,61.45,161596
2018-09-26,62.6,62.6,60.0,60.95,80546
2018-09-27,60.2,61.5,58.3,60.0,85820
2018-09-28,61.0,61.0,56.4,57.4,96220
2018-10-01,57.0,59.6,54.0,57.25,216270
2018-10-03,57.6,58.0,55.0,55.4,88130
2018-10-04,54.2,56.6,54.1,54.6,99526
2018-10-05,56.0,56.0,51.55,52.4,97926
2018-10-08,52.0,56.4,51.2,55.6,294290
2018-10-09,55.8,56.9,53.5,54.65,172170
2018-10-10,54.65,56.1,54.4,55.35,72770
2018-10-11,51.4,56.0,51.4,55.25,79280
2018-10-12,55.25,58.0,55.25,56.5,66246
2018-10-15,57.6,59.5,55.15,58.6,77556
2018-10-16,59.0,59.8,57.7,58.9,63956
2018-10-17,59.4,69.5,58.8,59.3,207656
2018-10-19,59.3,60.6,56.4,58.0,75460
2018-10-22,60.15,60.15,54.55,55.55,118746
2018-10-23,55.0,57.1,52.6,52.85,160796
2018-10-24,54.4,55.15,52.8,53.15,69646
2018-10-25,52.6,53.9,52.05,52.55,50846
2018-10-26,52.35,53.2,51.6,51.95,76296
2018-10-29,53.35,54.95,52.3,54.0,54686
2018-10-30,53.4,56.7,53.4,54.8,76490
2018-10-31,55.9,56.4,53.6,55.15,86156
2018-11-01,55.25,57.5,54.6,56.55,149936
2018-11-02,56.8,63.0,56.7,58.95,300516
2018-11-05,59.2,63.8,57.2,63.0,509680
2018-11-06,63.2,63.95,60.45,61.05,215016
2018-11-09,61.0,63.4,60.65,63.1,200730
2018-11-12,63.7,65.6,60.4,62.8,225390
2018-11-13,63.1,64.75,61.95,62.7,455230
2018-11-14,62.8,63.2,59.0,59.65,168336
2018-11-15,59.6,61.8,58.8,59.25,88386
2018-11-16,59.55,60.7,58.8,59.2,43626
2018-11-19,59.75,60.45,59.1,59.8,40490
2018-11-20,59.4,60.2,57.8,58.85,54990
2018-11-21,59.3,59.7,57.7,58.4,51706
2018-11-22,59.4,60.45,57.8,59.0,162936
2018-11-26,59.0,60.1,58.8,59.3,43356
2018-11-27,59.95,59.95,58.05,58.65,21790
2018-11-28,59.8,62.4,59.7,61.1,297476
2018-11-29,61.6,61.85,58.7,59.65,101616
2018-11-30,59.4,60.55,59.1,59.7,28790
2018-12-03,60.8,61.2,59.75,60.1,61806
2018-12-04,60.1,60.9,59.6,60.5,43146
2018-12-05,60.4,60.4,58.4,59.6,29506
2018-12-06,59.35,59.35,56.4,57.1,86946
2018-12-07,57.1,57.4,55.6,56.45,66980
2018-12-10,55.6,56.85,55.2,55.6,47906
2018-12-11,55.2,57.4,54.8,57.05,46560
2018-12-12,57.0,60.0,57.0,58.95,45740
2018-12-13,59.8,60.3,57.7,58.1,55350
