date,open,high,low,close,volume
2021-07-27,14.05,14.05,13.45,14.05,2493045
2021-07-28,14.8,14.8,13.95,14.15,4742604
2021-07-29,14.6,14.75,14.15,14.25,2810133
2021-07-30,14.6,14.95,14.45,14.95,4724352
2021-08-02,15.65,15.65,15.6,15.65,571167
2021-08-03,16.45,16.45,16.45,16.45,304893
2021-08-04,17.25,17.25,17.25,17.25,53631
2021-08-05,18.15,18.15,16.45,16.5,6735978
2021-08-06,17.0,17.2,16.55,16.75,913266
2021-08-09,17.15,17.25,16.0,16.15,989109
2021-08-10,16.45,16.45,15.3,15.3,553995
2021-08-11,14.55,14.85,14.55,14.55,1506339
2021-08-12,14.8,14.95,13.85,14.35,2234259
2021-08-13,14.75,15.0,13.6,15.0,1333521
2021-08-16,15.8,15.8,15.55,15.8,579744
2021-08-17,16.35,16.35,15.0,15.0,1185084
2021-08-18,15.0,15.0,14.25,14.35,358650
2021-08-20,13.8,14.75,13.8,14.35,393327
2021-08-23,14.35,15.0,13.6,13.6,435312
2021-08-24,13.65,14.2,12.95,13.65,797139
2021-08-25,13.8,14.35,13.8,14.2,587394
2021-08-26,14.65,14.85,14.15,14.65,953253
2021-08-27,14.8,14.85,14.2,14.35,205767
2021-08-30,14.75,15.0,14.4,15.0,556821
2021-08-31,15.35,15.75,15.05,15.2,479529
2021-09-01,15.75,15.75,14.55,14.65,312714
2021-09-02,14.85,14.85,14.05,14.1,415494
2021-09-03,14.35,14.55,13.65,13.75,379323
2021-09-06,14.15,14.15,13.35,13.7,394686
2021-09-07,13.85,14.0,13.35,13.45,481455
2021-09-08,13.65,13.65,13.35,13.55,253269
2021-09-09,13.75,13.85,13.35,13.35,387279
2021-09-13,13.35,13.55,13.25,13.3,269991
2021-09-14,13.35,13.95,13.35,13.95,781551
2021-09-15,14.55,14.65,14.25,14.65,555219
2021-09-16,15.35,15.4,15.0,15.4,1758897
2021-09-17,15.45,15.65,14.75,15.0,1201878
2021-09-20,15.2,15.65,15.0,15.25,1100142
2021-09-21,15.55,15.55,14.45,14.55,749403
2021-09-22,14.95,14.95,13.9,14.05,618003
2021-09-23,14.6,14.8,14.15,14.8,603765
2021-09-24,14.95,15.25,14.45,14.75,337077
2021-09-27,15.0,15.0,14.05,14.55,289917
2021-09-28,14.6,15.0,14.45,14.65,218178
2021-09-29,15.0,15.4,14.2,14.55,300069
2021-09-30,14.6,14.95,14.0,14.15,377073
2021-10-01,14.15,14.55,13.95,14.25,101205
2021-10-04,15.0,15.0,14.65,15.0,232362
2021-10-05,15.2,15.55,14.55,14.8,500031
2021-10-06,15.0,15.0,14.2,14.35,335898
2021-10-07,14.85,14.85,14.2,14.35,225828
2021-10-08,15.65,15.65,15.15,15.2,1203705
2021-10-11,15.45,16.75,15.45,16.15,1905651
2021-10-12,16.35,16.35,15.2,15.6,806274
2021-10-13,15.55,16.35,15.45,15.95,737658
2021-10-14,15.95,16.3,15.75,15.8,296658
2021-10-18,16.2,16.4,15.65,15.65,440127
2021-10-19,15.75,16.05,14.55,14.8,550764
2021-10-20,14.35,15.0,14.2,14.75,278802
2021-10-21,15.0,15.05,14.45,14.85,146799
2021-10-22,13.45,15.0,13.45,14.65,117909
2021-10-25,15.45,15.55,14.45,15.0,346230
2021-10-26,15.2,16.55,15.2,16.55,1054323
2021-10-27,16.4,18.15,16.25,18.15,1935261
2021-10-28,19.75,19.75,18.45,18.85,1722681
2021-10-29,18.75,19.05,17.95,17.95,1444248
2021-11-01,17.65,18.85,17.65,18.85,521757
2021-11-02,19.15,19.75,19.1,19.75,1016784
2021-11-03,20.45,20.75,20.15,20.75,414675
2021-11-04,21.75,21.75,21.15,21.55,512811
2021-11-08,22.4,22.55,20.6,21.05,1195668
2021-11-09,20.55,22.05,20.45,22.05,604431
2021-11-10,23.1,23.2,22.4,23.2,1961640
2021-11-11,24.05,24.05,22.15,22.25,1398015
2021-11-12,22.35,22.75,21.45,21.85,648414
2021-11-15,22.65,23.0,21.65,23.0,431496
2021-11-16,23.85,24.15,23.45,23.8,1295451
2021-11-17,24.15,24.45,22.8,22.95,934128
2021-11-18,22.85,23.65,22.35,23.35,594864
2021-11-22,23.65,23.65,22.45,22.55,485793
2021-11-23,22.5,23.65,22.2,23.65,496080
2021-11-24,24.25,24.85,24.05,24.85,318321
2021-11-25,26.15,26.15,25.55,26.15,529245
2021-11-26,26.2,27.4,26.05,27.35,1296126
2021-11-29,27.8,28.35,25.95,26.0,812169
2021-11-30,25.55,27.3,25.0,26.55,572265
2021-12-01,27.2,27.85,26.15,27.6,491625
2021-12-02,28.45,28.95,27.85,28.95,1002753
2021-12-03,30.0,30.4,29.6,30.4,482454
2021-12-06,31.45,31.55,28.85,29.05,1084860
2021-12-07,29.65,30.55,28.25,30.55,796707
2021-12-08,31.65,32.05,31.15,32.05,635571
2021-12-09,33.55,33.65,31.65,33.65,1047762
2021-12-10,35.0,35.35,34.95,35.35,260730
2021-12-13,36.65,37.15,36.15,37.05,2118393
2021-12-14,37.65,37.65,35.2,35.2,475254
2021-12-15,33.4,35.0,33.4,33.45,1573515
2021-12-16,35.0,35.15,31.8,31.85,1167093
2021-12-17,33.0,33.4,32.0,33.4,761958
2021-12-20,33.8,33.8,31.75,31.8,922887
2021-12-21,31.9,33.35,31.65,32.8,427788
2021-12-22,33.75,34.15,31.75,32.15,469773
2021-12-23,32.75,33.75,31.75,33.75,591750
2021-12-24,34.8,35.4,33.65,35.4,901278
2021-12-27,36.55,37.2,35.8,37.2,978066
2021-12-28,38.65,38.75,35.65,36.05,981972
2021-12-29,35.15,37.15,34.25,34.25,633060
2021-12-30,35.4,36.0,34.8,35.75,975429
2021-12-31,35.55,35.95,34.6,35.6,527265
2022-01-03,36.65,36.75,35.15,36.4,541179
2022-01-04,36.85,38.2,35.7,38.2,1009521
2022-01-05,39.05,40.15,38.85,40.15,622134
2022-01-06,41.75,42.15,40.25,42.15,854154
2022-01-07,44.2,44.2,43.65,44.2,422532
2022-01-10,46.45,46.45,44.35,46.45,952758
2022-01-11,48.75,48.75,44.15,44.15,2080989
2022-01-12,44.25,46.2,41.95,45.15,2358234
2022-01-13,46.2,46.2,43.45,45.75,766602
2022-01-14,46.25,48.05,45.2,48.05,628083
2022-01-17,50.45,50.45,50.45,50.45,385677
2022-01-18,52.95,52.95,50.2,51.25,2622798
2022-01-19,52.15,52.15,48.7,50.05,1475847
2022-01-20,51.65,52.55,51.15,52.2,1056870
2022-01-21,52.2,52.2,49.75,50.1,553275
2022-01-24,50.8,51.55,47.55,47.8,895986
2022-01-25,47.8,50.2,45.45,50.2,1061406
2022-01-27,51.55,52.65,50.35,52.65,908847
2022-01-28,53.85,55.35,53.55,55.35,447867
2022-01-31,58.05,58.05,53.35,55.05,1985463
2022-02-01,55.55,56.25,52.3,52.3,1674297
2022-02-02,52.05,54.95,51.35,54.95,766242
2022-02-03,56.15,56.2,52.85,53.35,677853
2022-02-04,54.45,54.45,51.85,53.75,342477
2022-02-07,55.6,55.6,51.55,52.3,915300
