date,open,high,low,close,volume
2018-07-05,130.0,132.05,129.0,129.9,274630
2018-07-06,129.9,130.55,126.4,127.45,55480
2018-07-09,126.2,129.0,126.2,126.8,45040
2018-07-10,127.85,127.85,124.7,125.75,104775
2018-07-11,124.5,127.35,124.0,124.2,102220
2018-07-12,123.8,126.2,123.1,124.45,80070
2018-07-13,124.7,125.8,123.65,125.05,39375
2018-07-16,127.8,127.8,121.0,121.05,182555
2018-07-17,120.1,123.45,119.3,120.85,153290
2018-07-18,121.0,123.25,120.0,120.9,105710
2018-07-19,121.0,123.15,120.9,122.65,239955
2018-07-20,122.0,122.8,118.25,120.2,89735
2018-07-23,121.2,127.0,120.2,124.05,96200
2018-07-24,123.0,126.75,122.8,125.8,241045
2018-07-25,127.35,127.35,124.05,125.2,58825
2018-07-26,123.6,127.0,123.6,125.5,79970
2018-07-27,125.0,128.9,123.3,127.0,70970
2018-07-30,125.4,133.6,125.4,131.5,1539060
2018-07-31,133.0,133.0,128.5,131.0,180960
2018-08-01,131.7,132.8,130.1,131.4,593395
2018-08-02,131.4,133.6,129.0,132.2,73295
2018-08-03,132.4,133.4,130.4,131.2,51210
2018-08-06,129.6,132.8,127.0,128.75,42420
2018-08-07,129.6,130.95,126.55,128.3,1108165
2018-08-08,128.3,129.15,124.3,124.75,91345
2018-08-09,123.75,125.7,122.0,122.95,46610
2018-08-10,122.95,124.95,122.4,124.3,74275
2018-08-13,124.2,125.0,121.4,124.35,139230
2018-08-14,124.65,125.95,122.45,125.45,66390
2018-08-16,125.45,128.9,123.2,124.25,88610
2018-08-17,125.6,128.0,124.3,127.65,105115
2018-08-20,128.0,139.6,127.1,134.55,762085
2018-08-21,134.85,137.4,134.85,135.9,167955
2018-08-23,135.05,137.35,132.25,133.45,95545
2018-08-24,134.8,134.8,132.2,133.1,82180
2018-08-27,133.2,135.8,131.65,134.55,122080
2018-08-28,134.55,136.55,133.2,135.3,145175
2018-08-29,135.0,138.0,135.0,135.65,92220
2018-08-30,135.65,136.5,133.85,136.0,154560
2018-08-31,136.0,137.0,134.05,135.4,296490
2018-09-03,136.0,138.0,134.25,135.5,1368920
2018-09-04,137.2,137.2,132.65,133.85,294010
2018-09-05,132.8,135.8,132.8,134.4,138090
2018-09-06,134.8,142.7,134.4,137.7,450075
2018-09-07,136.2,141.0,136.2,140.15,1892010
2018-09-10,140.15,142.6,136.0,136.95,205270
2018-09-11,138.05,141.0,136.6,137.2,407925
2018-09-12,138.3,138.45,133.6,135.8,218770
2018-09-14,136.45,139.6,135.85,136.9,153340
2018-09-17,134.8,139.05,134.8,137.25,196660
2018-09-18,138.0,140.0,134.75,136.75,801835
2018-09-19,135.85,138.2,135.85,137.3,137795
2018-09-21,136.6,137.9,130.2,131.6,356975
2018-09-24,131.6,132.15,127.4,129.65,196060
2018-09-25,131.55,133.95,128.0,129.5,123615
2018-09-26,130.0,131.65,127.7,129.5,83630
2018-09-27,131.4,131.4,125.15,128.1,149760
2018-09-28,125.85,128.85,119.0,121.2,717255
2018-10-01,122.25,123.75,120.1,122.8,144090
2018-10-03,123.8,125.8,119.2,120.8,64770
2018-10-04,120.0,121.8,115.95,116.8,226030
2018-10-05,115.95,120.0,113.6,117.55,178375
2018-10-08,117.95,119.6,115.0,116.05,73200
2018-10-09,116.35,119.8,115.6,118.0,97185
2018-10-10,119.6,127.8,118.75,127.2,105485
2018-10-11,124.8,125.75,121.2,122.3,90870
2018-10-12,122.6,127.95,122.6,127.1,56670
2018-10-15,125.8,131.6,125.35,130.45,84415
2018-10-16,131.45,132.9,130.0,131.05,52020
2018-10-17,132.9,132.9,124.4,125.65,233580
2018-10-19,124.8,127.95,122.2,126.85,95370
2018-10-22,126.0,127.75,120.6,121.8,117100
2018-10-23,121.75,124.75,117.5,119.9,116925
2018-10-24,121.0,122.4,117.8,118.7,69935
2018-10-25,118.0,119.4,116.6,117.8,53505
2018-10-26,117.2,119.5,115.25,116.05,55540
2018-10-29,116.6,127.0,115.8,123.0,780100
2018-10-30,123.0,125.4,121.45,121.95,136950
2018-10-31,122.25,122.4,118.85,119.85,65110
2018-11-01,120.55,121.0,117.05,117.65,87905
2018-11-02,117.7,121.2,117.7,119.95,105130
2018-11-05,121.6,121.6,117.8,119.75,124125
2018-11-06,119.8,120.65,116.15,117.2,166990
2018-11-09,119.0,120.85,117.2,118.45,68990
2018-11-12,118.95,119.1,116.2,117.25,58075
2018-11-13,117.2,119.0,116.7,117.85,44560
2018-11-14,118.5,118.75,116.6,116.85,24425
2018-11-15,116.05,118.6,116.05,116.3,63500
2018-11-16,116.0,117.3,115.0,115.6,24120
2018-11-19,115.6,118.9,115.5,118.45,61325
2018-11-20,118.25,119.25,116.6,118.15,59835
2018-11-21,118.75,118.95,115.85,117.95,113675
2018-11-22,118.9,118.9,118.0,118.05,51100
2018-11-26,118.35,118.6,117.2,118.05,120715
2018-11-27,118.3,120.6,117.2,119.3,96735
2018-11-28,120.2,121.6,117.75,118.55,49300
2018-11-29,118.55,119.2,117.3,117.95,34770
2018-11-30,118.15,118.3,115.4,116.4,163290
2018-12-03,116.6,117.95,115.4,116.1,35335
2018-12-04,116.45,118.2,114.65,117.65,111415
2018-12-05,116.4,116.85,114.8,115.95,122900
2018-12-06,115.0,117.8,115.0,117.2,72055
2018-12-07,117.6,117.8,115.2,117.6,116550
2018-12-10,116.1,116.1,111.55,114.45,216165
2018-12-11,114.0,114.6,112.1,112.55,288220
2018-12-12,114.0,115.6,112.4,115.0,79030
2018-12-13,114.8,117.7,112.85,113.3,103240
2018-12-14,113.0,114.85,112.8,114.45,80640
2018-12-17,115.2,116.0,113.2,113.95,59380
2018-12-18,114.3,116.0,113.75,114.45,92100
2018-12-19,114.4,116.0,113.0,113.8,68905
2018-12-20,113.8,116.0,113.5,115.45,31050
2018-12-21,116.0,116.0,112.6,113.0,53100
2018-12-24,113.25,115.2,112.2,114.55,79820
2018-12-26,114.6,115.55,112.4,113.1,42730
2018-12-27,113.7,114.6,111.7,112.2,47790
2018-12-28,112.8,113.4,110.6,113.05,124515
2018-12-31,112.6,114.95,111.0,112.05,125805
2019-01-01,112.1,112.8,111.45,112.05,26810
2019-01-02,112.2,112.2,110.7,111.05,31745
2019-01-03,111.1,112.95,111.0,111.3,59550
2019-01-04,111.65,111.8,108.8,109.25,68120
2019-01-07,110.6,110.6,107.2,107.7,74415
2019-01-08,107.8,108.95,106.6,107.9,129535
2019-01-09,108.15,108.15,106.75,106.9,91935
2019-01-10,107.0,107.65,106.3,106.6,74480
2019-01-11,106.35,107.1,104.4,104.6,79900
2019-01-14,104.8,104.8,102.25,103.05,908835
2019-01-15,103.2,108.0,103.2,106.05,442290
2019-01-16,107.0,107.75,106.0,106.1,54000
2019-01-17,106.1,106.8,106.0,106.25,38915
2019-01-18,106.65,107.2,105.8,106.1,102825
2019-01-21,107.6,107.6,106.0,106.05,61180
2019-01-22,106.05,106.8,105.2,106.05,60115
2019-01-23,106.4,107.4,106.0,106.9,50375
2019-01-24,106.3,106.8,106.0,106.35,61125
2019-01-25,106.6,107.55,106.0,106.0,56500
2019-01-28,104.3,108.4,103.3,107.95,211175
2019-01-29,109.0,109.0,105.4,107.0,1369105
2019-01-30,106.25,108.0,105.8,106.1,554340
2019-01-31,106.3,106.8,104.3,104.85,37890
2019-02-01,107.95,107.95,104.4,106.25,547910
2019-02-04,104.5,105.55,102.85,103.95,102655
2019-02-05,104.15,107.35,103.1,105.3,78420
2019-02-06,105.2,105.6,102.8,103.95,56280
2019-02-07,103.8,105.35,103.2,103.75,25185
2019-02-08,102.8,106.6,102.8,105.9,36550
2019-02-11,106.05,106.05,104.0,105.35,544040
2019-02-12,105.0,106.85,105.0,106.05,35195
2019-02-13,106.8,106.8,105.05,106.0,98955
2019-02-14,105.4,108.0,105.4,107.35,22585
2019-02-15,106.95,108.4,106.0,106.0,65110
2019-02-18,106.0,106.55,105.45,106.05,78365
2019-02-19,106.4,106.9,105.3,106.05,552460
2019-02-20,106.4,106.6,105.6,106.05,32880
2019-02-21,105.45,106.85,105.45,106.0,63155
2019-02-22,106.05,107.55,106.0,106.8,11385
2019-02-25,106.55,108.0,105.3,106.0,225520
2019-02-26,105.55,107.0,103.5,106.1,73755
2019-02-27,107.0,108.35,106.0,106.1,625575
2019-02-28,106.65,108.0,105.3,106.4,32615
2019-03-01,107.3,110.4,106.2,109.95,68920
2019-03-05,108.4,115.15,108.4,114.05,75075
2019-03-06,114.95,118.8,114.35,117.15,173685
2019-03-07,117.2,119.0,115.75,117.7,874350
2019-03-08,117.7,117.7,115.8,116.85,62075
2019-03-11,118.8,118.8,115.6,117.35,58050
2019-03-12,118.2,122.0,116.8,121.2,252090
2019-03-13,121.4,121.4,118.4,119.15,223455
2019-03-14,120.95,120.95,117.55,118.25,118760
2019-03-15,118.25,119.55,116.5,117.0,221250
2019-03-18,116.85,118.0,116.15,116.8,19440
2019-03-19,116.2,117.45,116.0,117.2,51470
2019-03-20,116.85,116.9,113.85,114.65,81610
2019-03-22,112.6,114.7,111.4,111.95,85775
2019-03-25,110.35,111.95,108.25,109.25,174915
2019-03-26,109.85,110.0,108.6,109.3,210235
2019-03-27,110.0,110.0,107.4,108.5,95145
2019-03-28,108.4,115.4,108.4,114.4,74955
2019-03-29,118.0,118.0,113.05,115.2,38950
2019-04-01,116.2,116.8,112.3,113.2,33905
2019-04-02,113.6,117.0,113.0,115.3,77815
2019-04-03,117.0,117.0,112.0,112.85,654195
2019-04-04,114.5,114.5,112.3,112.55,135030
2019-04-05,112.55,115.1,112.55,114.65,29460
2019-04-08,114.2,116.6,113.4,113.85,577320
2019-04-09,114.15,116.0,113.1,113.9,69725
2019-04-10,113.35,115.1,112.25,112.9,87505
2019-04-11,113.8,114.3,112.4,114.05,31445
2019-04-12,115.2,115.2,112.85,114.6,21355
2019-04-15,114.85,115.2,113.5,115.05,53885
2019-04-16,115.55,116.6,114.4,115.25,163125
2019-04-18,114.4,115.9,114.4,114.9,22255
2019-04-22,117.2,121.8,117.2,120.3,322930
2019-04-23,121.35,124.6,120.0,120.5,532985
2019-04-24,120.7,122.4,120.55,121.9,104770
2019-04-25,121.8,123.8,121.8,123.55,120620
2019-04-26,123.4,129.4,123.4,128.6,375270
2019-04-30,126.0,126.0,118.8,119.95,1126560
2019-05-02,119.2,120.9,118.4,120.35,158960
2019-05-03,120.4,121.0,119.9,120.8,851765
2019-05-06,121.0,121.0,119.8,120.05,45880
2019-05-07,120.35,121.55,120.05,120.2,46315
2019-05-08,119.95,120.3,118.2,118.4,100670
2019-05-09,118.2,119.9,118.2,119.0,106275
2019-05-10,120.0,120.25,118.35,119.9,39525
2019-05-13,118.6,120.2,116.05,116.45,57170
