date,open,high,low,close,volume
2018-07-05,455.5,468.3,454.7,467.1,1246641
2018-07-06,464.0,482.5,463.5,475.65,2293030
2018-07-09,478.5,483.4,470.1,472.2,1211691
2018-07-10,472.55,488.95,472.55,487.65,2089366
2018-07-11,486.9,490.75,481.95,486.7,1601481
2018-07-12,489.5,501.0,487.65,489.6,2111307
2018-07-13,491.5,497.5,484.0,492.45,1071128
2018-07-16,490.05,492.0,478.05,481.0,1230696
2018-07-17,481.6,515.1,477.5,510.05,3581752
2018-07-18,511.5,517.95,504.1,508.25,2908550
2018-07-19,509.2,514.1,501.8,506.65,1258382
2018-07-20,506.65,512.4,499.05,509.55,1238684
2018-07-23,511.4,517.4,507.5,512.9,1237209
2018-07-24,515.5,531.35,512.1,529.05,2128104
2018-07-25,531.45,531.5,515.0,517.2,983411
2018-07-26,519.5,524.9,514.1,516.35,2651197
2018-07-27,519.9,529.5,519.2,528.15,802727
2018-07-30,528.8,531.5,519.7,523.85,1008659
2018-07-31,522.05,527.25,517.5,520.55,1408792
2018-08-01,520.55,521.3,507.5,512.05,968215
2018-08-02,509.5,527.6,507.45,521.0,1135166
2018-08-03,521.5,534.05,521.5,531.5,1806123
2018-08-06,534.2,553.5,534.05,544.1,3648708
2018-08-07,552.5,559.1,544.6,555.55,3589249
2018-08-08,557.4,558.4,547.0,550.05,805643
2018-08-09,545.45,551.7,539.5,549.65,838774
2018-08-10,549.45,552.45,536.9,539.85,820546
2018-08-13,533.5,545.1,531.5,539.0,875359
2018-08-14,540.5,544.45,534.9,538.65,1021011
2018-08-16,535.6,552.1,533.0,542.6,1725933
2018-08-17,545.4,550.9,543.0,549.3,1267807
2018-08-20,551.5,552.5,544.0,545.2,704323
2018-08-21,543.5,563.4,543.5,555.05,2352583
2018-08-23,558.45,567.4,555.7,566.3,2635114
2018-08-24,567.5,575.3,557.65,564.65,3926143
2018-08-27,541.5,541.5,517.55,520.75,10002519
2018-08-28,523.1,525.3,509.5,511.65,4558468
2018-08-29,511.0,518.25,510.55,511.85,2679893
2018-08-30,513.5,519.5,509.5,517.25,4296122
2018-08-31,518.5,522.5,509.7,512.4,2257380
2018-09-03,515.05,516.75,510.0,511.45,1393062
2018-09-04,512.0,513.4,490.5,494.75,2608280
2018-09-05,490.0,497.6,484.75,493.55,2842217
2018-09-06,496.2,496.95,487.5,490.05,2035137
2018-09-07,489.2,493.5,485.8,492.2,1562959
2018-09-10,486.5,492.65,473.8,475.9,2895462
2018-09-11,477.5,478.0,462.65,464.25,3674500
2018-09-12,462.5,471.3,454.5,468.5,3341234
2018-09-14,472.5,475.2,466.4,470.95,2655444
2018-09-17,469.95,473.5,464.4,467.95,765966
2018-09-18,469.5,471.65,456.5,458.1,1579270
2018-09-19,458.1,461.4,451.6,453.05,2171006
2018-09-21,452.5,458.05,386.6,431.55,6931318
2018-09-24,438.5,440.35,407.0,418.0,3185576
2018-09-25,412.5,432.9,408.35,427.95,4420721
2018-09-26,432.0,435.5,421.1,424.5,1752049
2018-09-27,424.2,424.2,407.5,412.4,4213036
2018-09-28,413.55,421.5,402.2,408.9,5342435
2018-10-01,407.5,414.5,397.5,408.7,3228345
2018-10-03,405.5,414.45,400.5,403.55,1700257
2018-10-04,397.35,409.0,395.45,402.9,2273298
2018-10-05,399.0,403.5,379.1,390.25,2561728
2018-10-08,387.05,398.25,383.9,390.2,2828982
2018-10-09,392.6,406.5,388.65,394.45,3748428
2018-10-10,397.45,428.5,395.55,420.15,5832525
2018-10-11,409.3,410.45,398.75,402.25,2991688
2018-10-12,412.5,426.35,408.2,422.75,2213641
2018-10-15,424.4,440.8,421.85,438.65,1973878
2018-10-16,438.7,442.8,430.6,436.15,1677491
2018-10-17,445.4,445.55,420.2,425.55,2665320
2018-10-19,422.3,428.55,407.5,414.85,2353049
2018-10-22,417.5,420.5,406.25,410.3,1405093
2018-10-23,405.5,412.95,400.9,407.3,1949509
2018-10-24,413.2,418.4,396.5,403.35,2642992
2018-10-25,400.05,403.35,393.0,401.1,3951714
2018-10-26,398.2,399.5,391.6,397.0,3580882
2018-10-29,397.0,412.45,389.55,408.6,3525279
2018-10-30,418.45,418.45,395.4,397.4,5363885
2018-10-31,400.65,404.15,384.8,402.6,4472130
2018-11-01,405.5,415.15,402.75,412.45,2204646
2018-11-02,415.5,428.0,415.5,422.05,2470803
2018-11-05,420.3,421.0,408.0,412.35,1463741
2018-11-06,416.5,425.25,414.6,418.25,1490314
2018-11-09,420.5,432.95,420.0,427.75,1256703
2018-11-12,428.25,434.95,421.1,422.05,1009156
2018-11-13,421.6,430.5,420.5,429.25,872960
2018-11-14,431.5,451.1,431.5,445.2,2103075
2018-11-15,446.45,460.5,435.65,457.5,1824111
2018-11-16,460.4,460.4,439.8,444.85,1475949
2018-11-19,446.75,452.4,442.75,449.25,1412377
2018-11-20,446.1,458.0,443.8,449.95,1870588
2018-11-21,449.7,464.1,449.7,459.65,3274983
2018-11-22,459.6,460.75,446.5,447.7,799822
2018-11-26,448.7,457.15,445.3,451.7,1540263
2018-11-27,448.2,454.35,441.15,452.6,1224230
2018-11-28,453.8,458.4,448.7,456.8,1669696
2018-11-29,461.45,467.8,455.3,461.95,2672516
2018-11-30,464.7,466.9,453.1,457.85,1699401
2018-12-03,459.5,460.45,436.1,437.8,2672790
2018-12-04,438.5,442.9,429.45,435.3,2772963
2018-12-05,431.5,438.1,420.0,425.3,3786499
2018-12-06,423.35,438.2,418.7,427.35,2036939
2018-12-07,429.3,432.25,421.45,430.65,795344
2018-12-10,421.5,422.65,409.45,411.35,1501101
2018-12-11,404.5,432.2,399.2,427.6,1816047
2018-12-12,428.7,443.2,428.7,440.3,1042682
2018-12-13,441.4,458.3,439.5,453.15,2085369
2018-12-14,451.5,457.45,448.6,454.2,853636
2018-12-17,451.7,455.75,446.5,453.6,838108
2018-12-18,451.7,458.05,450.25,456.15,862373
2018-12-19,460.2,478.5,458.55,477.15,3550238
2018-12-20,474.75,488.4,471.8,480.55,2180296
2018-12-21,480.45,487.7,460.5,462.05,1816837
2018-12-24,459.5,469.0,458.85,463.65,1073614
2018-12-26,461.5,479.85,456.7,477.95,1661893
2018-12-27,481.7,483.5,468.45,469.7,1902919
2018-12-28,472.5,481.9,470.0,480.25,1444038
2018-12-31,484.75,490.25,474.45,480.2,1752029
2019-01-01,477.55,481.4,473.9,478.05,639604
2019-01-02,471.5,477.5,465.85,467.65,1119301
2019-01-03,469.55,473.25,459.8,461.7,858106
2019-01-04,462.1,482.3,459.2,479.6,2348428
2019-01-07,482.5,483.5,469.05,470.85,1090142
2019-01-08,472.8,478.4,467.0,472.4,1454000
2019-01-09,473.8,477.85,463.8,467.65,939711
2019-01-10,469.5,476.75,465.5,474.95,961932
2019-01-11,475.45,477.65,466.95,475.6,856388
2019-01-14,474.0,475.8,466.7,470.65,888839
2019-01-15,472.6,479.9,468.8,477.55,1011374
2019-01-16,479.95,484.1,471.6,473.35,1499699
2019-01-17,476.5,485.8,476.5,482.2,2038083
2019-01-18,484.3,484.3,466.1,467.55,1353649
2019-01-21,469.5,470.45,462.5,464.6,721691
2019-01-22,464.5,469.35,454.1,466.7,1298726
2019-01-23,467.2,475.2,456.1,458.45,1353505
2019-01-24,459.5,463.2,452.3,461.1,922672
2019-01-25,462.7,464.85,440.35,444.55,1484734
2019-01-28,445.3,447.4,433.5,438.2,1544866
2019-01-29,435.15,449.95,432.4,444.0,1775631
2019-01-30,446.8,447.05,421.1,425.0,2785978
2019-01-31,436.0,444.0,425.25,440.35,5549988
2019-02-01,443.5,463.9,439.3,451.65,4376608
2019-02-04,452.5,456.0,442.6,447.4,1894538
2019-02-05,447.5,453.65,445.6,450.85,1047464
2019-02-06,451.5,454.4,441.6,451.3,1420605
2019-02-07,452.9,462.0,445.2,458.0,1981346
2019-02-08,456.9,457.3,440.55,449.0,1483884
2019-02-11,449.9,454.1,436.55,438.3,4932521
2019-02-12,440.1,445.05,434.7,438.15,1389125
2019-02-13,440.9,443.05,427.25,433.25,1792952
2019-02-14,429.65,440.5,429.65,438.75,1250565
2019-02-15,438.55,443.9,427.3,430.85,3004756
2019-02-18,431.1,440.3,430.4,435.4,2220760
2019-02-19,435.4,447.3,435.0,439.6,1770340
2019-02-20,441.5,448.85,436.0,443.4,3572025
2019-02-21,447.2,456.5,439.6,454.35,1846722
2019-02-22,459.5,468.9,456.5,461.4,2413029
2019-02-25,468.4,468.4,457.6,459.3,1352213
2019-02-26,451.25,463.4,446.6,455.4,3154575
2019-02-27,456.7,460.6,451.6,457.95,1680023
2019-02-28,462.2,469.5,455.75,467.0,2176744
2019-03-01,468.1,474.7,462.8,466.1,1946654
2019-03-05,465.0,482.5,464.65,476.05,3088859
2019-03-06,483.2,486.05,475.3,481.45,1752882
2019-03-07,480.45,481.45,472.9,479.55,2451200
2019-03-08,479.0,486.5,476.0,485.15,1175197
2019-03-11,490.0,499.3,486.3,493.35,2955029
2019-03-12,496.5,504.2,492.5,495.75,2393470
2019-03-13,494.5,504.2,493.5,496.1,2231863
2019-03-14,498.9,510.5,496.55,503.35,3518171
2019-03-15,506.5,508.25,498.0,501.35,2153827
2019-03-18,504.4,511.4,502.75,506.1,2030522
2019-03-19,508.7,515.5,503.25,513.35,1427205
2019-03-20,515.9,516.5,507.0,512.15,2709049
2019-03-22,513.0,526.35,511.0,519.65,2115470
2019-03-25,519.25,519.25,508.15,513.75,1455809
2019-03-26,516.65,525.85,515.2,521.5,1826857
2019-03-27,522.55,535.05,522.55,524.85,2039096
2019-03-28,527.55,529.2,518.65,525.55,3549497
2019-03-29,529.85,532.0,519.1,523.7,2161330
2019-04-01,526.55,533.05,526.55,530.35,1270736
2019-04-02,532.5,544.5,530.5,540.9,2233284
2019-04-03,544.5,544.8,532.5,534.25,1258677
2019-04-04,531.5,535.8,521.55,525.0,1450427
2019-04-05,525.7,542.4,525.5,541.5,1564064
2019-04-08,541.4,543.45,537.2,541.5,1092077
2019-04-09,541.35,541.65,533.6,541.4,793543
2019-04-10,537.5,540.95,518.25,519.65,1718379
2019-04-11,521.4,526.15,513.05,524.15,3020701
2019-04-12,525.25,534.3,520.4,531.8,974884
2019-04-15,531.6,535.5,517.6,520.7,1498460
2019-04-16,518.55,519.5,512.75,514.9,1219891
2019-04-18,514.9,520.3,506.55,508.95,1333918
2019-04-22,507.4,511.7,492.55,495.8,1066771
2019-04-23,495.5,498.5,488.7,490.15,1592058
2019-04-24,489.45,495.35,484.85,492.95,1597552
2019-04-25,495.4,497.4,482.65,484.05,1573523
2019-04-26,485.3,496.2,485.3,494.3,816277
