date,open,high,low,close,volume
2018-07-05,0.93,0.97,0.88,0.97,1184505
2018-07-06,0.97,0.97,0.93,0.93,1202457
2018-07-09,0.93,0.97,0.88,0.93,8133326
2018-07-10,0.93,0.97,0.88,0.97,8352165
2018-07-11,0.97,0.97,0.93,0.93,2065853
2018-07-12,0.93,0.97,0.88,0.93,1617059
2018-07-13,0.93,0.93,0.88,0.88,6189889
2018-07-16,0.93,0.93,0.84,0.84,1487260
2018-07-17,0.84,0.88,0.8,0.84,1564986
2018-07-18,0.8,0.84,0.8,0.84,328657
2018-07-19,0.84,0.84,0.8,0.8,1085322
2018-07-20,0.75,0.8,0.75,0.8,456662
2018-07-23,0.75,0.84,0.75,0.84,7393109
2018-07-24,0.84,0.88,0.8,0.8,1852550
2018-07-25,0.84,0.84,0.8,0.84,398914
2018-07-26,0.84,0.84,0.8,0.8,534702
2018-07-27,0.84,0.84,0.8,0.8,432099
2018-07-30,0.8,0.84,0.75,0.84,1376887
2018-07-31,0.88,0.88,0.8,0.84,1081984
2018-08-01,0.8,0.88,0.8,0.88,1143840
2018-08-02,0.88,0.88,0.84,0.88,734220
2018-08-03,0.84,0.88,0.84,0.88,822486
2018-08-06,0.84,0.93,0.84,0.88,2148236
2018-08-07,0.93,0.93,0.93,0.93,706393
2018-08-08,0.97,0.97,0.97,0.97,498503
2018-08-09,1.02,1.02,0.93,1.02,4837518
2018-08-10,1.06,1.06,0.97,0.97,15785425
2018-08-13,0.93,0.93,0.93,0.93,1228751
2018-08-14,0.93,0.93,0.88,0.88,1726491
2018-08-16,0.84,0.88,0.84,0.84,3627917
2018-08-17,0.84,0.84,0.8,0.8,11015892
2018-08-20,0.8,0.8,0.75,0.8,4170581
2018-08-21,0.8,0.84,0.75,0.8,3124048
2018-08-23,0.84,0.84,0.75,0.8,3152465
2018-08-24,0.8,0.84,0.75,0.84,1568577
2018-08-27,0.88,0.88,0.84,0.88,3641303
2018-08-28,0.93,0.93,0.88,0.93,1806956
2018-08-29,0.93,0.97,0.93,0.97,3765007
2018-08-30,1.02,1.02,0.97,1.02,1955713
2018-08-31,1.06,1.06,1.02,1.06,6779442
2018-09-03,1.11,1.11,1.06,1.11,4003684
2018-09-04,1.15,1.15,1.15,1.15,2380382
2018-09-05,1.19,1.19,1.11,1.19,6467978
2018-09-06,1.24,1.24,1.19,1.24,2981336
2018-09-07,1.28,1.28,1.28,1.28,354068
2018-09-10,1.33,1.33,1.33,1.33,443465
2018-09-11,1.37,1.37,1.37,1.37,638572
2018-09-12,1.41,1.41,1.41,1.41,271149
2018-09-14,1.46,1.46,1.46,1.46,495596
2018-09-17,1.5,1.5,1.5,1.5,344728
2018-09-18,1.55,1.55,1.55,1.55,83575
2018-09-19,1.59,1.59,1.5,1.5,10397663
2018-09-21,1.46,1.46,1.46,1.46,406016
2018-09-24,1.41,1.41,1.41,1.41,778203
2018-09-25,1.37,1.37,1.37,1.37,316767
2018-09-26,1.33,1.33,1.33,1.33,323533
2018-09-27,1.28,1.28,1.28,1.28,145772
2018-09-28,1.24,1.24,1.24,1.24,395430
2018-10-01,1.19,1.19,1.19,1.19,124797
2018-10-03,1.15,1.15,1.15,1.15,167632
2018-10-04,1.11,1.11,1.11,1.11,82498
2018-10-05,1.06,1.11,1.06,1.06,3720928
2018-10-08,1.02,1.02,1.02,1.02,1159277
2018-10-09,0.97,0.97,0.97,0.97,172157
2018-10-10,0.93,1.02,0.93,1.02,3420890
2018-10-11,1.06,1.06,1.02,1.06,1950584
2018-10-12,1.11,1.11,1.11,1.11,1553398
2018-10-15,1.15,1.15,1.11,1.15,4168413
2018-10-16,1.19,1.19,1.15,1.19,3498990
2018-10-17,1.24,1.24,1.15,1.15,2797673
2018-10-19,1.11,1.11,1.11,1.11,202424
2018-10-22,1.06,1.06,1.06,1.06,492845
2018-10-23,1.02,1.11,1.02,1.11,3682668
2018-10-24,1.11,1.11,1.06,1.06,1080959
2018-10-25,1.06,1.11,1.02,1.06,1613754
2018-10-26,1.06,1.06,1.02,1.06,1472853
2018-10-29,1.06,1.06,1.02,1.02,1546620
2018-10-30,1.02,1.06,0.97,0.97,1676371
2018-10-31,1.02,1.02,0.93,1.02,2137941
2018-11-01,1.06,1.06,0.97,1.02,3192905
2018-11-02,1.02,1.06,0.97,1.02,1972976
2018-11-05,1.02,1.02,0.97,0.97,736425
2018-11-06,0.97,1.02,0.97,0.97,625058
2018-11-09,1.02,1.06,1.02,1.02,666251
2018-11-12,1.02,1.06,0.97,1.02,2126619
2018-11-13,1.06,1.06,1.02,1.06,456697
2018-11-14,1.06,1.06,1.02,1.02,1193651
2018-11-15,0.97,1.02,0.97,0.97,1630484
2018-11-16,0.97,0.97,0.93,0.93,637349
2018-11-19,0.97,0.97,0.93,0.97,1432771
