date,open,high,low,close,volume
2018-07-05,220.4,222.5,219.2,220.3,15558
2018-07-06,221.15,221.15,217.75,220.4,32728
2018-07-09,220.5,229.75,220.5,222.35,24212
2018-07-10,224.15,227.7,221.4,224.05,63212
2018-07-11,222.85,228.4,222.85,225.5,23834
2018-07-12,227.1,227.85,224.5,225.6,23552
2018-07-13,224.6,228.75,221.5,226.55,53774
2018-07-16,228.95,228.95,222.5,223.25,78700
2018-07-17,224.4,226.5,222.5,225.45,17646
2018-07-18,224.25,227.5,222.5,223.35,26244
2018-07-19,222.5,225.05,222.5,223.5,23282
2018-07-20,223.5,224.3,220.5,221.3,15772
2018-07-23,221.3,223.8,217.75,222.3,24330
2018-07-24,221.2,225.9,221.2,225.55,108676
2018-07-25,226.0,240.5,221.0,232.3,363410
2018-07-26,225.0,232.5,224.3,231.8,292540
2018-07-27,230.5,235.0,225.35,228.3,36558
2018-07-30,226.25,239.2,226.25,236.35,75828
2018-07-31,240.0,241.0,237.1,240.55,61752
2018-08-01,237.65,241.05,232.3,236.15,52932
2018-08-02,237.5,239.65,232.5,234.65,38550
2018-08-03,234.65,236.5,234.5,235.55,20068
2018-08-06,235.55,237.2,232.75,234.05,42844
2018-08-07,232.15,235.55,231.5,234.95,83086
2018-08-08,235.4,251.0,233.7,240.75,267694
2018-08-09,242.5,251.05,238.55,248.9,247468
2018-08-10,250.15,253.4,244.55,245.45,114914
2018-08-13,245.95,253.65,241.55,246.2,395720
2018-08-14,250.0,252.8,246.25,247.6,100450
2018-08-16,248.5,250.0,245.6,247.35,101710
2018-08-17,245.0,249.0,244.05,246.2,98586
2018-08-20,246.0,248.35,239.95,242.55,83414
2018-08-21,244.5,251.0,244.5,247.95,177018
2018-08-23,247.0,248.3,246.35,247.25,145732
2018-08-24,249.8,249.8,245.55,247.35,89804
2018-08-27,249.0,250.5,242.75,244.0,120834
2018-08-28,245.5,246.5,242.55,244.05,64304
2018-08-29,245.45,246.45,242.05,244.35,81710
2018-08-30,244.6,247.15,243.5,244.15,338038
2018-08-31,244.05,247.0,241.25,244.25,105904
2018-09-03,246.0,249.5,245.0,248.05,164294
2018-09-04,249.45,250.0,240.15,244.25,112852
2018-09-05,245.5,246.3,239.0,241.15,118376
2018-09-06,242.45,244.5,241.15,242.95,84892
2018-09-07,242.65,247.5,242.5,246.2,336988
2018-09-10,247.5,249.1,241.0,242.05,95692
2018-09-11,244.6,244.85,234.0,236.5,123876
2018-09-12,235.0,239.0,230.25,233.2,106558
2018-09-14,235.95,239.5,233.0,238.8,100918
2018-09-17,238.6,238.6,233.5,234.55,73038
2018-09-18,237.5,244.6,234.85,239.75,114000
2018-09-19,240.95,243.8,237.6,238.3,78778
2018-09-21,241.95,241.95,234.95,236.2,131268
2018-09-24,233.6,236.15,218.25,219.9,328668
2018-09-25,220.5,224.0,213.75,221.0,172530
2018-09-26,224.0,224.0,220.25,222.6,64844
2018-09-27,222.0,224.7,215.75,219.65,97050
2018-09-28,220.0,222.0,207.5,213.6,162578
2018-10-01,216.75,217.0,203.65,215.45,93652
2018-10-03,216.0,221.0,212.1,216.25,74240
2018-10-04,215.95,218.5,210.0,212.7,111086
2018-10-05,210.0,213.45,210.0,210.85,97720
2018-10-08,213.85,213.85,204.5,207.85,132494
2018-10-09,208.85,227.4,206.0,219.5,142360
2018-10-10,226.95,231.0,216.5,230.05,434000
2018-10-11,225.0,227.2,219.3,225.05,236078
2018-10-12,227.65,232.0,226.3,228.55,119670
2018-10-15,224.1,236.1,224.1,234.35,76788
2018-10-16,236.45,242.5,236.0,237.35,74172
2018-10-17,239.45,240.95,233.7,235.35,133860
2018-10-19,235.95,235.95,230.0,230.25,69206
2018-10-22,230.5,233.5,230.0,232.1,82660
2018-10-23,230.05,230.05,219.45,223.1,106302
2018-10-24,222.7,227.1,220.0,224.55,79468
2018-10-25,220.6,225.75,220.0,224.8,89652
2018-10-26,223.35,226.45,222.45,225.7,91694
