date,open,high,low,close,volume
2019-04-15,239.5,245.7,233.8,240.0,29119148
2019-04-16,248.8,251.4,242.9,246.3,4830816
2019-04-18,246.2,246.2,237.5,242.6,1304236
2019-04-22,240.8,240.8,234.7,236.4,662972
2019-04-23,237.5,241.8,234.9,238.2,426956
2019-04-24,238.5,244.4,236.2,239.7,483120
2019-04-25,241.2,244.1,236.6,237.4,293444
2019-04-26,236.8,238.7,233.8,237.2,162184
2019-04-30,235.2,239.8,231.8,237.0,257520
2019-05-02,239.2,239.5,233.5,236.8,246104
2019-05-03,236.3,238.1,234.0,237.5,125476
2019-05-06,233.3,238.1,231.8,235.8,179604
2019-05-07,235.6,237.0,232.0,232.7,256536
2019-05-08,232.8,235.5,232.6,234.5,317580
2019-05-09,234.5,235.2,231.3,234.8,156840
2019-05-10,235.0,237.0,233.0,236.5,157972
2019-05-13,237.0,237.0,226.8,230.3,692652
2019-05-14,231.2,231.2,226.8,228.2,248480
2019-05-15,229.5,233.8,227.2,232.9,214940
2019-05-16,231.5,232.5,229.3,231.2,202848
2019-05-17,230.7,232.2,229.0,230.0,273752
2019-05-20,232.0,242.2,229.8,241.1,700612
2019-05-21,241.0,244.2,235.2,243.7,240944
2019-05-22,245.0,245.0,236.6,238.9,138464
2019-05-23,240.0,242.5,233.8,235.1,61500
2019-05-24,233.8,238.1,232.7,237.5,49764
2019-05-27,238.8,243.8,236.3,243.0,110980
2019-05-28,243.8,244.5,240.8,241.7,66760
2019-05-29,242.0,242.2,240.4,241.3,98840
2019-05-30,238.8,242.1,238.8,240.0,50328
2019-05-31,242.5,242.5,239.5,241.6,737696
2019-06-03,240.1,243.2,240.1,242.6,118252
2019-06-04,242.6,243.2,240.6,242.6,134136
2019-06-06,243.0,243.7,237.7,241.4,131124
2019-06-07,242.5,242.5,239.2,240.8,56356
2019-06-10,240.5,241.2,231.8,240.6,62040
2019-06-11,237.5,242.5,236.3,241.6,68964
2019-06-12,237.5,243.0,237.5,242.0,113484
2019-06-13,237.5,244.2,237.5,242.6,68016
2019-06-14,242.6,245.0,237.5,243.4,54268
2019-06-17,240.2,243.6,232.5,237.2,350876
2019-06-18,233.2,241.5,233.2,240.1,51848
2019-06-19,237.8,245.2,232.8,242.6,84344
2019-06-20,238.3,247.5,238.3,246.6,120756
2019-06-21,243.8,249.0,241.8,247.9,93288
2019-06-24,245.0,247.5,241.5,243.0,44852
2019-06-25,243.0,243.7,239.4,243.0,37876
