date,open,high,low,close,volume
2018-07-05,208.8,219.5,206.35,217.8,521780
2018-07-06,217.5,223.45,216.4,220.75,464656
2018-07-09,222.25,222.5,218.05,218.9,131204
2018-07-10,220.0,220.0,208.35,211.4,2135484
2018-07-11,210.25,212.95,205.3,206.0,370084
2018-07-12,206.4,211.0,204.0,205.0,260568
2018-07-13,205.0,206.2,198.8,200.0,238200
2018-07-16,200.0,202.05,192.75,193.55,819284
2018-07-17,192.5,197.9,192.5,196.2,190976
2018-07-18,196.2,203.0,196.2,199.8,289248
2018-07-19,200.0,202.0,194.25,195.7,103884
2018-07-20,193.8,198.5,193.8,196.5,219124
2018-07-23,195.0,200.5,195.0,198.35,194980
2018-07-24,199.75,208.25,198.9,204.2,344612
2018-07-25,205.0,217.0,204.9,211.2,388560
2018-07-26,211.25,214.35,209.25,210.4,120024
2018-07-27,211.0,232.45,211.0,226.5,1719648
2018-07-30,227.5,237.25,227.25,234.5,842184
2018-07-31,234.5,236.2,229.0,229.95,249468
2018-08-01,232.1,233.05,223.0,226.55,266272
2018-08-02,228.0,234.5,223.0,229.2,288840
2018-08-03,230.0,235.0,229.4,231.05,382548
2018-08-06,232.75,237.2,226.2,229.95,535824
2018-08-07,231.0,233.1,227.5,230.9,231276
2018-08-08,231.5,232.5,226.25,227.8,196084
2018-08-09,227.8,229.45,225.0,228.2,205728
2018-08-10,227.5,232.0,226.25,228.9,218248
2018-08-13,228.75,232.5,222.6,226.3,183612
2018-08-14,226.5,230.0,222.75,226.15,148308
2018-08-16,225.25,227.25,221.4,222.3,219512
2018-08-17,223.9,223.9,219.25,221.2,217800
2018-08-20,221.5,224.3,216.0,216.85,270072
2018-08-21,218.25,219.7,210.5,211.8,527788
2018-08-23,210.6,211.75,203.45,210.25,829324
2018-08-24,208.75,212.75,207.55,210.1,326312
2018-08-27,208.75,215.0,208.7,212.95,405640
2018-08-28,215.0,216.95,210.6,216.0,361596
2018-08-29,214.5,215.8,211.4,212.0,297392
2018-08-30,211.25,212.65,209.4,210.75,177784
2018-08-31,210.75,211.75,205.95,208.2,385840
2018-09-03,210.0,221.0,209.3,215.7,658648
2018-09-04,215.0,216.7,205.8,209.65,605152
2018-09-05,207.5,211.3,203.4,204.1,240988
2018-09-06,205.7,209.25,202.55,203.1,163796
2018-09-07,203.1,204.0,199.2,201.9,256784
2018-09-10,201.9,204.75,197.0,197.8,326596
2018-09-11,199.0,200.0,189.6,191.0,326528
2018-09-12,192.5,197.75,188.4,192.3,365032
2018-09-14,193.2,197.75,191.5,195.0,418332
2018-09-17,195.25,198.45,192.0,196.4,245880
2018-09-18,198.75,198.75,192.5,193.6,159024
2018-09-19,192.75,196.0,187.9,189.85,292536
2018-09-21,192.5,193.65,175.0,189.55,727112
2018-09-24,188.0,189.5,175.05,182.55,662032
2018-09-25,182.9,185.25,170.55,180.8,733240
2018-09-26,179.5,182.9,175.05,176.5,357668
2018-09-27,175.65,181.15,165.3,167.15,363544
2018-09-28,167.0,175.0,162.8,168.45,592168
2018-10-01,168.4,168.6,162.6,166.65,214964
2018-10-03,164.3,172.0,164.3,170.1,161480
2018-10-04,165.85,171.0,163.4,168.25,195764
2018-10-05,167.5,172.25,160.0,166.3,250080
2018-10-08,166.0,166.6,158.0,160.75,723460
2018-10-09,160.25,162.5,156.7,161.5,323380
2018-10-10,162.5,164.65,159.5,160.7,500660
2018-10-11,157.5,157.55,153.0,155.1,336712
2018-10-12,156.7,164.1,156.5,160.65,2785612
2018-10-15,163.25,163.25,157.7,160.4,497316
2018-10-16,159.75,166.5,159.75,165.0,383624
2018-10-17,166.0,167.25,156.3,158.3,189224
2018-10-19,156.25,158.6,153.25,156.85,378404
2018-10-22,156.85,158.7,154.05,157.45,171520
2018-10-23,154.0,157.45,147.1,147.95,315784
2018-10-24,148.2,151.25,145.7,147.6,365492
2018-10-25,147.45,147.45,138.75,140.6,361528
2018-10-26,140.0,146.1,136.3,141.35,363560
2018-10-29,142.9,150.0,140.6,149.05,278280
2018-10-30,149.05,159.5,147.0,157.9,492408
2018-10-31,153.95,160.0,146.25,155.65,949096
2018-11-01,155.0,167.25,154.3,165.25,357584
2018-11-02,167.25,174.05,166.25,171.3,401188
2018-11-05,167.75,174.9,167.75,174.0,376496
2018-11-06,174.25,174.9,172.1,174.35,762648
2018-11-09,175.75,175.75,169.25,170.05,192152
2018-11-12,171.4,171.4,164.55,165.65,197952
2018-11-13,164.9,164.9,159.9,161.0,1030624
2018-11-14,161.25,166.4,161.25,162.45,1113616
2018-11-15,164.9,165.0,158.6,162.0,335032
2018-11-16,162.0,163.6,157.3,160.8,717104
2018-11-19,160.0,164.5,157.5,161.9,832636
2018-11-20,161.9,161.9,157.2,158.4,127032
