date,open,high,low,close,volume
2018-07-05,1027.5,1027.5,1002.1,1011.9,251584
2018-07-06,1010.8,1047.0,1010.8,1033.7,398596
2018-07-09,1035.0,1074.2,1017.6,1041.9,410395
2018-07-10,1044.1,1072.0,1039.5,1055.4,405418
2018-07-11,1053.9,1080.9,1046.6,1071.2,461112
2018-07-12,1068.6,1107.8,1066.7,1090.3,392599
2018-07-13,1098.1,1145.1,1098.1,1136.6,664667
2018-07-16,1142.2,1156.1,1098.2,1126.9,315624
2018-07-17,1141.2,1141.2,1063.1,1076.4,343165
2018-07-18,1075.5,1117.4,1050.0,1060.6,388239
2018-07-19,1069.5,1087.9,1060.2,1071.6,260497
2018-07-20,1068.6,1111.8,1064.9,1085.7,394162
2018-07-23,1081.4,1090.2,1025.3,1051.4,328041
2018-07-24,1065.8,1102.9,1047.8,1094.3,324772
2018-07-25,1094.3,1170.1,1063.8,1098.1,509401
2018-07-26,1078.5,1088.0,1039.3,1049.4,381607
2018-07-27,1053.9,1071.6,1039.2,1045.3,172802
2018-07-30,1045.1,1058.8,1027.5,1032.7,108925
2018-07-31,1039.2,1090.2,1035.6,1075.3,643652
2018-08-01,1087.0,1148.2,1076.7,1127.4,522829
2018-08-02,1130.3,1146.1,1081.4,1101.7,320223
2018-08-03,1137.3,1147.1,1110.8,1122.4,485516
2018-08-06,1124.5,1131.2,1095.1,1098.1,178911
2018-08-07,1106.7,1120.6,1106.7,1113.1,204537
2018-08-08,1129.3,1129.3,1063.9,1073.1,818298
2018-08-09,1076.3,1084.6,1071.6,1074.2,253951
2018-08-10,1081.3,1101.8,1073.5,1076.5,484358
2018-08-13,1076.5,1095.9,1075.5,1091.6,302968
2018-08-14,1097.1,1098.0,1073.5,1086.5,509356
2018-08-16,1087.3,1121.1,1086.3,1110.2,504536
2018-08-17,1121.5,1141.2,1096.2,1109.7,472611
2018-08-20,1121.6,1127.5,1113.0,1120.6,219838
2018-08-21,1122.4,1132.3,1104.9,1120.0,404989
2018-08-23,1131.2,1150.9,1121.1,1141.1,438459
2018-08-24,1147.1,1185.8,1144.2,1177.1,605113
2018-08-27,1186.3,1199.8,1176.5,1190.1,398354
2018-08-28,1186.4,1191.1,1157.4,1169.9,268087
2018-08-29,1173.4,1181.0,1159.5,1169.4,194079
2018-08-30,1171.8,1189.2,1169.1,1182.1,332701
2018-08-31,1183.4,1191.2,1168.7,1181.4,314546
2018-09-03,1190.1,1197.6,1160.0,1169.6,324353
2018-09-04,1169.6,1192.2,1167.7,1189.4,504315
2018-09-05,1191.9,1192.2,1151.7,1160.1,446305
2018-09-06,1169.4,1171.5,1155.9,1167.0,275643
2018-09-07,1170.6,1182.4,1154.1,1160.7,453294
2018-09-10,1164.5,1165.1,1152.2,1160.3,286895
2018-09-11,1165.7,1186.3,1155.5,1180.7,496615
