date,open,high,low,close,volume
2018-07-05,75.41,75.75,74.14,74.92,1188798
2018-07-06,75.31,77.37,74.77,76.73,724421
2018-07-09,77.32,78.35,76.49,76.93,552350
2018-07-10,77.22,77.56,76.63,77.27,435979
2018-07-11,77.37,77.56,74.53,75.26,679923
2018-07-12,77.03,79.91,76.39,78.79,3333472
2018-07-13,78.35,78.79,75.41,76.49,2093499
2018-07-16,76.39,77.17,71.83,72.23,994872
2018-07-17,73.74,81.33,73.01,78.93,4059661
2018-07-18,79.52,80.11,75.26,76.44,2263483
2018-07-19,76.73,77.42,74.48,76.34,643943
2018-07-20,76.0,80.75,74.77,80.26,2039498
2018-07-23,79.33,80.75,77.66,79.03,1993605
2018-07-24,79.96,80.31,78.0,78.79,1557009
2018-07-25,79.03,80.26,77.37,78.25,1156283
2018-07-26,78.35,79.13,76.78,77.32,995278
2018-07-27,77.86,80.11,77.22,79.13,1391226
2018-07-30,79.67,82.22,79.33,81.24,1598504
2018-07-31,82.02,82.17,78.64,79.28,1055550
2018-08-01,79.72,81.58,79.42,80.89,1406679
2018-08-02,80.84,84.27,80.84,82.9,2788851
2018-08-03,83.44,84.22,81.87,82.56,936574
2018-08-06,83.15,83.54,80.89,81.48,1018615
2018-08-07,81.53,81.77,79.33,80.06,893375
2018-08-08,80.06,80.65,78.35,78.89,677013
2018-08-09,80.45,83.0,79.33,82.07,1628465
2018-08-10,83.15,84.47,80.94,82.02,2059564
2018-08-13,82.26,82.46,79.72,80.26,1186893
2018-08-14,80.8,80.94,77.81,79.18,894402
2018-08-16,78.0,79.03,77.61,78.45,713033
2018-08-17,78.84,80.6,77.22,79.38,777279
2018-08-20,79.47,80.4,78.84,79.67,698978
2018-08-21,79.52,80.6,79.03,79.72,486364
2018-08-23,79.82,81.87,78.93,80.99,989693
2018-08-24,81.29,82.26,80.55,80.84,815377
2018-08-27,80.99,84.47,80.94,82.66,1684094
2018-08-28,82.66,83.24,79.72,80.26,748132
2018-08-29,80.31,80.99,78.93,79.23,1087697
2018-08-30,79.33,80.21,78.45,79.72,650602
2018-08-31,79.72,80.35,78.93,79.18,842048
2018-09-03,79.28,79.96,77.61,78.1,1119402
2018-09-04,78.35,78.69,74.82,75.31,1540893
2018-09-05,75.16,75.85,71.54,72.28,1737131
2018-09-06,72.67,75.9,71.98,75.56,1293078
2018-09-07,75.41,76.83,74.53,76.24,769594
2018-09-10,75.46,76.19,73.94,74.38,623161
2018-09-11,75.07,75.07,72.37,72.67,1030371
2018-09-12,73.4,73.4,70.51,71.34,1797109
2018-09-14,72.37,73.74,71.59,72.52,2759441
2018-09-17,73.45,79.23,71.98,77.03,4029032
2018-09-18,76.05,78.1,71.59,72.13,2169042
2018-09-19,72.72,74.63,72.23,73.4,1273379
2018-09-21,73.84,75.07,68.7,73.5,2441292
2018-09-24,73.94,74.18,70.95,72.67,1297389
2018-09-25,72.08,73.06,69.53,71.3,1249077
2018-09-26,71.79,74.18,71.05,73.55,1280041
2018-09-27,73.45,73.99,71.74,73.16,715136
2018-09-28,73.21,73.45,69.29,70.32,1350997
2018-10-01,69.68,72.08,67.67,68.06,2833024
2018-10-03,66.6,74.43,62.87,70.37,9933048
2018-10-04,68.8,70.32,67.04,69.04,2936409
2018-10-05,65.13,66.11,60.33,62.68,6072846
2018-10-08,63.27,64.93,60.57,63.12,3874210
2018-10-09,63.66,63.9,59.98,62.14,3113487
2018-10-10,62.63,69.19,62.14,68.5,5459961
2018-10-11,67.53,76.39,65.91,75.9,4407478
2018-10-12,76.44,83.05,76.24,81.29,4550928
2018-10-15,82.22,82.95,78.45,80.55,3690324
2018-10-16,80.5,83.54,79.38,83.05,2046593
2018-10-17,84.71,84.71,78.59,79.52,1863195
2018-10-19,77.81,83.44,77.56,82.41,2590591
2018-10-22,83.64,84.03,80.55,81.68,1158468
2018-10-23,81.48,82.8,78.3,81.68,1258413
