date,open,high,low,close,volume
2018-07-05,60.7,60.7,58.06,58.5,10869941
2018-07-06,58.89,61.15,58.4,59.48,13993019
2018-07-09,59.92,61.54,59.92,60.51,5997138
2018-07-10,60.95,62.27,60.56,61.83,6993227
2018-07-11,61.19,61.78,59.48,59.73,10305014
2018-07-12,59.87,60.95,58.31,59.28,7678812
2018-07-13,59.92,60.12,57.33,57.77,18792354
2018-07-16,57.77,57.77,55.37,55.96,7183771
2018-07-17,56.69,59.24,56.15,58.89,6608055
2018-07-18,58.94,59.24,56.1,57.38,6423616
2018-07-19,57.77,59.33,56.2,58.31,8655864
2018-07-20,58.5,58.65,56.89,57.62,5286758
2018-07-23,57.87,58.06,56.3,57.33,6783905
2018-07-24,57.57,60.36,57.57,59.77,9445251
2018-07-25,60.17,62.12,59.73,61.78,10362435
2018-07-26,62.17,62.27,60.31,60.85,25544516
2018-07-27,61.29,61.88,60.22,61.19,5532879
2018-07-30,61.49,61.68,58.99,60.02,12899069
2018-07-31,60.36,60.7,59.48,60.26,9880228
2018-08-01,60.7,61.19,60.22,60.75,6992028
2018-08-02,60.8,63.79,59.87,63.01,9679188
2018-08-03,63.64,64.77,62.66,64.33,7376174
2018-08-06,64.18,65.99,63.64,65.11,7953876
2018-08-07,65.4,65.75,63.54,64.67,6916833
2018-08-08,64.96,66.53,64.03,65.99,8973630
2018-08-09,71.38,71.77,69.22,70.74,29049072
2018-08-10,71.47,71.82,68.19,68.49,11134516
2018-08-13,68.05,71.38,66.68,69.42,12687215
2018-08-14,69.91,70.84,68.39,68.78,9916654
2018-08-16,68.54,69.57,66.33,66.68,16169534
2018-08-17,67.26,69.32,67.12,67.36,17697359
2018-08-20,67.85,70.59,66.38,70.06,16469743
2018-08-21,70.99,71.92,70.15,70.99,12852580
2018-08-23,70.5,70.5,68.1,68.88,6242256
2018-08-24,68.49,71.08,67.36,70.69,10992103
2018-08-27,71.47,73.92,71.18,72.85,20098213
2018-08-28,73.14,74.07,71.18,73.38,11226881
2018-08-29,74.41,76.17,74.31,75.1,13917981
2018-08-30,76.17,76.81,73.73,74.61,19629858
2018-08-31,74.75,75.54,72.99,73.29,9865262
2018-09-03,73.82,75.0,73.04,73.63,6493225
2018-09-04,73.68,73.87,70.89,71.52,7694982
2018-09-05,71.92,75.05,70.94,74.75,13156131
2018-09-06,75.83,75.83,68.19,69.86,35583057
2018-09-07,70.15,71.57,68.78,70.3,20400842
2018-09-10,70.15,70.84,68.93,69.96,7743160
2018-09-11,70.3,70.94,67.61,68.39,7231104
2018-09-12,68.64,68.83,66.63,68.24,7117095
2018-09-14,69.22,69.52,68.39,68.68,6807891
2018-09-17,68.34,69.22,67.46,68.49,4676102
2018-09-18,68.34,69.08,66.19,66.63,7179269
2018-09-19,67.31,68.68,66.78,67.26,6308606
2018-09-21,68.24,68.34,60.7,64.38,15115087
2018-09-24,64.62,65.6,62.76,63.74,7548004
2018-09-25,64.62,65.89,63.54,64.47,9848904
2018-09-26,64.91,66.58,64.82,65.36,11119128
2018-09-27,65.6,65.99,62.96,63.45,10400684
2018-09-28,63.69,64.08,58.94,59.33,15032973
2018-10-01,59.48,61.15,56.49,60.8,9611813
2018-10-03,61.19,68.98,60.8,67.56,29131722
2018-10-04,67.56,70.01,66.97,67.66,17705686
2018-10-05,67.07,68.0,62.52,63.74,11243726
2018-10-08,62.66,62.66,58.4,59.82,18026470
2018-10-09,60.51,61.29,59.24,59.92,6790703
2018-10-10,63.64,66.09,62.66,65.31,17977811
2018-10-11,62.71,66.33,62.52,65.55,9553845
2018-10-12,66.82,67.02,65.01,65.55,9079999
2018-10-15,65.75,65.84,63.05,65.31,13345840
2018-10-16,65.99,66.29,65.16,65.7,5641622
2018-10-17,66.29,66.58,64.13,64.52,8983022
2018-10-19,64.62,66.04,63.45,65.65,10876844
2018-10-22,66.33,66.78,64.77,65.8,6960352
2018-10-23,65.6,66.58,64.91,65.89,6341075
2018-10-24,66.29,66.73,65.45,65.89,10640894
2018-10-25,64.62,66.29,64.28,64.91,12530936
2018-10-26,64.72,66.43,63.45,66.09,10322899
2018-10-29,65.7,68.05,65.31,67.41,8239456
2018-10-30,70.5,70.64,67.26,67.71,16540247
2018-10-31,67.56,67.56,64.72,66.78,6454672
2018-11-01,66.33,68.59,66.19,68.05,5964358
2018-11-02,68.29,69.52,67.31,67.85,8563555
2018-11-05,67.85,70.5,67.12,69.42,9621081
2018-11-06,69.52,70.01,68.44,68.64,4459374
2018-11-09,68.88,69.47,68.19,68.83,3948523
2018-11-12,68.93,69.27,67.17,68.15,5231930
2018-11-13,68.54,68.64,64.52,66.04,12044294
2018-11-14,66.58,67.07,65.01,65.26,7913325
2018-11-15,65.36,65.89,64.67,65.16,3541829
2018-11-16,65.55,65.55,64.23,64.72,3479331
2018-11-19,65.11,67.36,64.38,66.48,7754978
2018-11-20,66.24,66.63,63.84,64.96,8896940
2018-11-21,65.55,66.63,64.03,65.5,7910046
2018-11-22,65.31,65.55,64.03,64.33,3674787
2018-11-26,64.67,64.82,63.1,64.43,4769128
2018-11-27,64.13,64.33,62.96,63.45,4897348
2018-11-28,63.64,64.33,63.15,63.35,3859460
2018-11-29,63.79,66.09,63.54,65.36,7587333
2018-11-30,65.31,66.43,64.87,66.04,3874603
2018-12-03,66.68,67.36,65.45,66.29,7751907
2018-12-04,66.53,67.07,65.8,66.68,4278551
2018-12-05,65.99,66.29,63.5,63.64,5372509
2018-12-06,62.91,63.89,61.68,61.78,6515154
2018-12-07,62.56,62.56,61.0,61.98,4697092
2018-12-10,61.15,61.24,58.75,60.41,6772377
2018-12-11,59.73,61.63,59.38,60.8,4346771
2018-12-12,60.61,63.35,60.61,63.15,2786591
2018-12-13,63.64,63.79,62.42,63.15,3526152
2018-12-14,62.86,63.45,62.17,62.81,1610261
2018-12-17,63.1,63.89,63.05,63.4,1839202
2018-12-18,63.01,63.79,62.81,63.4,2886685
2018-12-19,63.64,63.98,62.61,62.81,4718496
2018-12-20,62.32,62.32,58.65,60.41,16834329
2018-12-21,60.56,61.93,60.46,60.9,5878464
2018-12-24,61.24,61.29,60.22,60.26,4285997
2018-12-26,60.26,61.88,59.82,61.59,6203571
2018-12-27,62.27,62.91,60.9,61.39,18237550
2018-12-28,61.59,63.05,61.54,62.56,3539678
2018-12-31,62.66,64.62,62.66,64.43,5419202
2019-01-01,64.52,64.57,63.2,64.18,2170269
2019-01-02,63.64,63.94,62.27,62.61,3437321
2019-01-03,62.32,62.42,61.24,61.49,2626386
2019-01-04,61.24,62.66,61.24,62.52,3768550
2019-01-07,63.15,63.54,62.27,62.61,2983061
2019-01-08,62.32,62.52,61.24,61.49,2629795
2019-01-09,61.59,61.98,61.19,61.59,3080135
2019-01-10,61.34,61.73,61.05,61.44,3118288
2019-01-11,61.54,62.12,61.24,61.88,1962907
2019-01-14,61.98,61.98,59.73,60.17,2935255
2019-01-15,60.12,61.15,59.97,60.85,2797007
2019-01-16,61.39,61.63,60.12,60.36,3099309
2019-01-17,60.51,60.85,60.07,60.51,1640045
2019-01-18,60.51,60.7,59.97,60.17,1471753
2019-01-21,60.26,60.46,59.28,59.77,2155168
2019-01-22,59.53,59.73,58.55,59.43,2918880
2019-01-23,59.28,61.63,59.28,60.41,4655030
2019-01-24,60.31,61.15,59.53,60.56,2839521
2019-01-25,61.15,61.29,59.04,59.28,4271326
2019-01-28,59.97,60.02,58.5,58.65,6065127
2019-01-29,58.65,59.28,58.26,58.75,4437503
2019-01-30,58.84,59.19,58.5,58.75,3498115
2019-01-31,59.09,59.24,57.62,58.35,19300402
2019-02-01,58.21,58.75,57.28,57.91,4668687
2019-02-04,57.77,58.06,56.94,57.67,3271951
2019-02-05,58.01,58.16,56.1,56.69,4645973
2019-02-06,57.03,57.77,55.91,57.57,3150497
2019-02-07,57.18,58.35,56.94,57.38,5054762
2019-02-08,57.28,58.5,57.28,58.01,5750414
2019-02-11,55.96,56.98,52.24,52.97,20964801
2019-02-12,52.68,53.21,50.86,51.06,10210176
2019-02-13,51.35,52.53,47.78,48.22,13914576
2019-02-14,48.22,48.76,45.23,47.14,43447383
2019-02-15,48.12,49.98,46.41,47.73,22511049
2019-02-18,47.58,48.47,46.8,48.07,22038463
2019-02-19,47.88,50.42,47.78,50.08,25985569
2019-02-20,50.23,50.23,47.88,48.81,11877660
2019-02-21,48.66,49.0,46.56,47.0,22884317
2019-02-22,47.39,48.12,47.0,47.68,20569951
2019-02-25,47.98,48.17,46.61,47.34,47819940
2019-02-26,46.8,48.07,45.87,47.49,23704333
2019-02-27,48.22,50.08,47.73,48.51,31649946
2019-02-28,48.76,49.93,47.88,49.49,67856094
2019-03-01,51.21,52.77,50.13,52.53,33258174
2019-03-05,53.85,55.22,52.97,54.93,32016038
2019-03-06,56.1,57.18,55.81,56.49,20838990
2019-03-07,56.84,57.08,55.12,55.91,17212769
2019-03-08,56.35,56.89,54.68,55.61,25281020
2019-03-11,51.11,54.0,50.96,53.31,31504094
2019-03-12,53.61,54.34,52.87,53.36,16827549
2019-03-13,53.46,53.51,50.86,51.4,17936675
2019-03-14,51.21,52.43,51.11,51.5,7869505
2019-03-15,51.89,54.14,51.6,53.56,37469203
2019-03-18,53.56,54.0,52.63,53.12,8722849
2019-03-19,53.12,53.95,53.12,53.66,10035086
2019-03-20,53.85,55.22,53.7,54.73,24745154
2019-03-22,55.03,55.22,52.53,52.77,8629999
2019-03-25,52.19,52.87,51.4,52.68,5081803
2019-03-26,53.31,53.31,52.19,52.43,7543116
2019-03-27,52.63,53.17,51.79,52.09,7677606
2019-03-28,52.09,52.58,51.79,51.94,14904362
2019-03-29,52.14,54.78,52.14,54.29,17387769
2019-04-01,54.88,56.69,54.83,55.47,16817707
2019-04-02,55.81,56.0,53.7,54.14,11264690
2019-04-03,54.73,55.71,53.85,54.14,9322806
2019-04-04,54.73,55.27,54.0,54.29,9103177
2019-04-05,54.44,55.47,54.39,55.37,7615104
2019-04-08,55.56,55.76,54.24,54.59,6784110
2019-04-09,54.63,55.71,54.14,55.27,7980973
2019-04-10,55.56,56.35,54.88,55.07,11077960
2019-04-11,55.22,55.32,53.66,54.05,9016617
2019-04-12,54.14,54.63,54.05,54.34,5861085
2019-04-15,54.83,55.61,54.49,55.12,10026674
2019-04-16,55.27,55.52,54.44,54.59,7322014
2019-04-18,54.73,54.73,52.92,53.17,8349913
2019-04-22,53.36,53.36,52.24,52.53,8249375
2019-04-23,52.33,52.68,51.89,52.09,7072642
2019-04-24,52.24,52.28,51.45,51.65,8516103
2019-04-25,51.7,52.48,51.5,51.6,5906911
2019-04-26,51.75,52.28,51.35,51.65,4693704
2019-04-30,51.7,51.79,50.03,50.72,8200722
2019-05-02,50.82,51.26,50.18,50.67,4973827
2019-05-03,50.67,51.4,50.28,51.06,5182504
2019-05-06,50.18,50.67,49.54,49.89,4702032
2019-05-07,50.42,50.62,49.1,49.3,4161052
2019-05-08,49.49,49.49,48.47,48.61,5131084
2019-05-09,48.61,49.15,48.12,48.71,4105278
2019-05-10,48.86,49.49,48.47,48.56,6177303
2019-05-13,48.66,48.66,47.19,47.39,4888933
2019-05-14,47.49,48.07,47.0,47.73,5012207
2019-05-15,47.98,48.56,46.8,47.0,5617100
2019-05-16,47.0,48.03,46.75,47.83,4726362
2019-05-17,47.58,48.27,47.29,47.83,5932682
2019-05-20,49.2,50.82,48.56,50.42,6116749
2019-05-21,50.62,50.67,47.83,48.17,9369914
2019-05-22,48.27,49.15,48.07,48.91,4153440
2019-05-23,49.44,49.89,47.49,47.73,12109878
2019-05-24,47.98,48.76,47.49,48.61,5594921
2019-05-27,48.91,50.38,48.61,50.18,6699475
2019-05-28,50.38,50.67,49.1,49.54,9851998
2019-05-29,49.54,49.54,48.66,48.86,6435198
2019-05-30,48.96,49.49,48.47,49.3,7947029
2019-05-31,49.84,50.03,48.51,49.49,12688490
2019-06-03,49.54,49.59,48.07,49.15,8089890
2019-06-04,48.96,49.98,48.76,49.25,5229754
2019-06-06,49.25,49.25,47.68,48.03,7670109
2019-06-07,48.03,48.56,47.63,48.12,6347856
2019-06-10,48.22,48.56,47.34,48.17,5768022
2019-06-11,48.27,49.15,47.88,48.76,7570994
2019-06-12,48.76,49.54,48.37,48.47,6090407
2019-06-13,48.12,48.96,47.98,48.22,5921670
2019-06-14,48.07,48.71,47.98,48.07,3974485
2019-06-17,47.98,48.42,47.14,47.39,4879735
2019-06-18,47.39,47.88,46.51,46.85,5119620
2019-06-19,47.1,47.73,45.97,46.61,7429943
2019-06-20,46.8,47.78,46.31,47.54,6642210
2019-06-21,47.49,48.42,47.24,48.12,5448262
2019-06-24,48.42,48.56,47.58,47.88,5625673
2019-06-25,47.98,48.27,47.39,48.03,5932624
2019-06-26,48.07,49.15,47.88,49.0,10012015
2019-06-27,48.96,49.59,48.76,49.25,10315072
2019-06-28,49.49,49.54,48.17,48.37,9500594
2019-07-01,48.86,48.96,47.88,48.71,5812011
