date,open,high,low,close,volume
2018-07-05,234.5,248.5,231.0,246.0,1012030
2018-07-06,246.0,250.5,240.0,243.5,687745
2018-07-09,246.0,251.5,243.0,250.0,649475
2018-07-10,252.5,265.0,250.0,260.5,907240
2018-07-11,259.5,275.0,257.0,266.0,1765170
2018-07-12,268.0,269.0,258.5,263.0,202240
2018-07-13,263.0,267.5,254.0,257.5,222115
2018-07-16,263.0,263.0,246.0,249.5,260870
2018-07-17,250.5,258.0,250.0,253.5,263150
2018-07-18,253.0,272.0,250.0,270.0,1191605
2018-07-19,265.0,268.0,256.5,259.5,244540
2018-07-20,259.0,259.0,250.0,253.5,387180
2018-07-23,254.0,276.0,252.5,268.0,1107515
2018-07-24,270.0,283.0,267.0,271.0,1744785
2018-07-25,273.0,300.0,273.0,294.5,1867660
2018-07-26,292.0,293.0,271.5,279.0,1169320
2018-07-27,281.0,281.0,276.0,279.5,859345
2018-07-30,280.5,280.5,261.0,270.0,4261945
2018-07-31,270.0,277.0,267.0,273.5,607955
2018-08-01,274.0,276.0,268.0,274.5,225445
2018-08-02,276.0,276.0,270.5,272.5,142915
2018-08-03,274.0,280.5,269.5,273.0,519695
2018-08-06,275.0,281.0,274.5,279.5,584020
2018-08-07,282.0,296.0,279.5,292.0,587945
2018-08-08,290.0,301.5,287.5,296.5,691990
2018-08-09,296.0,303.0,292.0,294.0,432385
2018-08-10,296.0,300.0,294.0,297.5,147250
2018-08-13,297.5,297.5,292.5,294.0,195605
2018-08-14,292.0,297.0,291.0,295.0,222995
2018-08-16,294.5,295.5,284.0,285.5,190565
2018-08-17,287.0,299.0,286.5,297.5,674175
2018-08-20,298.0,299.0,294.0,296.0,97805
2018-08-21,298.0,307.0,290.5,303.0,395885
2018-08-23,306.0,327.0,304.0,321.5,1197905
2018-08-24,320.0,324.0,313.0,314.0,307055
2018-08-27,316.5,331.0,307.0,319.0,2007610
2018-08-28,310.0,318.0,304.0,309.5,1504520
2018-08-29,311.0,324.0,308.0,315.0,2963195
2018-08-30,312.0,316.0,308.0,313.0,259400
2018-08-31,315.0,335.5,312.0,327.5,1100010
2018-09-03,328.5,338.5,327.5,332.0,768090
2018-09-04,333.5,339.5,331.5,333.5,1351070
2018-09-05,335.5,335.5,326.0,329.0,586980
2018-09-06,331.5,334.0,324.0,327.5,298335
2018-09-07,327.0,328.0,318.0,325.5,907840
2018-09-10,328.0,331.0,320.0,321.5,1282155
2018-09-11,323.5,328.0,319.5,324.5,452355
2018-09-12,322.5,331.5,317.0,319.5,269970
2018-09-14,322.0,330.0,320.5,326.0,201075
2018-09-17,326.0,326.0,311.0,314.0,184535
2018-09-18,314.0,317.5,304.0,306.5,207055
2018-09-19,306.0,308.0,280.0,297.5,1348735
2018-09-21,302.0,317.0,282.0,306.0,1237785
2018-09-24,306.0,315.5,301.0,306.5,511915
2018-09-25,309.0,309.0,301.0,304.0,410475
2018-09-26,305.5,310.0,301.0,304.5,214690
2018-09-27,306.0,306.0,286.5,292.0,264810
2018-09-28,293.5,300.0,276.0,284.5,1706190
2018-10-01,286.5,293.0,274.0,285.0,409725
2018-10-03,286.5,288.0,273.0,278.5,209835
2018-10-04,272.5,286.0,262.0,275.0,1028935
2018-10-05,270.0,293.0,268.0,286.5,309875
2018-10-08,287.5,305.0,277.5,281.0,647035
2018-10-09,283.0,296.5,272.5,287.5,871215
2018-10-10,290.0,298.0,281.0,286.0,413570
2018-10-11,280.0,295.0,276.5,290.0,240020
2018-10-12,291.0,302.0,291.0,297.0,150005
2018-10-15,306.0,316.5,302.0,305.0,365455
2018-10-16,307.0,316.0,304.5,311.5,172555
2018-10-17,313.5,320.0,295.0,300.5,462255
2018-10-19,300.0,309.5,286.0,303.5,350515
2018-10-22,305.5,305.5,288.0,292.0,1764415
2018-10-23,286.0,302.5,286.0,298.5,136335
2018-10-24,300.5,319.0,295.5,312.5,1914755
2018-10-25,310.5,325.0,301.5,321.5,313925
2018-10-26,318.5,322.0,309.0,319.5,2212825
2018-10-29,320.0,325.0,315.0,318.0,1126855
2018-10-30,315.0,324.0,306.5,316.0,551775
2018-10-31,312.5,319.0,312.5,316.0,227935
2018-11-01,313.0,315.0,293.5,298.0,356065
2018-11-02,300.0,303.0,290.5,294.0,481790
2018-11-05,291.0,296.5,277.5,282.0,545220
2018-11-06,283.0,286.0,272.5,275.0,8996085
2018-11-09,276.5,284.5,273.5,281.5,524880
2018-11-12,283.0,283.0,273.0,274.0,115990
2018-11-13,273.5,278.5,271.5,277.0,216690
2018-11-14,278.0,279.5,273.0,275.5,46215
2018-11-15,274.0,280.0,272.5,276.0,177550
2018-11-16,277.0,281.0,262.5,274.0,6646920
2018-11-19,274.0,278.5,273.5,277.0,368510
2018-11-20,277.0,281.5,274.0,280.0,455745
2018-11-21,278.5,283.0,278.5,280.5,105270
2018-11-22,280.5,283.0,277.0,278.5,193925
2018-11-26,280.5,295.5,277.5,291.0,907705
2018-11-27,291.5,308.5,291.5,296.0,1297130
2018-11-28,298.0,305.5,296.5,298.0,399500
2018-11-29,298.0,313.0,298.0,309.5,653795
2018-11-30,309.5,317.0,307.0,309.0,818200
2018-12-03,311.5,327.0,311.0,322.0,1552495
2018-12-04,323.0,337.5,322.5,326.0,2134555
2018-12-05,326.0,326.0,310.0,316.0,637560
2018-12-06,313.0,322.5,308.0,310.5,440140
2018-12-07,312.0,313.5,300.0,303.0,777175
2018-12-10,299.5,299.5,282.0,286.0,329395
2018-12-11,277.0,317.5,277.0,310.0,1102170
2018-12-12,311.0,317.0,305.0,313.5,1274310
