date,open,high,low,close,volume
2018-07-05,61.7,63.0,61.4,61.65,204904
2018-07-06,61.65,63.35,61.35,62.35,336458
2018-07-09,62.55,65.65,62.2,64.1,785842
2018-07-10,64.5,67.6,64.2,66.3,1104826
2018-07-11,66.0,67.7,64.6,64.8,518840
2018-07-12,65.4,66.2,63.6,64.0,477630
2018-07-13,63.35,64.05,63.0,63.5,223474
2018-07-16,63.2,63.7,61.0,61.1,294946
2018-07-17,60.75,63.1,60.0,62.55,321432
2018-07-18,63.0,63.25,61.0,61.4,309484
2018-07-19,61.4,61.9,60.15,61.15,233246
2018-07-20,60.95,63.3,60.9,62.7,272648
2018-07-23,63.0,64.0,62.35,63.6,149926
2018-07-24,64.1,67.0,63.65,65.8,410768
2018-07-25,65.5,68.0,65.5,66.55,466728
2018-07-26,66.85,67.7,66.25,66.9,323852
2018-07-27,66.75,67.5,66.25,66.75,336650
2018-07-30,66.0,67.45,65.6,66.0,803160
2018-07-31,66.15,67.2,66.05,66.5,625642
2018-08-01,66.5,67.0,65.75,66.45,2863850
2018-08-02,66.5,68.25,65.6,66.0,1946236
2018-08-03,66.95,68.2,66.5,67.0,1731970
2018-08-06,67.85,72.2,67.75,69.5,2859416
2018-08-07,72.4,72.4,64.0,64.65,4277642
2018-08-08,65.45,65.85,63.5,63.8,719994
2018-08-09,64.2,64.7,62.3,62.5,684524
2018-08-10,62.7,63.4,61.1,62.05,647084
2018-08-13,61.45,63.65,60.8,61.9,472896
2018-08-14,62.2,62.7,61.0,61.6,1044512
2018-08-16,61.4,63.5,61.0,62.4,675582
2018-08-17,62.5,63.5,62.5,62.85,406492
2018-08-20,63.2,63.35,62.5,62.6,326730
2018-08-21,62.9,64.0,62.5,62.85,566334
2018-08-23,63.0,63.75,62.5,62.8,375106
2018-08-24,62.6,63.5,62.3,62.8,290074
2018-08-27,63.2,63.5,62.6,63.1,329426
2018-08-28,63.25,63.7,62.55,63.05,307726
2018-08-29,63.0,63.15,62.25,62.65,245486
2018-08-30,62.9,63.7,62.0,63.3,396716
2018-08-31,63.4,65.5,63.0,64.75,804768
2018-09-03,64.0,65.75,63.75,64.05,395864
2018-09-04,64.3,64.7,62.9,63.15,370846
2018-09-05,63.0,63.6,61.85,62.8,335176
2018-09-06,63.3,64.0,62.15,63.6,393192
2018-09-07,63.5,64.95,63.0,64.4,531024
2018-09-10,63.25,65.5,62.4,62.9,552608
2018-09-11,63.0,63.6,60.5,61.1,496038
2018-09-12,61.05,61.95,60.25,60.7,445204
2018-09-14,61.4,63.3,61.4,62.45,591842
2018-09-17,62.7,68.5,62.5,67.65,2733970
2018-09-18,67.9,68.7,64.4,65.1,1013124
2018-09-19,65.55,67.5,65.2,65.8,592386
2018-09-21,66.1,68.0,61.45,66.0,2972652
2018-09-24,66.05,66.05,61.6,62.0,657744
2018-09-25,62.0,62.5,60.75,61.8,538030
2018-09-26,62.0,65.2,61.9,64.4,774524
2018-09-27,64.5,64.9,61.25,61.7,418964
2018-09-28,62.2,62.3,59.1,59.7,509580
2018-10-01,59.8,62.5,58.7,60.7,453004
2018-10-03,60.65,62.5,60.6,61.25,291322
2018-10-04,61.0,62.0,59.7,60.4,237918
2018-10-05,59.75,61.4,58.25,59.05,520828
2018-10-08,58.55,59.0,53.7,57.0,572102
2018-10-09,56.6,57.35,55.6,56.2,304400
2018-10-10,56.2,58.9,56.2,58.7,363048
2018-10-11,57.4,58.0,55.0,57.0,466998
2018-10-12,57.75,59.3,57.7,58.2,227946
2018-10-15,58.5,59.4,58.5,59.05,248366
2018-10-16,60.2,61.5,59.75,60.0,282278
2018-10-17,60.6,61.5,57.5,58.3,212908
2018-10-19,57.5,59.0,57.5,57.95,447656
2018-10-22,58.7,59.1,56.55,57.0,133264
2018-10-23,56.1,57.2,54.6,55.15,221282
2018-10-24,55.95,56.9,55.0,55.5,236034
2018-10-25,55.0,56.5,54.45,54.9,149506
2018-10-26,55.4,55.95,54.25,54.45,145366
2018-10-29,55.0,56.9,54.55,56.3,314566
2018-10-30,55.7,57.4,55.7,56.75,198738
2018-10-31,57.05,58.25,56.9,57.85,298866
2018-11-01,57.95,60.6,57.95,59.9,364014
2018-11-02,60.8,63.4,60.1,62.1,822892
2018-11-05,65.0,65.0,59.75,60.5,943294
2018-11-06,61.0,61.0,59.1,59.65,255288
2018-11-09,60.5,60.9,59.1,59.4,282880
2018-11-12,59.55,60.5,58.85,59.1,302422
2018-11-13,59.05,59.7,58.9,59.1,253434
2018-11-14,59.35,60.0,58.35,58.9,294862
2018-11-15,58.7,60.8,58.65,59.7,229470
2018-11-16,59.85,60.35,59.15,59.6,163380
2018-11-19,59.7,61.8,58.9,60.8,391712
2018-11-20,60.5,61.5,59.6,60.8,323824
2018-11-21,60.8,63.5,60.35,62.85,535830
2018-11-22,63.4,63.65,61.9,62.55,349934
2018-11-26,63.0,63.0,59.8,60.0,357936
2018-11-27,60.7,62.2,60.1,60.45,352888
2018-11-28,60.75,60.85,59.2,59.5,189592
2018-11-29,59.5,60.2,58.7,59.4,205008
2018-11-30,59.3,60.1,59.05,59.5,253480
2018-12-03,60.2,60.9,58.6,59.05,516362
2018-12-04,59.0,59.45,58.6,58.8,344506
2018-12-05,58.65,59.2,58.5,58.8,192558
2018-12-06,58.45,59.45,57.1,57.95,306092
2018-12-07,58.2,58.6,57.5,57.8,158500
2018-12-10,57.0,59.1,56.6,58.1,126746
2018-12-11,57.7,59.4,57.0,58.55,154518
2018-12-12,58.7,59.9,58.7,59.6,176864
2018-12-13,60.0,60.35,59.2,59.9,367744
2018-12-14,59.9,61.0,59.55,60.3,210988
2018-12-17,60.5,60.9,59.05,59.6,305108
2018-12-18,59.7,61.25,59.15,61.0,186578
2018-12-19,60.95,61.3,60.1,60.45,157380
2018-12-20,59.75,60.8,59.5,60.2,148306
2018-12-21,60.3,60.8,59.05,60.3,211524
2018-12-24,59.45,60.35,59.0,59.6,133986
2018-12-26,59.05,59.9,58.8,59.05,138572
2018-12-27,59.45,59.75,58.7,58.9,147236
2018-12-28,59.2,59.9,58.5,59.2,179336
2018-12-31,59.5,60.95,59.3,60.35,160026
2019-01-01,60.1,60.7,59.35,59.9,154538
2019-01-02,59.7,60.2,59.6,60.0,129496
2019-01-03,60.0,60.15,59.0,59.6,85168
2019-01-04,59.9,59.9,58.55,58.9,175702
2019-01-07,59.45,59.75,58.8,58.95,154030
2019-01-08,59.0,59.0,58.7,58.8,132440
2019-01-09,59.0,59.15,57.9,58.0,162168
2019-01-10,58.2,58.4,57.25,57.45,286702
2019-01-11,57.7,58.1,56.6,57.4,314940
2019-01-14,57.5,57.95,57.15,57.5,159066
2019-01-15,57.4,57.75,56.7,56.8,269546
2019-01-16,57.1,57.4,55.5,56.0,282722
2019-01-17,56.2,56.5,55.5,55.6,165738
2019-01-18,56.3,56.3,55.15,55.4,138686
2019-01-21,55.5,56.55,55.15,56.2,152102
2019-01-22,56.1,56.6,55.25,55.75,186824
2019-01-23,55.6,56.35,55.55,56.0,97930
2019-01-24,56.0,56.3,55.5,55.95,96672
2019-01-25,55.75,56.1,55.1,55.5,308562
2019-01-28,55.5,55.5,54.1,54.5,1238026
2019-01-29,54.4,54.8,53.9,54.4,1257798
2019-01-30,54.5,55.0,53.2,53.4,132776
2019-01-31,53.8,54.2,53.0,53.2,1378348
2019-02-01,53.6,56.15,53.5,53.95,255956
2019-02-04,53.8,54.8,53.05,53.45,154990
2019-02-05,53.75,54.5,53.45,53.9,182092
