date,open,high,low,close,volume
2021-03-30,248.8,253.1,199.0,199.0,59934112
2021-03-31,186.2,195.1,179.0,183.3,28487320
2021-04-01,188.2,217.3,187.4,208.8,28184712
2021-04-05,206.2,214.1,201.4,206.4,7894416
2021-04-06,208.6,210.0,203.2,204.4,3021008
2021-04-07,205.2,209.8,204.0,206.2,2809848
2021-04-08,207.6,209.5,204.1,204.9,2871128
2021-04-09,205.6,206.6,200.2,201.6,2146392
2021-04-12,196.6,196.9,182.0,186.7,2960280
2021-04-13,191.5,208.1,190.1,204.9,4322160
2021-04-15,203.8,208.2,200.8,202.0,2375832
2021-04-16,202.9,205.9,200.7,202.2,1787952
2021-04-19,186.2,199.2,186.2,195.4,1217880
2021-04-20,199.4,202.5,196.2,197.3,1025200
2021-04-22,197.0,205.9,195.0,201.2,1923544
2021-04-23,211.2,216.2,205.0,211.2,5372992
2021-04-26,213.8,215.2,209.4,211.7,3277904
2021-04-27,211.2,212.6,210.0,210.8,1561592
2021-04-28,211.2,229.5,210.6,223.8,8158920
2021-04-29,225.4,226.8,218.0,218.7,2192584
2021-04-30,215.0,222.8,215.0,217.1,2068184
2021-05-03,215.0,230.5,214.4,228.2,3537888
2021-05-04,230.1,237.1,222.0,224.0,3890248
2021-05-05,225.8,227.4,221.4,223.6,1192480
2021-05-06,224.8,226.6,219.8,221.5,1118104
2021-05-07,223.0,225.4,215.0,215.9,1405184
2021-05-10,217.2,220.4,212.2,212.9,1961384
2021-05-11,212.5,218.6,210.4,215.6,1755904
2021-05-12,215.6,219.4,214.7,215.6,1212432
2021-05-14,216.1,217.0,206.6,208.8,2077128
2021-05-17,210.4,211.1,207.0,208.3,863552
2021-05-18,209.8,213.8,207.6,209.0,1368032
2021-05-19,209.2,212.4,208.1,208.6,643328
2021-05-20,209.6,212.4,207.8,208.2,672736
2021-05-21,209.4,210.0,206.4,207.4,643216
2021-05-24,208.1,209.4,205.1,206.0,1641184
2021-05-25,206.8,207.5,205.2,206.1,984496
2021-05-26,207.0,225.3,207.0,220.6,6344392
2021-05-27,222.4,223.8,218.8,220.8,1805280
2021-05-28,222.5,222.8,213.8,215.4,1817472
2021-05-31,210.6,216.9,205.1,213.2,3863304
2021-06-01,214.1,219.8,211.2,211.9,2552280
2021-06-02,212.8,215.8,211.2,214.4,965744
2021-06-03,215.2,216.8,211.4,212.4,1463864
2021-06-04,212.4,213.8,208.9,210.0,1374328
