date,open,high,low,close,volume
2018-07-05,12.5,12.5,12.15,12.35,13186353
2018-07-06,12.35,12.5,12.2,12.35,9158238
2018-07-09,12.55,12.6,12.4,12.45,7774635
2018-07-10,12.55,12.65,12.3,12.55,10935369
2018-07-11,12.5,12.55,12.25,12.35,8028459
2018-07-12,12.5,12.5,12.2,12.25,8613885
2018-07-13,12.25,12.5,11.8,11.95,28541049
2018-07-16,11.95,11.95,11.4,11.5,11801013
2018-07-17,11.5,11.7,11.35,11.6,12322905
2018-07-18,11.7,11.75,11.25,11.35,10573845
2018-07-19,11.5,11.55,11.2,11.5,18149718
2018-07-20,11.4,11.6,11.25,11.5,13944423
2018-07-23,11.5,11.6,11.2,11.4,16864431
2018-07-24,11.5,11.7,11.35,11.65,13474320
2018-07-25,11.8,12.25,11.75,12.2,53854635
2018-07-26,12.25,12.45,12.05,12.2,24024570
2018-07-27,12.3,12.55,12.2,12.45,11932335
2018-07-30,12.55,12.75,12.4,12.6,12920940
2018-07-31,12.6,12.75,12.5,12.65,14424171
2018-08-01,12.7,13.1,12.65,12.85,145643436
2018-08-02,12.85,12.9,12.5,12.85,21056409
2018-08-03,12.8,12.9,12.7,12.85,21635766
2018-08-06,12.9,12.95,12.7,12.9,22737078
2018-08-07,12.9,13.85,12.85,13.75,59337519
2018-08-08,13.75,13.8,13.35,13.65,52420023
2018-08-09,13.2,13.55,12.5,12.85,81158028
2018-08-10,12.85,13.1,12.55,12.7,38593971
2018-08-13,12.6,12.8,12.3,12.45,26629584
2018-08-14,12.5,12.6,12.15,12.2,15749121
2018-08-16,12.15,12.4,11.95,12.15,21211587
2018-08-17,12.2,12.75,12.15,12.55,29886924
2018-08-20,12.65,12.75,12.45,12.7,16649832
2018-08-21,12.75,12.8,12.4,12.45,12652800
2018-08-23,12.45,12.55,12.35,12.4,9395865
2018-08-24,12.45,12.5,12.3,12.4,15138987
2018-08-27,12.5,13.0,12.5,12.9,27413946
2018-08-28,12.9,13.1,12.7,13.05,22821669
2018-08-29,12.9,13.35,12.9,13.0,31165947
2018-08-30,12.9,13.2,12.9,13.15,34950000
2018-08-31,13.1,13.75,13.05,13.4,35806638
2018-09-03,13.45,13.85,13.25,13.55,39489075
2018-09-04,13.7,13.7,13.45,13.55,30049443
2018-09-05,13.45,13.55,13.05,13.4,20964906
2018-09-06,13.7,14.0,13.45,13.9,35081253
2018-09-07,13.95,14.7,13.85,14.3,67398114
