date,open,high,low,close,volume
2021-10-01,234.5,246.2,230.0,246.2,4264066
2021-10-04,258.5,258.5,258.5,258.5,459332
2021-10-05,271.4,271.4,271.4,271.4,1197282
2021-10-06,285.0,285.0,285.0,285.0,175770
2021-10-07,299.2,299.2,299.2,299.2,41854
2021-10-08,314.2,314.2,314.2,314.2,37610
2021-10-11,329.9,329.9,329.9,329.9,25372
2021-10-12,346.4,346.4,313.4,313.4,1545204
2021-10-13,297.8,297.8,297.8,297.8,265938
2021-10-14,287.7,312.6,287.7,312.6,1724484
2021-10-18,322.0,375.2,308.6,375.2,7341634
2021-10-19,415.5,450.2,405.9,450.2,3332700
2021-10-20,489.0,495.2,412.8,495.2,12311854
2021-10-21,495.2,544.7,467.7,544.7,8355340
2021-10-22,589.4,599.2,576.8,599.2,532496
2021-10-25,622.5,629.1,569.2,569.2,2016522
2021-10-26,540.8,540.8,540.8,540.8,162468
2021-10-27,531.0,539.0,513.7,513.7,1632762
2021-10-28,488.0,488.0,488.0,488.0,94226
2021-10-29,463.6,463.6,463.6,463.6,99096
2021-11-01,440.5,440.5,440.5,440.5,96422
2021-11-02,418.5,418.5,418.5,418.5,114232
2021-11-03,419.5,439.4,397.6,399.1,9720942
2021-11-04,407.0,412.5,390.0,407.8,1130274
2021-11-08,410.0,412.4,387.4,387.4,1264898
2021-11-09,377.2,406.8,371.2,406.8,6539804
2021-11-10,406.5,418.8,399.0,402.3,3067372
2021-11-11,404.0,406.0,391.2,394.8,1466048
2021-11-12,399.0,403.5,392.3,394.5,776694
2021-11-15,406.0,410.0,392.8,394.6,1170706
2021-11-16,395.0,399.0,387.5,388.1,806282
2021-11-17,389.0,389.0,375.5,376.6,975610
2021-11-18,377.6,384.1,358.0,360.7,955226
2021-11-22,363.0,363.6,342.6,342.6,890626
2021-11-23,332.6,353.4,325.5,341.2,2383982
2021-11-24,343.4,358.3,342.0,358.3,441126
2021-11-25,367.5,376.2,366.5,376.2,1701674
2021-11-26,384.0,395.0,377.5,387.1,3511984
2021-11-29,377.5,379.3,367.7,367.7,675530
2021-11-30,355.0,366.4,351.2,352.6,902990
2021-12-01,358.0,364.0,353.1,356.0,442074
2021-12-02,356.0,373.7,355.0,373.7,601972
2021-12-03,381.5,392.4,373.5,380.0,1789558
2021-12-06,380.1,384.0,363.4,365.4,805580
2021-12-07,373.0,380.4,365.9,369.1,847756
2021-12-08,372.4,378.0,367.0,368.0,525930
2021-12-09,373.0,373.5,367.5,368.4,364876
2021-12-10,369.0,372.0,363.7,365.7,403220
2021-12-13,368.2,375.0,362.5,364.2,512426
2021-12-14,364.5,372.0,361.0,362.9,391784
2021-12-15,363.1,365.8,355.5,357.8,343222
2021-12-16,357.0,362.2,350.0,351.2,417246
2021-12-17,357.0,357.0,341.8,346.0,430648
2021-12-20,342.7,345.0,325.1,331.9,522052
2021-12-21,333.0,347.0,333.0,340.1,393286
2021-12-22,344.5,357.0,344.5,349.8,492956
2021-12-23,353.5,356.5,347.5,349.1,235318
2021-12-24,348.7,352.2,341.5,343.0,332770
2021-12-27,325.5,377.3,325.5,366.4,923766
2021-12-28,385.0,395.0,370.7,376.8,2514368
2021-12-29,379.0,379.4,367.2,369.0,603368
2021-12-30,369.0,387.5,366.6,371.2,682872
2021-12-31,374.0,375.8,369.0,371.5,324570
2022-01-03,371.5,378.0,367.7,370.4,582774
2022-01-04,372.0,373.0,365.5,366.7,335850
2022-01-05,367.0,369.4,361.2,362.4,297506
2022-01-06,355.2,368.5,355.2,363.2,493226
2022-01-07,367.4,373.0,361.5,363.3,572772
2022-01-10,364.0,366.2,359.6,361.3,388044
2022-01-11,362.4,377.4,359.3,368.2,1054606
2022-01-12,370.0,373.4,364.4,366.0,293186
2022-01-13,369.5,369.5,360.0,362.6,281496
2022-01-14,362.6,371.0,360.8,366.1,430436
2022-01-17,369.2,369.7,364.2,364.9,379242
2022-01-18,366.5,367.4,355.0,356.3,369528
2022-01-19,355.0,355.0,345.0,349.2,457086
2022-01-20,347.0,352.3,347.0,348.8,279128
2022-01-21,349.4,352.0,342.6,344.6,268334
2022-01-24,342.4,342.5,327.5,331.8,558904
2022-01-25,325.0,342.2,320.0,339.7,443226
2022-01-27,340.0,340.0,331.0,336.0,296988
2022-01-28,336.0,340.4,332.5,333.5,277030
