date,open,high,low,close,volume
2018-07-05,414.6,415.0,407.5,410.2,138388
2018-07-06,410.0,420.0,410.0,418.3,222912
2018-07-09,420.2,437.0,413.55,425.8,624840
2018-07-10,429.0,436.2,425.0,428.5,509972
2018-07-11,429.8,432.5,416.4,422.0,252770
2018-07-12,423.15,429.0,413.8,422.1,1438764
2018-07-13,422.5,424.6,405.5,409.7,261576
2018-07-16,412.4,422.5,400.5,405.6,806532
2018-07-17,405.95,419.0,405.65,411.8,314470
2018-07-18,414.9,419.5,411.95,417.15,496146
2018-07-19,418.5,418.5,407.5,413.1,235770
2018-07-20,413.0,418.5,404.25,412.0,274138
2018-07-23,413.5,423.95,412.7,420.5,196154
2018-07-24,423.45,430.0,421.25,424.2,226846
2018-07-25,427.1,435.0,416.8,419.2,358174
2018-07-26,420.9,434.5,419.0,423.9,243902
2018-07-27,423.9,426.0,408.5,417.3,530002
2018-07-30,432.5,435.8,408.5,413.9,702682
2018-07-31,410.0,421.6,408.4,417.7,250748
2018-08-01,417.75,421.4,414.1,415.6,175932
2018-08-02,416.0,420.0,405.35,415.65,194178
2018-08-03,414.0,420.0,414.0,417.05,215788
2018-08-06,420.0,433.85,420.0,427.55,1337512
2018-08-07,430.5,434.2,422.0,430.9,276748
2018-08-08,433.4,437.5,419.0,421.1,776282
2018-08-09,423.65,428.75,416.75,420.2,231544
2018-08-10,420.0,427.0,420.0,424.7,150302
2018-08-13,424.5,428.2,421.0,425.9,298910
2018-08-14,426.9,444.95,426.1,434.0,795250
2018-08-16,434.4,441.2,432.5,433.9,485376
2018-08-17,439.5,440.85,431.6,435.9,448250
2018-08-20,436.6,438.1,433.6,435.6,221380
2018-08-21,436.5,437.6,423.0,424.3,364860
2018-08-23,424.3,437.5,424.3,436.3,427548
2018-08-24,438.0,438.0,430.1,431.9,395068
2018-08-27,434.0,434.0,422.0,424.2,207188
2018-08-28,426.0,433.0,420.05,423.6,206432
2018-08-29,424.5,429.8,418.0,419.85,392742
2018-08-30,421.0,426.9,418.05,421.0,208462
2018-08-31,422.1,422.1,408.4,413.8,458032
2018-09-03,417.0,425.0,413.5,418.6,203010
2018-09-04,424.5,429.0,418.0,419.8,491308
2018-09-05,421.45,422.9,399.5,402.0,591762
2018-09-06,405.25,426.9,405.0,423.2,887054
2018-09-07,426.5,437.0,426.0,434.8,695332
2018-09-10,433.6,457.5,431.6,442.5,1221410
2018-09-11,447.5,452.0,432.6,438.65,525712
2018-09-12,441.15,443.5,418.7,420.7,544782
2018-09-14,424.05,433.6,420.8,423.9,410384
2018-09-17,425.0,429.25,422.55,423.9,173790
2018-09-18,423.0,427.5,414.0,416.0,298780
2018-09-19,419.3,419.3,408.8,412.4,253946
2018-09-21,415.35,420.0,397.7,405.8,387686
2018-09-24,407.6,420.0,401.0,407.5,247026
2018-09-25,407.6,414.8,397.6,404.75,199448
2018-09-26,405.7,414.3,391.3,396.4,366932
2018-09-27,398.2,405.0,387.5,389.65,312600
