date,open,high,low,close,volume
2018-07-05,203.7,204.35,200.4,202.2,1823103
2018-07-06,200.5,204.85,199.05,200.05,1440381
2018-07-09,200.5,203.45,200.0,200.95,1870200
2018-07-10,201.9,206.45,200.75,205.35,2420646
2018-07-11,205.55,205.55,201.55,203.5,1377726
2018-07-12,204.65,205.5,198.8,199.8,4778544
2018-07-13,199.75,201.7,195.0,195.4,3830321
2018-07-16,195.2,195.55,190.55,191.0,3923307
2018-07-17,189.55,196.6,189.55,192.6,2452140
2018-07-18,194.0,199.8,190.45,191.1,4114067
2018-07-19,192.55,193.55,190.0,191.65,2444902
2018-07-20,193.1,193.1,190.45,191.25,801662
2018-07-23,192.7,196.3,191.35,192.65,2756448
2018-07-24,194.05,199.6,193.45,198.95,4687548
2018-07-25,199.1,206.5,198.55,203.8,4497839
2018-07-26,205.55,216.45,205.1,213.15,11569805
2018-07-27,216.45,217.55,205.8,213.6,7783384
2018-07-30,213.9,215.7,209.8,211.2,1817288
2018-07-31,210.65,211.85,208.0,211.25,2464539
2018-08-01,212.6,216.55,210.25,215.8,4574433
2018-08-02,217.35,217.45,210.5,215.6,3523775
2018-08-03,216.6,216.7,212.05,213.2,3539451
2018-08-06,213.2,214.75,209.7,210.75,2744153
2018-08-07,210.65,213.85,209.9,212.3,1725969
2018-08-08,211.95,212.25,208.45,209.7,2903392
2018-08-09,209.25,212.35,209.15,211.7,2594046
2018-08-10,211.1,211.9,205.35,206.8,1841280
2018-08-13,206.45,207.75,203.15,203.9,2445661
2018-08-14,203.9,206.4,200.5,204.75,2000796
2018-08-16,205.55,205.85,201.1,201.7,1272044
2018-08-17,201.7,202.8,199.1,200.95,2187534
2018-08-20,202.8,211.75,202.2,208.1,4508745
2018-08-21,209.45,212.3,207.65,210.55,2645870
2018-08-23,210.65,214.3,208.05,212.45,2629097
2018-08-24,214.2,215.25,211.1,214.15,2477433
2018-08-27,214.6,217.5,214.1,216.3,3374206
2018-08-28,217.55,218.45,212.4,213.5,1592316
2018-08-29,213.5,216.95,211.35,215.0,2550067
2018-08-30,216.55,222.9,215.95,221.25,7968297
2018-08-31,221.3,229.95,221.3,228.6,7221576
2018-09-03,228.65,230.25,221.85,223.05,2040957
2018-09-04,222.15,223.5,216.45,218.5,1884481
2018-09-05,216.6,221.2,216.6,220.6,2626952
2018-09-06,219.3,222.05,217.35,219.7,2255715
2018-09-07,220.55,225.1,218.4,223.7,2093001
2018-09-10,224.0,225.9,222.8,224.9,5006625
2018-09-11,225.9,227.45,219.7,220.65,3258740
2018-09-12,222.8,222.8,215.75,219.2,1608858
2018-09-14,220.35,225.5,220.35,223.5,3578491
2018-09-17,220.9,221.95,216.6,218.8,1597612
2018-09-18,220.0,221.95,211.65,213.0,2312181
2018-09-19,212.4,218.45,211.8,215.2,1264215
2018-09-21,214.95,220.7,209.35,217.55,5467998
2018-09-24,217.05,217.4,203.35,209.3,2256034
2018-09-25,211.1,211.1,201.9,206.05,2767922
2018-09-26,208.3,208.55,200.5,207.35,2481932
2018-09-27,209.75,210.95,206.1,209.25,2214351
2018-09-28,209.7,214.2,203.4,207.15,2266011
2018-10-01,207.15,207.7,200.95,204.8,2381226
2018-10-03,204.65,208.35,202.95,204.4,2469045
2018-10-04,203.7,203.7,192.95,197.45,7377593
2018-10-05,195.2,200.5,189.0,197.0,2859601
2018-10-08,197.0,198.2,191.7,195.65,2415357
2018-10-09,198.1,198.75,193.75,195.25,2219923
2018-10-10,196.9,200.3,193.2,196.2,5715423
2018-10-11,192.7,198.4,189.65,195.5,3148328
2018-10-12,196.8,202.15,196.6,200.9,2218732
2018-10-15,202.9,202.9,197.7,198.55,1274788
2018-10-16,200.8,207.4,199.05,206.6,2603215
2018-10-17,207.8,209.25,197.2,199.9,1464497
2018-10-19,196.55,202.65,195.5,196.65,2170528
2018-10-22,198.2,198.35,192.45,196.15,3094382
2018-10-23,196.1,198.35,192.95,195.6,4672736
2018-10-24,196.35,197.7,193.55,195.95,2134715
2018-10-25,195.25,198.2,191.65,195.6,8951132
2018-10-26,197.05,201.7,193.45,200.9,3466008
2018-10-29,200.95,202.8,199.55,202.25,2309993
2018-10-30,202.6,204.35,199.55,200.6,1907537
2018-10-31,200.9,209.25,200.9,208.05,4126750
2018-11-01,208.45,211.05,205.95,207.75,2786809
2018-11-02,208.8,214.3,203.7,206.55,3502733
2018-11-05,204.75,209.15,200.3,201.2,4087700
2018-11-06,201.8,202.9,196.8,197.85,2847784
2018-11-09,202.75,208.8,201.8,207.75,3022324
2018-11-12,207.85,208.0,200.55,201.5,1686323
2018-11-13,201.0,207.0,200.0,206.0,2969121
2018-11-14,206.0,207.4,203.35,204.05,2052383
2018-11-15,198.2,199.6,195.85,196.6,2787189
2018-11-16,196.35,200.05,195.55,199.1,2136473
2018-11-19,199.1,199.9,195.5,199.0,2671923
2018-11-20,199.1,201.9,197.5,198.35,3730590
2018-11-21,199.1,199.1,196.95,197.65,2532682
2018-11-22,198.2,198.45,193.55,195.05,2332366
2018-11-26,195.3,203.5,195.05,202.85,4942127
2018-11-27,202.25,202.25,199.25,200.55,3459446
2018-11-28,201.0,202.25,197.25,199.0,1744472
