date,open,high,low,close,volume
2018-07-05,1354.1,1362.2,1343.3,1351.8,134206
2018-07-06,1346.75,1362.6,1340.35,1346.75,120553
2018-07-09,1359.4,1374.25,1346.25,1353.35,206594
2018-07-10,1353.35,1399.25,1341.35,1386.1,339614
2018-07-11,1387.1,1393.3,1360.0,1363.9,138862
2018-07-12,1365.9,1387.35,1362.05,1370.9,207932
2018-07-13,1375.7,1388.85,1178.05,1189.3,3673731
2018-07-16,1193.05,1211.7,1124.45,1133.3,3576678
2018-07-17,1139.05,1166.55,1128.65,1139.65,1358766
2018-07-18,1139.05,1155.3,1062.95,1086.3,1346607
2018-07-19,1089.85,1135.05,1043.6,1115.8,1761975
2018-07-20,1109.6,1157.65,1104.7,1130.25,1211710
2018-07-23,1138.7,1151.1,1124.3,1131.9,223448
2018-07-24,1129.25,1162.1,1104.65,1151.4,533358
2018-07-25,1158.7,1171.6,1102.2,1117.95,1123991
2018-07-26,1117.95,1128.4,1060.5,1098.95,766571
2018-07-27,1101.25,1110.3,1085.4,1095.15,313655
2018-07-30,1099.75,1111.55,1094.85,1107.8,297878
2018-07-31,1106.6,1109.6,1072.55,1083.45,249638
2018-08-01,1084.05,1100.75,1084.05,1095.65,272935
2018-08-02,1094.65,1095.85,1078.15,1081.65,338872
2018-08-03,1122.35,1186.2,1122.35,1155.95,2980047
2018-08-06,1159.65,1190.1,1158.7,1180.3,446479
2018-08-07,1182.25,1219.55,1165.55,1204.3,823586
2018-08-08,1253.95,1264.3,1198.95,1224.25,1822156
2018-08-09,1228.4,1266.7,1212.7,1256.35,452343
2018-08-10,1276.5,1305.5,1256.0,1292.3,1091461
2018-08-13,1300.95,1300.95,1254.15,1260.3,601415
2018-08-14,1262.75,1300.1,1262.75,1289.8,595972
2018-08-16,1276.5,1285.85,1258.55,1268.35,472824
2018-08-17,1276.5,1289.7,1264.45,1282.55,317712
2018-08-20,1281.9,1325.05,1279.0,1307.35,478780
2018-08-21,1304.0,1304.0,1277.5,1282.25,334930
2018-08-23,1282.4,1310.4,1259.95,1296.05,320377
