date,open,high,low,close,volume
2018-07-05,442.42,457.17,442.42,450.82,362827
2018-07-06,457.27,460.54,446.28,449.5,115133
2018-07-09,454.04,457.61,441.54,445.98,69827
2018-07-10,445.98,451.85,441.1,446.37,146248
2018-07-11,441.88,448.28,440.66,442.66,60223
2018-07-12,442.42,446.28,434.11,436.36,131813
2018-07-13,438.16,441.98,432.45,436.21,254356
2018-07-16,437.73,440.07,409.73,424.29,186317
2018-07-17,424.29,445.88,416.13,435.82,131673
2018-07-18,432.06,443.44,431.72,437.48,168487
2018-07-19,447.55,451.11,436.11,440.85,139130
2018-07-20,438.16,441.0,432.99,439.44,113361
2018-07-23,439.44,452.43,434.31,447.06,92086
2018-07-24,447.5,453.21,442.02,447.15,81069
2018-07-25,447.15,451.94,441.63,448.47,76464
2018-07-26,448.77,464.01,447.15,459.81,96365
2018-07-27,463.82,464.01,432.06,436.36,235735
2018-07-30,436.11,439.78,414.32,417.64,317054
2018-07-31,417.79,419.16,393.7,396.29,566670
2018-08-01,399.42,417.84,397.47,413.74,290700
2018-08-02,415.64,420.43,406.5,409.24,241117
2018-08-03,411.24,412.03,399.42,400.49,282469
2018-08-06,403.48,405.53,399.03,400.64,177152
2018-08-07,400.64,405.53,393.31,397.22,1078617
2018-08-08,400.69,417.79,398.05,415.98,526042
2018-08-09,417.99,422.68,411.63,418.47,169281
2018-08-10,419.45,421.85,411.63,418.67,95675
2018-08-13,411.63,421.26,411.63,419.4,65131
2018-08-14,422.09,422.09,408.8,416.03,281865
2018-08-16,416.03,417.25,408.46,413.78,93522
2018-08-17,414.08,427.95,413.69,422.53,158751
2018-08-20,423.9,436.11,423.46,433.57,164632
2018-08-21,433.57,450.92,433.52,443.34,728147
2018-08-23,456.49,456.49,439.78,441.98,95322
2018-08-24,438.31,441.78,432.84,438.16,90297
2018-08-27,436.11,445.2,436.11,443.73,1387157
2018-08-28,443.39,444.71,425.9,435.43,63556
2018-08-29,429.57,439.34,423.07,428.0,59825
2018-08-30,425.41,428.59,410.41,411.73,134224
2018-08-31,412.86,413.69,395.41,398.25,515613
2018-09-03,398.2,403.38,395.36,397.07,117929
2018-09-04,403.91,406.36,379.29,382.86,287288
2018-09-05,384.76,384.76,373.48,377.78,247423
2018-09-06,383.93,383.93,368.88,373.28,263030
2018-09-07,374.94,389.26,373.77,386.77,1337699
2018-09-10,388.04,398.44,377.63,380.02,188154
2018-09-11,383.05,383.05,374.84,377.48,191139
2018-09-12,378.95,379.53,370.89,374.89,149930
2018-09-14,379.93,382.22,372.94,375.28,101283
2018-09-17,377.78,377.78,370.59,372.06,86874
2018-09-18,370.98,374.5,357.79,362.39,282153
2018-09-19,364.39,366.78,356.62,361.16,121084
2018-09-21,361.11,374.94,338.59,362.78,324141
2018-09-24,366.83,370.89,353.98,363.7,189024
2018-09-25,366.34,375.72,359.75,367.17,281563
2018-09-26,368.25,374.31,362.73,366.54,108840
2018-09-27,365.17,373.67,360.82,362.82,129568
2018-09-28,363.26,369.96,350.71,362.19,245641
2018-10-01,361.51,364.14,338.74,362.58,400118
2018-10-03,361.7,365.46,350.12,354.27,101530
2018-10-04,350.12,357.84,326.72,331.7,156950
2018-10-05,331.75,336.98,317.92,324.57,278295
2018-10-08,321.98,324.42,289.98,304.24,449983
2018-10-09,304.93,309.62,284.99,294.18,697018
2018-10-10,294.18,325.64,293.45,318.56,291470
2018-10-11,303.66,315.33,293.05,307.52,192935
2018-10-12,308.93,324.71,308.93,321.54,186461
2018-10-15,324.03,327.06,313.87,317.09,318861
2018-10-16,321.15,321.15,306.1,308.79,173683
2018-10-17,313.43,313.43,302.63,305.02,103256
2018-10-19,303.66,304.44,295.94,299.55,181403
2018-10-22,303.22,303.66,293.74,299.11,83963
2018-10-23,295.5,299.55,283.04,296.82,123611
2018-10-24,298.33,299.55,291.59,297.45,93337
2018-10-25,299.16,299.16,289.78,292.52,129278
2018-10-26,293.45,293.45,275.12,279.62,205176
2018-10-29,284.46,284.46,279.62,280.94,81491
2018-10-30,281.23,289.78,281.23,287.09,139803
2018-10-31,289.39,306.1,280.35,295.6,255538
2018-11-01,301.6,315.72,301.6,308.98,1024028
2018-11-02,313.33,313.72,303.27,306.44,171045
2018-11-05,306.44,324.86,304.44,309.03,289048
2018-11-06,311.28,311.52,302.04,305.07,109209
2018-11-09,318.51,325.25,313.38,319.34,164316
2018-11-12,322.42,325.64,319.78,322.42,146406
2018-11-13,322.08,325.5,312.3,316.21,87849
2018-11-14,318.71,319.93,312.3,313.14,380890
2018-11-15,316.9,317.92,310.64,311.96,54023
2018-11-16,311.96,317.92,307.86,312.7,72182
2018-11-19,315.38,317.09,310.16,311.23,56169
2018-11-20,309.76,313.43,308.64,310.4,57224
2018-11-21,311.47,311.72,304.19,306.2,56512
2018-11-22,306.2,307.91,301.6,304.05,530530
2018-11-26,302.14,305.71,296.57,301.26,53843
2018-11-27,303.51,303.51,296.72,298.67,337957
2018-11-28,300.97,300.97,294.13,296.62,158068
2018-11-29,300.09,300.09,291.93,296.18,281165
2018-11-30,296.18,299.16,293.89,295.89,159588
2018-12-03,297.11,297.94,292.91,294.37,186902
2018-12-04,294.28,297.6,281.23,284.31,480216
2018-12-05,286.75,287.19,271.07,276.88,551427
2018-12-06,275.12,275.56,260.47,263.93,425450
2018-12-07,266.96,268.72,248.54,253.19,502740
2018-12-10,252.5,252.5,236.04,246.54,1402621
2018-12-11,238.48,281.23,236.38,274.54,1368543
2018-12-12,277.66,284.5,275.12,280.45,612956
2018-12-13,279.62,284.75,272.68,279.52,194270
2018-12-14,277.57,283.19,275.32,282.06,185171
2018-12-17,284.21,284.21,277.57,280.5,109123
2018-12-18,281.23,284.9,276.34,278.79,192398
2018-12-19,279.18,284.5,271.02,273.61,266807
2018-12-20,279.18,281.28,273.61,276.98,183083
2018-12-21,276.98,276.98,262.22,264.72,117495
2018-12-24,264.77,267.4,256.75,257.44,183908
2018-12-26,259.98,271.85,256.75,262.66,400036
2018-12-27,262.66,264.37,257.58,259.98,274085
2018-12-28,259.64,264.08,256.8,258.85,225476
2018-12-31,258.8,271.02,258.8,269.11,314001
2019-01-01,270.63,287.24,266.96,285.48,627962
2019-01-02,284.11,293.4,277.66,289.44,504239
2019-01-03,293.05,295.11,285.33,293.35,328041
2019-01-04,293.01,300.14,287.88,295.99,431638
2019-01-07,297.6,300.04,291.83,298.87,664764
2019-01-08,297.5,299.31,294.28,298.18,341220
2019-01-09,297.55,297.55,289.78,292.18,142393
2019-01-10,289.78,300.58,285.87,297.84,224282
2019-01-11,297.55,299.55,293.45,294.81,1086879
2019-01-14,295.11,307.71,291.44,293.59,402947
2019-01-15,293.59,295.89,281.23,283.67,270281
2019-01-16,285.29,288.95,277.22,278.54,1781218
2019-01-17,280.74,283.09,277.27,278.45,82407
2019-01-18,281.08,281.08,274.78,276.2,64141
